word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.211859509962988,nan,-12.937129892459065,nan,-13.09624608849474,nan,1.0783367497990621,nan,1.0783328238104704,nan,1.0012290826303036,nan,1.0012282606929097,nan
g i T,3,-12.344356970942876,nan,-13.111485250919232,nan,-13.346507547181693,nan,1.0803595503506593,nan,1.080323690197725,nan,1.0015979502068435,nan,1.001460225434269,nan
z i T,3,-12.299905208372042,nan,-14.520252467891181,nan,-14.691242339422745,nan,1.0632624241229403,nan,1.063471771947456,nan,1.0015979502068435,nan,1.001460225434269,nan
y c g,3,-12.697850433768885,nan,-13.308038125012494,nan,-13.102050826641014,nan,1.0754843195411412,nan,1.0754836094020357,nan,1.0007989751034219,nan,1.000973483622846,nan
l R z,3,-10.697695723139345,nan,-11.725026693097155,nan,-11.847374469135504,nan,1.0942901446359492,nan,1.0940096306182177,nan,1.0015367102565018,nan,1.0014374131055648,nan
J Y p,3,-12.24908232829376,nan,-inf,nan,-13.716785286428026,nan,1.0768759027260113,nan,1.0768261980060099,nan,1.0021505376344086,nan,1.0017606271617414,nan
C ^ z,3,-11.832651594525377,nan,-12.883523431141894,nan,-12.659511769621398,nan,1.1160158947460794,nan,1.1154148004062108,nan,1.0029495127378305,nan,1.0022473689731646,nan
C e J,3,-12.943545457533627,nan,-12.077553447019932,nan,-12.546561048970297,nan,1.0665976346111454,nan,1.066757959880029,nan,1.002274445409582,nan,1.0019013425882832,nan
z i S,3,-11.825811593874782,nan,-14.851245238747769,nan,-14.862593120788349,nan,1.0645527467035854,nan,1.0647402708903735,nan,1.00073773515308,nan,1.0009506712941416,nan
z u v,3,-12.362063692059252,nan,-14.232755042326328,nan,-14.182435405496713,nan,1.060980839340909,nan,1.061193761183736,nan,1.0012290826303036,nan,1.0012282606929097,nan
D Y p,3,-11.69771061013342,nan,-12.295563258623709,nan,-12.305798312717764,nan,1.0921541857380157,nan,1.091885358995612,nan,1.0025194052109487,nan,1.0019925919031007,nan
s R k,3,-9.879154159018512,nan,-11.666033514693668,nan,-11.715005513878683,nan,1.1602824702910264,nan,1.1589559578157476,nan,1.005101478246729,nan,1.0036163450926159,nan
b R s,3,-10.319917049207701,nan,-9.675015619218724,nan,-9.902497036132337,nan,1.1466196329738396,nan,1.1455167216743678,nan,1.0060841732011756,nan,1.004171523890152,nan
T ^ z,3,-12.565964816810656,nan,-12.889877405051452,nan,-12.876140639914412,nan,1.1076492159537914,nan,1.107168117007143,nan,1.0029495127378305,nan,1.0022473689731646,nan
S c G,3,-13.230085583523529,nan,-12.761461857987195,nan,-12.720025857532873,nan,1.0517708284182694,nan,1.0521234895715632,nan,1.001290322580645,nan,1.0012510730216142,nan
J e J,3,-13.321824425337635,nan,-12.33072809077053,nan,-12.844395492886097,nan,1.0647787913954307,nan,1.0649652026193621,nan,1.002274445409582,nan,1.0019013425882832,nan
D ^ z,3,-11.659558844169045,nan,-8.14229156753988,nan,-8.568645471775621,nan,1.1294753345423691,nan,1.128681204135146,nan,1.0210240239882915,nan,1.013613641299771,nan
S Y p,3,-12.130022968277773,nan,-11.84490176181116,nan,-12.16998841590882,nan,1.0746932908671534,nan,1.0746748892932096,nan,1.0028882727874886,nan,1.00222455664446,nan
n W C,3,-12.084780118333015,nan,-12.794325274813563,nan,-13.042527862503517,nan,1.0570619490122908,nan,1.0573533840766318,nan,1.0011678426799617,nan,1.0012054483642054,nan
l W C,3,-12.100611583549696,nan,-12.481595082040176,nan,-12.734000273859053,nan,1.0672474710202935,nan,1.0673928247363664,nan,1.0007989751034219,nan,1.000973483622846,nan
S c d,3,-12.35881853302333,nan,-14.941233859991,nan,-14.218857451603453,nan,1.0788676026118178,nan,1.0787619673728317,nan,1,1,1.000486741811423,1.0
g i J,3,-11.989322716461604,nan,-inf,nan,-14.789960322141532,nan,1.0812197654044227,nan,1.08116935615967,nan,1.00073773515308,nan,1.0009506712941416,nan
C u T,3,-13.695548592293978,nan,-11.936917165247447,nan,-12.468986046943657,nan,1.0561468625673414,nan,1.056461185230334,nan,1.0023356853599237,nan,1.0019241549169875,nan
D i g,3,-11.437950998301263,nan,-12.994867292216895,nan,-13.119864648423544,nan,1.099844876392974,nan,1.0994897434862028,nan,1.002028057733725,nan,1.0017150025043329,nan
w u T,3,-13.192628148035102,nan,-13.698298599116331,nan,-13.566094376377515,nan,1.0765179065833472,nan,1.0765400665498035,nan,1.0012290826303036,nan,1.0012282606929097,nan
T c T,3,-14.66220953606771,nan,-12.403070598228501,nan,-13.084334637205306,nan,1.0370830240553928,nan,1.037672880602622,nan,1.0007989751034219,nan,1.000973483622846,nan
g u T,3,-13.251468648058033,nan,-12.897520754364018,nan,-13.176398448417244,nan,1.0656048472890585,nan,1.065783522985802,nan,1.0012290826303036,nan,1.0012282606929097,nan
f R s,3,-10.80318187339482,nan,-11.317712352346335,nan,-11.432754510540988,nan,1.1207920593106895,nan,1.1200595685728978,nan,1.0049775704715556,nan,1.0034756296660743,nan
J Y m,3,-12.23255302634255,nan,-inf,nan,-13.74189354473124,nan,1.0902092360593447,nan,1.089934020416158,nan,1.0004301075268818,nan,1.0007415188814868,nan
n R z,3,-10.681864257922665,nan,-12.171288278495062,nan,-12.273685093436352,nan,1.0841046226279465,nan,1.083970189958483,nan,1.0007989751034219,nan,1.000973483622846,nan
m R n,3,-10.111949717786667,nan,-12.25226746986756,nan,-12.191450438172424,nan,1.1516912719275942,nan,1.150449267761116,nan,1.0036872478909105,nan,1.0027112984558832,nan
C u S,3,-13.221454977796718,nan,-13.366522224772144,nan,-13.333484008869208,nan,1.0574371851479865,nan,1.0577296841732515,nan,1.001905577833042,nan,1.001669377846924,nan
S e J,3,-13.202765065321648,nan,-13.02230664355785,nan,-13.425830328216158,nan,1.0625961795365728,nan,1.062813893906562,nan,1.0015367102565018,nan,1.0014374131055648,nan
T ^ S,3,-13.313716131405453,nan,-14.707075447918193,nan,-14.693907390623565,nan,1.090014807351641,nan,1.0898319647872698,nan,1.0016591901571852,nan,1.0014830377629735,nan
v e D,3,-12.280533768230619,nan,-inf,nan,-17.318263038058678,nan,1.06120744384774,nan,1.0614439696268672,nan,1,1,1.000486741811423,1.0
C ^ S,3,-12.580402909120174,nan,-14.700721474008635,nan,-14.47727852033055,nan,1.098381486143929,nan,1.0980786481863376,nan,1.0016591901571852,nan,1.0014830377629735,nan
n c T,3,-12.422197683526282,nan,-14.391768022489023,nan,-14.256827138722185,nan,1.0589091426439705,nan,1.059185967730625,nan,1.0007989751034219,nan,1.000973483622846,nan
