word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-10.404277004704662,nan,-9.734755799567772,nan,-9.99152290586727,nan,1.1556444662676812,nan,1.154371037256106,nan,1.0083191121582789,nan,1.0054966389362243,nan
b i l,3,-9.629297015803138,nan,-10.762297425779128,nan,-10.901930533652404,nan,1.1713472125142086,nan,1.1697674668536289,nan,1.0056213093756996,nan,1.003825975456688,nan
b i s,3,-9.717219720660452,nan,-10.941970034806857,nan,-11.065756971489826,nan,1.1643834242133728,nan,1.1629306391416872,nan,1.0033000466087543,nan,1.0024940628301564,nan
b R s,3,-10.39934143120869,nan,-9.941394593140085,nan,-10.174307562147575,nan,1.1430395506955864,nan,1.141918965989936,nan,1.0051570568223105,nan,1.0035595929313819,nan
b Y s,3,-10.571191688135348,nan,-11.133365841481258,nan,-11.254410067733554,nan,1.146596862948551,nan,1.1454209115152278,nan,1.0025095327747622,nan,1.0020098013289456,nan
b ^ l,3,-9.900122697932417,nan,-11.06683588855341,nan,-11.15160531990797,nan,1.1982246828699399,nan,1.1962266108225004,nan,1.007785863968497,nan,1.0052060046362168,nan
C @ l,3,-11.010227203223263,nan,-12.713571748534205,nan,-12.735540264320289,nan,1.1290128571770088,nan,1.1280807083613513,nan,1.0035760291543263,nan,1.0025910699289604,nan
C i D,3,-11.93404719222395,nan,-12.687199403606192,nan,-13.061760302230763,nan,1.0713636999880674,nan,1.0714625527264219,nan,1.0048120786403456,nan,1.0034383340578765,nan
C i n,3,-10.600540335706112,nan,-9.94656440521945,nan,-10.316951908231761,nan,1.141930088103202,nan,1.1407424068740974,nan,1.008990351620847,nan,1.0058357767856336,nan
C R J,3,-13.208219966460765,nan,-inf,nan,-15.38106263851837,nan,1.050019826470281,nan,1.0504508795746708,nan,1.000395256916996,nan,1.000750644026517,nan
C R g,3,-12.377542987309603,nan,-inf,nan,-15.278889013789064,nan,1.0634831505185631,nan,1.0636687464844248,nan,1.000395256916996,nan,1.000750644026517,nan
C R T,3,-13.539577102415208,nan,-13.725181173379575,nan,-13.903684448097337,nan,1.0490913213635027,nan,1.049539302546412,nan,1.0008595094703852,nan,1.0010170265518232,nan
C ^ J,3,-12.796923938041807,nan,-inf,nan,-16.145059701312483,nan,1.0982411703437986,nan,1.0979216966952934,nan,1.000395256916996,nan,1.000750644026517,nan
C ^ n,3,-10.871366017835394,nan,-12.068707877552484,nan,-11.845776418155891,nan,1.1688075584589332,nan,1.167201550842969,nan,1.010144560538166,nan,1.00634467705795,nan
C ^ S,3,-12.676295950253193,nan,-14.470679289885206,nan,-14.328628627676743,nan,1.0991696754505766,nan,1.0988332737235522,nan,1.0017880145771632,nan,1.001549791602436,nan
