word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-11.692382931163552,nan,-inf,nan,-12.270424137460124,nan,1.1480995253800506,nan,1.143903586013272,nan,1.001086956521739,nan,1.0012455260760729,nan
b O r,3,-11.580791865755089,nan,-inf,nan,-12.634589386411161,nan,1.1334176330472612,nan,1.130121043899949,nan,1.001086956521739,nan,1.0012455260760729,nan
b O s,3,-11.998757136627486,nan,-11.120017285171592,nan,-11.67012711086364,nan,1.1187357407144716,nan,1.1163385017866259,nan,1.002718277892049,nan,1.001697401358495,nan
b U n,3,-11.193391765044565,nan,-inf,nan,-12.444087631510962,nan,1.167664742771355,nan,1.162653586013272,nan,1.001086956521739,nan,1.0012455260760729,nan
b u r,3,-10.303131345637993,nan,-11.381720666051939,nan,-11.589681276714913,nan,1.164939372177696,nan,1.1603293772332823,nan,1.0038052344137882,nan,1.0020942267553203,nan
b U s,3,-11.499765970508498,nan,-inf,nan,-12.536937785474425,nan,1.138300958105776,nan,1.135088501786626,nan,1.001086956521739,nan,1.0012455260760729,nan
b W r,3,-11.046709379824831,nan,-inf,nan,-12.417176509805937,nan,1.14754806782987,nan,1.1436627105666157,nan,1.001086956521739,nan,1.0012455260760729,nan
C e D,3,-12.280169596065672,nan,-inf,nan,-14.359891462523604,nan,1.0694337807645933,nan,1.0699800280755487,nan,1.0032608695652174,nan,1.0020391768697237,nan
C i D,3,-11.908606039633188,nan,-13.332651675104294,nan,-13.927199541715225,nan,1.0694337807645933,nan,1.0699800280755487,nan,1.0032608695652174,nan,1.0020391768697237,nan
C O b,3,-13.135835706123391,nan,-inf,nan,-14.889002935731838,nan,1.0428113252712958,nan,1.0441792368555385,nan,1,1,1.0008487006792475,1.0
C O g,3,-13.518827958379498,nan,-inf,nan,-14.133485424445436,nan,1.034654718419746,nan,1.0365222690148035,nan,1,1,1.0008487006792475,1.0
C O v,3,-14.211975138939444,nan,-inf,nan,-13.832338079033041,nan,1.036286039790056,nan,1.0380536625829504,nan,1,1,1.0008487006792475,1.0
C u D,3,-12.551322366566243,nan,-inf,nan,-13.965930178896922,nan,1.059651172068941,nan,1.0606050280755488,nan,1.0032608695652174,nan,1.0020391768697237,nan
C u S,3,-12.751993062028394,nan,-inf,nan,-12.979781149259386,nan,1.0694391002908008,nan,1.069793389484431,nan,1.0032608695652174,nan,1.0020391768697237,nan
C u T,3,-13.391073021318062,nan,-inf,nan,-13.3663090563478,nan,1.0547572079580112,nan,1.0560108473711076,nan,1.0032608695652174,nan,1.0020391768697237,nan
D e C,3,-12.280169596065672,nan,-inf,nan,-12.973597101403712,nan,1.086827744875523,nan,1.0865742087799897,nan,1.0032608695652174,nan,1.0020391768697237,nan
D e D,3,-12.022340486763571,nan,-inf,nan,-13.925438817542187,nan,1.0819337807645932,nan,1.0819800280755487,nan,1.0032608695652174,nan,1.0020391768697237,nan
D e J,3,-12.762007682958409,nan,-11.891463366876954,nan,-12.916774765537017,nan,1.0754084952833534,nan,1.0758544538029606,nan,1.0032608695652174,nan,1.0020391768697237,nan
D e S,3,-12.223011182225722,nan,-inf,nan,-12.93928978790465,nan,1.091721708986453,nan,1.0911683894844308,nan,1.0032608695652174,nan,1.0020391768697237,nan
D i C,3,-11.908606039633188,nan,-12.234039386436184,nan,-12.828587253047115,nan,1.086827744875523,nan,1.0865742087799897,nan,1.0038052344137882,nan,1.0020942267553203,nan
D i D,3,-11.650776930331087,nan,-13.408159227612439,nan,-13.78042896918559,nan,1.0819337807645932,nan,1.0819800280755487,nan,1.0021739130434784,nan,1.0016423514728983,nan
