word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.039440204963075,nan,-inf,nan,-14.110853940660403,nan,1.0742493079156923,nan,1.0744746623729609,nan,1.0006978367062107,nan,1.0010374849559696,nan
g i T,3,-12.227325505339088,nan,-12.564431947918216,nan,-13.194874144472273,nan,1.075187500063512,nan,1.075381191538146,nan,1.000956937799043,nan,1.0010858502284572,nan
z i T,3,-12.364796495967692,nan,-12.83242606539778,nan,-13.639218026937431,nan,1.0561657609330772,nan,1.0568626730196273,nan,1.0016547745052538,nan,1.001415556789618,nan
y c g,3,-12.710241207097663,nan,-12.672880732409643,nan,-12.929344968992405,nan,1.0630475153739654,nan,1.0634076632499863,nan,1.0016547745052538,nan,1.001415556789618,nan
l R z,3,-10.79044990334486,nan,-11.701371465089975,nan,-11.909295522310822,nan,1.1035498563642432,nan,1.1026776393933613,nan,1.0013956734124214,nan,1.00136719151713,nan
J Y p,3,-12.183001979270262,nan,-inf,nan,-13.446210583485517,nan,1.0782495426026621,nan,1.0781284924163186,nan,1.001913875598086,nan,1.0014639220621058,nan
C ^ z,3,-11.582662385238248,nan,-11.787709387087896,nan,-11.996419468212,nan,1.127281045113902,nan,1.1257463147023623,nan,1.006439463500469,nan,1.00330591595786,nan
C e J,3,-12.678646551500087,nan,-12.47490094636272,nan,-13.114427687227689,nan,1.0692637694817588,nan,1.069583306827903,nan,1.0030504479176754,nan,1.002074969911939,nan
z i S,3,-11.654554882048444,nan,-13.254985606865244,nan,-13.629648575921282,nan,1.065735138923508,nan,1.0660792628813784,nan,1.0016547745052538,nan,1.001415556789618,nan
z u v,3,-12.38049188543138,nan,-13.142153076368714,nan,-13.513760464270893,nan,1.061707051830816,nan,1.0621048040353605,nan,1.0016547745052538,nan,1.001415556789618,nan
D Y p,3,-11.84005722814343,nan,-inf,nan,-13.273645201636926,nan,1.0857223686896187,nan,1.0854036246914507,nan,1.001913875598086,nan,1.0014639220621058,nan
s R k,3,-10.216864716759773,nan,-12.231866673944975,nan,-12.235105465688992,nan,1.1401910827008357,nan,1.137960964192815,nan,1.0033095490105075,nan,1.002123335184427,nan
b R s,3,-10.681572658430797,nan,-10.377313771431036,nan,-10.795544644584771,nan,1.1369841709055373,nan,1.1349783733069985,nan,1.0023526112114645,nan,1.0017452633507784,nan
T ^ z,3,-12.420059174642741,nan,-11.538099262585524,nan,-12.122399271072561,nan,1.1191288712008585,nan,1.1178098067658544,nan,1.006439463500469,nan,1.00330591595786,nan
S c G,3,-12.99862924498646,nan,-11.414474357613338,nan,-12.148900027043886,nan,1.0576127327652698,nan,1.058116657958981,nan,1.0026117123042968,nan,1.0017936286232665,nan
J e J,3,-13.099149536972792,nan,-13.270793285214506,nan,-13.681423582460733,nan,1.0672257260034979,nan,1.067599179843776,nan,1.0016547745052538,nan,1.001415556789618,nan
D ^ z,3,-11.660220619584123,nan,-8.61742661320072,nan,-9.50047822370029,nan,1.1327158277225975,nan,1.1310373199933674,nan,1.0155113406812086,nan,1.0075921012529472,nan
S Y p,3,-11.889654169282803,nan,-12.78373253158066,nan,-12.9564043269436,nan,1.0775701947765752,nan,1.0774671167549428,nan,1.0026117123042968,nan,1.0017936286232665,nan
n W C,3,-11.945852010198173,nan,-12.365702679507123,nan,-12.650857927657189,nan,1.0670388814775091,nan,1.067344719023321,nan,1.003748284623886,nan,1.0024046764730996,nan
l W C,3,-11.861768892987632,nan,-12.125546128532086,nan,-12.404119505049248,nan,1.0792671423470743,nan,1.079249480928083,nan,1.0023526112114645,nan,1.0017452633507784,nan
S c d,3,-12.08790955816176,nan,-inf,nan,-13.25529042077996,nan,1.0911055557317768,nan,1.09037472247511,nan,1.0006978367062107,nan,1.0010374849559696,nan
g i J,3,-11.8104317014073,nan,-inf,nan,-14.7012165478794,nan,1.0780583134606414,nan,1.078146168496671,nan,1,1,1.0007077783948088,1.0
C u T,3,-13.439917771560204,nan,-inf,nan,-13.844225277406455,nan,1.0552275687852575,nan,1.0559561438544425,nan,1.0020935101186323,nan,1.0016968980782905,nan
