word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-10.361643547515433,nan,-9.586157896368267,nan,-10.054319992705876,nan,1.1400731139731326,nan,1.1384903629354381,nan,1.0111033631078032,nan,1.0059079882172386,nan
b i l,3,-9.75510323809625,nan,-10.631686005934258,nan,-10.887913559802385,nan,1.1537665239010129,nan,1.1516132851186984,nan,1.005453645593679,nan,1.003089322385732,nan
b i s,3,-9.971713868368836,nan,-11.268071257163509,nan,-11.420510038689605,nan,1.1562854155886704,nan,1.1540503281731258,nan,1.0029347539060214,nan,1.0020144388314502,nan
b R s,3,-10.660177199616355,nan,-10.579607925915994,nan,-10.90855892240188,nan,1.1374530238749228,nan,1.135679232031056,nan,1.0029347539060214,nan,1.0020144388314502,nan
b Y s,3,-10.60561821536592,nan,-11.327314090726372,nan,-11.459124874817386,nan,1.1487524589031712,nan,1.146701889716298,nan,1.0027228697339272,nan,1.0019693294057461,nan
b ^ l,3,-9.843395845241929,nan,-11.236540579348524,nan,-11.293984178071344,nan,1.1826428578620927,nan,1.1797822992032057,nan,1.0079567250296875,nan,1.0045199195705672,nan
C @ l,3,-10.780968596411249,nan,-inf,nan,-13.249402142961427,nan,1.1290437721499156,nan,1.127472442244462,nan,1.00335852225021,nan,1.002104657682859,nan
C i D,3,-12.135390340919864,nan,-12.544770775051168,nan,-13.145747202198155,nan,1.0646515397604157,nan,1.0650470297404762,nan,1.0052338552957603,nan,1.0032220697753045,nan
C i n,3,-10.71191697655822,nan,-11.122043599829784,nan,-11.579316209177758,nan,1.1326616153271662,nan,1.1308471922100132,nan,1.0069131164208653,nan,1.0039386588114922,nan
C R J,3,-13.184867017704713,nan,-inf,nan,-14.640664964314023,nan,1.0466587786092205,nan,1.0474882812832154,nan,1,1,1.0006714796104834,1.0
C R g,3,-12.277309965799313,nan,-inf,nan,-14.650197924972746,nan,1.0592532370475076,nan,1.059673496555352,nan,1,1,1.0006714796104834,1.0
C R T,3,-13.34994676806416,nan,-inf,nan,-14.681946623287327,nan,1.044139886921563,nan,1.0450512382287882,nan,1,1,1.0006714796104834,1.0
C ^ J,3,-12.584696293602871,nan,-inf,nan,-15.80043167613546,nan,1.094367504284048,nan,1.0940283915097924,nan,1,1,1.0006714796104834,1.0
C ^ n,3,-10.800209583703896,nan,-inf,nan,-12.332492320369301,nan,1.161537949288246,nan,1.1590162062945204,nan,1.0083963056255247,nan,1.0042544247914222,nan
C ^ S,3,-12.179231185494707,nan,-inf,nan,-13.857581973233255,nan,1.1010845487844678,nan,1.1005271729882653,nan,1.0016792611251049,nan,1.0013880686466712,nan
C ^ C,3,-12.208645070701001,nan,-inf,nan,-13.438222076806275,nan,1.1010845487844678,nan,1.1005271729882653,nan,1.00335852225021,nan,1.002104657682859,nan
d i k,3,-9.631887882506817,nan,-11.582537330664486,nan,-11.712622042142074,nan,1.1487410804727287,nan,1.1465566271452365,nan,1.0029347539060214,nan,1.0020144388314502,nan
d i s,3,-9.80251339953758,nan,-11.525240498940725,nan,-11.679357948501563,nan,1.133627730346784,nan,1.1319343688186727,nan,1.0029347539060214,nan,1.0020144388314502,nan
d i t,3,-9.3801378192811,nan,-10.32844788212053,nan,-10.601935641872622,nan,1.1604959083484634,nan,1.1579294947325638,nan,1.0046140150311265,nan,1.002731027867638,nan
d E p,3,-10.568920649919086,nan,-13.897666365753881,nan,-13.57168952024816,nan,1.1023495153602483,nan,1.1016775266673293,nan,1.0006277463904583,nan,1.000984664702873,nan
d R s,3,-10.490976730785098,nan,-10.836777167693207,nan,-11.178456668400422,nan,1.1147953386330365,nan,1.113563272676603,nan,1.0029347539060214,nan,1.0020144388314502,nan
D i D,3,-12.150428218284404,nan,-13.538873783524243,nan,-13.880885284483337,nan,1.0695504987316342,nan,1.0698288587900877,nan,1.002095123343469,nan,1.0016561443133565,nan
D i g,3,-11.603884511916334,nan,-12.915346237242058,nan,-13.152869278272568,nan,1.0829845877324737,nan,1.0828264217470331,nan,1.002095123343469,nan,1.0016561443133565,nan
D i C,3,-12.135390340919862,nan,-12.455299372220674,nan,-12.860568259964493,nan,1.0771071737946065,nan,1.0771399879533696,nan,1.0029347539060214,nan,1.0020144388314502,nan
d I J,3,-10.96279900907609,nan,-10.929025027687016,nan,-11.598862634291358,nan,1.126564397535255,nan,1.1254470288568874,nan,1.0056497175141244,nan,1.0034901454419898,nan
d I D,3,-10.60178566353876,nan,-12.047724074921865,nan,-12.490562280988108,nan,1.1257247669727026,nan,1.1246346811720784,nan,1.0064893480766768,nan,1.0038484399600838,nan
d Y p,3,-10.78317525381605,nan,-12.009435328285246,nan,-12.2707108082076,nan,1.0941888122842909,nan,1.093716718339099,nan,1.004190246686938,nan,1.0026408090162295,nan
d Y t,3,-10.014042166278184,nan,-10.926687216416079,nan,-11.174848457951535,nan,1.1529629516629643,nan,1.150581056275736,nan,1.005869507812043,nan,1.0033573980524173,nan
d I T,3,-11.12787875943554,nan,-11.590623850512038,nan,-12.199760081200083,nan,1.1240455058475975,nan,1.1230099858024603,nan,1.0056497175141244,nan,1.0034901454419898,nan
d I Z,3,-13.405146044445294,nan,-inf,nan,-14.620128209850513,nan,1.1198473530348352,nan,1.1189482473784147,nan,1.0056497175141244,nan,1.0034901454419898,nan
f i k,3,-10.261086338466487,nan,-11.487421360635071,nan,-11.678655303542866,nan,1.1548647791867521,nan,1.1525339134572512,nan,1.004190246686938,nan,1.0026408090162295,nan
