word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-12.943413762454922,nan,-inf,nan,-14.307343100376851,nan,1.0784950261834452,nan,1.0785376393140766,nan,1.0005327650506126,nan,1.0009032925025871,nan
g i T,3,-12.15825564625787,nan,-12.966004665513614,nan,-13.32905536347167,nan,1.0745219384611924,nan,1.0746416693878935,nan,1.0013812154696133,nan,1.0012718562250469,nan
z i T,3,-12.188108609407552,nan,-12.835610473142053,nan,-13.405288128039853,nan,1.059394134600994,nan,1.059823069490091,nan,1.001913980520226,nan,1.0015594604815898,nan
y c g,3,-12.850914426319708,nan,-12.928752738028876,nan,-13.028492464681648,nan,1.063373396358611,nan,1.0636557196726952,nan,1.0012233727854192,nan,1.0012313764920886,nan
l R z,3,-10.852113855930265,nan,-11.971968102877739,nan,-12.09867716338429,nan,1.0985064359727683,nan,1.0979830409924227,nan,1.0010655301012255,nan,1.0011908967591303,nan
J Y p,3,-12.103914709877946,nan,-inf,nan,-13.540818040483526,nan,1.0779798623541426,nan,1.0778817363245328,nan,1.0013812154696133,nan,1.0012718562250469,nan
C ^ z,3,-11.646449153662237,nan,-11.932911766812717,nan,-11.947941434944243,nan,1.1182084599519202,nan,1.1172635073786201,nan,1.0046764114594524,nan,1.002871796439595,nan
C e J,3,-12.612218612702113,nan,-12.551262412222652,nan,-12.986024957016266,nan,1.0667083289682473,nan,1.0669875385429057,nan,1.0022889028866446,nan,1.0018065850051747,nan
z i S,3,-11.57409874940633,nan,-13.536631710132907,nan,-13.704565994653015,nan,1.069062642888287,nan,1.0692316716406287,nan,1.0012233727854192,nan,1.0012313764920886,nan
z u v,3,-12.43448028684097,nan,-13.100064419474627,nan,-13.33628693538927,nan,1.0615446951816787,nan,1.0618581293113845,nan,1.001756137836032,nan,1.0015189807486318,nan
D Y p,3,-11.832761939377377,nan,-12.68013151940624,nan,-12.66484855199247,nan,1.0852829400797555,nan,1.0850355431717478,nan,1.0013812154696133,nan,1.0012718562250469,nan
s R k,3,-10.210904923021115,nan,-11.479704262238474,nan,-11.636762443250152,nan,1.139972440924105,nan,1.138361253200048,nan,1.0048934911416771,nan,1.0030784412302216,nan
b R s,3,-10.605142968535496,nan,-9.827005227114089,nan,-10.198824848978424,nan,1.1332796341962816,nan,1.1318853272435971,nan,1.0042028834068706,nan,1.0027503572407201,nan
T ^ z,3,-12.3504072503264,nan,-11.868033629438225,nan,-12.131195392738148,nan,1.1093404369993902,nan,1.1085767419212875,nan,1.0046764114594524,nan,1.002871796439595,nan
S c G,3,-12.864680622083856,nan,-11.784646988982244,nan,-12.24991149167042,nan,1.0633438554956718,nan,1.0636000881102314,nan,1.0026045882550325,nan,1.001887544471091,nan
J e J,3,-13.033944241682057,nan,-13.163610550773246,nan,-13.520715502087317,nan,1.064621735332358,nan,1.0649435937294158,nan,1.001756137836032,nan,1.0015189807486318,nan
D ^ z,3,-11.797022012141612,nan,-8.401722234371208,nan,-9.121755841736238,nan,1.1234249440416437,nan,1.1223733694123452,nan,1.0142661823704806,nan,1.008048673057369,nan
S Y p,3,-11.772137317560942,nan,-12.54404584697662,nan,-12.782726576962629,nan,1.075893268718253,nan,1.0758377915110426,nan,1.001913980520226,nan,1.0015594604815898,nan
n W C,3,-11.996225355909814,nan,-12.234982232634186,nan,-12.597228812888334,nan,1.0611051273944945,nan,1.0614648245152725,nan,1.0028216679372572,nan,1.0020941892617177,nan
l W C,3,-11.999260259604968,nan,-12.113787716362364,nan,-12.44037907609191,nan,1.073624689209831,nan,1.0737284933962126,nan,1.001756137836032,nan,1.0015189807486318,nan
S c d,3,-11.966372392760132,nan,-inf,nan,-13.800261776933414,nan,1.0916587726227436,nan,1.0911538515510917,nan,1.0005327650506126,nan,1.0009032925025871,nan
g i J,3,-11.876023178573654,nan,-inf,nan,-14.997474511978474,nan,1.0745219384611924,nan,1.0746416693878935,nan,1,1,1.0006156882460442,1.0
C u T,3,-13.338067954458872,nan,-inf,nan,-13.523564065814437,nan,1.0565857930066065,nan,1.0570762187724312,nan,1.0026638252530633,nan,1.0020537095287592,nan
D i g,3,-11.604870408073085,nan,-13.236527117682568,nan,-13.335746720092317,nan,1.0824417717642643,nan,1.0823284403397015,nan,1.001756137836032,nan,1.0015189807486318,nan
w u T,3,-13.091543954500597,nan,-inf,nan,-15.053033523405922,nan,1.072235245275777,nan,1.0724058048736065,nan,1,1,1.0006156882460442,1.0
T c T,3,-14.265169602437242,nan,-11.748112413092846,nan,-12.718716011267535,nan,1.043455649649175,nan,1.0442162660433196,nan,1.001598295151838,nan,1.0014785010156733,nan
g u T,3,-12.958012561876075,nan,-inf,nan,-14.002115785464879,nan,1.0649321675501642,nan,1.0652519980263913,nan,1.0010655301012255,nan,1.0011908967591303,nan
f R s,3,-11.020223535343103,nan,-10.979471631031423,nan,-11.228643161387657,nan,1.120760072380945,nan,1.119621658362657,nan,1.0031373533056454,nan,1.0021751487276342,nan
J Y m,3,-11.95665585608861,nan,-inf,nan,-14.096270625070261,nan,1.0945544479895017,nan,1.0940107685825973,nan,1,1,1.0006156882460442,1.0
