word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-12.072609041217826,nan,-11.778831647890762,nan,-11.965632605135434,nan,1.1336784514121496,nan,1.132096275178013,nan,1.0012862765746529,nan,1.0012622227016086,nan
b O r,3,-12.005510707714656,nan,-inf,nan,-13.28585248806833,nan,1.1300341365433448,nan,1.128555198690761,nan,1.000557413600892,nan,1.0009257489465615,nan
b O s,3,-12.298121326367585,nan,-12.4790888385697,nan,-12.40432207215317,nan,1.1154568770681264,nan,1.1143908927417525,nan,1.0012862765746529,nan,1.0012622227016086,nan
b U n,3,-11.101830124059601,nan,-inf,nan,-12.294656017743657,nan,1.152073100241581,nan,1.1500897321027677,nan,1.0022296544035674,nan,1.0018096617338332,nan
b u r,3,-10.479454404219608,nan,-11.743856239442726,nan,-11.794678496127965,nan,1.157904816587938,nan,1.1558180122131165,nan,1.0025725531493057,nan,1.001893334052413,nan
b U s,3,-11.327342409209361,nan,-inf,nan,-12.327880376653228,nan,1.1338515258975577,nan,1.1323843496665071,nan,1.0022296544035674,nan,1.0018096617338332,nan
b W r,3,-11.097252147537766,nan,-inf,nan,-12.63231444560343,nan,1.1428546493638576,nan,1.1410960929110445,nan,1.0016722408026757,nan,1.001515024138076,nan
C e D,3,-12.34466669407945,nan,-inf,nan,-14.707697030919803,nan,1.065789672824156,nan,1.0661077445222755,nan,1.0016722408026757,nan,1.001515024138076,nan
C i D,3,-11.968529201065804,nan,-12.078769942622007,nan,-12.594145388966966,nan,1.066347086425048,nan,1.0666530007927226,nan,1.0057455853817878,nan,1.0036193234676662,nan
C O b,3,-13.33170114476484,nan,-inf,nan,-15.218091217273477,nan,1.0479508124830774,nan,1.0485344284064773,nan,1,1,1.0006311113508044,1.0
C O g,3,-13.75778554007574,nan,-inf,nan,-14.564848744421523,nan,1.041391045719229,nan,1.0421604907294235,nan,1,1,1.0006311113508044,1.0
C O v,3,-14.292327690459047,nan,-inf,nan,-14.188540220604814,nan,1.040662182745468,nan,1.041452275431973,nan,1,1,1.0006311113508044,1.0
C u D,3,-12.75302616021398,nan,-inf,nan,-14.23742634332023,nan,1.0568710552098863,nan,1.0573836441951219,nan,1.0027870680044593,nan,1.0021042993295903,nan
C u S,3,-12.677040253236058,nan,-12.351088143463482,nan,-12.552835708506782,nan,1.0663462738687786,nan,1.0665904430619775,nan,1.0035159309782202,nan,1.0024407730846374,nan
C u T,3,-13.299569866582049,nan,-inf,nan,-13.45837133563435,nan,1.0568710552098863,nan,1.0573836441951219,nan,1.0027870680044593,nan,1.0021042993295903,nan
D e C,3,-12.34466669407945,nan,-12.893618058407487,nan,-12.964727725861177,nan,1.0792597282399974,nan,1.0792342920898546,nan,1.0029585173773283,nan,1.0021461354888803,nan
D e D,3,-12.513743024123384,nan,-inf,nan,-14.525680771029455,nan,1.071242235528627,nan,1.0714439238178999,nan,1.0022296544035674,nan,1.0018096617338332,nan
D e J,3,-12.819124673674565,nan,-12.326786758681356,nan,-12.834140417958807,nan,1.071242235528627,nan,1.0714439238178999,nan,1.0029585173773283,nan,1.0021461354888803,nan
D e S,3,-12.437757117145463,nan,-11.639394989692033,nan,-12.147942955656063,nan,1.0807174541875193,nan,1.0806507226847555,nan,1.0022296544035674,nan,1.0018096617338332,nan
D i C,3,-11.968529201065804,nan,-12.576608370861187,nan,-12.87345921174823,nan,1.0798171418408893,nan,1.0797795483603017,nan,1.0033014161230667,nan,1.00222980780746,nan
D i D,3,-12.137605531109738,nan,-13.731306044955808,nan,-13.964408627670771,nan,1.071799649129519,nan,1.071989180088347,nan,1.0018436901755448,nan,1.001556860297366,nan
D i S,3,-12.061619624131815,nan,-13.114144771373784,nan,-13.26064724586905,nan,1.0812748677884112,nan,1.0811959789552026,nan,1.0018436901755448,nan,1.001556860297366,nan
D i T,3,-12.684149237477808,nan,-12.404603781038164,nan,-12.962210068670682,nan,1.071799649129519,nan,1.071989180088347,nan,1.0025725531493057,nan,1.001893334052413,nan
d u r,3,-10.272772129959469,nan,-12.474393637759189,nan,-12.485781940027227,nan,1.1350040532291594,nan,1.1334060591714945,nan,1.0031299667501976,nan,1.00218797164817,nan
D W C,3,-13.370823903532138,nan,-inf,nan,-13.437453503394899,nan,1.0552909434016473,nan,1.055788272460629,nan,1.000728862973761,nan,1.0009675851058515,nan
D W D,3,-13.539900233576072,nan,-inf,nan,-15.40387165667134,nan,1.047273450690277,nan,1.0479979041886742,nan,1,1,1.0006311113508044,1.0
D W T,3,-14.086443939944141,nan,-inf,nan,-13.931669468425515,nan,1.047273450690277,nan,1.0479979041886742,nan,1.000728862973761,nan,1.0009675851058515,nan
f U n,3,-11.527914519370501,nan,-inf,nan,-13.199688109010816,nan,1.1335343870463792,nan,1.131946722497645,nan,1.0011148272017838,nan,1.0012203865423188,nan
f u r,3,-10.905538799530508,nan,-13.510153796992258,nan,-13.105175695503288,nan,1.1393661033927363,nan,1.1376750026079938,nan,1.0020151395484138,nan,1.0015986964566557,nan
f U s,3,-11.753426804520261,nan,-inf,nan,-13.232912467920388,nan,1.115312812702356,nan,1.1142413400613844,nan,1.0011148272017838,nan,1.0012203865423188,nan
f W r,3,-11.523336542848666,nan,-inf,nan,-13.788660965151497,nan,1.1243159361686559,nan,1.1229530833059218,nan,1.000557413600892,nan,1.0009257489465615,nan
f ^ r,3,-10.279832899766093,nan,-13.03724740808856,nan,-12.753199272346109,nan,1.1750405738498153,nan,1.1725714039166089,nan,1.0040733445791121,nan,1.0027354106803947,nan
g U n,3,-11.527914519370501,nan,-inf,nan,-13.331859882119298,nan,1.1204482365556485,nan,1.1191398921881466,nan,1.000557413600892,nan,1.0009257489465615,nan
g U S,3,-12.88009704598353,nan,-11.86772938556185,nan,-12.311367272268651,nan,1.0628680616285349,nan,1.0631908836895632,nan,1.0012862765746529,nan,1.0012622227016086,nan
g U T,3,-13.50262665932952,nan,-inf,nan,-13.622368007504381,nan,1.0533928429696426,nan,1.0539840848227076,nan,1.000557413600892,nan,1.0009257489465615,nan
g W C,3,-12.849526979898851,nan,-inf,nan,-13.783199376801438,nan,1.0558361996720944,nan,1.0563218903901912,nan,1.000728862973761,nan,1.0009675851058515,nan
