word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-10.332469208804364,nan,-9.75402807401919,nan,-10.135471957531113,nan,1.142869554667271,nan,1.1414174230423864,nan,1.0107827380417933,nan,1.0061009863578443,nan
b i l,3,-9.76532916522629,nan,-10.526726764136034,nan,-10.760004239996665,nan,1.1534353060993823,nan,1.1515945264481993,nan,1.0052570617918006,nan,1.0031732360423284,nan
b i s,3,-9.968730237811299,nan,-11.196961247823268,nan,-11.347968593174787,nan,1.1520406059599122,nan,1.1502376743450784,nan,1.0024676615128607,nan,1.0018548444800346,nan
b R s,3,-10.631799963133966,nan,-9.840744341940653,nan,-10.21693311780145,nan,1.1370191467324444,nan,1.135531791992137,nan,1.004237972955986,nan,1.0027618095761508,nan
b Y s,3,-10.602600808441704,nan,-11.767063481518797,nan,-11.790003386064676,nan,1.1429204342860926,nan,1.141309102916507,nan,1.0023067921298208,nan,1.0018139301922324,nan
b ^ l,3,-9.922027617132347,nan,-11.16853600844775,nan,-11.26987739202668,nan,1.1813323018075368,nan,1.178905450817947,nan,1.0074568570761577,nan,1.004493911192779,nan
C @ l,3,-10.755598016354737,nan,-inf,nan,-13.467376030762786,nan,1.1338267115886167,nan,1.1323822118927476,nan,1.00278940027894,nan,1.001936673055639,nan
C i D,3,-12.076921192777121,nan,-12.203765987238253,nan,-12.70993242803037,nan,1.0662892552104073,nan,1.0665755975237978,nan,1.0055256762499925,nan,1.0035460318088607,nan
C i n,3,-10.659855172990476,nan,-10.366589038319404,nan,-10.816593165984395,nan,1.1318401617654978,nan,1.1303476463704736,nan,1.0069203763894625,nan,1.0042052275900077,nan
C R J,3,-13.07896628493912,nan,-inf,nan,-14.935677368881077,nan,1.0505704459132046,nan,1.051191289119296,nan,1,1,1.0006182814933449,1.0
C R g,3,-12.224177752822758,nan,-inf,nan,-14.904586781811044,nan,1.0617280470289647,nan,1.0620461059442623,nan,1,1,1.0006182814933449,1.0
C R T,3,-13.31535506300335,nan,-13.6127576962978,nan,-13.760512119066178,nan,1.0505704459132046,nan,1.051191289119296,nan,1.00139470013947,nan,1.001277477274492,nan
C ^ J,3,-12.572595011522509,nan,-inf,nan,-15.344923199829147,nan,1.0934889008488269,nan,1.0932080958419852,nan,1.0005364806866952,nan,1.0009069650961162,nan
C ^ n,3,-10.816553624896533,nan,-11.837347004350127,nan,-11.766603675708206,nan,1.1597371574736526,nan,1.1576585707402214,nan,1.0089046815235152,nan,1.0048621397829982,nan
C ^ S,3,-12.172995022866743,nan,-13.398676338464197,nan,-13.404878170226231,nan,1.1025544517553818,nan,1.1020276345122701,nan,1.0019311808261653,nan,1.0015661608772632,nan
C ^ C,3,-12.184829480513745,nan,-12.922536272686095,nan,-13.019279691462334,nan,1.099067701406707,nan,1.0986355042544684,nan,1.0033258809656351,nan,1.0022253566584103,nan
d i k,3,-9.651999953222196,nan,-11.360227901736149,nan,-11.528637868572895,nan,1.1441097139378316,nan,1.1423876148781036,nan,1.0031650115825956,nan,1.002184442370608,nan
d i s,3,-9.788815421047909,nan,-11.51040745721118,nan,-11.654547299517855,nan,1.1315574126826013,nan,1.1301759459500167,nan,1.0024676615128607,nan,1.0018548444800346,nan
d i t,3,-9.395960820531675,nan,-10.479227368624674,nan,-10.701788264585364,nan,1.1559646651233266,nan,1.15392085775463,nan,1.0038623616523306,nan,1.0025140402611816,nan
d E p,3,-10.519357513114874,nan,-13.997956568551995,nan,-13.625890431289173,nan,1.1079013828491875,nan,1.1071750223784171,nan,1.0012338307564301,nan,1.0012365629866897,nan
d R s,3,-10.451885146370577,nan,-10.490662787949777,nan,-10.833666752448359,nan,1.1165359534551336,nan,1.1154700635970753,nan,1.0037014922692908,nan,1.0024731259733795,nan
D i D,3,-12.125711356946553,nan,-13.961124029748975,nan,-14.145381628458969,nan,1.072066566134777,nan,1.0722340337377896,nan,1.0017703114431256,nan,1.001525246589461,nan
D i g,3,-11.609898191669522,nan,-13.253161763403888,nan,-13.356924268094698,nan,1.0825268171808022,nan,1.0824104245111954,nan,1.0017703114431256,nan,1.001525246589461,nan
D i C,3,-12.076921192777121,nan,-12.623619832798516,nan,-12.918669337163545,nan,1.0769480166229222,nan,1.0769830160987124,nan,1.0031650115825956,nan,1.002184442370608,nan
d I J,3,-10.965359778308144,nan,-11.038060116697473,nan,-11.60528938963227,nan,1.123730181910608,nan,1.1228208668763247,nan,1.006598637623383,nan,1.0041233990144034,nan
d I D,3,-10.626384411468813,nan,-12.301294385060137,nan,-12.65033823537829,nan,1.124427531980343,nan,1.123499292927885,nan,1.006598637623383,nan,1.0041233990144034,nan
d Y p,3,-10.702877392400937,nan,-11.645382988896408,nan,-11.91269328456422,nan,1.0966352884285864,nan,1.0961456106137113,nan,1.0047744536426815,nan,1.0030504931789221,nan
