word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-12.75457886046835,nan,-12.990287251895381,nan,-13.49101326794456,nan,1.0817102440769963,nan,1.081621250785682,nan,1.0010570824524312,nan,1.0012048331661785,nan
g i T,3,-12.15284835036595,nan,-inf,nan,-13.513330981042156,nan,1.0850804337066196,nan,1.0848472555166266,nan,1,1,1.0008120601889592,1.0
z i T,3,-12.108396587795117,nan,-inf,nan,-16.84143832423329,nan,1.0616826717534151,nan,1.0623643620659913,nan,1,1,1.0008120601889592,1.0
y c g,3,-12.302593736725292,nan,-inf,nan,-12.849647010901677,nan,1.0750766559610223,nan,1.0751253026238303,nan,1.002547770700637,nan,1.0016506346124392,nan
l R z,3,-10.871463071595489,nan,-11.233885342722695,nan,-11.598287099013527,nan,1.1007041631764725,nan,1.0996462696717881,nan,1.0010570824524312,nan,1.0012048331661785,nan
J Y p,3,-13.232260240000587,nan,-inf,nan,-14.61430051252523,nan,1.069959751125512,nan,1.0700692193147863,nan,1.0012738853503185,nan,1.001231347400699,nan
C ^ z,3,-12.109721969036183,nan,-inf,nan,-12.249946199409344,nan,1.1124686413347618,nan,1.1108887077937657,nan,1.0050955414012739,nan,1.0024892090359192,nan
C e J,3,-14.112702344621542,nan,-11.275488823803455,nan,-12.99693734162543,nan,1.0664727619364234,nan,1.066980661816754,nan,1.0042283298097252,nan,1.002383152097836,nan
z i S,3,-11.846032323327623,nan,-inf,nan,-16.01896634757679,nan,1.066778213154689,nan,1.0672128469144762,nan,1.0012738853503185,nan,1.001231347400699,nan
z u v,3,-12.144813288847455,nan,-inf,nan,-14.79394636072247,nan,1.0646909802868312,nan,1.0651598627113907,nan,1.002547770700637,nan,1.0016506346124392,nan
D Y p,3,-12.02828743567465,nan,-inf,nan,-13.603373228356224,nan,1.0862364550929584,nan,1.085709493019576,nan,1.0012738853503185,nan,1.001231347400699,nan
s R k,3,-10.022502160953774,nan,-11.673956484374882,nan,-11.806823330805537,nan,1.156462241592345,nan,1.1529014016365975,nan,1.0036048531530681,nan,1.0020434075896585,nan
b R s,3,-10.599389535397858,nan,-8.753183504445852,nan,-9.555648238740575,nan,1.146536821553597,nan,1.1433999353609376,nan,1.0078331829627933,nan,1.0036144994985352,nan
T ^ z,3,-12.372086233503676,nan,-inf,nan,-12.3792709955059,nan,1.1094167593408655,nan,1.1079561564741176,nan,1.0050955414012739,nan,1.0024892090359192,nan
S c G,3,-13.194931227576955,nan,-inf,nan,-12.742024516076635,nan,1.0636389020424966,nan,1.0640989096619535,nan,1.0012738853503185,nan,1.001231347400699,nan
J e J,3,-14.885892232855024,nan,-inf,nan,-15.652908393682747,nan,1.0562998219567692,nan,1.0572054907512605,nan,1,1,1.0008120601889592,1.0
D ^ z,3,-11.678939052943731,nan,-8.506816520636514,nan,-9.705335225271234,nan,1.118572405322554,nan,1.1167538104330619,nan,1.0082667887585677,nan,1.0036675279675769,nan
S Y p,3,-12.459070351767105,nan,-12.75636871088009,nan,-13.125934620622969,nan,1.0791153971072007,nan,1.0788668732737305,nan,1.0012738853503185,nan,1.001231347400699,nan
n W C,3,-12.416747004331096,nan,-13.000431700967154,nan,-13.503186572935556,nan,1.0606353155198411,nan,1.0613493701657022,nan,1.0023309678027497,nan,1.0016241203779184,nan
l W C,3,-12.601244840547647,nan,-12.558104755448504,nan,-13.103629901513559,nan,1.0708082554994953,nan,1.0711245412311958,nan,1.0023309678027497,nan,1.0016241203779184,nan
S c d,3,-12.226194020330256,nan,-inf,nan,-14.068355412428968,nan,1.1005815772017322,nan,1.0992504248134687,nan,1,1,1.0008120601889592,1.0
g i J,3,-12.66367397413194,nan,-inf,nan,-13.66043110287275,nan,1.083806548356301,nan,1.0836351343045054,nan,1,1,1.0008120601889592,1.0
C u T,3,-13.590826884668967,nan,-13.070329959568916,nan,-13.956054107848164,nan,1.0603470701197228,nan,1.0610933915481453,nan,1.0010570824524312,nan,1.0012048331661785,nan
D i g,3,-11.459701169806005,nan,-14.225741522086926,nan,-14.186371038303008,nan,1.090194117930787,nan,1.0896175389965874,nan,1.0023309678027497,nan,1.0016241203779184,nan
w u T,3,-12.690040339330778,nan,-12.803511344752046,nan,-13.284730643227835,nan,1.0918831840566505,nan,1.0913964218511756,nan,1.0010570824524312,nan,1.0012048331661785,nan
T c T,3,-14.412806937071881,nan,-inf,nan,-14.428323655071551,nan,1.0424960337917886,nan,1.0439620572670367,nan,1.0010570824524312,nan,1.0012048331661785,nan
g u T,3,-12.659268680664024,nan,-inf,nan,-14.391400500096115,nan,1.0766237740871694,nan,1.0767336652529351,nan,1,1,1.0008120601889592,1.0
f R s,3,-10.91176422044001,nan,-inf,nan,-12.066634601311627,nan,1.122121765602427,nan,1.119939524803753,nan,1.002547770700637,nan,1.0016506346124392,nan
J Y m,3,-12.888926912999429,nan,-inf,nan,-14.25877697919154,nan,1.0826986046286966,nan,1.0821904314359985,nan,1.0012738853503185,nan,1.001231347400699,nan
n R z,3,-10.686965235378938,nan,-inf,nan,-13.096456059103636,nan,1.0905312231968183,nan,1.0898710986062945,nan,1,1,1.0008120601889592,1.0
m R n,3,-10.158897805178443,nan,-12.462435315715759,nan,-12.340397911815582,nan,1.1493593264294806,nan,1.145980580522228,nan,1.002547770700637,nan,1.0016506346124392,nan
C u S,3,-13.328462620201478,nan,-inf,nan,-14.519876492311555,nan,1.0654426115209967,nan,1.0659418763966302,nan,1.0010570824524312,nan,1.0012048331661785,nan
S e J,3,-14.112702344621542,nan,-11.860422419723168,nan,-13.471395321220541,nan,1.065455467938458,nan,1.0660031447102047,nan,1.0021141649048626,nan,1.0015976061433975,nan
T ^ S,3,-13.348096200079453,nan,-inf,nan,-15.515792351729992,nan,1.0877607083854515,nan,1.087350095868057,nan,1,1,1.0008120601889592,1.0
v e D,3,-12.701090175517361,nan,-inf,nan,-17.09038034295928,nan,1.0652170194089985,nan,1.065690339236109,nan,1,1,1.0008120601889592,1.0
C ^ S,3,-13.08573193561196,nan,-inf,nan,-15.386467555633436,nan,1.0908125903793477,nan,1.0902826471877052,nan,1,1,1.0008120601889592,1.0
n c T,3,-12.193603453016888,nan,-inf,nan,-15.356255961961192,nan,1.065893795744993,nan,1.066444950717672,nan,1,1,1.0008120601889592,1.0
s R p,3,-10.587268174865512,nan,-11.632438614227691,nan,-11.906821903321978,nan,1.1246151078343831,nan,1.1225983713335672,nan,1.0036048531530681,nan,1.0020434075896585,nan
D i D,3,-11.960476457718494,nan,-13.987330498641926,nan,-14.34982411079258,nan,1.0825508058288762,nan,1.0823448117238603,nan,1.0023309678027497,nan,1.0016241203779184,nan
S c g,3,-12.956520204131955,nan,-inf,nan,-13.27171862414701,nan,1.0598172459915411,nan,1.0604625460255899,nan,1.002547770700637,nan,1.0016506346124392,nan
C i S,3,-12.822042289903402,nan,-12.89465294549363,nan,-13.795957653084857,nan,1.073899271140447,nan,1.0740554666603217,nan,1.003388050255181,nan,1.0020168933551374,nan
g i D,3,-11.459701169806005,nan,-12.290881209218197,nan,-12.985976055324956,nan,1.0927237458085304,nan,1.092119982789354,nan,1.0012738853503185,nan,1.001231347400699,nan
T c S,3,-14.150442672604392,nan,-12.500561800169477,nan,-13.60585167841505,nan,1.0475915751930625,nan,1.0488105421155216,nan,1.0023309678027497,nan,1.0016241203779184,nan
z u T,3,-12.61481691809319,nan,-inf,nan,-15.773597694231935,nan,1.053226012133965,nan,1.0542507718022998,nan,1,1,1.0008120601889592,1.0
S Y m,3,-12.115737024765947,nan,-12.09952982202639,nan,-12.770411087289279,nan,1.0918542506103854,nan,1.0909880853949427,nan,1.0012738853503185,nan,1.001231347400699,nan
D ^ v,3,-12.447309654741264,nan,-8.530684002043156,nan,-10.094410059196536,nan,1.1032857811187324,nan,1.1022083558876075,nan,1.0057190180579307,nan,1.0028289535440968,nan
t W C,3,-12.138621318599533,nan,-12.034233286849213,nan,-12.79159880005149,nan,1.0860676654689765,nan,1.0857872978294363,nan,1.0023309678027497,nan,1.0016241203779184,nan
g Y b,3,-11.539633508294505,nan,-inf,nan,-15.188939023389775,nan,1.076027229467517,nan,1.0760907246911304,nan,1.0012738853503185,nan,1.001231347400699,nan
r c S,3,-12.058578610925998,nan,-12.425972943178405,nan,-13.1034357010451,nan,1.0689547491503362,nan,1.0693384013530582,nan,1.0012738853503185,nan,1.001231347400699,nan
d R s,3,-10.086127856833984,nan,-10.176400096434794,nan,-10.761495457860862,nan,1.1251736475963232,nan,1.122872076123401,nan,1.0046619356054995,nan,1.0024361805668776,nan
S c z,3,-12.912068441561122,nan,-inf,nan,-12.642590619088447,nan,1.0712822141444074,nan,1.0713716369346808,nan,1.0012738853503185,nan,1.001231347400699,nan
y c d,3,-11.572267552923591,nan,-inf,nan,-13.646283799183639,nan,1.1158409871712134,nan,1.1139131814117091,nan,1,1,1.0008120601889592,1.0
J u S,3,-14.10165250843496,nan,-inf,nan,-15.38408807514082,nan,1.0552696715413425,nan,1.0561667053311365,nan,1.0010570824524312,nan,1.0012048331661785,nan
h u S,3,-12.579225972990487,nan,-inf,nan,-13.290296859271843,nan,1.1000306074518207,nan,1.0991774580193086,nan,1.0021141649048626,nan,1.0015976061433975,nan
g u S,3,-12.396904416196534,nan,-inf,nan,-14.955222884559504,nan,1.0817193154884432,nan,1.08158215010142,nan,1,1,1.0008120601889592,1.0
y R z,3,-11.989877987559778,nan,-11.26060273106141,nan,-11.68612021435906,nan,1.084427459209026,nan,1.0840059959669983,nan,1.0010570824524312,nan,1.0012048331661785,nan
C e g,3,-12.407954252383117,nan,-12.024725471014444,nan,-12.85217640214801,nan,1.0830332714905635,nan,1.0827382375743297,nan,1.0042283298097252,nan,1.002383152097836,nan
z i J,3,-12.619222211561105,nan,-inf,nan,-16.98853844606388,nan,1.0604087864030967,nan,1.06115224085387,nan,1,1,1.0008120601889592,1.0
m u S,3,-11.824385223425203,nan,-inf,nan,-13.095396520271029,nan,1.1000306074518207,nan,1.0991774580193086,nan,1.0052854122621564,nan,1.0027759250750552,nan
D Y m,3,-11.684954108673493,nan,-inf,nan,-13.247849695022534,nan,1.0989753085961431,nan,1.0978307051407883,nan,1.0012738853503185,nan,1.001231347400699,nan
J e g,3,-13.181144140616599,nan,-inf,nan,-15.508147454205329,nan,1.0728603315109093,nan,1.072963066508836,nan,1,1,1.0008120601889592,1.0
f u v,3,-12.284575231222615,nan,-11.940465127396703,nan,-12.511361934435094,nan,1.0931752122298626,nan,1.092530341694773,nan,1.0036048531530681,nan,1.0020434075896585,nan
v R n,3,-11.455335837176472,nan,-12.26460957238584,nan,-12.934353973739379,nan,1.1045983905190024,nan,1.102969827834056,nan,1.002547770700637,nan,1.0016506346124392,nan
g i C,3,-11.890484085898459,nan,-11.860098293125741,nan,-12.595548824581332,nan,1.091449860458212,nan,1.0909078615772327,nan,1.0012738853503185,nan,1.001231347400699,nan
C i D,3,-12.391259373810948,nan,-13.22007534592826,nan,-14.091074704024155,nan,1.0764470418410839,nan,1.0764797090845641,nan,1.003388050255181,nan,1.0020168933551374,nan
C Y z,3,-12.643804454966443,nan,-inf,nan,-13.137811244785548,nan,1.0775849204045291,nan,1.0774201479560375,nan,1,1,1.0008120601889592,1.0
d c T,3,-12.488558284797747,nan,-inf,nan,-13.404287612974525,nan,1.0699629717368546,nan,1.0703550191438695,nan,1.0031712473572938,nan,1.0019903791206168,nan
y R v,3,-12.758248589357311,nan,-inf,nan,-13.530482280891203,nan,1.0691408350052043,nan,1.069460541421544,nan,1.0010570824524312,nan,1.0012048331661785,nan
z i g,3,-10.91447411932268,nan,-inf,nan,-16.150630326026516,nan,1.0769692959572368,nan,1.0769098166114457,nan,1.0012738853503185,nan,1.001231347400699,nan
S e g,3,-12.407954252383117,nan,-12.609659066934157,nan,-13.326634381743123,nan,1.0820159774925981,nan,1.0817607204677804,nan,1.0021141649048626,nan,1.0015976061433975,nan
C e D,3,-12.908729540295607,nan,-inf,nan,-14.11424176330569,nan,1.0753899593886527,nan,1.0754655103016026,nan,1.0042283298097252,nan,1.002383152097836,nan
n W T,3,-12.67911126879859,nan,-12.40159519987845,nan,-13.32235644072827,nan,1.0542658887682488,nan,1.055288764105096,nan,1.0023309678027497,nan,1.0016241203779184,nan
T ^ J,3,-14.121286088312935,nan,-inf,nan,-15.79221726965714,nan,1.0813912816338591,nan,1.081289489807451,nan,1,1,1.0008120601889592,1.0
T c g,3,-13.218884468599448,nan,-11.454957311615003,nan,-12.638903368196669,nan,1.0577826579956102,nan,1.0585075118124911,nan,1.0036048531530681,nan,1.0020434075896585,nan
n c G,3,-11.23809200798945,nan,-inf,nan,-13.037141567015935,nan,1.08500207599977,nan,1.0846267688994902,nan,1.0012738853503185,nan,1.001231347400699,nan
s R n,3,-9.791173025053125,nan,-11.833826656293386,nan,-11.921610857482122,nan,1.1666533243948927,nan,1.1625983713335672,nan,1.0036048531530681,nan,1.0020434075896585,nan
