word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-12.747833496484782,nan,-10.593351550429242,nan,-11.367651910995853,nan,1.1362777383446854,nan,1.1347245207134433,nan,1.0005627462014632,nan,1.0009152390506075,nan
b O r,3,-12.808274850638284,nan,-inf,nan,-12.442340766032842,nan,1.1155558132109955,nan,1.1145422290467768,nan,1.0005627462014632,nan,1.0009152390506075,nan
b O s,3,-12.783658223002927,nan,-10.557526823911097,nan,-11.335734308027549,nan,1.1115451180238298,nan,1.1106359790467768,nan,1.0012311953993243,nan,1.0012382364666284,nan
b U n,3,-11.323798807382046,nan,-inf,nan,-12.913374009043846,nan,1.1514718857841901,nan,1.1495841794916493,nan,1.0011254924029263,nan,1.0012113598679009,nan
b u r,3,-10.382791621321084,nan,-12.194371905446339,nan,-11.98505059006009,nan,1.1487578390973208,nan,1.1470133352658192,nan,1.0040449264066398,nan,1.0027188405530956,nan
b U s,3,-11.35962353390019,nan,-inf,nan,-12.881456406075541,nan,1.1267392654633346,nan,1.1254956378249827,nan,1.0011254924029263,nan,1.0012113598679009,nan
b W r,3,-11.246089823054728,nan,-inf,nan,-12.682620599590038,nan,1.1262479910387952,nan,1.1249990259647735,nan,1.0011254924029263,nan,1.0012113598679009,nan
C e D,3,-12.960229424954811,nan,-inf,nan,-15.436213118676024,nan,1.0662004519760206,nan,1.0664451545903366,nan,1.0022509848058525,nan,1.0018036015024878,nan
C i D,3,-12.354619245575309,nan,-14.050648764916634,nan,-14.564475728934985,nan,1.0735161525950416,nan,1.0735998051131763,nan,1.0023566878022505,nan,1.0018304781012153,nan
C O b,3,-14.590731927204025,nan,-inf,nan,-15.44083166202591,nan,1.0293420804491729,nan,1.0303766579842093,nan,1,1,1.000619118233314,1.0
C O g,3,-14.993294275654229,nan,-inf,nan,-15.038423725360296,nan,1.0313474280427557,nan,1.0323297829842093,nan,1,1,1.000619118233314,1.0
C O v,3,-15.48973116196812,nan,-inf,nan,-14.307231610736082,nan,1.0313474280427557,nan,1.0323297829842093,nan,1,1,1.000619118233314,1.0
C u D,3,-13.123088432673853,nan,-14.603935417800407,nan,-14.901213958375958,nan,1.0571965127526104,nan,1.0576394308699182,nan,1.0017939416007873,nan,1.0015343572839217,nan
C u S,3,-13.108050555309312,nan,-13.191856939524802,nan,-13.598329962072103,nan,1.0571965127526104,nan,1.0576394308699182,nan,1.002462390798648,nan,1.0018573546999423,nan
C u T,3,-13.649181528570633,nan,-12.691547960783739,nan,-13.43542649113525,nan,1.0525173683675837,nan,1.0530821392032517,nan,1.002462390798648,nan,1.0018573546999423,nan
D e C,3,-12.960229424954811,nan,-12.058744224417241,nan,-12.461758243569319,nan,1.073484116168369,nan,1.0735686881663886,nan,1.0028137310073157,nan,1.0020997223197814,nan
D e D,3,-12.759558729492658,nan,-inf,nan,-14.66015172811052,nan,1.072815666970508,nan,1.0729176464997219,nan,1.0028137310073157,nan,1.0020997223197814,nan
D e J,3,-13.285651825389438,nan,-11.563422787187214,nan,-12.383434044653484,nan,1.0661311749918982,nan,1.0664072298330554,nan,1.0034821802051768,nan,1.0024227197358022,nan
D e S,3,-12.744520852128119,nan,-inf,nan,-13.357267731806665,nan,1.072815666970508,nan,1.0729176464997219,nan,1.0028137310073157,nan,1.0020997223197814,nan
D i C,3,-12.354619245575307,nan,-13.645183656808468,nan,-13.787245431164497,nan,1.08079981678739,nan,1.0807233386892283,nan,1.0012311953993243,nan,1.0012382364666284,nan
D i D,3,-12.153948550113157,nan,-14.839106125280903,nan,-14.887026627037587,nan,1.080131367589529,nan,1.0800722970225616,nan,1.0012311953993243,nan,1.0012382364666284,nan
D i S,3,-12.138910672748615,nan,-14.343318378879452,nan,-14.277289811293679,nan,1.080131367589529,nan,1.0800722970225616,nan,1.0012311953993243,nan,1.0012382364666284,nan
D i T,3,-12.680041646009936,nan,-13.843009400138389,nan,-14.114386340356825,nan,1.0754522232045023,nan,1.075515005355895,nan,1.002568093795046,nan,1.0018842312986695,nan
d u r,3,-10.016857351969556,nan,-13.148909499606543,nan,-12.85186915346258,nan,1.1322198016111025,nan,1.1308321054923565,nan,1.0029194340037135,nan,1.0021265989185086,nan
D W C,3,-13.986386634407499,nan,-inf,nan,-13.52227068600516,nan,1.0419703288864333,nan,1.0427486551449245,nan,1.000668449197861,nan,1.0009421156493348,nan
D W D,3,-13.785715938945346,nan,-inf,nan,-16.126129278654524,nan,1.0413018796885722,nan,1.0420976134782578,nan,1,1,1.000619118233314,1.0
D W T,3,-14.311809034842126,nan,-inf,nan,-13.849411595197488,nan,1.0366227353035455,nan,1.0375403218115913,nan,1.000668449197861,nan,1.0009421156493348,nan
f U n,3,-11.779945401966355,nan,-inf,nan,-13.43616771062834,nan,1.1310749728845209,nan,1.129627329437712,nan,1.0005627462014632,nan,1.0009152390506075,nan
f u r,3,-10.838938215905394,nan,-14.514904018353334,nan,-13.807127275774844,nan,1.1283609261976515,nan,1.1270564852118818,nan,1.0012311953993243,nan,1.0012382364666284,nan
f U s,3,-11.8157701284845,nan,-inf,nan,-13.404250107660035,nan,1.1063423525636653,nan,1.1055387877710454,nan,1.0005627462014632,nan,1.0009152390506075,nan
f W r,3,-11.702236417639039,nan,-inf,nan,-13.898561481734475,nan,1.105851078139126,nan,1.1050421759108362,nan,1.0005627462014632,nan,1.0009152390506075,nan
f ^ r,3,-10.491832722982814,nan,-13.070250042047862,nan,-12.835375240914235,nan,1.1480570432488615,nan,1.146319005850297,nan,1.0040449264066398,nan,1.0027188405530956,nan
g U n,3,-11.72636115583225,nan,-inf,nan,-12.457939542220718,nan,1.1239084899738263,nan,1.1226154632025447,nan,1.0028137310073157,nan,1.0020997223197814,nan
g U S,3,-13.3535510137248,nan,-10.866914939429481,nan,-11.617064827160302,nan,1.0557266717920082,nan,1.0562092132025447,nan,1.0041506294030376,nan,1.0027457171518228,nan
