word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-10.635829630306343,nan,-10.265065440428371,nan,-10.624310596880228,nan,1.1359301361317145,nan,1.1346001363863434,nan,1.005317148200275,nan,1.0033375616709759,nan
b i l,3,-9.68972753904825,nan,-10.229898137822564,nan,-10.500553910370076,nan,1.165697689696111,nan,1.1636433875971246,nan,1.005965236340262,nan,1.0036557290270052,nan
b i s,3,-9.597068708565544,nan,-9.927042191050273,nan,-10.211303580832428,nan,1.1592168082962406,nan,1.157326268203568,nan,1.004669060060288,nan,1.0030193943149468,nan
b R s,3,-10.365723441633634,nan,-9.738205953235125,nan,-10.079483322168949,nan,1.1308789336368401,nan,1.129592934870235,nan,1.0045659310483666,nan,1.0029923477740559,nan
b Y s,3,-10.468907677868867,nan,-10.510490454353794,nan,-10.781770308196009,nan,1.136328524917494,nan,1.1349262682035681,nan,1.004020971920301,nan,1.0027012269589175,nan
b ^ l,3,-10.118182165381112,nan,-11.18773787260959,nan,-11.315152957899944,nan,1.166787607952242,nan,1.1647100542637914,nan,1.0062008084325627,nan,1.0038657102194708,nan
C @ l,3,-11.361410919562882,nan,-13.009234263468764,nan,-12.997982335936614,nan,1.1158781782962182,nan,1.114869050079691,nan,1.0011930472680524,nan,1.0012185763423351,nan
C i D,3,-12.267520125029069,nan,-13.982024496774931,nan,-14.464693322394174,nan,1.0750041246020274,nan,1.0750556999007057,nan,1.0022829655241832,nan,1.0018008179726117,nan
C i n,3,-10.632692978590148,nan,-11.515126973694128,nan,-11.88826380404261,nan,1.1449976437206275,nan,1.1432805893511164,nan,1.0074676706440795,nan,1.0043461568208458,nan
C R J,3,-13.57109803344221,nan,-inf,nan,-14.697308561810402,nan,1.0408334566827435,nan,1.0416369591131718,nan,1.0005449591280653,nan,1.0009004089863058,nan
C R g,3,-12.497178357364472,nan,-inf,nan,-14.901990050284876,nan,1.0537952194824842,nan,1.0542711979002848,nan,1.0005449591280653,nan,1.0009004089863058,nan
C R T,3,-13.595790646032583,nan,-12.65375397577142,nan,-13.350037402486247,nan,1.0421296329627177,nan,1.042900382991883,nan,1.0005449591280653,nan,1.0009004089863058,nan
C ^ J,3,-13.230897926706982,nan,-inf,nan,-16.360922208346526,nan,1.0702612495982748,nan,1.0704369591131717,nan,1,1,1.0006092881711677,1.0
C ^ n,3,-11.061147604923011,nan,-inf,nan,-12.392707923268638,nan,1.1460875619767583,nan,1.1443472560177832,nan,1.0097213220998056,nan,1.0053817985116067,nan
C ^ S,3,-12.71036348881403,nan,-inf,nan,-14.644234656681807,nan,1.0760940428581582,nan,1.0761223665673725,nan,1.0012961762799741,nan,1.0012456228832263,nan
C ^ C,3,-12.86693254950557,nan,-inf,nan,-14.290689605752,nan,1.0780383072781192,nan,1.0780175023854395,nan,1.0019442644199612,nan,1.0015637902392556,nan
d i k,3,-9.429334120303473,nan,-10.527715864421262,nan,-10.775199929265543,nan,1.147841684356308,nan,1.1461665745970744,nan,1.005965236340262,nan,1.0036557290270052,nan
d i s,3,-9.266294493058968,nan,-10.341198015495898,nan,-10.58208959742008,nan,1.1426569792364116,nan,1.1411128790822291,nan,1.004669060060288,nan,1.0030193943149468,nan
d i t,3,-9.068847007478386,nan,-9.701758791989594,nan,-9.963463175415743,nan,1.1763575625157376,nan,1.1739618999287231,nan,1.0079095007602232,nan,1.004610231095093,nan
d E p,3,-10.494973318485659,nan,-12.412740654391362,nan,-12.500647849862453,nan,1.1182803888157546,nan,1.1173200805983377,nan,1.003034182676092,nan,1.002146031869532,nan
d R s,3,-10.034949226127061,nan,-10.681205906949419,nan,-10.945346605554452,nan,1.114319104577011,nan,1.113379545748896,nan,1.0029310536641702,nan,1.002118985328641,nan
D i D,3,-12.09656232688543,nan,-14.813339652655525,nan,-14.840987053202058,nan,1.0808801929780958,nan,1.0808088379760195,nan,1.0011930472680524,nan,1.0012185763423351,nan
D i g,3,-11.557565826152743,nan,-15.107213695355224,nan,-14.828015395968757,nan,1.088009162517953,nan,1.0877576693089317,nan,1.0018411354080394,nan,1.0015367436983644,nan
D i C,3,-12.267520125029069,nan,-13.795083994124681,nan,-13.874857144882077,nan,1.0828244573980568,nan,1.0827039737940864,nan,1.0011930472680524,nan,1.0012185763423351,nan
d I J,3,-11.369672698215194,nan,-11.590227027832398,nan,-12.204822747113441,nan,1.117689869268039,nan,1.116864574175933,nan,1.0059945504087193,nan,1.0038116171376887,nan
d I D,3,-10.834749522870144,nan,-13.260130136016432,nan,-13.492917304522628,nan,1.1235226625279224,nan,1.1225499816301339,nan,1.0066426385487064,nan,1.004129784493718,nan
d Y p,3,-10.598157554720888,nan,-12.30955641815613,nan,-12.420175496639882,nan,1.1035664923579889,nan,1.102920080598338,nan,1.0042272299441442,nan,1.0027553200406993,nan
d Y t,3,-9.940685976781708,nan,-10.61581417246193,nan,-10.787514479594769,nan,1.153469279136991,nan,1.1515618999287232,nan,1.0087638469240534,nan,1.0049824915329044,nan
d I T,3,-11.394365310805565,nan,-12.007367167521066,nan,-12.466989500223384,nan,1.1189860455480132,nan,1.1181279980546444,nan,1.0059945504087193,nan,1.0038116171376887,nan
d I Z,3,-14.390097584359557,nan,-inf,nan,-15.87679172907906,nan,1.1131532522881298,nan,1.1124425906004436,nan,1.0059945504087193,nan,1.0038116171376887,nan
f i k,3,-10.194393882453705,nan,-10.99604279180326,nan,-11.2902330609063,nan,1.146773308287932,nan,1.1451205494924719,nan,1.0048753180841312,nan,1.0030734873967286,nan
f i s,3,-10.031354255209202,nan,-10.809524942877896,nan,-11.097122729060835,nan,1.1415886031680356,nan,1.1400668539776266,nan,1.0035791418041573,nan,1.0024371526846703,nan
f R s,3,-10.800008988277291,nan,-11.650308122243906,nan,-11.74806180964699,nan,1.113250728508635,nan,1.1123335206442935,nan,1.002386094536105,nan,1.0018278645135028,nan
f R t,3,-10.602561502696709,nan,-10.935361346229458,nan,-11.082915372007761,nan,1.146951311787961,nan,1.1451825414907875,nan,1.0062746233760271,nan,1.0037368686496784,nan
f Y k,3,-11.066232851757025,nan,-9.635851054586007,nan,-10.127780819064759,nan,1.1238850249091852,nan,1.122720549492472,nan,1.0071582836083146,nan,1.0042650171981728,nan
f ^ l,3,-10.552467712024768,nan,-11.510604836501793,nan,-11.692747264062415,nan,1.1491594028240368,nan,1.14745064003785,nan,1.0051108901764318,nan,1.0032834685891943,nan
g e s,3,-10.553406941568976,nan,-10.6209638650012,nan,-10.958633934229592,nan,1.122174725341351,nan,1.1210629488172361,nan,1.004330358956066,nan,1.0027823665815905,nan
g W d,3,-12.009550949895798,nan,-inf,nan,-12.600392081462875,nan,1.0911120550416236,nan,1.0906629488172361,nan,1.0012961762799741,nan,1.0012456228832263,nan
g W r,3,-11.720848989543272,nan,-inf,nan,-14.8871888566504,nan,1.099537200861455,nan,1.0988752040288596,nan,1,1,1.0006092881711677,1.0
g W z,3,-12.410942732616327,nan,-inf,nan,-13.939210403930508,nan,1.0729655871219865,nan,1.0729750145152779,nan,1,1,1.0006092881711677,1.0
g i C,3,-11.72852362429638,nan,-11.950956539379312,nan,-12.434352552123416,nan,1.0919056539792533,nan,1.0915951871832077,nan,1.0011930472680524,nan,1.0012185763423351,nan
g i J,3,-12.092489001497793,nan,-12.68560345084601,nan,-13.182829314735622,nan,1.084128596299409,nan,1.08401464391094,nan,1.0011930472680524,nan,1.0012185763423351,nan
g i D,3,-11.557565826152743,nan,-12.969212197910153,nan,-13.400482460443397,nan,1.0899613895592923,nan,1.0897000513651407,nan,1.0011930472680524,nan,1.0012185763423351,nan
g R g,3,-11.787224058488146,nan,-inf,nan,-13.614635637019889,nan,1.0687524844397491,nan,1.0689155493647198,nan,1.0010899182561308,nan,1.0011915298014442,nan
g u v,3,-12.32119121081583,nan,-inf,nan,-14.104723317560223,nan,1.0817283745013968,nan,1.0816171707586975,nan,1.0012961762799741,nan,1.0012456228832263,nan
h e s,3,-10.797603902081018,nan,-10.428060198876706,nan,-10.735984332048664,nan,1.1371319902986161,nan,1.1357073002816713,nan,1.0048753180841312,nan,1.0030734873967286,nan
h e n,3,-10.740281620973189,nan,-10.507855335836593,nan,-10.80329847534482,nan,1.1656478684580458,nan,1.16350262561332,nan,1.0042272299441442,nan,1.0027553200406993,nan
h i n,3,-10.166935640225864,nan,-9.547270956657963,nan,-9.972794680488533,nan,1.1749121736351575,nan,1.1725692922799866,nan,1.009647507156341,nan,1.0055106400813991,nan
h Y s,3,-11.096096890637014,nan,-11.410501055782774,nan,-11.55929208109328,nan,1.1235080120969811,nan,1.122373966948338,nan,1.0018411354080394,nan,1.0015367436983644,nan
h ^ s,3,-10.652712547666557,nan,-10.062125929525177,nan,-10.463650055774568,nan,1.1474862137318587,nan,1.1458406336150047,nan,1.0067164534921709,nan,1.0040009429239256,nan
J R T,3,-13.959756023233993,nan,-inf,nan,-14.692031504709558,nan,1.0405270688601536,nan,1.041331345334979,nan,1,1,1.0006092881711677,1.0
J ^ n,3,-11.425112982124423,nan,-11.44975570239548,nan,-11.655260483812114,nan,1.1444849978741942,nan,1.1427782183608792,nan,1.0102662812278709,nan,1.0056729193267449,nan
k e d,3,-10.002680101050798,nan,-9.82695253729331,nan,-10.146529319524708,nan,1.150486691153317,nan,1.1487826140892028,nan,1.0051108901764318,nan,1.0032834685891943,nan
k R m,3,-10.319349710375832,nan,-12.22444468361649,nan,-12.292739376652634,nan,1.1242841521311708,nan,1.123167116089624,nan,1.0017380063961179,nan,1.0015096971574735,nan
l e l,3,-9.70021623793598,nan,-10.969126970983172,nan,-11.204421419574896,nan,1.1404077434933584,nan,1.1388863443614203,nan,1.005965236340262,nan,1.0036557290270052,nan
m @ b,3,-10.621908291787737,nan,-12.767554093947078,nan,-12.816417907563592,nan,1.10881637173668,nan,1.1081296880823182,nan,1.0062008084325627,nan,1.0038657102194708,nan
