word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-12.818494930579925,nan,-12.235562051578116,nan,-12.661130616811253,nan,1.079523220080297,nan,1.0795087345708834,nan,1.0021195197463484,nan,1.0017171311759117,nan
g i T,3,-12.114947976278598,nan,-12.105604467624573,nan,-12.6522959647451,nan,1.0854595520176396,nan,1.085329996014344,nan,1.0022144942842595,nan,1.001744994213313,nan
z i T,3,-11.773198682556542,nan,-13.136046591557195,nan,-13.603823894383986,nan,1.0707745685974597,nan,1.070918094573154,nan,1.0031792796195225,nan,1.0022895082345489,nan
y c g,3,-12.701293794697854,nan,-12.994189083041842,nan,-13.07507977011565,nan,1.0604753062641787,nan,1.0607742702649408,nan,1.0016371270787168,nan,1.0014448741652937,nan
l R z,3,-10.45182976461426,nan,-10.919944818691587,nan,-11.157767648680903,nan,1.0995023597611244,nan,1.0989983435299526,nan,1.002696886951891,nan,1.002017251223931,nan
J Y p,3,-12.160405352342066,nan,-13.36914977837935,nan,-13.388906787048455,nan,1.078443702073947,nan,1.078336407288643,nan,1.0027918614898024,nan,1.0020451142613322,nan
C ^ z,3,-11.849224694114875,nan,-inf,nan,-12.899946480617409,nan,1.1009100048736824,nan,1.1003712617931318,nan,1.004041570438799,nan,1.0026732173947717,nan
C e J,3,-13.22487121727892,nan,-12.355542330675986,nan,-13.029390578082396,nan,1.0575773845456777,nan,1.0579746286749205,nan,1.0030843050816112,nan,1.0022616451971478,nan
z i S,3,-11.228897129594161,nan,-13.749341016006525,nan,-13.895416804827764,nan,1.0748161390362587,nan,1.0748684331736056,nan,1.002024545208437,nan,1.0016892681385103,nan
z u v,3,-11.93488013869337,nan,-14.556404073666355,nan,-14.33812581053727,nan,1.066600423730374,nan,1.0667872117976027,nan,1.0011547344110854,nan,1.0011726171546755,nan
D Y p,3,-11.877279096426145,nan,-12.55366374562716,nan,-12.764425627179936,nan,1.0836545026423978,nan,1.083450307800033,nan,1.0027918614898024,nan,1.0020451142613322,nan
s R k,3,-9.790993399838436,nan,-11.492951401804236,nan,-11.60430846168639,nan,1.1511823314917382,nan,1.149632307679128,nan,1.0036616722871539,nan,1.002561765245167,nan
b R s,3,-10.282922389713137,nan,-9.566872029632009,nan,-9.88265277004916,nan,1.1318784104272166,nan,1.1307057335517074,nan,1.0055912429576797,nan,1.003650793287639,nan
T ^ z,3,-12.203769711795783,nan,-11.970262716472496,nan,-12.135536280035973,nan,1.099488877445923,nan,1.0989765616536618,nan,1.0045239631064304,nan,1.0029454744053898,nan
S c G,3,-13.027815700465899,nan,-inf,nan,-12.74432259085659,nan,1.060889938516004,nan,1.061172006422096,nan,1.001732101616628,nan,1.0014727372026948,nan
J e J,3,-13.422230651437413,nan,-13.118925390962483,nan,-13.647314337404751,nan,1.0571036754030914,nan,1.0575097286284305,nan,1.0016371270787168,nan,1.0014448741652937,nan
D ^ z,3,-11.763457872357451,nan,-8.690923443130139,nan,-9.347610469597987,nan,1.1056470962995468,nan,1.1050202622580318,nan,1.0074183191122192,nan,1.004579016469098,nan
