word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-12.56957389834389,nan,-9.866476241985188,nan,-10.819142516339513,nan,1.1351245156929612,nan,1.133669795115012,nan,1.0011667953540209,nan,1.001204535939228,nan
b O r,3,-12.671645429126258,nan,-inf,nan,-12.34956874281254,nan,1.1173241342562161,nan,1.1163108366525198,nan,1.0005310674455656,nan,1.0008893767838545,nan
b O s,3,-12.677633470970882,nan,-10.553613104272312,nan,-11.229093806217856,nan,1.1058810319040229,nan,1.1051515062123463,nan,1.0011667953540209,nan,1.001204535939228,nan
b U n,3,-11.29911135274912,nan,-inf,nan,-12.682814567157855,nan,1.1505254716143634,nan,1.1487503983391412,nan,1.0010621348911313,nan,1.0011764855980951,nan
b u r,3,-10.34436772354184,nan,-12.301620633152591,nan,-12.060911536202553,nan,1.1529056531091106,nan,1.1511522303082662,nan,1.0043532000274142,nan,1.0029271888246718,nan
b U s,3,-11.40717092537611,nan,-inf,nan,-12.687300748928035,nan,1.121281987825425,nan,1.1202321094364753,nan,1.0010621348911313,nan,1.0011764855980951,nan
b W r,3,-11.254579409339613,nan,-11.486719127159143,nan,-11.698412463977832,nan,1.1274144157219623,nan,1.1261912318683285,nan,1.0016978627995865,nan,1.0014916447534687,nan
C e D,3,-12.801025918464452,nan,-inf,nan,-15.567203996859131,nan,1.0651820508680856,nan,1.0654398808435794,nan,1.0021242697822623,nan,1.0017507032265764,nan
C i D,3,-12.26115260925823,nan,-14.222967281489163,nan,-14.643853773272017,nan,1.0720859276604382,nan,1.072200151254396,nan,1.002228930245152,nan,1.0017787535677094,nan
C O b,3,-14.342641234559792,nan,-inf,nan,-15.293928539593626,nan,1.0343568436319286,nan,1.0352177420138229,nan,1,1,1.000602267969614,1.0
C O g,3,-14.781442762935548,nan,-inf,nan,-15.0689697256152,nan,1.031813931998108,nan,1.0327378908048954,nan,1,1,1.000602267969614,1.0
C O v,3,-15.289447510359897,nan,-inf,nan,-14.370257700421847,nan,1.0299067482727424,nan,1.0308780023981998,nan,1,1,1.000602267969614,1.0
C u D,3,-12.94818356280074,nan,-14.452227059820808,nan,-14.7546490849158,nan,1.0604024438579953,nan,1.0607596936360912,nan,1.0016978627995865,nan,1.0014916447534687,nan
C u S,3,-12.990743177219535,nan,-12.617907976173958,nan,-13.167093883731209,nan,1.059130988041085,nan,1.0595197680316275,nan,1.0029693186164967,nan,1.0021219630642155,nan
C u T,3,-13.535970227702858,nan,-12.129839339530585,nan,-12.966423188269058,nan,1.0559523484988091,nan,1.0564199540204682,nan,1.0023335907080417,nan,1.0018068039088421,nan
D e C,3,-12.801025918464452,nan,-11.557132414968214,nan,-12.13973147339518,nan,1.0733359810796563,nan,1.0734190961243189,nan,1.002655337227828,nan,1.0020378120408169,nan
D e D,3,-12.66749452583993,nan,-inf,nan,-14.80941773706409,nan,1.0714287973542906,nan,1.0715592077176233,nan,1.002655337227828,nan,1.0020378120408169,nan
D e J,3,-13.159971010937724,nan,-11.485869394946723,nan,-12.311708240537707,nan,1.065071518269739,nan,1.0653595796953046,nan,1.0039267930447384,nan,1.0026681303515639,nan
D e S,3,-12.710054140258725,nan,-inf,nan,-13.509544608331279,nan,1.0701573415373804,nan,1.0703192821131595,nan,1.002655337227828,nan,1.0020378120408169,nan
D i C,3,-12.26115260925823,nan,-13.770982157746108,nan,-13.81907093525245,nan,1.080239857872009,nan,1.0801793665351354,nan,1.0011667953540209,nan,1.001204535939228,nan
D i D,3,-12.127621216633708,nan,-15.00312583903874,nan,-14.984679802145084,nan,1.0783326741466432,nan,1.0783194781284398,nan,1.0011667953540209,nan,1.001204535939228,nan
D i S,3,-12.170180831052503,nan,-14.49056259537421,nan,-14.377953853972219,nan,1.077061218329733,nan,1.077079552523976,nan,1.0011667953540209,nan,1.001204535939228,nan
D i T,3,-12.715407881535828,nan,-14.290176031182616,nan,-14.400426709824277,nan,1.073882578787457,nan,1.0739797385128167,nan,1.001802523262476,nan,1.0015196950946015,nan
d u r,3,-9.989333469060568,nan,-13.286164042389489,nan,-12.954859273922123,nan,1.138850473515149,nan,1.1373837448416677,nan,1.0027599976907176,nan,1.00206586238195,nan
D W C,3,-13.858395248598512,nan,-inf,nan,-13.567367174671512,nan,1.0430651366824177,nan,1.043777910476893,nan,1.0006357279084552,nan,1.0009174271249877,nan
D W D,3,-13.72486385597399,nan,-inf,nan,-16.237053438340425,nan,1.041157952957052,nan,1.0419180220701973,nan,1,1,1.000602267969614,1.0
D W T,3,-14.312650520876108,nan,-inf,nan,-13.86104087679156,nan,1.0367078575978659,nan,1.0375782824545743,nan,1.0006357279084552,nan,1.0009174271249877,nan
f U n,3,-11.704576460857284,nan,-inf,nan,-13.434543467904435,nan,1.133867480984483,nan,1.132432193341691,nan,1.0005310674455656,nan,1.0008893767838545,nan
f u r,3,-10.749832831650004,nan,-13.981917629526853,nan,-13.505787617509078,nan,1.1362476624792304,nan,1.134834025310816,nan,1.0016978627995865,nan,1.0014916447534687,nan
f U s,3,-11.812636033484274,nan,-inf,nan,-13.439029649674614,nan,1.1046239971955447,nan,1.1039139044390252,nan,1.0005310674455656,nan,1.0008893767838545,nan
f W r,3,-11.660044517447776,nan,-13.071705943729079,nan,-12.855606472832577,nan,1.110756425092082,nan,1.1098730268708783,nan,1.0011667953540209,nan,1.001204535939228,nan
f ^ r,3,-10.45607171312184,nan,-13.022915779559648,nan,-12.766468792681636,nan,1.1516486184006323,nan,1.1499146285349449,nan,1.0043532000274142,nan,1.0029271888246718,nan
g U n,3,-11.737912881124876,nan,-inf,nan,-12.435137829319773,nan,1.1250179234623592,nan,1.1237631469367955,nan,1.002655337227828,nan,1.0020378120408169,nan
g U S,3,-13.420008439135051,nan,-10.994239360948656,nan,-11.702381510664782,nan,1.0550878535322892,nan,1.0555672386912902,nan,1.0032910651362832,nan,1.0023529711961905,nan
g U T,3,-13.965235489618376,nan,-inf,nan,-12.823466655184951,nan,1.0519092139900132,nan,1.0524674246801309,nan,1.002655337227828,nan,1.0020378120408169,nan
g W C,3,-13.364376743148902,nan,-inf,nan,-13.46495216924344,nan,1.0529558186189092,nan,1.053466844694129,nan,1.0006357279084552,nan,1.0009174271249877,nan
g W D,3,-13.23084535052438,nan,-inf,nan,-16.134638432912354,nan,1.0510486348935435,nan,1.0516069562874335,nan,1,1,1.000602267969614,1.0
g W T,3,-13.818632015426498,nan,-inf,nan,-13.758625871363488,nan,1.0465985395343573,nan,1.0472672166718104,nan,1.0006357279084552,nan,1.0009174271249877,nan
g ^ r,3,-10.489408133389432,nan,-13.6089143819291,nan,-13.307508195044125,nan,1.1427990608785084,nan,1.1412455821300493,nan,1.0027599976907176,nan,1.00206586238195,nan
h U n,3,-11.975998012437284,nan,-inf,nan,-13.169640195561632,nan,1.1364702920204017,nan,1.1349819128725427,nan,1.0005310674455656,nan,1.0008893767838545,nan
h u r,3,-11.021254383230005,nan,-13.640537489339941,nan,-13.240884345166275,nan,1.138850473515149,nan,1.1373837448416677,nan,1.0016978627995865,nan,1.0014916447534687,nan
h U s,3,-12.084057585064276,nan,-inf,nan,-13.174126377331811,nan,1.1072268082314634,nan,1.1064636239698769,nan,1.0005310674455656,nan,1.0008893767838545,nan
h W r,3,-11.931466069027778,nan,-10.784415654486855,nan,-11.204408839369883,nan,1.1133592361280007,nan,1.11242274640173,nan,1.0043532000274142,nan,1.0029271888246718,nan
J O b,3,-14.701586327033063,nan,-inf,nan,-14.040096623909353,nan,1.0338362814247448,nan,1.0347077981076527,nan,1.0005310674455656,nan,1.0008893767838545,nan
