word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-10.92073630578026,nan,-9.752978359440785,nan,-11.062104227141173,nan,1.1359644391588541,nan,1.1297830031684544,nan,1.0095832451872222,nan,1.0027286177803516,nan
b i l,3,-9.791459190345503,nan,-11.980867763543651,nan,-12.337856713861242,nan,1.1650949659200136,nan,1.155639688016687,nan,1.0065157605246455,nan,1.0021871992638383,nan
b i s,3,-9.547005852444542,nan,-11.08018879714161,nan,-11.663171596141032,nan,1.1857846210924272,nan,1.1738767700835564,nan,1.0030674846625767,nan,1.0016350181484324,nan
b R s,3,-10.645618141112651,nan,-9.9815765084735,nan,-11.072073669935259,nan,1.1244349278408934,nan,1.1190822495356112,nan,1.0034482758620689,nan,1.0016457807473251,nan
b Y s,3,-10.13479251734666,nan,-8.88296421980539,nan,-10.106059502708673,nan,1.1643122284543903,nan,1.1546986878917755,nan,1.0157182145123755,nan,1.003811454813378,nan
b ^ l,3,-9.755091546174627,nan,-11.10094467584037,nan,-11.669200553309592,nan,1.2264446591715472,nan,1.2104342085646322,nan,1.0061349693251533,nan,1.0021764366649457,nan
C @ l,3,-12.427374523418207,nan,-inf,nan,-13.597588351672703,nan,1.098706491556079,nan,1.096242133148518,nan,1,1,1.0010935996319192,1.0
C i D,3,-12.057030435592068,nan,-12.172032291118391,nan,-13.814453733054833,nan,1.1071473631448245,nan,1.1038617359298812,nan,1.0065157605246455,nan,1.0021871992638383,nan
C i n,3,-11.243519572782247,nan,-10.921849969216513,nan,-12.546307437710364,nan,1.1864577079724108,nan,1.1737705505195468,nan,1.0065157605246455,nan,1.0021871992638383,nan
C R J,3,-15.307404927519638,nan,-inf,nan,-16.417840178593103,nan,1.018211462996739,nan,1.0247511059594436,nan,1,1,1.0010935996319192,1.0
C R g,3,-13.305924927309515,nan,-inf,nan,-15.568688749556575,nan,1.0389011181691528,nan,1.0429881880263128,nan,1,1,1.0010935996319192,1.0
C R T,3,-14.43193619016574,nan,-inf,nan,-15.869274226844263,nan,1.018211462996739,nan,1.0247511059594436,nan,1,1,1.0010935996319192,1.0
C ^ J,3,-14.172424994680654,nan,-inf,nan,-17.03342912480717,nan,1.1409108494998064,nan,1.134340147055334,nan,1,1,1.0010935996319192,1.0
C ^ n,3,-11.207151928611372,nan,-inf,nan,-12.28311638526688,nan,1.2478074012239444,nan,1.228565071067492,nan,1.0206896551724138,nan,1.0044066863243544,nan
C ^ S,3,-12.948649563058538,nan,-inf,nan,-15.660379990437303,nan,1.1478074012239443,nan,1.140419174410957,nan,1,1,1.0010935996319192,1.0
C ^ C,3,-13.702421365434919,nan,-inf,nan,-17.097967645944745,nan,1.1478074012239443,nan,1.140419174410957,nan,1,1,1.0010935996319192,1.0
d i k,3,-9.460604946028512,nan,-11.162054548392245,nan,-11.843380228096782,nan,1.195798082830027,nan,1.182415188882785,nan,1.0034482758620689,nan,1.0016457807473251,nan
d i s,3,-9.216151608127552,nan,-11.148678776991106,nan,-11.756481775278692,nan,1.1647636000714061,nan,1.1550595657824811,nan,1,1,1.0010935996319192,1.0
d i t,3,-8.916493344629055,nan,-9.885419143690395,nan,-10.649324860428191,nan,1.2164877380024408,nan,1.2006522709496543,nan,1.006896551724138,nan,1.0021979618627308,nan
d E p,3,-10.64545191261808,nan,-inf,nan,-14.12482937151545,nan,1.1302808414507166,nan,1.1246644290043655,nan,1,1,1.0010935996319192,1.0
d R s,3,-10.314763896795663,nan,-9.490450700387575,nan,-10.69538021982718,nan,1.1034139068198723,nan,1.100265045234536,nan,1.0034482758620689,nan,1.0016457807473251,nan
D i D,3,-10.37527186157834,nan,-11.694306615778743,nan,-12.452550825059102,nan,1.1762164322138937,nan,1.1656896929191285,nan,1.0065157605246455,nan,1.0021871992638383,nan
D i g,3,-10.525554064627679,nan,-11.138559304621243,nan,-12.08983356666441,nan,1.1693198804897558,nan,1.1596106655635052,nan,1.0065157605246455,nan,1.0021871992638383,nan
D i C,3,-12.057030435592068,nan,-inf,nan,-13.919814248712662,nan,1.1555267770414799,nan,1.1474526108522591,nan,1.0065157605246455,nan,1.0021871992638383,nan
d I J,3,-11.845292479659106,nan,-inf,nan,-14.772784557884021,nan,1.1095911862783028,nan,1.1064273469374963,nan,1.0061349693251533,nan,1.0021764366649457,nan
d I D,3,-9.693530276399644,nan,-11.27743591228933,nan,-12.166086851042099,nan,1.1371773931748546,nan,1.1307434563599887,nan,1.0095832451872222,nan,1.0027286177803516,nan
d Y p,3,-10.394137484337175,nan,-12.656270246031637,nan,-13.151380225801347,nan,1.1088084488126797,nan,1.1054863468125846,nan,1.0065157605246455,nan,1.0021871992638383,nan
d Y t,3,-9.504280009531175,nan,-10.213923210662433,nan,-10.989332751881712,nan,1.195015345364404,nan,1.1814741887578735,nan,1.0099640363867146,nan,1.002739380379244,nan
d I T,3,-10.969823742305206,nan,-12.77373116862355,nan,-13.53107142557524,nan,1.1095911862783028,nan,1.1064273469374963,nan,1.0061349693251533,nan,1.0021764366649457,nan
d I Z,3,-inf,nan,-inf,nan,-inf,nan,1.1095911862783028,nan,1.1033878332596847,nan,1.0061349693251533,nan,1.0016242555495398,nan
f i k,3,-10.355988993083354,nan,-12.138472678238998,nan,-12.7260800155349,nan,1.180783067815012,nan,1.1689743286677312,nan,1.0034482758620689,nan,1.0016457807473251,nan
f i s,3,-10.111535655182394,nan,-12.12509690683786,nan,-12.639181562716809,nan,1.149748585056391,nan,1.1416187055674274,nan,1,1,1.0010935996319192,1.0
f R s,3,-11.210147943850503,nan,-inf,nan,-12.74123081707098,nan,1.0883988918048573,nan,1.0868241850194822,nan,1.0034482758620689,nan,1.0016457807473251,nan
f R t,3,-10.910489680352006,nan,-inf,nan,-12.327221082780426,nan,1.140123029735892,nan,1.1324168901866554,nan,1.0034482758620689,nan,1.0016457807473251,nan
f Y k,3,-10.943775657985475,nan,-10.857538832776932,nan,-11.862115102662484,nan,1.159310675176975,nan,1.1497962464759504,nan,1.0065157605246455,nan,1.0021871992638383,nan
f ^ l,3,-10.31962134891248,nan,-12.368996336850829,nan,-12.932892592337152,nan,1.190408623135511,nan,1.1781761440485032,nan,1,1,1.0010935996319192,1.0
g e s,3,-10.330537094472756,nan,-11.906095467547495,nan,-12.233425782281511,nan,1.1799075784055688,nan,1.168603533966308,nan,1.0034482758620689,nan,1.0016457807473251,nan
g W d,3,-11.933616808164366,nan,-inf,nan,-13.048421979611621,nan,1.122386952215596,nan,1.1171483147465886,nan,1,1,1.0010935996319192,1.0
g W r,3,-11.962190180608422,nan,-inf,nan,-13.435704768636596,nan,1.153421434974217,nan,1.1445039378468924,nan,1,1,1.0010935996319192,1.0
g W z,3,-12.669936160589518,nan,-inf,nan,-12.55198509329773,nan,1.0844559177328374,nan,1.0837136642906615,nan,1,1,1.0010935996319192,1.0
g i C,3,-12.207312638641405,nan,-inf,nan,-13.79657696095187,nan,1.1254967470114499,nan,1.1205708904221516,nan,1.0034482758620689,nan,1.0016457807473251,nan
g i J,3,-12.677316267887141,nan,-inf,nan,-14.425185620374243,nan,1.118600195287312,nan,1.1144918630665286,nan,1,1,1.0010935996319192,1.0
g i D,3,-10.525554064627679,nan,-11.336385047951161,nan,-12.329313537298312,nan,1.1461864021838637,nan,1.138807972489021,nan,1.0034482758620689,nan,1.0016457807473251,nan
g R g,3,-11.774448556345128,nan,-inf,nan,-14.594374177566042,nan,1.077940157208192,nan,1.0779344245854525,nan,1,1,1.0010935996319192,1.0
g u v,3,-12.219735158639963,nan,-inf,nan,-13.723739636999605,nan,1.108995795033451,nan,1.1056314725098395,nan,1,1,1.0010935996319192,1.0
h e s,3,-10.80596079118783,nan,-11.258821513905762,nan,-11.870236157321585,nan,1.1889165874145777,nan,1.1766680500953401,nan,1.0065157605246455,nan,1.0021871992638383,nan
h e n,3,-10.650090420481046,nan,-10.768064719687494,nan,-11.617019382239963,nan,1.2406407253456122,nan,1.2222607552625133,nan,1.0099640363867146,nan,1.002739380379244,nan
h i n,3,-10.187466898532934,nan,-8.87931298447213,nan,-10.227973987748182,nan,1.2345057560204589,nan,1.2167813032077188,nan,1.0187856991749522,nan,1.0043528733298914,nan
h Y s,3,-10.931123934141837,nan,-9.747364009831864,nan,-10.885737175420898,nan,1.1613092254513875,nan,1.1520105158487648,nan,1.0065157605246455,nan,1.0021871992638383,nan
h ^ s,3,-10.306969625068843,nan,-8.867440922128583,nan,-10.23374806735446,nan,1.2441313113409578,nan,1.2259831185884908,nan,1.023376348635498,nan,1.004937342241975,nan
J R T,3,-14.901939819411476,nan,-inf,nan,-15.581592154392483,nan,1.021214465999742,nan,1.0274392780024544,nan,1,1,1.0010935996319192,1.0
J ^ n,3,-11.677155557857109,nan,-8.591093999255772,nan,-10.896822024146989,nan,1.2508104042269474,nan,1.2312532431105028,nan,1.0268246244975672,nan,1.0054895233573808,nan
k e d,3,-9.923228467976626,nan,-10.536912096946358,nan,-11.404298509189632,nan,1.1777951211206974,nan,1.1666180451928987,nan,1.0065157605246455,nan,1.0021871992638383,nan
k R m,3,-10.711023247564626,nan,-inf,nan,-13.983705854178524,nan,1.1172070102681482,nan,1.112423099945782,nan,1,1,1.0010935996319192,1.0
l e l,3,-10.011521075122305,nan,-11.712015714597417,nan,-12.244816682591456,nan,1.1532119172271489,nan,1.144990107813417,nan,1.0030674846625767,nan,1.0016350181484324,nan
m @ b,3,-10.638503838096042,nan,-inf,nan,-14.960547066012294,nan,1.121839969861971,nan,1.1170448262230024,nan,1.0065157605246455,nan,1.0021871992638383,nan
m e p,3,-10.420780354251173,nan,-inf,nan,-14.223791080024915,nan,1.13641581077587,nan,1.13014388105916,nan,1.0030674846625767,nan,1.0016350181484324,nan
m @ v,3,-11.574597197266378,nan,-10.628512672715228,nan,-12.059125471929546,nan,1.118391693999902,nan,1.1140053125451908,nan,1.0099640363867146,nan,1.002739380379244,nan
m @ z,3,-11.043968946204206,nan,-inf,nan,-12.311405617330411,nan,1.118391693999902,nan,1.1140053125451908,nan,1.0030674846625767,nan,1.0016350181484324,nan
m R n,3,-10.310699538956882,nan,-inf,nan,-13.931272698730591,nan,1.155138044750907,nan,1.1458577504017091,nan,1,1,1.0010935996319192,1.0
m R s,3,-10.466569909663667,nan,-inf,nan,-12.68041207703594,nan,1.1034139068198723,nan,1.100265045234536,nan,1.0034482758620689,nan,1.0016457807473251,nan
m Y d,3,-10.111905016652958,nan,-9.537305332053698,nan,-10.67309611677384,nan,1.1501877591575072,nan,1.1419605109463233,nan,1.0095832451872222,nan,1.0027286177803516,nan
m ^ b,3,-9.818604951896955,nan,-inf,nan,-14.589725349376446,nan,1.1985270864263882,nan,1.185537976907934,nan,1.013793103448276,nan,1.0033023240935426,nan
n e s,3,-9.366744028613597,nan,-12.145969694179955,nan,-12.464760799964223,nan,1.1648925633905538,nan,1.1551626737512541,nan,1.0034482758620689,nan,1.0016457807473251,nan
n e n,3,-9.210873657906813,nan,-11.655212899961688,nan,-12.211544024882599,nan,1.2166167013215883,nan,1.2007553789184273,nan,1.006896551724138,nan,1.0021979618627308,nan
n c d,3,-10.158893526088878,nan,-inf,nan,-14.226353078663816,nan,1.1165743911883113,nan,1.1119266326137265,nan,1,1,1.0010935996319192,1.0
n W d,3,-10.969823742305206,nan,-inf,nan,-13.279756997294331,nan,1.107371937200581,nan,1.1037074545315348,nan,1.0030674846625767,nan,1.0016350181484324,nan
n c G,3,-11.243519572782247,nan,-inf,nan,-14.322333125636208,nan,1.0682985291193459,nan,1.0693734411243647,nan,1,1,1.0010935996319192,1.0
n i n,3,-8.7482501359587,nan,-11.201545690035644,nan,-11.803327883402545,nan,1.210481731996435,nan,1.1952759268636328,nan,1.0095832451872222,nan,1.0027286177803516,nan
p e k,3,-10.357266948528846,nan,-inf,nan,-11.457416963785322,nan,1.2139450641671925,nan,1.1986473291096225,nan,1.0206896551724138,nan,1.0044066863243544,nan
p e m,3,-10.420780354251171,nan,-inf,nan,-12.740332970451377,nan,1.1967036848568475,nan,1.1834497607205647,nan,1,1,1.0010935996319192,1.0
p e p,3,-10.703012821935388,nan,-inf,nan,-14.504850611716202,nan,1.1484278227878821,nan,1.140896569231203,nan,1,1,1.0010935996319192,1.0
p i m,3,-9.958156832303061,nan,-inf,nan,-12.737581937079486,nan,1.1905687155316942,nan,1.1779703086657702,nan,1.0030674846625767,nan,1.0016350181484324,nan
p R b,3,-11.235817352420154,nan,-inf,nan,-14.121664542229139,nan,1.087839711935333,nan,1.0867016239840865,nan,1,1,1.0010935996319192,1.0
p R d,3,-10.904963108103164,nan,-8.881448362116975,nan,-10.359522067427044,nan,1.1223224705560224,nan,1.117096760762202,nan,1,1,1.0010935996319192,1.0
p R v,3,-12.171910711590488,nan,-10.050617244248219,nan,-11.625708056254554,nan,1.0843914360732638,nan,1.083662110306275,nan,1,1,1.0010935996319192,1.0
r e m,3,-10.015315246143007,nan,-inf,nan,-14.258267401889078,nan,1.1576646458178084,nan,1.148503524161425,nan,1,1,1.0010935996319192,1.0
r i g,3,-10.052647675723982,nan,-11.873829957992431,nan,-12.749456810536923,nan,1.1032538144236896,nan,1.1004708806172687,nan,1.0065157605246455,nan,1.0021871992638383,nan
r i s,3,-9.24472498057161,nan,-11.382469669014542,nan,-11.979461513012387,nan,1.1377365730443794,nan,1.1308660173953844,nan,1.0030674846625767,nan,1.0016350181484324,nan
r i t,3,-8.945066717073113,nan,-10.11921003571383,nan,-10.87230459816189,nan,1.1894607109754138,nan,1.1764587225625576,nan,1.0099640363867146,nan,1.002739380379244,nan
r i z,3,-10.137205063752045,nan,-9.391377297165995,nan,-10.624044390456936,nan,1.1067020902857585,nan,1.1035103942950804,nan,1.0134123122487835,nan,1.0032915614946498,nan
r E p,3,-10.674025285062136,nan,-inf,nan,-14.219975737739263,nan,1.1032538144236896,nan,1.1004708806172687,nan,1.0061349693251533,nan,1.0021764366649457,nan
r I D,3,-9.722103648843701,nan,-12.832982644295086,nan,-13.513996185761282,nan,1.1101503661478276,nan,1.106549907972892,nan,1.0034482758620689,nan,1.0016457807473251,nan
r I S,3,-10.650090420481046,nan,-11.90499587265774,nan,-13.138206845799234,nan,1.0894607109754137,nan,1.0883128259060226,nan,1,1,1.0010935996319192,1.0
r I T,3,-10.998397114749263,nan,-14.329277900629306,nan,-14.87898076029442,nan,1.0825641592512758,nan,1.0822337985503996,nan,1,1,1.0010935996319192,1.0
r I Z,3,-inf,nan,-inf,nan,-inf,nan,1.0825641592512758,nan,1.079194284872588,nan,1,1,1.0005414185165133,1.0
r I z,3,-9.956943239921102,nan,-10.893394960979261,nan,-11.873164367673803,nan,1.1067020902857585,nan,1.1035103942950804,nan,1,1,1.0010935996319192,1.0
r ^ l,3,-9.452810674301695,nan,-14.622101372581506,nan,-14.38338574297932,nan,1.1783966111234991,nan,1.1674234558764602,nan,1,1,1.0010935996319192,1.0
s i g,3,-9.867913572524644,nan,-10.469328856075187,nan,-11.430889097246357,nan,1.1753258864957619,nan,1.1649870096495267,nan,1.0095832451872222,nan,1.0027286177803516,nan
s i v,3,-10.483099211614878,nan,-10.393139717717641,nan,-11.404571788928983,nan,1.1787741623578307,nan,1.1680265233273384,nan,1.0095832451872222,nan,1.0027286177803516,nan
