word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.238838524126471,nan,-13.160755088344358,nan,-13.215470931775474,nan,1.069569651399082,nan,1.069595415699751,nan,1.0013745992219758,nan,1.0013557291558854,nan
g i T,3,-12.385078666354971,nan,-12.424412681735191,nan,-12.536993971112341,nan,1.1031754169944195,nan,1.1030482280676095,nan,1.0004618404341301,nan,1.0005838723016134,nan
z i T,3,-11.792287299108139,nan,-14.249960287721068,nan,-14.3347224986395,nan,1.0866342351554963,nan,1.0865821821897987,nan,1.0005760869781721,nan,1.0006804626618955,nan
y c g,3,-12.803342084785466,nan,-14.826153064454346,nan,-14.533044625898878,nan,1.0732303202907656,nan,1.0732383658302915,nan,1.0023079886061597,nan,1.0021423084858891,nan
l R z,3,-10.510669498625576,nan,-11.526461891547212,nan,-11.552124245033188,nan,1.089363119643838,nan,1.0892971424139353,nan,1.0007997258082943,nan,1.0008701792705226,nan
J Y p,3,-13.00233725474304,nan,-15.554288046985981,nan,-15.05403422053445,nan,1.0836848219368727,nan,1.0836450447062456,nan,1.0041553503426797,nan,1.0037016106981491,nan
C ^ z,3,-11.655694275097625,nan,-13.08780522999439,nan,-13.058627312272089,nan,1.1628548221985946,nan,1.162454384876976,nan,1.0063478788403066,nan,1.0055524160472236,nan
C e J,3,-14.026246400450255,nan,-13.036252853556514,nan,-13.23597037779826,nan,1.0785037666421793,nan,1.078488786713137,nan,1.0011473196983824,nan,1.0011634144633057,nan
z i S,3,-11.216538612765499,nan,-14.802452111899441,nan,-14.834373738300991,nan,1.091599019822394,nan,1.091524142883972,nan,1.000807007195237,nan,1.0008753754384279,nan
z u v,3,-11.864924568657703,nan,-15.418597609660113,nan,-15.300815003338995,nan,1.0595198407544502,nan,1.059590261238584,nan,1.0024222351502017,nan,1.002238898846171,nan
