word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-10.863988069521744,nan,-9.898872129635517,nan,-9.953021770067819,nan,1.1555695396288672,nan,1.1551884290896828,nan,1.007510766391994,nan,1.006508262743459,nan
b i l,3,-9.585933963436913,nan,-9.642455269150583,nan,-9.68031284959627,nan,1.2044985328291375,nan,1.2038843942680382,nan,1.0174199463047422,nan,1.0148281402099664,nan
b i s,3,-9.543344384226746,nan,-9.754533874658177,nan,-9.790475193701637,nan,1.2022151534276233,nan,1.2016119388201252,nan,1.0148962111767528,nan,1.0127114181053398,nan
b R s,3,-10.444306054341785,nan,-10.39807721359052,nan,-10.440370154289777,nan,1.151091624715223,nan,1.1507303863411287,nan,1.0037113684643715,nan,1.0033154035550311,nan
b Y s,3,-10.164057466646337,nan,-9.904209558192354,nan,-9.947369218795506,nan,1.1816468500154251,nan,1.1811409886367148,nan,1.0102722853744597,nan,1.0088247650898194,nan
b ^ l,3,-9.756037778801142,nan,-11.051652271800215,nan,-11.076378589525277,nan,1.247894086271059,nan,1.2470745492792794,nan,1.0090705067420838,nan,1.0078168021828544,nan
C @ l,3,-11.814279475478793,nan,-13.82962565887908,nan,-13.86148208256218,nan,1.1154352691136329,nan,1.1152421848361054,nan,1.0015558825420914,nan,1.0015065073414708,nan
C i D,3,-11.789134586713926,nan,-15.837798359655759,nan,-15.859182546722057,nan,1.1083613780451855,nan,1.1082031900814384,nan,1.0026284817592337,nan,1.0024073307689332,nan
C i n,3,-10.97723865337764,nan,-11.206894684432388,nan,-11.290152217560188,nan,1.1511446973577681,nan,1.150781829000228,nan,1.0044311497077976,nan,1.0039192751293808,nan
C R J,3,-14.621617668432181,nan,-15.47925289635493,nan,-15.505356695047709,nan,1.0316399644631782,nan,1.0318462160021549,nan,1.0001188919272381,nan,1.0003005765324307,nan
