word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-12.314870772299816,nan,-10.677434495039083,nan,-10.775718593930662,nan,1.149105269682704,nan,1.1487645677414957,nan,1.001035865557371,nan,1.0010696492191802,nan
b O r,3,-12.487109665506678,nan,-inf,nan,-13.961479582241033,nan,1.1471324253053106,nan,1.1468008389670936,nan,1.000803766218854,nan,1.0008738970414373,nan
b O s,3,-12.37179150662205,nan,-11.477657377944869,nan,-11.511516273823093,nan,1.1323941173094882,nan,1.1321306298877358,nan,1.000803766218854,nan,1.0008738970414373,nan
b U n,3,-11.004527324369242,nan,-inf,nan,-14.177066543988794,nan,1.1822893321468215,nan,1.1817969142953877,nan,1.0017223561832587,nan,1.0016499179940028,nan
b u r,3,-10.69623711429685,nan,-12.113820765534626,nan,-12.133438088945756,nan,1.1712454118709323,nan,1.1708035821377416,nan,1.002644623918787,nan,1.002428559355971,nan
b U s,3,-11.061448058691475,nan,-inf,nan,-14.50739911577306,nan,1.1655781797736058,nan,1.1651629764416278,nan,1.0017223561832587,nan,1.0016499179940028,nan
b W r,3,-11.338357229338902,nan,-14.877885573665772,nan,-14.541551602192865,nan,1.158729623605919,nan,1.1583450154444053,nan,1.0017235821069665,nan,1.0016507914638038,nan
C e D,3,-12.092361739329332,nan,-17.22104608579876,nan,-17.137494204286455,nan,1.104085701795345,nan,1.1039524568481605,nan,1.0010370914810787,nan,1.001070522688981,nan
C i D,3,-11.784156856092984,nan,-15.938671075235405,nan,-15.956066975463383,nan,1.107645237907413,nan,1.1074957189352561,nan,1.0025383816391915,nan,1.0023376710255056,nan
C O b,3,-14.322649711294734,nan,-18.14517622238,nan,-17.574532183422548,nan,1.039213963330391,nan,1.039377291882361,nan,1.0004641986770337,nan,1.0005863830634283,nan
C O g,3,-14.912205091218631,nan,-18.53645009546783,nan,-17.45585179870401,nan,1.0353843242448624,nan,1.0355653477908742,nan,1.0001160496692585,nan,1.0002927547968137,nan
C O v,3,-15.141930706728482,nan,-inf,nan,-17.16331650533106,nan,1.0334114798674687,nan,1.033601619016472,nan,1,1,1.0001948787079422,1.0
C u D,3,-12.817382388591847,nan,-15.882920963649836,nan,-15.894303172048012,nan,1.0629788008882375,nan,1.0630334946810556,nan,1.0019556814454833,nan,1.0018465436415467,nan
C u S,3,-13.74830243048196,nan,-14.146532215568916,nan,-14.198408318892504,nan,1.0441787544683696,nan,1.0443203145955755,nan,1.0019556814454833,nan,1.0018465436415467,nan
C u T,3,-14.335037017433276,nan,-13.73014299436484,nan,-13.831981267923606,nan,1.0394207180287736,nan,1.0395842628455467,nan,1.0019556814454833,nan,1.0018465436415467,nan
D e C,3,-12.09236173932933,nan,-12.345013774917145,nan,-12.38565086558459,nan,1.1526286451092727,nan,1.1522746416782879,nan,1.005399167888293,nan,1.0047557487438672,nan
D e D,3,-10.884230924854732,nan,-15.587465695791112,nan,-15.462995330633387,nan,1.1679472014513872,nan,1.1675224180442345,nan,1.0055152175575512,nan,1.0048536248327387,nan
D e J,3,-12.828068534308073,nan,-11.370895956493404,nan,-11.531841966841943,nan,1.1425323238837881,nan,1.1422249708916412,nan,1.0056312672268097,nan,1.0049515009216103,nan
D e S,3,-11.815150966744845,nan,-11.925786085857611,nan,-11.977078628148364,nan,1.1491471550315193,nan,1.1488092379587544,nan,1.005167068549776,nan,1.0045599965661243,nan
D i C,3,-11.784156856092984,nan,-12.080435159843422,nan,-12.158796099382547,nan,1.1561881812213408,nan,1.1558179037653835,nan,1.0039309776702927,nan,1.0035121840919636,nan
D i D,3,-10.576026041618384,nan,-15.017505431166205,nan,-14.983255043918394,nan,1.1715067375634554,nan,1.1710656801313302,nan,1.0025383816391915,nan,1.0023376710255056,nan
D i S,3,-11.506946083508499,nan,-12.806339775086892,nan,-12.84965683182586,nan,1.1527066911435875,nan,1.15235250004585,nan,1.0019581332928993,nan,1.0018482905811483,nan
D i T,3,-12.093680670459813,nan,-12.19579453944186,nan,-12.295177549354023,nan,1.1479486547039914,nan,1.1476164482958213,nan,1.0018420836236408,nan,1.0017504144922769,nan
d u r,3,-10.550886550922161,nan,-13.71620164460731,nan,-13.719646895222521,nan,1.1269895072618976,nan,1.1267497131580566,nan,1.0021853289365845,nan,1.002040548879688,nan
D W C,3,-13.4595025036339,nan,-15.552583989115963,nan,-14.959719122128547,nan,1.099005955937152,nan,1.0988971128178466,nan,1,1,1.0001948787079422,1.0
D W D,3,-12.2513716891593,nan,-19.13150814661114,nan,-18.324745659629123,nan,1.1143245122792664,nan,1.1141448891837933,nan,1.0005802483462922,nan,1.0006842591522997,nan
D W T,3,-13.769026318000728,nan,-14.374022327725521,nan,-13.854478146852845,nan,1.0907664294198025,nan,1.0906956573482844,nan,1.0004641986770337,nan,1.0005863830634283,nan
f U n,3,-11.410512318114279,nan,-inf,nan,-14.738755380456148,nan,1.1451418888998597,nan,1.1448190553590718,nan,1.0017223561832587,nan,1.0016499179940028,nan
f u r,3,-11.102222108041886,nan,-13.161058046953599,nan,-13.172645351161332,nan,1.1340979686239705,nan,1.1338257232014257,nan,1.0013815627177305,nan,1.001361530546193,nan
f U s,3,-11.467433052436512,nan,-inf,nan,-15.069087952240414,nan,1.128430736526644,nan,1.128185117505312,nan,1.0017223561832587,nan,1.0016499179940028,nan
f W r,3,-11.744342223083938,nan,-16.157719549042707,nan,-15.776067616729204,nan,1.1215821803589572,nan,1.1213671565080894,nan,1.0009198158881125,nan,1.0009717731303087,nan
f ^ r,3,-10.227419075805216,nan,-12.735601055412186,nan,-12.758502021587603,nan,1.223545666407872,nan,1.22286447048683,nan,1.0068162823935516,nan,1.0059477312063407,nan
g U n,3,-11.59408270429314,nan,-inf,nan,-14.360191892963176,nan,1.1336766286384519,nan,1.133406135934283,nan,1.002181651165461,nan,1.0020379284702858,nan
g U S,3,-13.324650870703572,nan,-11.414435702513659,nan,-11.518990819785365,nan,1.0719382045929604,nan,1.0719529766412255,nan,1.0046186942198885,nan,1.0040933263365872,nan
g U T,3,-13.911385457654886,nan,-inf,nan,-14.519859598802942,nan,1.0671801681533644,nan,1.0672169248911967,nan,1.002181651165461,nan,1.0020379284702858,nan
g W C,3,-13.763452655050855,nan,-15.550820596353667,nan,-15.252662934301245,nan,1.0538328305072047,nan,1.0539302102841785,nan,1.0001148237455506,nan,1.000291881327013,nan
g W D,3,-12.555321840576255,nan,-19.129744753848847,nan,-18.61768947180182,nan,1.0691513868493192,nan,1.0691779866501252,nan,1.0006950720918428,nan,1.0007812617713705,nan
g W T,3,-14.072976469417684,nan,-14.372258934963227,nan,-14.147421959025543,nan,1.0455933039898553,nan,1.0457287548146164,nan,1.0005790224225843,nan,1.000683385682499,nan
g ^ r,3,-10.410989461984077,nan,-13.73840990727306,nan,-13.746645761939217,nan,1.2120804061464643,nan,1.2114515510620412,nan,1.0041753362458883,nan,1.0037166709677143,nan
h U n,3,-11.44543650235035,nan,-inf,nan,-16.048872152634036,nan,1.1798816274919257,nan,1.1794002012161822,nan,1.0003444712366518,nan,1.0004858865651542,nan
h u r,3,-11.137146292277961,nan,-11.884838797407358,nan,-11.913016593614191,nan,1.1688377072160365,nan,1.168406869058536,nan,1.005859688794203,nan,1.005144632689951,nan
h U s,3,-11.502357236672584,nan,-inf,nan,-16.3792047244183,nan,1.16317047511871,nan,1.1627662633624223,nan,1.0003444712366518,nan,1.0004858865651542,nan
h W r,3,-11.77926640732001,nan,-13.393423244066636,nan,-13.090024504272751,nan,1.1563219189510232,nan,1.1559483023651997,nan,1.0055127657101357,nan,1.0048518778931372,nan
J O b,3,-15.058356506273475,nan,-16.212876730372944,nan,-16.23571836053565,nan,1.0365769534702671,nan,1.0367523204146596,nan,1.0005790224225843,nan,1.000683385682499,nan
J ^ r,3,-12.050876920020462,nan,-13.808385642141872,nan,-13.939317579956331,nan,1.1907550220602454,nan,1.1902235209319338,nan,1.0054383974469445,nan,1.0047836997774922,nan
k E G,3,-11.306905335777108,nan,-14.93524562165231,nan,-14.720250014272885,nan,1.11188362338008,nan,1.1117158260343365,nan,1.0003456971603597,nan,1.0004867600349552,nan
k E S,3,-11.82716004983195,nan,-15.539093106479015,nan,-15.43156449878828,nan,1.1100268286719448,nan,1.109867610717252,nan,1.0003456971603597,nan,1.0004867600349552,nan
k i b,3,-9.773390412458568,nan,-13.56835150126905,nan,-13.575952797100095,nan,1.1486950608431865,nan,1.14835812326521,nan,1.0016124361325396,nan,1.0015564092541354,nan
k i C,3,-11.26712645544011,nan,-11.786200516620074,nan,-11.868626086857082,nan,1.1330283554932967,nan,1.13276380652731,nan,1.0037013301791915,nan,1.0033181788538221,nan
k i D,3,-10.05899564096551,nan,-14.723270787942857,nan,-14.693085031392929,nan,1.1483469118354113,nan,1.1480115828932567,nan,1.0023087341480903,nan,1.0021436657873641,nan
k i r,3,-9.431586409652056,nan,-11.59124544710603,nan,-11.618539678986693,nan,1.1893124450836414,nan,1.1887878333264321,nan,1.0056741745565851,nan,1.0049820723646374,nan
k u f,3,-11.212600938702469,nan,-13.253732257939179,nan,-13.26021909196656,nan,1.0926557562366834,nan,1.0925755801938672,nan,1.0008098958373934,nan,1.0008782643904413,nan
k U m,3,-11.12530202278627,nan,-14.42035166719792,nan,-14.202927410082623,nan,1.1380503786130718,nan,1.1377608957175755,nan,1.0029854173843151,nan,1.0027169468037809,nan
k U n,3,-10.77310215222331,nan,-inf,nan,-15.009221749557646,nan,1.155689928340355,nan,1.1553189412298777,nan,1.0029854173843151,nan,1.0027169468037809,nan
k U p,3,-11.436542662035773,nan,-14.146594121203158,nan,-13.935521663676997,nan,1.1125194513762144,nan,1.1123479351076646,nan,1.003217516722832,nan,1.0029126989815238,nan
k u r,3,-10.464811942150918,nan,-13.7683257887923,nan,-13.75838174923344,nan,1.1446460080644658,nan,1.1443256090722316,nan,1.0005777964988765,nan,1.000682512212698,nan
l U n,3,-10.59733121357855,nan,-inf,nan,-16.097926233204582,nan,1.1359696806907333,nan,1.1356887198192407,nan,1.002181651165461,nan,1.0020379284702858,nan
l R l,3,-10.087016725219204,nan,-12.773850005368928,nan,-12.788685821934585,nan,1.1060648308925718,nan,1.105921354732958,nan,1.0015000642344047,nan,1.0014611535746663,nan
m W l,3,-11.111122095904307,nan,-11.456173829593853,nan,-11.503696322147803,nan,1.1263473884073278,nan,1.1261113688185018,nan,1.001035865557371,nan,1.0010696492191802,nan
m W r,3,-11.176514203888487,nan,-14.835262201810657,nan,-14.507887791668587,nan,1.140041249379824,nan,1.1397419567819995,nan,1.0009198158881125,nan,1.0009717731303087,nan
m W t,3,-10.763446361428251,nan,-9.75095432857338,nan,-9.818860359148912,nan,1.1451474348271955,nan,1.1448245489039817,nan,1.0019642629114385,nan,1.001852657930152,nan
n c n,3,-10.030574612279352,nan,-14.34893110646213,nan,-14.310459845399695,nan,1.1217411202469054,nan,1.121525168105149,nan,1.0008111217611013,nan,1.000879137860242,nan
n W C,3,-12.659854379113582,nan,-14.082997000323786,nan,-14.132718954460183,nan,1.0497053368130977,nan,1.0498215592912545,nan,1.0009185899644046,nan,1.000970899660508,nan
n W D,3,-11.451723564638982,nan,-17.661921157818966,nan,-17.49774549196076,nan,1.0650238931552123,nan,1.0650693356572012,nan,1.0014988383106969,nan,1.0014602801048655,nan
n ^ r,3,-9.307391186046804,nan,-13.758663366673012,nan,-13.766001376081654,nan,1.2079529124523574,nan,1.2073429000691172,nan,1.0060125161746976,nan,1.0052687128728457,nan
p c k,3,-10.976632845959259,nan,-13.098481453403844,nan,-13.056270650360036,nan,1.1339418895276825,nan,1.1336705472623185,nan,1.0045222593299556,nan,1.0040094257645278,nan
p c p,3,-11.357455631904278,nan,-inf,nan,-17.166068236214432,nan,1.0963417966879472,nan,1.0962441870913586,nan,1.0003444712366518,nan,1.0004858865651542,nan
p c s,3,-10.75093585641405,nan,-13.882761378133061,nan,-13.816510702772982,nan,1.122801121278872,nan,1.1225812553598118,nan,1.0013889182599778,nan,1.0013667713649976,nan
p O l,3,-12.571115171321585,nan,-13.97365436466726,nan,-13.909105650555848,nan,1.0984695205355202,nan,1.09836084675799,nan,1.0003456971603597,nan,1.0004867600349552,nan
p O m,3,-12.816468256661866,nan,-inf,nan,-15.929396585843783,nan,1.0964966761581265,nan,1.0963971179835876,nan,1.0002296474911012,nan,1.0003888839460837,nan
p O n,3,-12.464268386098905,nan,-13.152834864617672,nan,-13.152171986862697,nan,1.1141362258854097,nan,1.1139551634958897,nan,1.0004617468296182,nan,1.0005846361238266,nan
p O r,3,-12.636507279305766,nan,-inf,nan,-16.337932975173068,nan,1.1121633815080163,nan,1.1119914347214876,nan,1.0002296474911012,nan,1.0003888839460837,nan
p O s,3,-12.521189120421138,nan,-13.953057747523458,nan,-13.887969666755128,nan,1.097425073512194,nan,1.0973212256421299,nan,1.0002296474911012,nan,1.0003888839460837,nan
p O t,3,-12.223439436845528,nan,-inf,nan,-15.346083799582026,nan,1.1172695669553878,nan,1.1170740268434698,nan,1.0002296474911012,nan,1.0003888839460837,nan
p u k,3,-10.95601355875652,nan,-12.357761810172727,nan,-12.375043547550746,nan,1.1326788283266263,nan,1.1324132607152846,nan,1.0019569073691912,nan,1.0018474171113476,nan
p U m,3,-11.506124808731292,nan,-13.535820725255773,nan,-13.335837644602961,nan,1.129680738622244,nan,1.1294294645374796,nan,1.0078080146974395,nan,1.006791056804751,nan
p U n,3,-11.15392493816833,nan,-inf,nan,-14.142131984077984,nan,1.1473202883495273,nan,1.1469875100497817,nan,1.0078080146974395,nan,1.006791056804751,nan
p U p,3,-11.817365447980794,nan,-13.26206317926101,nan,-13.068431898197336,nan,1.1041498113853867,nan,1.1040165039275687,nan,1.0080401140359565,nan,1.0069868089824938,nan
p U s,3,-11.210845672490564,nan,-inf,nan,-14.472464555862251,nan,1.1306091359763115,nan,1.1303535721960218,nan,1.0078080146974395,nan,1.006791056804751,nan
