word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-12.21624361372999,nan,-inf,nan,-11.54525457047386,nan,1.190161835424371,nan,1.180021768553329,nan,1.0023201856148491,nan,1.0015528521818955,nan
b O r,3,-12.2682033526607,nan,-inf,nan,-12.021888829491571,nan,1.1659682870372743,nan,1.1581239583343508,nan,1.0023201856148491,nan,1.0015528521818955,nan
b O s,3,-12.178972218932758,nan,-9.004714671526855,nan,-10.81246642039807,nan,1.157903770908242,nan,1.150824688261358,nan,1.00500835765786,nan,1.0020811141998562,nan
b U n,3,-11.053092803924308,nan,-inf,nan,-11.76394377143869,nan,1.213363691572863,nan,1.20129836429801,nan,1.0023201856148491,nan,1.0015528521818955,nan
b u r,3,-10.786598811736484,nan,-9.38842402671796,nan,-10.550601255538288,nan,1.186849957570917,nan,1.1772728945045636,nan,1.0096487288875584,nan,1.0031057043637905,nan
b U s,3,-11.015821409127076,nan,-inf,nan,-11.724302801922846,nan,1.181105627056734,nan,1.172101284006039,nan,1.0023201856148491,nan,1.0015528521818955,nan
b W r,3,-11.16959106399259,nan,-inf,nan,-12.222559524953722,nan,1.172928843881822,nan,1.1645069370577552,nan,1,1,1.0010405570999281,1.0
C e D,3,-12.917014719400594,nan,-inf,nan,-16.57444916483103,nan,1.0745026843272811,nan,1.074954051943037,nan,1,1,1.0010405570999281,1.0
C i D,3,-12.20366483152313,nan,-inf,nan,-17.027455217708198,nan,1.0884237980163762,nan,1.0877200093898456,nan,1,1,1.0010405570999281,1.0
C O b,3,-13.813102743957229,nan,-inf,nan,-15.750824767806185,nan,1.0345792754008036,nan,1.0381833318519256,nan,1,1,1.0010405570999281,1.0
C O g,3,-14.237985937922495,nan,-inf,nan,-15.12763617585315,nan,1.0399556194868251,nan,1.0430495119005874,nan,1,1,1.0010405570999281,1.0
C O v,3,-14.873974704642492,nan,-inf,nan,-14.110824204961917,nan,1.0426437915298359,nan,1.0454826019249182,nan,1,1,1.0010405570999281,1.0
C u D,3,-13.717792564152903,nan,-inf,nan,-16.212947180143985,nan,1.0420200857193926,nan,1.0451668179004838,nan,1,1,1.0010405570999281,1.0
C u S,3,-13.980156828620395,nan,-inf,nan,-15.0560659833519,nan,1.050084601848425,nan,1.0524660879734766,nan,1,1,1.0010405570999281,1.0
C u T,3,-13.884846648816069,nan,-inf,nan,-15.481333718756243,nan,1.0447082577624034,nan,1.0475999079248148,nan,1,1,1.0010405570999281,1.0
D e C,3,-12.917014719400594,nan,-inf,nan,-13.124461618999444,nan,1.1035202126819725,nan,1.1014579005099623,nan,1.0046403712296983,nan,1.0020651472638626,nan
D e D,3,-13.124654084178838,nan,-inf,nan,-14.322164810311785,nan,1.0927675245099295,nan,1.0917255404126387,nan,1.0046403712296983,nan,1.0020651472638626,nan
D e J,3,-14.080165529206273,nan,-10.364236844464449,nan,-13.059923097861873,nan,1.0927675245099295,nan,1.0917255404126387,nan,1.007328543272709,nan,1.0025934092818234,nan
D e S,3,-13.387018348646329,nan,-inf,nan,-13.165283613519698,nan,1.1008320406389618,nan,1.0990248104856315,nan,1.0046403712296983,nan,1.0020651472638626,nan
D i C,3,-12.203664831523128,nan,-11.835272434039432,nan,-13.289785599424826,nan,1.1174413263710676,nan,1.114223857956771,nan,1.00500835765786,nan,1.0020811141998562,nan
D i D,3,-12.411304196301373,nan,-inf,nan,-15.180635971297114,nan,1.1066886381990246,nan,1.1044914978594473,nan,1.0023201856148491,nan,1.0015528521818955,nan
D i S,3,-12.673668460768862,nan,-inf,nan,-14.02375477450503,nan,1.1147531543280569,nan,1.1117907679324401,nan,1.0023201856148491,nan,1.0015528521818955,nan
D i T,3,-12.578358280964538,nan,-inf,nan,-14.449022509909373,nan,1.1093768102420354,nan,1.1069245878837783,nan,1.0023201856148491,nan,1.0015528521818955,nan
d u r,3,-10.461176411301857,nan,-11.67610571420943,nan,-12.187673132174508,nan,1.1617358023197755,nan,1.1542120978588613,nan,1.00500835765786,nan,1.0020811141998562,nan
D W C,3,-14.10078481640901,nan,-inf,nan,-12.643158434499775,nan,1.057116500384989,nan,1.0589047090206007,nan,1.0026881720430108,nan,1.0015688191178889,nan
D W D,3,-14.308424181187254,nan,-inf,nan,-14.939473914480224,nan,1.046363812212946,nan,1.0491723489232772,nan,1,1,1.0010405570999281,1.0
D W T,3,-14.47547826585042,nan,-inf,nan,-13.51471327253254,nan,1.0490519842559567,nan,1.0516054389476082,nan,1.0026881720430108,nan,1.0015688191178889,nan
f U n,3,-11.708499656501406,nan,-inf,nan,-11.683236591844846,nan,1.172267801161904,nan,1.1635625152414062,nan,1.0046403712296983,nan,1.0020651472638626,nan
f u r,3,-11.442005664313582,nan,-11.008934020052745,nan,-11.973971472720718,nan,1.1457540671599582,nan,1.1395370454479599,nan,1.00500835765786,nan,1.0020811141998562,nan
f U s,3,-11.671228261704174,nan,-inf,nan,-11.643595622329002,nan,1.140009736645775,nan,1.1343654349494352,nan,1.0046403712296983,nan,1.0020651472638626,nan
f W r,3,-11.824997916569687,nan,-inf,nan,-13.240464634027989,nan,1.1318329534708629,nan,1.1267710880011514,nan,1,1,1.0010405570999281,1.0
f ^ r,3,-10.895461957945512,nan,-inf,nan,-12.203545914365217,nan,1.1782366657678467,nan,1.169324279490513,nan,1.0069605568445477,nan,1.0025774423458298,nan
