word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-12.698305103772864,nan,-inf,nan,-13.775189456997634,nan,1.1042167577089566,nan,1.103564133882039,nan,1.0006574621959237,nan,1.000985054329094,nan
g i T,3,-12.077366231553844,nan,-10.800035773743591,nan,-11.687865679897897,nan,1.089475428124304,nan,1.0891912169390423,nan,1.0036137749665601,nan,1.0023381666915752,nan
z i T,3,-12.610883266521906,nan,-13.07109050686836,nan,-13.92637191620742,nan,1.0546142273496104,nan,1.0552075794311757,nan,1.0029563127706362,nan,1.0020177565666153,nan
y c g,3,-13.092596911282902,nan,-11.524666125114933,nan,-12.165901480840896,nan,1.0794151339481348,nan,1.0793008424323696,nan,1.0021900292457322,nan,1.0016735224874416,nan
l R z,3,-11.046045671958623,nan,-12.04280786700341,nan,-12.123478820101878,nan,1.0989169195432156,nan,1.0983073813255302,nan,1.0020812079167518,nan,1.0016496985332275,nan
J Y p,3,-11.892920654227849,nan,-inf,nan,-13.004401792990532,nan,1.104392444908873,nan,1.103562146877156,nan,1.0030651340996168,nan,1.0020415805208291,nan
C ^ z,3,-12.149871348468135,nan,-11.684773104539266,nan,-11.987651478816394,nan,1.130150406058025,nan,1.1287323602303887,nan,1.0044888798204448,nan,1.002706224724963,nan
C e J,3,-12.704844308605932,nan,-11.822947324961413,nan,-12.515464351733057,nan,1.0887484246029933,nan,1.088466969395708,nan,1.0041624158335034,nan,1.0026347528623214,nan
z i S,3,-11.648607421405927,nan,-inf,nan,-15.18298845401878,nan,1.0684073307978863,nan,1.0685904790594285,nan,1.0006574621959237,nan,1.000985054329094,nan
z u v,3,-12.992342168107022,nan,-14.165538125092821,nan,-14.33784695063208,nan,1.0609576039847644,nan,1.061337955298328,nan,1.001423745720828,nan,1.0013292884082676,nan
D Y p,3,-12.354266220730471,nan,-11.429445363195137,nan,-12.187367793836184,nan,1.0972910891955092,nan,1.0966395540514795,nan,1.0043800584914644,nan,1.002682400770749,nan
s R k,3,-9.846058529503948,nan,-11.352234955485937,nan,-11.410262379977508,nan,1.1543361864537673,nan,1.1521286104542288,nan,1.0041624158335034,nan,1.0026347528623214,nan
b R s,3,-10.323757194971485,nan,-10.5367375733486,nan,-10.715722116869156,nan,1.1762126164333115,nan,1.1735313303617714,nan,1.0061348024212746,nan,1.0035959832372012,nan
T ^ z,3,-12.900176942868027,nan,-10.90779926305721,nan,-11.814140551704595,nan,1.118530005799794,nan,1.1174044810611,nan,1.0051463420163687,nan,1.0030266348499228,nan
S c G,3,-13.013511849614734,nan,-11.792993186421631,nan,-12.315123089208505,nan,1.0861543724631573,nan,1.0858809318482188,nan,1.0029563127706362,nan,1.0020177565666153,nan
J e J,3,-13.15286903113289,nan,-11.97768572152613,nan,-12.78250985254069,nan,1.082292646681754,nan,1.0821737031905476,nan,1.002847491441656,nan,1.0019939326124014,nan
D ^ z,3,-13.059241637497715,nan,-11.613732005914128,nan,-12.313131717823582,nan,1.116593272423422,nan,1.1155165011995518,nan,1.0044888798204448,nan,1.002706224724963,nan
S Y p,3,-11.232925680984804,nan,-11.585705006897216,nan,-11.87842023060506,nan,1.114076111790732,nan,1.1130020461848966,nan,1.0043800584914644,nan,1.002682400770749,nan
n W C,3,-11.838722731064907,nan,-12.333475624434447,nan,-12.566777692975574,nan,1.0665859112646892,nan,1.0668471875640184,nan,1.0029563127706362,nan,1.0020177565666153,nan
l W C,3,-11.735456457010196,nan,-10.524117727067312,nan,-11.259126459174796,nan,1.0775607337307964,nan,1.0775457401127913,nan,1.0036137749665601,nan,1.0023381666915752,nan
S c d,3,-11.28577423915161,nan,-inf,nan,-13.31617908771037,nan,1.1260011157581764,nan,1.1245426418853934,nan,1.0006574621959237,nan,1.000985054329094,nan
g i J,3,-11.775085359680912,nan,-12.419618135249463,nan,-12.688037895752755,nan,1.0917742786990168,nan,1.0914217002104178,nan,1.0020812079167518,nan,1.0016496985332275,nan
C u T,3,-13.28917343521239,nan,-inf,nan,-14.245116136529969,nan,1.0693555569342632,nan,1.0695804963741724,nan,1.0006574621959237,nan,1.000985054329094,nan
D i g,3,-12.23643092618353,nan,-inf,nan,-15.182589119570876,nan,1.0808726711855794,nan,1.0807175328516478,nan,1.0006574621959237,nan,1.000985054329094,nan
w u T,3,-12.950719037387186,nan,-inf,nan,-13.767336113291591,nan,1.0945330908270974,nan,1.0941242345742983,nan,1.0006574621959237,nan,1.000985054329094,nan
T c T,3,-14.210627285808114,nan,-11.745783333283914,nan,-12.859048661400841,nan,1.0544478456964137,nan,1.0550495422529296,nan,1.0013149243918475,nan,1.0013054644540538,nan
g u T,3,-12.921448655087072,nan,-inf,nan,-13.344556477182543,nan,1.0835582683609903,nan,1.0834256820255255,nan,1.0013149243918475,nan,1.0013054644540538,nan
f R s,3,-10.638006294807987,nan,-11.766068313264617,nan,-11.825660728640338,nan,1.14328814903499,nan,1.1414356727154529,nan,1.0035049536375797,nan,1.0023143427373613,nan
J Y m,3,-12.032450065500925,nan,-inf,nan,-12.851430430515954,nan,1.1174192648322445,nan,1.1162015520816169,nan,1.0015325670498085,nan,1.0013531123624815,nan
n R z,3,-11.149311946013334,nan,-12.935875032496389,nan,-12.892133553169968,nan,1.0879420970771083,nan,1.0876088287767574,nan,1.001423745720828,nan,1.0013292884082676,nan
m R n,3,-10.029077193332057,nan,-10.989390102771694,nan,-11.188069221641943,nan,1.1892231114010203,nan,1.1859868505388251,nan,1.003831417624521,nan,1.0023858146000029,nan
C u S,3,-12.326897590096412,nan,-13.40486684779687,nan,-13.19914758134728,nan,1.083148660382539,nan,1.0829633960024252,nan,1.001423745720828,nan,1.0013292884082676,nan
S e J,3,-12.492874057889846,nan,-11.685022318724144,nan,-12.349675470715166,nan,1.0919763135636131,nan,1.0916136024982883,nan,1.0048198780294273,nan,1.0029551629872813,nan
T ^ S,3,-12.522414437309198,nan,-11.573243841067821,nan,-12.337604574342308,nan,1.111633454075656,nan,1.1107130312469735,nan,1.0043800584914644,nan,1.002682400770749,nan
v e D,3,-13.453871947560334,nan,-inf,nan,-16.39073536716479,nan,1.073779429651362,nan,1.0738782893205634,nan,1.0006574621959237,nan,1.000985054329094,nan
C ^ S,3,-11.772108842909304,nan,-12.350217682549877,nan,-12.511115501454107,nan,1.123253854333887,nan,1.1220409104162623,nan,1.0037225962955405,nan,1.0023619906457892,nan
n c T,3,-12.260524258492765,nan,-12.769124328857812,nan,-13.280262126477144,nan,1.0731696016680081,nan,1.073300014247895,nan,1.0013149243918475,nan,1.0013054644540538,nan
s R p,3,-10.134902717135907,nan,-11.203748125548902,nan,-11.414866136875567,nan,1.1267499795572156,nan,1.1253628111977232,nan,1.0049286993584075,nan,1.0029789869414951,nan
D i D,3,-13.51352599533843,nan,-14.442861994079184,nan,-15.082959278622035,nan,1.0632481501127824,nan,1.063617161104436,nan,1.0021900292457322,nan,1.0016735224874416,nan
S c g,3,-12.130321066166923,nan,-12.081476862122749,nan,-12.32204353205308,nan,1.08845322303787,nan,1.088111415119594,nan,1.0021900292457322,nan,1.0016735224874416,nan
C i S,3,-11.482815166563183,nan,-inf,nan,-13.151894696496736,nan,1.0890658201458527,nan,1.088728930915942,nan,1.004602235371466,nan,1.0029075150788536,nan
