word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-12.56636614144333,nan,-inf,nan,-11.300727441925538,nan,1.2233435774570454,nan,1.213261410307501,nan,1.0016051364365972,nan,1.001427885325846,nan
b O r,3,-12.797477862406717,nan,-inf,nan,-12.029865689736074,nan,1.1552073049119553,nan,1.1500643842851963,nan,1.0016051364365972,nan,1.001427885325846,nan
b O s,3,-12.702167682602393,nan,-inf,nan,-11.515712275877409,nan,1.147191272847827,nan,1.142629440047278,nan,1.0016051364365972,nan,1.001427885325846,nan
b U n,3,-10.69456396454174,nan,-inf,nan,-11.300727441925536,nan,1.2522360333157934,nan,1.240451742633785,nan,1.0032102728731942,nan,1.0018943032362937,nan
b u r,3,-10.520210577396963,nan,-9.994462897450907,nan,-10.823364439056778,nan,1.1905203065170917,nan,1.183297012683988,nan,1.0068194173258234,nan,1.002855770651692,nan
b U s,3,-10.8303655057008,nan,-inf,nan,-11.515712275877407,nan,1.176083728706575,nan,1.1698197723735622,nan,1.0032102728731942,nan,1.0018943032362937,nan
b W r,3,-11.005718393178663,nan,-inf,nan,-11.999094031069317,nan,1.1760740785877177,nan,1.169701846520846,nan,1.0032102728731942,nan,1.0018943032362937,nan
C e D,3,-13.41902020103106,nan,-inf,nan,-14.807099220377424,nan,1.0675631644050847,nan,1.0684290222695663,nan,1.0032102728731942,nan,1.0018943032362937,nan
C i D,3,-12.844932380487101,nan,-inf,nan,-15.162649937103875,nan,1.07558884658807,nan,1.0759818923602007,nan,1.0032102728731942,nan,1.0018943032362937,nan
C O b,3,-14.694597847292599,nan,-inf,nan,-15.084540498923516,nan,1.0346433922765579,nan,1.0372853661188908,nan,1,1,1.0009614674153982,1.0
C O g,3,-14.93715948446391,nan,-inf,nan,-14.535974547174678,nan,1.0446634323567183,nan,1.0465790464162885,nan,1,1,1.0009614674153982,1.0
C O v,3,-15.978613359292071,nan,-inf,nan,-13.479422247633932,nan,1.0406554163246542,nan,1.0428615742973293,nan,1,1,1.0009614674153982,1.0
C u D,3,-13.64727885301204,nan,-inf,nan,-14.687910703112308,nan,1.0579323457855019,nan,1.059365578160805,nan,1.0032102728731942,nan,1.0018943032362937,nan
C u S,3,-13.547195394455056,nan,-11.164543313309721,nan,-12.929487654151842,nan,1.0679523858656623,nan,1.0686592584582029,nan,1.0052142808892262,nan,1.0023893527412442,nan
C u T,3,-14.19382255938011,nan,-inf,nan,-14.136733783822748,nan,1.059936353801534,nan,1.0612243142202846,nan,1.0032102728731942,nan,1.0018943032362937,nan
D e C,3,-13.419020201031058,nan,-inf,nan,-13.826269967365699,nan,1.0738922783291351,nan,1.0743902741324574,nan,1.0048154093097914,nan,1.0023607211467416,nan
D e D,3,-13.182631422966828,nan,-inf,nan,-14.30193933414711,nan,1.0738922783291351,nan,1.0743902741324574,nan,1.0048154093097914,nan,1.0023607211467416,nan
D e J,3,-13.729175129334898,nan,-10.777769165783866,nan,-12.769933161845827,nan,1.0738922783291351,nan,1.0743902741324574,nan,1.0068194173258234,nan,1.002855770651692,nan
D e S,3,-13.082547964409844,nan,-inf,nan,-13.236663465746593,nan,1.0839123184092956,nan,1.0836839544298553,nan,1.0048154093097914,nan,1.0023607211467416,nan
