word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-10.719081627167244,nan,-9.193981789602157,nan,-9.603848543060836,nan,1.173561530753781,nan,1.1714534942711976,nan,1.0119076734541457,nan,1.0068374475197286,nan
b i l,3,-9.918998953494814,nan,-9.783443436959269,nan,-10.069228490753463,nan,1.2005303204471218,nan,1.197752800168806,nan,1.0092453433054838,nan,1.005398864360168,nan
b i s,3,-9.772395479302938,nan,-10.610329744798085,nan,-10.776257485915552,nan,1.1854337020896337,nan,1.1830122341310703,nan,1.0050182901653872,nan,1.0032489872102908,nan
b R s,3,-10.35524734391921,nan,-10.163610054506394,nan,-10.422350187472238,nan,1.158215411398289,nan,1.1563739816004361,nan,1.0062260196339863,nan,1.0038632378245413,nan
b Y s,3,-10.622051831349435,nan,-11.465421484990015,nan,-11.469404666475498,nan,1.1609372404674234,nan,1.1590378068534997,nan,1.0033256938034338,nan,1.0023599590809367,nan
b ^ l,3,-10.251239872096264,nan,-10.425063102053452,nan,-10.578883839371265,nan,1.2282929769522932,nan,1.2249238177500525,nan,1.0105214472241286,nan,1.006174675217445,nan
C @ l,3,-11.216529354964873,nan,-11.709444671893603,nan,-12.043195244183575,nan,1.1551307420874752,nan,1.1533139271235837,nan,1.0052562858472778,nan,1.0033136827943345,nan
C i D,3,-12.665626700486786,nan,-14.87546784321295,nan,-14.892211816397827,nan,1.0746116090755018,nan,1.074660402832513,nan,1.0016330974414807,nan,1.0014709309515828,nan
C i n,3,-10.749202717085936,nan,-9.889819330767162,nan,-10.39946574758631,nan,1.1778724786407193,nan,1.1754858745306263,nan,1.0082756095187753,nan,1.004849309329961,nan
C R J,3,-13.71509809636455,nan,-inf,nan,-15.589126142786274,nan,1.04377012997836,nan,1.0444844144528225,nan,1,1,1.0005980767182396,1.0
C R g,3,-12.420741230570346,nan,-inf,nan,-15.640761259087936,nan,1.0624899367416452,nan,1.0627627163396147,nan,1,1,1.0005980767182396,1.0
