word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.276213420418319,nan,-14.13141992525355,nan,-13.913791160677702,nan,1.0881493659498078,nan,1.0879761611771008,nan,1.0007950730092599,nan,1.0009716155112909,nan
g i T,3,-12.516457159726698,nan,-11.817666211348495,nan,-12.342190586346726,nan,1.0870771295483084,nan,1.0869189687512355,nan,1.001237113402062,nan,1.0012311493705524,nan
z i T,3,-12.049364740688421,nan,-13.81336921368692,nan,-14.23539667191147,nan,1.0615338584846408,nan,1.0617593743088771,nan,1.001237113402062,nan,1.0012311493705524,nan
y c g,3,-12.79647838372236,nan,-inf,nan,-14.372807917969483,nan,1.0825909756418681,nan,1.0824804508223689,nan,1.0016494845360824,nan,1.0014795965755212,nan
l R z,3,-10.275547171865231,nan,-9.913438768954826,nan,-10.124477505368992,nan,1.1023575574154756,nan,1.1019266130179293,nan,1.0044470746978826,nan,1.0031854670474263,nan
J Y p,3,-12.630403970947489,nan,-13.949287812681513,nan,-13.820170606554171,nan,1.0738356821484,nan,1.073844229953253,nan,1.001237113402062,nan,1.0012311493705524,nan
C ^ z,3,-11.801444498332128,nan,-12.256784756043327,nan,-12.297030921419479,nan,1.1353603781456907,nan,1.134430503001976,nan,1.0036520016886226,nan,1.002699659291781,nan
C e J,3,-13.61335032971272,nan,-12.818233088544984,nan,-13.394242591024842,nan,1.068366560556397,nan,1.0684899206003318,nan,1.0039456957875175,nan,1.00290375987958,nan
z i S,3,-11.3021503388582,nan,-14.476702131536438,nan,-14.562425967732402,nan,1.0722555079691767,nan,1.0723070416516765,nan,1.0008247422680412,nan,1.0009827021655833,nan
z u v,3,-12.141233487579333,nan,-14.082948689487395,nan,-14.143470772459972,nan,1.067111363505137,nan,1.0672248085946834,nan,1.0032692998133834,nan,1.0024622987411045,nan
D Y p,3,-12.160400341701754,nan,-13.176097924448031,nan,-13.183261198365896,nan,1.0822230248857236,nan,1.0821055893223854,nan,1.001619815277301,nan,1.0014685099212288,nan
s R k,3,-9.696936858297796,nan,-11.42428769837506,nan,-11.463189290835317,nan,1.2044452747140753,nan,1.202463989842097,nan,1.0039160265287361,nan,1.0028926732252876,nan
b R s,3,-10.331459195510218,nan,-10.136524847947168,nan,-10.314582730557124,nan,1.1409875985661215,nan,1.1399744155618428,nan,1.006330914815297,nan,1.0043611831465162,nan
T ^ z,3,-12.376808643235687,nan,-12.75186202284118,nan,-12.701035108887968,nan,1.1311667067770288,nan,1.1302998233174095,nan,1.0028865979381443,nan,1.002224938190428,nan
S c G,3,-12.665858201305294,nan,-inf,nan,-13.154628777027222,nan,1.076958014249585,nan,1.0769246371363599,nan,1.0028865979381443,nan,1.002224938190428,nan
J e J,3,-14.083353958958458,nan,-13.195527319686454,nan,-13.798529703944363,nan,1.0664603462979143,nan,1.0666123389255289,nan,1.0027975901618,nan,1.0021916782275506,nan
D ^ z,3,-11.801444498332128,nan,-9.295939741489777,nan,-9.713033368987247,nan,1.1418415066245315,nan,1.1408142806963055,nan,1.0109233373181672,nan,1.007209509754634,nan
S Y p,3,-11.988550084775095,nan,-14.696502214511733,nan,-14.3502579009421,nan,1.0726919535933104,nan,1.0727176809483712,nan,1.001237113402062,nan,1.0012311493705524,nan
n W C,3,-12.405060615529987,nan,-13.611235956321057,nan,-13.771960368931456,nan,1.0611794546267166,nan,1.061403634116553,nan,1.0019728478937588,nan,1.0016947838176127,nan
l W C,3,-12.45289967504945,nan,-11.648534017582541,nan,-12.045036102948274,nan,1.0672793402538612,nan,1.067411895475922,nan,1.0008247422680412,nan,1.0009827021655833,nan
S c d,3,-12.148523197353786,nan,-inf,nan,-15.124118588909786,nan,1.0802569833217497,nan,1.0801700732418364,nan,1,1,1.0004858077556453,1.0
g i J,3,-12.41109664406887,nan,-inf,nan,-14.543500375083715,nan,1.0866647584142877,nan,1.086513289238051,nan,1,1,1.0004858077556453,1.0
C u T,3,-14.21312343949521,nan,-13.453204441755187,nan,-13.821095082498044,nan,1.0496438379284583,nan,1.0500490113460832,nan,1.0015604767597384,nan,1.0014463366126438,nan
D i g,3,-11.941093014823135,nan,-13.825261812558974,nan,-13.885635601719454,nan,1.0917845747888646,nan,1.0915353060730653,nan,1.001177774884499,nan,1.0012089760619673,nan
w u T,3,-13.361371228758625,nan,-14.20532681154293,nan,-13.999102649669917,nan,1.0805245089158773,nan,1.0804658344778892,nan,1.0007950730092599,nan,1.0009716155112909,nan
T c T,3,-14.925346767115968,nan,-13.118275345275896,nan,-13.710615424195574,nan,1.0527215021893408,nan,1.0530800353931413,nan,1.0007654037504783,nan,1.0009605288569983,nan
g u T,3,-13.406833602835384,nan,-14.482637829729223,nan,-14.280306463675219,nan,1.0683247376615883,nan,1.0684493117591511,nan,1.0004123711340207,nan,1.0007342549606144,nan
f R s,3,-10.468555654299237,nan,-12.369534683027691,nan,-12.223018062139865,nan,1.1188755131677228,nan,1.1181944681341298,nan,1.0036520016886226,nan,1.002699659291781,nan
J Y m,3,-12.638523095385992,nan,-12.384293105899763,nan,-12.417089308173011,nan,1.0833202182308743,nan,1.0831748587564984,nan,1.0028865979381443,nan,1.002224938190428,nan
n R z,3,-10.22770811234577,nan,-10.593524776048291,nan,-10.752789482684065,nan,1.096257671788331,nan,1.0959183516585602,nan,1.0044470746978826,nan,1.0031854670474263,nan
m R n,3,-10.157355621342777,nan,-11.271624674515937,nan,-11.363862688409235,nan,1.1732696711123127,nan,1.1717004424999984,nan,1.0028865979381443,nan,1.002224938190428,nan
C u S,3,-13.465909037664987,nan,-13.200246627730552,nan,-13.454977197759028,nan,1.0603654874129942,nan,1.0605966786888825,nan,1.0023852190277796,nan,1.0019432310225818,nan
S e J,3,-13.441500072786063,nan,-13.24959454095673,nan,-13.769001210396869,nan,1.0653166177428246,nan,1.0654857899206471,nan,1.0035629939122783,nan,1.0026663993289036,nan
T ^ S,3,-13.478340642007133,nan,-13.565109254529876,nan,-13.70681100726166,nan,1.1047749541997092,nan,1.1043363344735961,nan,1.0024742268041238,nan,1.0019764909854592,nan
v e D,3,-12.920203149152776,nan,-inf,nan,-18.40912627366774,nan,1.064453043728652,nan,1.0646307095197816,nan,1,1,1.0004858077556453,1.0
