word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.150087697459306,nan,-13.342985562318889,nan,-13.464493733935557,nan,1.09096997882903,nan,1.0908007901985202,nan,1.0014794851190025,nan,1.0014070662301546,nan
g i T,3,-12.479795733132196,nan,-11.94997302236913,nan,-12.344971709857683,nan,1.085243797630189,nan,1.0851394405526373,nan,1.0009182736455464,nan,1.0010195290395605,nan
z i T,3,-12.027526558826231,nan,-14.112267346014368,nan,-14.424824040722315,nan,1.0587231865030629,nan,1.0589211447418652,nan,1.0009182736455464,nan,1.0010195290395605,nan
y c g,3,-12.59934088378198,nan,-13.984236993468919,nan,-13.928550755804974,nan,1.086192943445067,nan,1.086066408482555,nan,1.001802566653154,nan,1.001620329465096,nan
l R z,3,-10.192387876398449,nan,-9.838860446408614,nan,-9.99293749073021,nan,1.1005339623509767,nan,1.1002309882090728,nan,1.0036221236252774,nan,1.0028453238837398,nan
J Y p,3,-12.54181936220316,nan,-14.942545060385928,nan,-14.515188051754455,nan,1.0744272382438265,nan,1.0744272615162944,nan,1.0006121824303642,nan,1.000814063660477,nan
C ^ z,3,-11.651672770289025,nan,-12.268795068928606,nan,-12.292973767994791,nan,1.1370281793746608,nan,1.136307248567954,nan,1.0039282148404596,nan,1.0030507892628235,nan
C e J,3,-13.354146122614143,nan,-13.293970275774328,nan,-13.64019880683431,nan,1.0664384480579725,nan,1.066549272877807,nan,1.0032650614531873,nan,1.0026164649370832,nan
z i S,3,-11.230943791018042,nan,-14.96291733509283,nan,-14.984277588444522,nan,1.0697424702496192,nan,1.0698071441370873,nan,1.0006121824303642,nan,1.000814063660477,nan
z u v,3,-11.976571891647225,nan,-14.50497130691543,nan,-14.518149012868795,nan,1.0680922855197215,nan,1.0681679008887899,nan,1.0027208402987005,nan,1.0022367256023468,nan
