word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-12.2405569480927,nan,-9.67576402287302,nan,-10.112389330287849,nan,1.1664287253250991,nan,1.1653483232396722,nan,1.0008603383997705,nan,1.0009906499005574,nan
b O r,3,-12.161663005623037,nan,-inf,nan,-13.07320771083381,nan,1.1400170677659007,nan,1.139253542195881,nan,1.0008603383997705,nan,1.0009906499005574,nan
b O s,3,-12.154790126335275,nan,-10.064101529575975,nan,-10.448067930520315,nan,1.1169448151854513,nan,1.1164581012840633,nan,1.0008603383997705,nan,1.0009906499005574,nan
b U n,3,-11.482871246395185,nan,-inf,nan,-12.706609070049499,nan,1.1867900674530028,nan,1.1854787456950167,nan,1.0022942357327216,nan,1.0019735474826295,nan
b u r,3,-10.657585608846762,nan,-11.895312191190508,nan,-11.936117007697993,nan,1.173283485890363,nan,1.172142683108838,nan,1.0031713769366972,nan,1.002571038350358,nan
b U s,3,-11.397104424637758,nan,-inf,nan,-12.754605597830185,nan,1.137306157313355,nan,1.1365885237394078,nan,1.0022942357327216,nan,1.0019735474826295,nan
b W r,3,-11.365658439623385,nan,-12.732138751710416,nan,-12.623890720196796,nan,1.1552163794951809,nan,1.1542804772681803,nan,1.0020242590703365,nan,1.0017847202847006,nan
C e D,3,-12.926171351516434,nan,-inf,nan,-17.792317532122656,nan,1.0701209856220775,nan,1.0701867622708565,nan,1.0014338973329509,nan,1.0013838089333862,nan
C i D,3,-12.585190697340291,nan,-14.810657468114728,nan,-14.887864800106822,nan,1.0675399704227657,nan,1.067635018579334,nan,1.0020242590703365,nan,1.0017847202847006,nan
C O b,3,-13.953422474851093,nan,-15.688440432109578,nan,-15.138115587230269,nan,1.03035832479617,nan,1.0308704690225599,nan,1,1,1.0004009113513144,1.0
C O g,3,-14.113652200754734,nan,-15.751354257520148,nan,-15.211537390239254,nan,1.0379478815660546,nan,1.0383689693224998,nan,1,1,1.0004009113513144,1.0
C O v,3,-14.686309984060554,nan,-inf,nan,-14.885578796762287,nan,1.0446266915235531,nan,1.044967649586447,nan,1,1,1.0004009113513144,1.0
C u D,3,-13.346342607014297,nan,-17.276349552958102,nan,-16.725281083909714,nan,1.0566423506923384,nan,1.056860989659572,nan,1.0011471178663607,nan,1.001187229416972,nan
C u S,3,-13.249296817864824,nan,-13.559352745039632,nan,-13.717645635993351,nan,1.0654462365454045,nan,1.0655592500075024,nan,1.0023614469495423,nan,1.0020045567565714,nan
C u T,3,-14.071855072076271,nan,-13.606398108729685,nan,-13.89660289501889,nan,1.0539101102551798,nan,1.0541615295515936,nan,1.0017542824079515,nan,1.0015958930867717,nan
D e C,3,-12.926171351516434,nan,-12.447393686098698,nan,-12.648368260339142,nan,1.0808777119617154,nan,1.080819750177092,nan,1.0017374796037462,nan,1.001588140768286,nan
D e D,3,-12.8466592885887,nan,-inf,nan,-16.294407555776587,nan,1.0778418892537616,nan,1.077820350057116,nan,1.0014338973329509,nan,1.0013838089333862,nan
D e J,3,-13.317937615266437,nan,-11.857557508586602,nan,-12.296470897940198,nan,1.0738953197334216,nan,1.073921129901147,nan,1.0029518086869278,nan,1.0024054681078856,nan
D e S,3,-12.74961349943923,nan,-11.805641214661952,nan,-12.123621298054543,nan,1.0866457751068277,nan,1.0865186104050464,nan,1.0014338973329509,nan,1.0013838089333862,nan
D i C,3,-12.585190697340291,nan,-13.254464070199441,nan,-13.432794982437242,nan,1.0782966967624037,nan,1.0782680064855694,nan,1.0014675029413613,nan,1.0013993135703572,nan
D i D,3,-12.505678634412558,nan,-15.672928870292095,nan,-15.587179401096968,nan,1.0752608740544498,nan,1.0752686063655934,nan,1.0011639206705658,nan,1.0011949817354573,nan
D i S,3,-12.408632845263087,nan,-14.153156639709842,nan,-14.188981865614707,nan,1.084064759907516,nan,1.0839668667135238,nan,1.0014675029413613,nan,1.0013993135703572,nan
D i T,3,-13.231191099474536,nan,-13.219372750388171,nan,-13.557008908423917,nan,1.0725286336172912,nan,1.072569146257615,nan,1.0017710852121566,nan,1.001603645405257,nan
d u r,3,-10.263439733478537,nan,-12.829838012289567,nan,-12.815277882162901,nan,1.1586995568082927,nan,1.1577236839570144,nan,1.002884597470107,nan,1.0023744588339436,nan
