word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-10.727185486757362,nan,-9.766261405702174,nan,-9.976563620645866,nan,1.1726010273461884,nan,1.1713905223179222,nan,1.0102564145322412,nan,1.0072041072191673,nan
b i l,3,-9.984154556989374,nan,-9.721101606223327,nan,-9.88614838186483,nan,1.190199770662343,nan,1.1887422963807905,nan,1.0096698453408397,nan,1.0068041357807889,nan
b i s,3,-9.849724287899834,nan,-10.791694681339022,nan,-10.858416747334298,nan,1.1662317280524896,nan,1.1650892083387405,nan,1.0060080610532232,nan,1.0044149090214491,nan
b R s,3,-10.357439489251432,nan,-10.558416325689183,nan,-10.659076185370749,nan,1.138680068691187,nan,1.137878323984999,nan,1.004795317785428,nan,1.003597749431214,nan
b Y s,3,-10.68095258123014,nan,-10.848586242916175,nan,-10.953165602397531,nan,1.1443156353787263,nan,1.1434441866937188,nan,1.002877190671257,nan,1.0023289682621668,nan
b ^ l,3,-10.321000695278805,nan,-11.099053896025822,nan,-11.112742840495597,nan,1.2215084744820048,nan,1.2196637558736787,nan,1.0091389314351893,nan,1.0065008497807317,nan
C @ l,3,-11.316260213119559,nan,-11.597821439107838,nan,-11.833238286590214,nan,1.1509374443748361,nan,1.149963316567814,nan,1.0072047539202582,nan,1.005152599886841,nan
C i D,3,-12.596072235237717,nan,-15.210861675429554,nan,-15.282269470227018,nan,1.0693351224446526,nan,1.0694175873455314,nan,1.0018983246716755,nan,1.001685969320904,nan
C i n,3,-10.912629875677162,nan,-11.121364093340043,nan,-11.347200303929789,nan,1.1578837243088338,nan,1.1568026070564381,nan,1.0065587774013691,nan,1.0047268033782455,nan
C R J,3,-13.520181615229669,nan,-14.422553836596663,nan,-14.333659203747638,nan,1.0387874577571183,nan,1.0392500669865337,nan,1,1,1.0004257965085954,1.0
C R g,3,-12.330597548355833,nan,-14.952892274586237,nan,-14.6511942393491,nan,1.0574292686758935,nan,1.0576469132414612,nan,1,1,1.0004257965085954,1.0
C R T,3,-13.768361244705204,nan,-12.893440361659065,nan,-13.304358714969759,nan,1.0394532367185032,nan,1.0399070972099238,nan,1.0003328894806924,nan,1.0006429989412626,nan
C ^ J,3,-13.349312552167502,nan,-15.892705883789091,nan,-15.585240837197176,nan,1.0976478209380827,nan,1.0973824108331633,nan,1.0012721505952822,nan,1.0012687811690475,nan
C ^ n,3,-11.249476013966593,nan,-10.95305737232997,nan,-11.066635699246874,nan,1.1891924281284956,nan,1.1877240665493263,nan,1.0145877298229786,nan,1.0099568784757373,nan
C ^ S,3,-12.797577025657386,nan,-13.384170615607648,nan,-13.567076807870173,nan,1.1096318422430096,nan,1.1092089548541881,nan,1.0029365979987441,nan,1.0023547933323838,nan
C ^ C,3,-13.00035965432268,nan,-13.569811629195664,nan,-13.758795809981232,nan,1.1029740526291614,nan,1.1026386526202854,nan,1.0029365979987441,nan,1.0023547933323838,nan
d i k,3,-9.665464356392755,nan,-11.407300760814197,nan,-11.486152889635859,nan,1.158282692974832,nan,1.1572319856241284,nan,1.0057939862275054,nan,1.004249356729216,nan
d i s,3,-9.454820967842778,nan,-11.604872067796823,nan,-11.628204250618387,nan,1.1506262349189067,nan,1.1496761380551401,nan,1.0041295388240434,nan,1.0031633445658796,nan
d i t,3,-9.363521105644606,nan,-9.997452492036723,nan,-10.114872445079799,nan,1.1765916144129147,nan,1.175300316767361,nan,1.0074584336309675,nan,1.005335368892552,nan
