word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.591253996150545,nan,-inf,nan,-15.122808408096603,nan,1.0712148478383803,nan,1.071890146562797,nan,1,1,1.0010224505367016,1.0
g i T,3,-12.145524781349806,nan,-12.14184807510492,nan,-13.36087542604914,nan,1.1077835549195294,nan,1.1056284283346167,nan,1,1,1.0010224505367016,1.0
z i T,3,-11.910685190272407,nan,-16.065567120296254,nan,-16.337851821571036,nan,1.0692396577032552,nan,1.0700553058049724,nan,1.0021551724137931,nan,1.001526228874233,nan
y c g,3,-13.025447869053087,nan,-inf,nan,-13.771254548959732,nan,1.081701896915476,nan,1.0814140661622356,nan,1.0049140049140048,nan,1.0020597949350418,nan
l R z,3,-10.92985593726068,nan,-inf,nan,-12.363687318798593,nan,1.0852554612199818,nan,1.0845782463269973,nan,1,1,1.0010224505367016,1.0
J Y p,3,-12.968289455213137,nan,-inf,nan,-13.731993121995767,nan,1.0897457883262358,nan,1.0887076202809023,nan,1.0049140049140048,nan,1.0020597949350418,nan
C ^ z,3,-12.675095390853842,nan,-inf,nan,-13.211643290430347,nan,1.1199735812820064,nan,1.1165877702113591,nan,1.0049140049140048,nan,1.0020597949350418,nan
C e J,3,-14.91419960426845,nan,-inf,nan,-16.48883348726741,nan,1.0581619655910803,nan,1.0598608670562983,nan,1,1,1.0010224505367016,1.0
z i S,3,-12.161999618553311,nan,-inf,nan,-16.296179125170468,nan,1.0692396577032552,nan,1.0700553058049724,nan,1.0021551724137931,nan,1.001526228874233,nan
z u v,3,-12.621985565539893,nan,-inf,nan,-14.224678579595972,nan,1.06549061085076,nan,1.0663778191553632,nan,1.0073710073710074,nan,1.002578467134212,nan
D Y p,3,-12.206149403166242,nan,-inf,nan,-13.270139497111956,nan,1.1025937540649937,nan,1.1005653277907839,nan,1.0049140049140048,nan,1.0020597949350418,nan
s R k,3,-9.994696721082143,nan,-10.762645881867462,nan,-11.418556644273936,nan,1.1811890432349341,nan,1.1726336886425293,nan,1.0067673472845888,nan,1.0025486794109346,nan
b R s,3,-10.441710832103178,nan,-9.62248459028648,nan,-10.551692754113555,nan,1.1723080579085527,nan,1.164462682421221,nan,1.0024570024570025,nan,1.0015411227358717,nan
T ^ z,3,-12.557312355197459,nan,-inf,nan,-12.384964717245879,nan,1.1285388917745118,nan,1.12449290855128,nan,1.0049140049140048,nan,1.0020597949350418,nan
S c G,3,-13.661436635773082,nan,-inf,nan,-12.885896462954198,nan,1.0768562882154775,nan,1.076814551814232,nan,1.0024570024570025,nan,1.0015411227358717,nan
J e J,3,-15.047730996892973,nan,-inf,nan,-14.927335037122429,nan,1.0667272760835858,nan,1.0677660053962192,nan,1.0021551724137931,nan,1.001526228874233,nan
D ^ z,3,-12.046486731431468,nan,-9.80727276962281,nan,-11.188291215401554,nan,1.1413868575132697,nan,1.1363506160611616,nan,1.007069177327798,nan,1.0025635732725733,nan
S Y p,3,-12.968289455213137,nan,-inf,nan,-14.291608909931192,nan,1.0833218054568567,nan,1.0827787665259616,nan,1.0049140049140048,nan,1.0020597949350418,nan
n W C,3,-12.926107841176844,nan,-inf,nan,-14.093315006919644,nan,1.0702669955974247,nan,1.0709183985753852,nan,1.0021551724137931,nan,1.001526228874233,nan
l W C,3,-13.24022317069678,nan,-inf,nan,-14.34017508485117,nan,1.07883230608993,nan,1.078823536915306,nan,1,1,1.0010224505367016,1.0
S c d,3,-13.117821189184102,nan,-inf,nan,-14.2410078966374,nan,1.0940553054144946,nan,1.092509619078806,nan,1,1,1.0010224505367016,1.0
g i J,3,-12.396839209630713,nan,-inf,nan,-14.012349910208517,nan,1.1053265524625269,nan,1.103386275868249,nan,1,1,1.0010224505367016,1.0
C u T,3,-14.879108284457182,nan,-inf,nan,-16.43387934797891,nan,1.043377588737738,nan,1.0461984469580539,nan,1,1,1.0010224505367016,1.0
D i g,3,-11.634699157583817,nan,-inf,nan,-14.872252125307025,nan,1.1053949486765333,nan,1.1032710664529812,nan,1.0021551724137931,nan,1.001526228874233,nan
w u T,3,-13.151887336366698,nan,-inf,nan,-13.74723305553985,nan,1.120465383170286,nan,1.1173446920173424,nan,1.0021551724137931,nan,1.001526228874233,nan
T c T,3,-14.796416568612067,nan,-inf,nan,-15.592601975373286,nan,1.0562532440578296,nan,1.058079728439128,nan,1,1,1.0010224505367016,1.0
g u T,3,-13.432189301520857,nan,-inf,nan,-14.92083328121987,nan,1.081921485954012,nan,1.0817715694876981,nan,1,1,1.0010224505367016,1.0
f R s,3,-11.081748187349175,nan,-10.631105860627864,nan,-11.553678207092593,nan,1.1209161949535207,nan,1.1170318523816953,nan,1.0046121748707957,nan,1.0020449010734032,nan
J Y m,3,-12.703181704799896,nan,-inf,nan,-12.636992723644058,nan,1.1241438227242702,nan,1.1200977548100504,nan,1.0024570024570025,nan,1.0015411227358717,nan
n R z,3,-10.615740607740744,nan,-inf,nan,-12.809974421427013,nan,1.0766901507274764,nan,1.0766731079870764,nan,1,1,1.0010224505367016,1.0
m R n,3,-10.086481282285915,nan,-9.768290653531997,nan,-10.681203945378556,nan,1.2131984713899728,nan,1.2016664612900416,nan,1.0024570024570025,nan,1.0015411227358717,nan
C u S,3,-15.130422712738088,nan,-inf,nan,-15.699059471018394,nan,1.043377588737738,nan,1.0461984469580539,nan,1,1,1.0010224505367016,1.0
S e J,3,-15.047730996892973,nan,-inf,nan,-16.180098005617797,nan,1.0603032932142067,nan,1.0618371516412786,nan,1,1,1.0010224505367016,1.0
T ^ S,3,-14.372602321835707,nan,-inf,nan,-15.192151284837205,nan,1.1015118647474849,nan,1.0998292314212352,nan,1,1,1.0010224505367016,1.0
v e D,3,-13.458912371661611,nan,-inf,nan,-16.80016975061708,nan,1.0606189680480829,nan,1.0621030195226662,nan,1,1,1.0010224505367016,1.0
C ^ S,3,-14.490385357492091,nan,-inf,nan,-16.018829858021675,nan,1.0929465542549794,nan,1.0919240930813143,nan,1,1,1.0010224505367016,1.0
n c T,3,-12.248709017585037,nan,-inf,nan,-15.917528220997438,nan,1.0755251926659666,nan,1.0758662897039502,nan,1,1,1.0010224505367016,1.0
s R p,3,-10.4236923266005,nan,-inf,nan,-12.281602861629278,nan,1.1345059965518876,nan,1.1300327917815427,nan,1.0043103448275863,nan,1.0020300072117645,nan
D i D,3,-12.45300948109777,nan,-inf,nan,-15.268667397895271,nan,1.0906529339345186,nan,1.089818151654775,nan,1.0021551724137931,nan,1.001526228874233,nan
S c g,3,-13.718595049613032,nan,-inf,nan,-14.731030392773627,nan,1.0645712759304653,nan,1.0656037894823935,nan,1.0049140049140048,nan,1.0020597949350418,nan
C i S,3,-13.843758192567037,nan,-inf,nan,-16.441686708841708,nan,1.0692396577032552,nan,1.0700553058049724,nan,1,1,1.0010224505367016,1.0
g i D,3,-11.634699157583817,nan,-inf,nan,-14.16953549373093,nan,1.1077835549195294,nan,1.1056284283346167,nan,1,1,1.0010224505367016,1.0
T c S,3,-15.047730996892973,nan,-inf,nan,-14.164634917852826,nan,1.0562532440578296,nan,1.058079728439128,nan,1.0024570024570025,nan,1.0015411227358717,nan
z u T,3,-13.197349710443454,nan,-inf,nan,-16.981518944867616,nan,1.043377588737738,nan,1.0461984469580539,nan,1,1,1.0010224505367016,1.0
S Y m,3,-12.703181704799896,nan,-inf,nan,-13.196608511579482,nan,1.117719839854891,nan,1.1141689010551097,nan,1.0024570024570025,nan,1.0015411227358717,nan
D ^ v,3,-13.035098124885248,nan,-10.376805994215578,nan,-12.261139367133532,nan,1.136472852599265,nan,1.1318663111284262,nan,1.0046121748707957,nan,1.0020449010734032,nan
t W C,3,-12.78069084131834,nan,-inf,nan,-13.392251268281848,nan,1.0873976165824353,nan,1.086728675255227,nan,1.0043103448275863,nan,1.0020300072117645,nan
g Y b,3,-11.405857585154969,nan,-inf,nan,-15.27405160229069,nan,1.1049823603079898,nan,1.1029226896724194,nan,1,1,1.0010224505367016,1.0
r c S,3,-12.914222233942862,nan,-12.171658318729637,nan,-13.714218421882396,nan,1.0691012097965875,nan,1.0699374359490095,nan,1.0024570024570025,nan,1.0015411227358717,nan
d R s,3,-10.321909632290557,nan,-11.15455563762225,nan,-11.721400964465394,nan,1.129481505446026,nan,1.1249369907216162,nan,1.0024570024570025,nan,1.0015411227358717,nan
S c z,3,-13.483755458535631,nan,-inf,nan,-12.974003730464466,nan,1.0768562882154775,nan,1.076814551814232,nan,1,1,1.0010224505367016,1.0
y c d,3,-12.424674008624157,nan,-inf,nan,-13.281232052823507,nan,1.1111859263995054,nan,1.108319895758648,nan,1,1,1.0010224505367016,1.0
J u S,3,-15.263954105362611,nan,-inf,nan,-13.732095912765246,nan,1.0519428992302433,nan,1.0541035852979748,nan,1.0043103448275863,nan,1.0020300072117645,nan
h u S,3,-13.775877049932777,nan,-inf,nan,-13.787953244157773,nan,1.101193434562149,nan,1.0995581307525204,nan,1,1,1.0010224505367016,1.0
g u S,3,-13.683503729801762,nan,-inf,nan,-14.186013404259358,nan,1.081921485954012,nan,1.0817715694876981,nan,1,1,1.0010224505367016,1.0
y R z,3,-12.721615406488736,nan,-9.219155471555172,nan,-10.944603134855711,nan,1.068124840234971,nan,1.0687679696471555,nan,1.0021551724137931,nan,1.001526228874233,nan
C e g,3,-13.333749228707603,nan,-inf,nan,-16.249603798201576,nan,1.0753609827900976,nan,1.0755559343208725,nan,1,1,1.0010224505367016,1.0
z i J,3,-12.161999618553311,nan,-inf,nan,-16.989326305730412,nan,1.0667826552462527,nan,1.0678131533386046,nan,1.0021551724137931,nan,1.001526228874233,nan
m u S,3,-12.919404813269534,nan,-inf,nan,-12.712216144881648,nan,1.1119000726777808,nan,1.1094395536774215,nan,1.0064655172413792,nan,1.0025337855492962,nan
D Y m,3,-11.941041652753,nan,-inf,nan,-12.17513909876025,nan,1.136991788463028,nan,1.131955462319932,nan,1.0024570024570025,nan,1.0015411227358717,nan
J e g,3,-13.467280621332126,nan,-inf,nan,-14.688105348056594,nan,1.083926293282603,nan,1.0834610726607934,nan,1.0021551724137931,nan,1.001526228874233,nan
f u v,3,-13.015889851246982,nan,-inf,nan,-12.36596804282496,nan,1.0933278699514024,nan,1.0920695187601064,nan,1.0073710073710074,nan,1.002578467134212,nan
v R n,3,-11.604352001194524,nan,-11.489098386787768,nan,-12.723585662674449,nan,1.14467598744993,nan,1.138425354570674,nan,1.0024570024570025,nan,1.0015411227358717,nan
g i C,3,-12.26330781700619,nan,-inf,nan,-13.117112587532194,nan,1.117611564747539,nan,1.1145970382000876,nan,1,1,1.0010224505367016,1.0
C i D,3,-13.081618140520142,nan,-inf,nan,-17.292019472924064,nan,1.0692396577032552,nan,1.0700553058049724,nan,1,1,1.0010224505367016,1.0
C Y z,3,-13.098909637630202,nan,-inf,nan,-12.988499739116138,nan,1.0811804778337304,nan,1.0808024819409814,nan,1,1,1.0010224505367016,1.0
d c T,3,-12.866506760903196,nan,-inf,nan,-14.177320077380143,nan,1.084090503158472,nan,1.083771428043871,nan,1.0043103448275863,nan,1.0020300072117645,nan
y R v,3,-13.710226799942516,nan,-inf,nan,-12.710598467147635,nan,1.0632108353209662,nan,1.06428366471442,nan,1.0021551724137931,nan,1.001526228874233,nan
z i g,3,-10.581549242992464,nan,-inf,nan,-16.750096616664578,nan,1.08398167244527,nan,1.0835082206031788,nan,1.0021551724137931,nan,1.001526228874233,nan
S e g,3,-13.467280621332126,nan,-inf,nan,-15.940868316551962,nan,1.077502310413224,nan,1.0775322189058527,nan,1,1,1.0010224505367016,1.0
C e D,3,-14.152059552221555,nan,-inf,nan,-16.646019070789823,nan,1.0606189680480829,nan,1.0621030195226662,nan,1,1,1.0010224505367016,1.0
n W T,3,-12.80832480552046,nan,-13.15302448450594,nan,-14.337077845436589,nan,1.060438985769415,nan,1.0619497887099143,nan,1.0046121748707957,nan,1.0020449010734032,nan
T ^ J,3,-14.372602321835707,nan,-inf,nan,-15.88529846539715,nan,1.0990548622904823,nan,1.0975870789548674,nan,1,1,1.0010224505367016,1.0
T c g,3,-13.467280621332126,nan,-inf,nan,-14.213087301238772,nan,1.0709952587998444,nan,1.0715326432373342,nan,1.0049140049140048,nan,1.0020597949350418,nan
n c G,3,-10.862414656465146,nan,-inf,nan,-12.692879617043495,nan,1.1025522196929936,nan,1.100529966833995,nan,1.0024570024570025,nan,1.0015411227358717,nan
s R n,3,-9.704111888972399,nan,-9.428525329412315,nan,-10.332931551132639,nan,1.2303290923749834,nan,1.2174767379698834,nan,1.0067673472845888,nan,1.0025486794109346,nan
s R d,3,-10.32190963229056,nan,-inf,nan,-11.243615194777604,nan,1.1517050137509046,nan,1.1457278590461166,nan,1.0043103448275863,nan,1.0020300072117645,nan
J e D,3,-14.285590944846078,nan,-inf,nan,-15.084520620644842,nan,1.0691842785405883,nan,1.070008157862587,nan,1.0021551724137931,nan,1.001526228874233,nan
b c T,3,-12.986307960715816,nan,-inf,nan,-13.413076975136468,nan,1.1269170556209986,nan,1.1232971197434758,nan,1.0043103448275863,nan,1.0020300072117645,nan
y ^ z,3,-12.11547960291842,nan,-9.825291275125487,nan,-11.249984784406895,nan,1.1392455298901434,nan,1.1343743314761814,nan,1.007069177327798,nan,1.0025635732725733,nan
y c T,3,-14.35458381633303,nan,-inf,nan,-15.150769223094246,nan,1.0669598821734612,nan,1.0679611513640292,nan,1,1,1.0010224505367016,1.0
