word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.035180625701551,nan,-11.567028960886216,nan,-12.028484932753194,nan,1.1870218528011598,nan,1.1842965959406515,nan,1.001192844213906,nan,1.0011909784138486,nan
b O r,3,-13.077110318839676,nan,-inf,nan,-13.51291807175845,nan,1.178395851568874,nan,1.1758831344021898,nan,1.0005767012687428,nan,1.0008883149755918,nan
b O s,3,-13.001923403945069,nan,-10.916355657187676,nan,-11.66239219339802,nan,1.1500532760913633,nan,1.1482389036329592,nan,1.001192844213906,nan,1.0011909784138486,nan
b U n,3,-11.521052893071776,nan,-inf,nan,-12.356838044935904,nan,1.2043228908634436,nan,1.2011980043913557,nan,1.0017301038062283,nan,1.001473966512927,nan
b u r,3,-10.783657709408903,nan,-12.357167064703903,nan,-12.162010722222883,nan,1.2066542137372709,nan,1.2034887682050066,nan,1.00407635055762,nan,1.002655107257187,nan
b U s,3,-11.487795671315293,nan,-inf,nan,-12.396210413688895,nan,1.167354314153647,nan,1.1651403120836634,nan,1.0017301038062283,nan,1.001473966512927,nan
b W r,3,-11.504713678085926,nan,-inf,nan,-13.403355869246925,nan,1.1899298769437299,nan,1.1871507400359926,nan,1.0011534025374855,nan,1.0011811407442595,nan
C e D,3,-14.204717088015993,nan,-inf,nan,-16.24331940642829,nan,1.0774746991865587,nan,1.0774048438443633,nan,1.0023068050749713,nan,1.0017667922815947,nan
C i D,3,-13.373610463315792,nan,-14.613695352054762,nan,-14.981165455617823,nan,1.0763212966490732,nan,1.076278083280983,nan,1.0029229480201345,nan,1.0020694557198515,nan
C O b,3,-14.950172735353554,nan,-inf,nan,-15.373823365502544,nan,1.0367804830419078,nan,1.0376306699548725,nan,1.0006161429451632,nan,1.000898152645181,nan
C O g,3,-15.54239399732354,nan,-inf,nan,-15.219283928526977,nan,1.0380127689322345,nan,1.0388325930317956,nan,1,1,1.0005954892069242,1.0
C O v,3,-16.12221249257648,nan,-inf,nan,-14.596645436091105,nan,1.0398611977677243,nan,1.0406354776471802,nan,1,1,1.0005954892069242,1.0
C u D,3,-14.64326792070992,nan,-inf,nan,-16.41956673353314,nan,1.052099843361876,nan,1.052616111449997,nan,1.0011534025374855,nan,1.0011811407442595,nan
C u S,3,-13.773190031990897,nan,-13.010142979053722,nan,-13.432709937659526,nan,1.056412843978019,nan,1.0568228422192278,nan,1.0017695454826487,nan,1.0014838041825163,nan
C u T,3,-14.413693479065422,nan,-13.660623713294765,nan,-14.038649797269187,nan,1.054564415142529,nan,1.0550199576038433,nan,1.0017695454826487,nan,1.0014838041825163,nan
D e C,3,-14.204717088015993,nan,-12.86629799548041,nan,-13.502221351279882,nan,1.0826603334463674,nan,1.0824569608450096,nan,1.002883506343714,nan,1.0020596180502623,nan
D e D,3,-14.881603747704158,nan,-inf,nan,-15.99116514825485,nan,1.0740343322140815,nan,1.0740434993065482,nan,1.002883506343714,nan,1.0020596180502623,nan
D e J,3,-14.486949555700209,nan,-11.773135311579864,nan,-12.959166696716466,nan,1.0746504751592447,nan,1.0746444608450096,nan,1.004731935179204,nan,1.0029676083650323,nan
D e S,3,-14.011525858985134,nan,-12.143198492637113,nan,-13.004308352381237,nan,1.0783473328302244,nan,1.078250230075779,nan,1.002883506343714,nan,1.0020596180502623,nan
D i C,3,-13.373610463315792,nan,-13.92054817149482,nan,-14.396469983285378,nan,1.0815069309088818,nan,1.0813302002816294,nan,1.0030412730493958,nan,1.0020989687286186,nan
D i D,3,-14.050497123003957,nan,-16.303932306498215,nan,-16.415410151014616,nan,1.072880929676596,nan,1.072916738743168,nan,1.001192844213906,nan,1.0011909784138486,nan
D i S,3,-13.180419234284933,nan,-15.27689021033136,nan,-15.220312824369055,nan,1.077193930292739,nan,1.0771234695123988,nan,1.0005767012687428,nan,1.0008883149755918,nan
