word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-10.541747675754765,nan,-9.43664469682655,nan,-9.70727518064809,nan,1.2012575947024375,nan,1.199125765436057,nan,1.0148509047477963,nan,1.0092556817808074,nan
b i l,3,-9.444841589838001,nan,-9.924081025353239,nan,-10.09167569172136,nan,1.2182864088304912,nan,1.2158471847496075,nan,1.011436478798159,nan,1.0072267697848654,nan
b i s,3,-9.270344328151575,nan,-10.668827331276457,nan,-10.754185880793882,nan,1.2169332288575547,nan,1.2145179866990978,nan,1.0064748188973922,nan,1.0043449254044619,nan
b R s,3,-10.00401270611716,nan,-10.169352340811667,nan,-10.326087074016954,nan,1.1832157726048873,nan,1.1813664969802562,nan,1.0060965291482358,nan,1.0041080551115114,nan
b Y s,3,-10.39455216400865,nan,-10.471960063480124,nan,-10.62820607793332,nan,1.1951662634286175,nan,1.1931163920704786,nan,1.0052186659135522,nan,1.0035924552592546,nan
b ^ l,3,-10.182276450599062,nan,-10.751423306198859,nan,-10.768257855406612,nan,1.2340781288475633,nan,1.2313738318331158,nan,1.0119990043182787,nan,1.0076335355445967,nan
C @ l,3,-11.421273053768571,nan,-12.843021166165393,nan,-12.89720127109411,nan,1.1490385348203418,nan,1.1477563989056674,nan,1.0022067864603459,nan,1.001808785409534,nan
C i D,3,-13.404061599212056,nan,-15.121631267607176,nan,-15.219597715522717,nan,1.0812680706443811,nan,1.0811814070539545,nan,1.0034386826969115,nan,1.00255288370147,nan
C i n,3,-10.717288796557131,nan,-10.538555221314374,nan,-10.917474677441952,nan,1.1656162889574166,nan,1.1640347522023815,nan,1.0084003425976782,nan,1.0054347280818736,nan
C R J,3,-13.714873126357606,nan,-inf,nan,-15.396660528118263,nan,1.0480016743826925,nan,1.0484729833519493,nan,1,1,1.0005155998522568,1.0
C R g,3,-12.593532586611941,nan,-inf,nan,-15.711039327538288,nan,1.0642398340579293,nan,1.0644233599580637,nan,1,1,1.0005155998522568,1.0
C R T,3,-13.8834958387934,nan,-14.555185651036204,nan,-14.608203167753993,nan,1.04890379436465,nan,1.0493591153856223,nan,1.0004510599909788,nan,1.0007775857050207,nan
C ^ J,3,-13.718639609153083,nan,-inf,nan,-16.086545063043392,nan,1.0975108506524318,nan,1.0971511201542992,nan,1.0004268032437047,nan,1.0007692138517494,nan
C ^ n,3,-11.454723657318192,nan,-11.701177205112502,nan,-11.558750027295055,nan,1.1814080089744887,nan,1.1795613992858898,nan,1.0162139029279627,nan,1.0099387186984878,nan
C ^ S,3,-13.078602253907087,nan,-13.379077767055934,nan,-13.369871932529062,nan,1.1033746305351564,nan,1.1029109783731739,nan,1.0017799832166412,nan,1.0015551714100412,nan
C ^ C,3,-13.268223113182653,nan,-14.232188738054019,nan,-14.151684750174663,nan,1.1029235705441776,nan,1.1024679123563372,nan,1.0022310432076198,nan,1.0018171572628052,nan
d i k,3,-9.20040108084268,nan,-10.978780247101852,nan,-11.111298387595792,nan,1.1851815192673447,nan,1.183287479613467,nan,1.0043893161734172,nan,1.0030935991135403,nan
d i s,3,-8.991133619414535,nan,-11.226417719802964,nan,-11.29067537534697,nan,1.1757092594567897,nan,1.1739830932599002,nan,1.0034871961914598,nan,1.0025696274080125,nan
d i t,3,-8.882455350751071,nan,-9.28806168974137,nan,-9.4544176063472,nan,1.193300599104963,nan,1.1912626679165241,nan,1.0102530960561418,nan,1.0064994151994717,nan
d E p,3,-10.318626433668769,nan,-12.943447343272155,nan,-12.967532466272207,nan,1.1510707571838747,nan,1.1497784506791924,nan,1.004365059426143,nan,1.003085227260269,nan
d R s,3,-9.724801997380121,nan,-10.76468305732102,nan,-10.903220769508177,nan,1.1419918032041223,nan,1.1408316035410586,nan,1.0031089064423033,nan,1.002332757115062,nan
D i D,3,-14.27733494600252,nan,-16.619584946532925,nan,-16.734391892695655,nan,1.0736182618896002,nan,1.0736594680652374,nan,1.0013046664783882,nan,1.0012848137040062,nan
D i g,3,-12.733137555436821,nan,-16.26666235221274,nan,-16.095787693441604,nan,1.0903074815558158,nan,1.0900529106881882,nan,1.0013046664783882,nan,1.0012848137040062,nan
