word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-12.785475577114958,nan,-10.51752385367435,nan,-11.238798909562192,nan,1.188593324533946,nan,1.1867344060899814,nan,1.0024914951452029,nan,1.0019955530518525,nan
b O r,3,-12.870081661303338,nan,-inf,nan,-13.522093587527436,nan,1.1753680685612495,nan,1.1737310503852834,nan,1.001211631663974,nan,1.0012349039646313,nan
b O s,3,-12.658172147323889,nan,-10.799789322363557,nan,-11.397261095335093,nan,1.1600097067865056,nan,1.1586303792443438,nan,1.0016382528243837,nan,1.0014884536603716,nan
b U n,3,-11.561700145492843,nan,-inf,nan,-12.394637072521585,nan,1.2051522906082595,nan,1.2030301135621595,nan,1.002827140549273,nan,1.0022162582335226,nan
b u r,3,-10.75986846095675,nan,-12.683988402549152,nan,-12.341200619345335,nan,1.207678246267227,nan,1.205527552770021,nan,1.005677025037631,nan,1.0039418393325994,nan
b U s,3,-11.434396715701773,nan,-inf,nan,-12.265417185842706,nan,1.1765686728608191,nan,1.1749260867165219,nan,1.002827140549273,nan,1.0022162582335226,nan
b W r,3,-11.631707430260072,nan,-inf,nan,-13.552084301211117,nan,1.184657244651718,nan,1.1828725448208954,nan,1.0020193861066236,nan,1.0017255810990768,nan
C e D,3,-14.421819217407549,nan,-inf,nan,-16.268134907957958,nan,1.0744320005758006,nan,1.074459447146334,nan,1.002827140549273,nan,1.0022162582335226,nan
C i D,3,-13.498883942814725,nan,-14.958169035649107,nan,-15.084127534877721,nan,1.0825095450022948,nan,1.0824085727425186,nan,1.004061516152332,nan,1.0029604850637084,nan
C O b,3,-14.635172883449233,nan,-14.851499512195758,nan,-14.976701058947642,nan,1.0422238259905672,nan,1.042748304499542,nan,1.0008304983817342,nan,1.0009977765259261,nan
C O g,3,-15.33118950643713,nan,-inf,nan,-14.902489271584898,nan,1.0405173413489288,nan,1.0410704521505487,nan,1.0004038772213246,nan,1.0007442268301858,nan
C O v,3,-15.90527732698109,nan,-inf,nan,-14.043468325767893,nan,1.0422238259905672,nan,1.042748304499542,nan,1.0004038772213246,nan,1.0007442268301858,nan
C u D,3,-14.79651266684896,nan,-15.606450460670185,nan,-15.39804061947837,nan,1.0574691572801624,nan,1.0577662833943469,nan,1.001615508885299,nan,1.001480242531854,nan
C u S,3,-13.643833156910574,nan,-11.971638227826526,nan,-12.440529558744577,nan,1.065574959327944,nan,1.065736082052065,nan,1.0028953723665277,nan,1.0022408916190753,nan
C u T,3,-14.448205972580745,nan,-12.003513436356975,nan,-12.71382289374426,nan,1.0591756419218006,nan,1.0594441357433402,nan,1.0028953723665277,nan,1.0022408916190753,nan
D e C,3,-14.421819217407549,nan,-13.704534303520811,nan,-14.030088336101484,nan,1.0757726138119708,nan,1.0757699786920838,nan,1.0020193861066236,nan,1.0017255810990768,nan
D e D,3,-15.39217717055198,nan,-inf,nan,-16.680114697087316,nan,1.0663869482829607,nan,1.0665417907726207,nan,1.0020193861066236,nan,1.0017255810990768,nan
D e J,3,-14.816813025648418,nan,-12.798714871513951,nan,-13.67608362071863,nan,1.0685200540850084,nan,1.0686391062088623,nan,1.0032992495878523,nan,1.002486230186298,nan
D e S,3,-14.239497660613594,nan,-12.565100020332446,nan,-13.252600007107787,nan,1.0744927503307422,nan,1.0745115894303388,nan,1.0020193861066236,nan,1.0017255810990768,nan
D i C,3,-13.498883942814725,nan,-13.752000840759735,nan,-14.301368195628088,nan,1.083850158238465,nan,1.0837191042882683,nan,1.0029408602446972,nan,1.0022573138761104,nan
D i D,3,-14.469241895959156,nan,-16.652843898523194,nan,-16.817863163989397,nan,1.0744644927094549,nan,1.0744909163688052,nan,1.001234375603059,nan,1.001243115093149,nan
D i S,3,-13.31656238602077,nan,-14.80979113490759,nan,-15.06432490758154,nan,1.0825702947572364,nan,1.0824607150265233,nan,1.0008077544426495,nan,1.0009895653974086,nan
D i T,3,-14.12093520169094,nan,-13.925375611563885,nan,-14.644471062021278,nan,1.076170977351093,nan,1.0761687687177985,nan,1.0020876179238782,nan,1.0017502144846298,nan
d u r,3,-10.46861112549028,nan,-14.707916290873671,nan,-14.24736959462798,nan,1.1642349638858918,nan,1.162772208351969,nan,1.002849884488358,nan,1.00222446936204,nan
D W C,3,-15.668351636152282,nan,-12.96882750854207,nan,-13.497679140668318,nan,1.0357887689008236,nan,1.036421806990971,nan,1.0008532423208192,nan,1.001005987654444,nan
D W D,3,-16.638709589296713,nan,-16.275135674413693,nan,-16.14770550165415,nan,1.0264031033718135,nan,1.0271936190715079,nan,1.0004266211604096,nan,1.0007524379587034,nan
D W T,3,-16.2904028950285,nan,-14.058493011220374,nan,-14.379778507794196,nan,1.0281095880134516,nan,1.0288714714205012,nan,1.0004266211604096,nan,1.0007524379587034,nan
f U n,3,-12.032277004906181,nan,-inf,nan,-13.386636057915936,nan,1.163720271300134,nan,1.1622541832375357,nan,1.001211631663974,nan,1.0012349039646313,nan
f u r,3,-11.230445320370087,nan,-15.158679022763897,nan,-14.514699553213564,nan,1.1662462269591016,nan,1.1647516224453973,nan,1.001234375603059,nan,1.001243115093149,nan
f U s,3,-11.904973575115111,nan,-inf,nan,-13.257416171237058,nan,1.1351366535526937,nan,1.134150156391898,nan,1.001211631663974,nan,1.0012349039646313,nan
f W r,3,-12.10228428967341,nan,-inf,nan,-14.985916038884508,nan,1.1432252253435926,nan,1.1420966144962716,nan,1.0004038772213246,nan,1.0007442268301858,nan
f ^ r,3,-10.669964106158236,nan,-inf,nan,-14.580450930776344,nan,1.2078455807555475,nan,1.205689619265747,nan,1.0032310177705976,nan,1.0024615968007453,nan
g U n,3,-12.25771676848074,nan,-inf,nan,-13.074019892531657,nan,1.1456189036412443,nan,1.1444394563966804,nan,1.001211631663974,nan,1.0012349039646313,nan
g U S,3,-13.92509251802106,nan,-10.724077714267224,nan,-11.349701704099134,nan,1.0671206101258859,nan,1.067258248342989,nan,1.0024914951452029,nan,1.0019955530518525,nan
g U T,3,-14.72946533369123,nan,-inf,nan,-13.41475450832687,nan,1.0607212927197425,nan,1.0609663020342643,nan,1.001211631663974,nan,1.0012349039646313,nan
g W C,3,-14.092815275393862,nan,-inf,nan,-13.794550593259636,nan,1.0611306836232695,nan,1.061362424568168,nan,1.0008532423208192,nan,1.001005987654444,nan
g W D,3,-15.063173228538293,nan,-inf,nan,-16.444576954245466,nan,1.0517450180942594,nan,1.052134236648705,nan,1.0004266211604096,nan,1.0007524379587034,nan
g W T,3,-14.714866534270078,nan,-inf,nan,-14.676649960385511,nan,1.0534515027358975,nan,1.0538120889976983,nan,1.0004266211604096,nan,1.0007524379587034,nan
g ^ r,3,-10.895403869732796,nan,-inf,nan,-14.945233588983871,nan,1.1897442130966578,nan,1.1878748924248916,nan,1.0020193861066236,nan,1.0017255810990768,nan
h U n,3,-12.549237617239688,nan,-inf,nan,-13.096113997926334,nan,1.1576864820805042,nan,1.1563159409572505,nan,1.0008077544426495,nan,1.0009895653974086,nan
h u r,3,-11.747405932703593,nan,-14.361941517485723,nan,-13.93649542077218,nan,1.1602124377394718,nan,1.1588133801651122,nan,1.0016382528243837,nan,1.0014884536603716,nan
h U s,3,-12.421934187448619,nan,-inf,nan,-12.966894111247456,nan,1.1291028643330638,nan,1.128211914111613,nan,1.0008077544426495,nan,1.0009895653974086,nan
h W r,3,-12.619244902006916,nan,-inf,nan,-13.596781690226798,nan,1.1371914361239628,nan,1.1361583722159865,nan,1.001211631663974,nan,1.0012349039646313,nan
J O b,3,-15.030166691690102,nan,-13.620257679754271,nan,-14.279751592437956,nan,1.0386035524587893,nan,1.0391853591313711,nan,1.0008304983817342,nan,1.0009977765259261,nan
J ^ r,3,-11.895576085587653,nan,-inf,nan,-15.683412943570918,nan,1.168827077135274,nan,1.167288985853237,nan,1.001615508885299,nan,1.001480242531854,nan
k E G,3,-10.488515060076558,nan,-12.684658838394508,nan,-12.411267658124743,nan,1.1457213459048186,nan,1.1446051165086502,nan,1.0016382528243837,nan,1.0014884536603716,nan
k E S,3,-11.408308422501918,nan,-13.07769268520717,nan,-13.131565827750638,nan,1.1380421650174466,nan,1.1370547809381804,nan,1.001211631663974,nan,1.0012349039646313,nan
k i b,3,-9.47310940915942,nan,-14.09660096667551,nan,-13.86152793551843,nan,1.1566942626978405,nan,1.1554024564858165,nan,1.0032310177705976,nan,1.0024615968007453,nan
k i C,3,-10.774304439761305,nan,-11.226790018159779,nan,-11.514451119115165,nan,1.1490150818104683,nan,1.1478521209153467,nan,1.0053641235726454,nan,1.0037293452794471,nan
