word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.663482944055367,nan,-12.812922949777748,nan,-13.057745331205364,nan,1.0923976715696446,nan,1.0921650336550266,nan,1.0016123926720215,nan,1.0014624943249943,nan
g i T,3,-12.629510388904635,nan,-12.378244156000074,nan,-12.813624431612105,nan,1.094972183138132,nan,1.0947060398493882,nan,1.0016123926720215,nan,1.0014624943249943,nan
z i T,3,-11.868827001354202,nan,-15.306768387494822,nan,-15.58309482828985,nan,1.066168175624043,nan,1.066267090854025,nan,1.0019264630237803,nan,1.0016680441708319,nan
y c g,3,-13.572648370814978,nan,-13.163715047455064,nan,-13.344658195899463,nan,1.072115616338298,nan,1.0721309286389096,nan,1.0025966446405254,nan,1.0020968779156054,nan
l R z,3,-10.097639457925329,nan,-9.595014300620115,nan,-9.751391529319068,nan,1.0949302893348074,nan,1.0946528662068702,nan,1.0009702383307615,nan,1.0010454832822864,nan
J Y p,3,-12.593013371669082,nan,-14.04928353756189,nan,-13.846860205807463,nan,1.0966968382160978,nan,1.096386202647832,nan,1.0029387422677694,nan,1.0023142504635087,nan
C ^ z,3,-11.93506311757795,nan,-12.825390395748604,nan,-12.499782846874863,nan,1.1191913881916464,nan,1.118604557375412,nan,1.0035949102467718,nan,1.0027371728572494,nan
C e J,3,-13.79362134817942,nan,-13.104444339681839,nan,-13.493783971894102,nan,1.0745826819306827,nan,1.0745754568662285,nan,1.003196758068558,nan,1.0024961549052152,nan
z i S,3,-10.985923285512783,nan,-16.595137211444403,nan,-16.39068586681434,nan,1.073386023393072,nan,1.0733891368235946,nan,1.0009422110552764,nan,1.0010336605802208,nan
z u v,3,-12.453301967100426,nan,-15.947056995743607,nan,-15.842548466836716,nan,1.0589610441662292,nan,1.0591431376417013,nan,1.0025966446405254,nan,1.0020968779156054,nan
D Y p,3,-13.392770287287286,nan,-14.111750132547565,nan,-14.211291252805669,nan,1.0885565752229858,nan,1.0883491083665338,nan,1.0029387422677694,nan,1.0023142504635087,nan
s R k,3,-9.541680714640304,nan,-11.15433791842189,nan,-11.233375811914055,nan,1.2215935128658049,nan,1.2196838506593548,nan,1.0076918384573788,nan,1.0054152322041712,nan
b R s,3,-10.000755273353848,nan,-9.577710420453071,nan,-9.731885629242099,nan,1.1846024025654875,nan,1.1831662779590968,nan,1.00737776810562,nan,1.0052096823583336,nan
T ^ z,3,-12.590182902548657,nan,-12.72988639871332,nan,-12.59419434804302,nan,1.1126165603895175,nan,1.1121130581482097,nan,1.0035949102467718,nan,1.0027371728572494,nan
S c G,3,-12.563570265086973,nan,-12.581752605888685,nan,-12.298932575121553,nan,1.0710713765645752,nan,1.071101299146414,nan,1.0019544902992654,nan,1.0016798668728975,nan
J e J,3,-14.164797382808953,nan,-13.000747670186568,nan,-13.464850027358905,nan,1.0733303337778963,nan,1.0733389808229519,nan,1.0025686173650403,nan,1.00208505521354,nan
D ^ z,3,-13.105996067825686,nan,-12.601838764445056,nan,-12.681129269510611,nan,1.109798777045748,nan,1.1093309870508372,nan,1.0035949102467718,nan,1.0027371728572494,nan
S Y p,3,-11.994053406168838,nan,-13.117367913131137,nan,-13.231841627513347,nan,1.0988884474834741,nan,1.098550035723566,nan,1.003566882971287,nan,1.0027253501551838,nan
n W C,3,-12.840898768738008,nan,-14.748954480167157,nan,-14.525790852183192,nan,1.0560184920100595,nan,1.056243582221415,nan,1.0009702383307615,nan,1.0010454832822864,nan
l W C,3,-12.879151427604654,nan,-11.815510776968397,nan,-12.216300147748587,nan,1.0672896253851376,nan,1.0673718666109047,nan,1.0012843086825203,nan,1.001251033128124,nan
S c d,3,-12.082119250000888,nan,-inf,nan,-15.30141923753127,nan,1.0996146836511895,nan,1.0992657536624386,nan,1.0003140703517588,nan,1.0006225608885457,nan
g i J,3,-12.345566638563461,nan,-14.571730411225685,nan,-14.361462476189706,nan,1.0943160151591296,nan,1.094058581124882,nan,1.0009562246930188,nan,1.0010395719312535,nan
C u T,3,-14.473551462674216,nan,-12.529874740844871,nan,-13.040628937844723,nan,1.05576648810064,nan,1.0559981093891841,nan,1.002240533375539,nan,1.0018735940166696,nan
D i g,3,-13.145323554181662,nan,-17.00270854561783,nan,-16.765418457462303,nan,1.0837647354466766,nan,1.0836315936042238,nan,1.0009562246930188,nan,1.0010395719312535,nan
w u T,3,-13.761209834858121,nan,-13.869550330651338,nan,-13.721468098846021,nan,1.089579888225875,nan,1.089382962557654,nan,1.0012983223202627,nan,1.0012569444791568,nan
T c T,3,-15.18195261425786,nan,-13.256558114550552,nan,-13.75574391892814,nan,1.0507620120573051,nan,1.051056997758881,nan,1.0006281407035176,nan,1.0008281107343833,nan
g u T,3,-13.899641863481648,nan,-13.054022830478376,nan,-13.328332096443958,nan,1.0726731881632576,nan,1.0726905359734191,nan,1.0016123926720215,nan,1.0014624943249943,nan
f R s,3,-10.462100839856468,nan,-10.947499488413335,nan,-11.064230057503057,nan,1.1439010875999274,nan,1.1429808065526053,nan,1.0045511349397909,nan,1.003359733745795,nan
J Y m,3,-12.730962076920061,nan,-13.236125352437634,nan,-13.092832217609567,nan,1.106539357901137,nan,1.1060980835154266,nan,1.0019544902992654,nan,1.0016798668728975,nan
n R z,3,-10.059386799058682,nan,-10.538872791260898,nan,-10.645600335760529,nan,1.0836591559597293,nan,1.0835245818173804,nan,1.0012843086825203,nan,1.001251033128124,nan
m R n,3,-10.080006086261418,nan,-11.482190889399671,nan,-11.571991430257189,nan,1.1682692845308524,nan,1.1670244414679427,nan,1.0029247286300267,nan,1.0023083391124759,nan
C u S,3,-13.590647746832797,nan,-12.496487724812134,nan,-12.818600559188056,nan,1.0629843358696691,nan,1.0631201553587537,nan,1.002240533375539,nan,1.0018735940166696,nan
S e J,3,-13.565837417308709,nan,-12.761979226315761,nan,-13.159986377368627,nan,1.0755219430452727,nan,1.075502813898686,nan,1.004453039475593,nan,1.0033183542885658,nan
T ^ S,3,-13.696991958420945,nan,-13.866050033033563,nan,-13.868966029642364,nan,1.0981808648514597,nan,1.0978689662090708,nan,1.0022825742887667,nan,1.0018913280697679,nan
v e D,3,-14.56284153993754,nan,-inf,nan,-19.149307646471907,nan,1.0642058188162804,nan,1.0643306984548941,nan,1,1,1.000417011042708,1.0
C ^ S,3,-13.041872173450237,nan,-13.961554030068847,nan,-13.774554528474207,nan,1.1047556926535886,nan,1.104360465436273,nan,1.0022825742887667,nan,1.0018913280697679,nan
n c T,3,-12.670050460127847,nan,-14.578876201806727,nan,-14.665284088192564,nan,1.0707995825018888,nan,1.0708406144513076,nan,1.0003140703517588,nan,1.0006225608885457,nan
s R p,3,-9.820246953684075,nan,-11.424278370111796,nan,-11.507581225878878,nan,1.1940344577476945,nan,1.1924905842300897,nan,1.0067075864888748,nan,1.00478084861356,nan
D i D,3,-14.890166103621965,nan,-17.33730753785736,nan,-17.40260034759517,nan,1.0670324519821097,nan,1.0671213961293127,nan,1.0009562246930188,nan,1.0010395719312535,nan
S c g,3,-13.070019514253165,nan,-14.279448376903286,nan,-14.048129259801044,nan,1.0733679644910845,nan,1.0733674046821862,nan,1.0022825742887667,nan,1.0018913280697679,nan
C i S,3,-12.320516272255784,nan,-13.64145605643514,nan,-13.710806542678828,nan,1.0852833308445435,nan,1.0851356592347228,nan,1.0031407035175879,nan,1.0024725095010842,nan
g i D,3,-13.145323554181664,nan,-15.445949929179154,nan,-15.339903383189132,nan,1.0933317631906256,nan,1.0930873930381224,nan,1.0009562246930188,nan,1.0010395719312535,nan
