word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-10.494347981541948,nan,-9.630122482648993,nan,-9.82685995001166,nan,1.2058482172366525,nan,1.2041443857384064,nan,1.013484115561952,nan,1.0091752027285992,nan
b i l,3,-9.448342660133305,nan,-10.119519537186168,nan,-10.241452790091651,nan,1.220554148581766,nan,1.2186475063851965,nan,1.010026052077503,nan,1.0069126447485548,nan
b i s,3,-9.291317382566602,nan,-10.654006395907283,nan,-10.721652714932981,nan,1.2139578425131643,nan,1.2121392083051443,nan,1.005738453132912,nan,1.0041543167196985,nan
b R s,3,-9.996520971723301,nan,-9.61233057012937,nan,-9.764852832664312,nan,1.1846017819071035,nan,1.1831582173422275,nan,1.0070860318221797,nan,1.0050149350180237,nan
b Y s,3,-10.411464823786009,nan,-10.4952701218425,nan,-10.62160244093191,nan,1.19596541827074,nan,1.1943766654569048,nan,1.0048198009114897,nan,1.0035475344366558,nan
b ^ l,3,-10.1725944442607,nan,-11.129868808446881,nan,-11.070878766092813,nan,1.2404405122181295,nan,1.238279790585882,nan,1.0123389235361533,nan,1.0084732045915221,nan
C @ l,3,-11.388770102469307,nan,-12.718264918331107,nan,-12.79081544854948,nan,1.1551409304978428,nan,1.1540669847066423,nan,1.0039153074278404,nan,1.0029467031444905,nan
C i D,3,-13.703603447019017,nan,-15.390256219183932,nan,-15.399703731639889,nan,1.076179315668814,nan,1.0761522726166926,nan,1.0034863809599959,nan,1.0026928671292075,nan
C i n,3,-10.684398817279884,nan,-10.386563979321608,nan,-10.683759140149892,nan,1.1625909251674946,nan,1.1614109774653747,nan,1.0090932411183071,nan,1.006299911474635,nan
C R J,3,-13.643339194036145,nan,-14.530315840971513,nan,-14.621188874039012,nan,1.0478127009730434,nan,1.0481475263657838,nan,1.0003156565656566,nan,1.000624635255674,nan
C R g,3,-12.686040438434613,nan,-inf,nan,-16.106426721277472,nan,1.0623245743239669,nan,1.0624657821418984,nan,1.0003156565656566,nan,1.000624635255674,nan
C R T,3,-13.908031748263227,nan,-13.742375142979883,nan,-14.05238212968161,nan,1.0484723315799036,nan,1.048798356173789,nan,1.0006454718690867,nan,1.000836814334817,nan
C ^ J,3,-13.662387389006838,nan,-inf,nan,-16.618997461221976,nan,1.0970551252154677,nan,1.0967608015293862,nan,1.0003156565656566,nan,1.000624635255674,nan
C ^ n,3,-11.408650601407277,nan,-12.173442040081317,nan,-11.894844046127961,nan,1.1824772888038582,nan,1.1810432616660604,nan,1.01482752991658,nan,1.0099605147379571,nan
C ^ S,3,-13.073309568341099,nan,-13.941108556182012,nan,-13.763086851145612,nan,1.1046408771943594,nan,1.104245344321446,nan,1.002294548386237,nan,1.0018977097305308,nan
C ^ C,3,-13.256922280898674,nan,-14.543016344315399,nan,-14.330198046006194,nan,1.1046408771943594,nan,1.104245344321446,nan,1.002294548386237,nan,1.0018977097305308,nan
d i k,3,-9.244153812180592,nan,-10.750684980846346,nan,-10.862813479831448,nan,1.182225832702975,nan,1.180806575134478,nan,1.0051779336904667,nan,1.003771615497553,nan
d i s,3,-9.00308960750919,nan,-11.074427618416173,nan,-11.128238910998311,nan,1.1743102654206532,nan,1.1729966174384154,nan,1.0035288571733163,nan,1.002710720101839,nan
d i t,3,-8.94151564857516,nan,-9.294257200680372,nan,-9.420008163618732,nan,1.1861836163441362,nan,1.1847115539825093,nan,1.010125163241918,nan,1.006954301684695,nan
d E p,3,-10.279224464813153,nan,-13.130175469192924,nan,-13.126499984310655,nan,1.1538900340835354,nan,1.1528484760807771,nan,1.00387283121452,nan,1.002928850171859,nan
d R s,3,-9.70829319666589,nan,-10.324103593979004,nan,-10.457171149312344,nan,1.1449542048145924,nan,1.1440156264754988,nan,1.0042451227312705,nan,1.0031588822236333,nan
D i D,3,-14.874536397266752,nan,-17.326973458694173,nan,-17.39261225079987,nan,1.0664247530508153,nan,1.0665219526415453,nan,1.0009611284347433,nan,1.0010430424230825,nan
D i g,3,-13.151769799525649,nan,-17.012858129174237,nan,-16.77762984308926,nan,1.081926072312029,nan,1.0818164531296677,nan,1.0009611284347433,nan,1.0010430424230825,nan
D i C,3,-13.703603447019017,nan,-14.083089951445036,nan,-14.544037621582168,nan,1.0749999509399972,nan,1.074982740145613,nan,1.0029400202553238,nan,1.0023161168979393,nan
d I J,3,-11.052484537434745,nan,-12.047842134138232,nan,-12.328115905334249,nan,1.1556490490351623,nan,1.1546075824502797,nan,1.0097853535353536,nan,1.0068114779036426,nan
d I D,3,-11.817952379574315,nan,-15.153575302906551,nan,-14.87016891256236,nan,1.1546596031248721,nan,1.1536313377382719,nan,1.0104449841422138,nan,1.0072358360619282,nan
d Y p,3,-10.652896985120456,nan,-12.1687162839835,nan,-12.275801166183939,nan,1.1365289229724242,nan,1.13570918035002,nan,1.0064264012153195,nan,1.0045905768597383,nan
d Y t,3,-10.06166308979457,nan,-9.95060175655823,nan,-10.111290585707023,nan,1.1681911921017119,nan,1.16694901113427,nan,1.0097245542496203,nan,1.0067123676511662,nan
