word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-10.379985445726566,nan,-9.897173924680056,nan,-10.178234482497572,nan,1.1566450831706345,nan,1.155233613228687,nan,1.0077679107301913,nan,1.0050143414538533,nan
b i l,3,-9.721050568864692,nan,-10.03397610686125,nan,-10.266043857725363,nan,1.1843985437519282,nan,1.182448553518387,nan,1.0083088356161765,nan,1.0053058950061313,nan
b i s,3,-9.683871565622939,nan,-10.190427349310852,nan,-10.40209992063294,nan,1.162436611101855,nan,1.1609071461464389,nan,1.0058686208772794,nan,1.003935656584646,nan
b R s,3,-10.169379381404639,nan,-10.039121621615827,nan,-10.270329756291085,nan,1.1424192046614718,nan,1.1412322103038384,nan,1.0054334598677062,nan,1.00367911476833,nan
b Y s,3,-10.322811928346457,nan,-10.696619290890338,nan,-10.888711286278337,nan,1.1454653317284866,nan,1.1442262222798862,nan,1.0027167299338529,nan,1.0021048521344715,nan
b ^ l,3,-10.259668209960342,nan,-11.505807135958484,nan,-11.465145366773836,nan,1.1904907978859578,nan,1.188436577470483,nan,1.0061980180104413,nan,1.0041571866649999,nan
C @ l,3,-11.019257586323759,nan,-13.129213545547389,nan,-12.927543517696257,nan,1.1394443410441184,nan,1.138251233871966,nan,1.0033634186962501,nan,1.0024314174227116,nan
C i D,3,-12.584774099498318,nan,-12.891150893469788,nan,-13.408563518503925,nan,1.0749576844951048,nan,1.0749922631994833,nan,1.0039693310243678,nan,1.0028569717154387,nan
C i n,3,-10.60249630627213,nan,-10.119838495589612,nan,-10.537943869549528,nan,1.1491402125575743,nan,1.1477543503225085,nan,1.0088497605021618,nan,1.0055974485584094,nan
C R J,3,-12.715460539990609,nan,-12.472782380525715,nan,-12.850136224243963,nan,1.055428321002501,nan,1.0557960252984815,nan,1.0013054830287207,nan,1.0013002149495613,nan
C R g,3,-11.94727817348775,nan,-12.478824694981677,nan,-12.67457144991289,nan,1.0676293946969861,nan,1.067763473838453,nan,1.0013054830287207,nan,1.0013002149495613,nan
C R T,3,-13.147242956416147,nan,-11.544563077786286,nan,-12.21561765685374,nan,1.052988106263604,nan,1.0534025355904872,nan,1.0017935259765,nan,1.0015742626338584,nan
C ^ J,3,-12.768570365304555,nan,-inf,nan,-15.608545217288233,nan,1.0815379815769137,nan,1.081458985093178,nan,1.0004351610095736,nan,1.0007871313169292,nan
C ^ n,3,-11.141113947367778,nan,-12.114917668451392,nan,-11.979370301364135,nan,1.1552324666916038,nan,1.1537423742746045,nan,1.0092199340696029,nan,1.0057199896342763,nan
C ^ S,3,-12.316585241561498,nan,-13.248951910096292,nan,-13.178768934247326,nan,1.0844662392635902,nan,1.0843311727427711,nan,1.0018992898529118,nan,1.0016092743698204,nan
C ^ C,3,-12.50720560117015,nan,-13.808637144887536,nan,-13.712876962635539,nan,1.0834901533680315,nan,1.0833737768595735,nan,1.0023873328006911,nan,1.0018833220541175,nan
d i k,3,-9.31506434499366,nan,-11.522735724312408,nan,-11.56649261206037,nan,1.1606455164945306,nan,1.1590992696388076,nan,1.003587051953,nan,1.0026179357671037,nan
d i s,3,-9.346204585729383,nan,-10.631800584766209,nan,-10.813328923838837,nan,1.1401477126877957,nan,1.1389939560916558,nan,1.0045631378485589,nan,1.0031660311356978,nan
d i t,3,-9.218468542556721,nan,-9.637844503126928,nan,-9.849977965756713,nan,1.1606455164945306,nan,1.1590992696388076,nan,1.0079794384830145,nan,1.0050843649257772,nan
d E p,3,-10.096611548199673,nan,-12.251366434474663,nan,-12.311727316998278,nan,1.1395781168714576,nan,1.1384530151328434,nan,1.0036928158294116,nan,1.0026529475030657,nan
d R s,3,-9.831712401511083,nan,-10.798948588189717,nan,-10.983839631369914,nan,1.1201303062474126,nan,1.1193190202490553,nan,1.0041279768389852,nan,1.0029094893193817,nan
D i D,3,-13.200960238922136,nan,-14.749400103966675,nan,-15.132342774559415,nan,1.0689568272297811,nan,1.069092558184734,nan,1.0013583649669264,nan,1.0013177208175423,nan
D i g,3,-12.077956497129865,nan,-14.417116613152103,nan,-14.449666893866766,nan,1.0816459438720456,nan,1.081538704666304,nan,1.0013583649669264,nan,1.0013177208175423,nan
D i C,3,-12.584774099498318,nan,-13.274310244063654,nan,-13.6458541454193,nan,1.071397041968678,nan,1.0714860478927282,nan,1.0028224938102648,nan,1.0021398638704335,nan
d I J,3,-11.010438190693243,nan,-11.325654184747115,nan,-11.74622420248095,nan,1.1303129464450765,nan,1.1294060744795127,nan,1.007503501039162,nan,1.004926812113948,nan
d I D,3,-11.365259565982651,nan,-12.91674295851302,nan,-13.234164561854252,nan,1.1298249034972971,nan,1.128927376537914,nan,1.007503501039162,nan,1.004926812113948,nan
d Y p,3,-10.254345177040882,nan,-11.805950733181675,nan,-11.909574567003096,nan,1.1139036173066188,nan,1.113217771334725,nan,1.0053805779295,nan,1.003661608900349,nan
d Y t,3,-9.857408905280238,nan,-10.075043573219459,nan,-10.304668115188369,nan,1.1436742371211623,nan,1.142418345772255,nan,1.0083088356161765,nan,1.0053058950061313,nan
d I T,3,-11.44222060711878,nan,-12.055662958611219,nan,-12.38021696055423,nan,1.1278727317061794,nan,1.1270125847715184,nan,1.0065274151436032,nan,1.004378716745354,nan
d I Z,3,-14.255631323878816,nan,-inf,nan,-15.237066026411753,nan,1.1234803451761648,nan,1.122704303297129,nan,1.0065274151436032,nan,1.004378716745354,nan
f i k,3,-9.861336717755398,nan,-11.850280560866096,nan,-11.90959547845356,nan,1.1615027818181483,nan,1.1599420846409145,nan,1.0027167299338529,nan,1.0021048521344715,nan
f i s,3,-9.892476958491121,nan,-10.959345421319897,nan,-11.156431790232025,nan,1.1410049780114133,nan,1.139836771093763,nan,1.0036928158294116,nan,1.0026529475030657,nan
f R s,3,-10.377984774272822,nan,-11.736752945497582,nan,-11.829034441560339,nan,1.1209875715710302,nan,1.1201618352511624,nan,1.0032576548198384,nan,1.0023964056867496,nan
f R t,3,-10.250248731100157,nan,-10.721594656207698,nan,-10.865683483478215,nan,1.1414853753777652,nan,1.140267148798314,nan,1.006673955454294,nan,1.004314739476829,nan
f Y k,3,-10.500277080478917,nan,-10.189688950610597,nan,-10.470985429102202,nan,1.14453150244478,nan,1.1432611607743621,nan,1.0064624277014707,nan,1.004244716004905,nan
f ^ l,3,-10.468273602828525,nan,-12.32796972248634,nan,-12.264213130214312,nan,1.1690591647955162,nan,1.167366202417807,nan,1.0040222129625735,nan,1.0028744775834197,nan
g e s,3,-10.397096207864218,nan,-11.581637930136274,nan,-11.68405341597393,nan,1.1233526987040747,nan,1.1224833616042718,nan,1.0032576548198384,nan,1.0023964056867496,nan
g W d,3,-11.7191470806625,nan,-11.861765409759288,nan,-11.75471741013609,nan,1.0968486535543678,nan,1.096423807321604,nan,1.0014112469051324,nan,1.0013352266855233,nan
g W r,3,-11.435203330321327,nan,-13.886356183119414,nan,-13.476102867208075,nan,1.1134421137788675,nan,1.112699537335965,nan,1.000923203957353,nan,1.0010611790012263,nan
g W z,3,-12.291530597427926,nan,-inf,nan,-13.624061576787414,nan,1.0768388926954122,nan,1.076797191716051,nan,1.0004351610095736,nan,1.0007871313169292,nan
g i C,3,-11.461770357706047,nan,-11.912407336067922,nan,-12.254500142135829,nan,1.091971409735502,nan,1.091713607943297,nan,1.0028224938102648,nan,1.0021398638704335,nan
g i J,3,-11.723135121840457,nan,-13.742318571260355,nan,-13.63934277302253,nan,1.0900192379443843,nan,1.0897988161769014,nan,1.0013583649669264,nan,1.0013177208175423,nan
g i D,3,-12.077956497129865,nan,-13.387497195970944,nan,-13.740988771275942,nan,1.089531194996605,nan,1.0893201182353027,nan,1.0013583649669264,nan,1.0013177208175423,nan
g R g,3,-11.440460571119296,nan,-11.876558708814725,nan,-11.996314486523499,nan,1.0822029051984863,nan,1.0820913288742724,nan,1.0021758050478677,nan,1.0018132985821935,nan
g u v,3,-12.501563366735528,nan,-12.106440094514062,nan,-12.345963380981011,nan,1.0825323023316482,nan,1.0824170809808094,nan,1.0018464079147058,nan,1.0015917685018394,nan
h e s,3,-10.746910061423005,nan,-10.754900004487178,nan,-11.003908731091503,nan,1.1297821886312072,nan,1.1288044741200745,nan,1.0032576548198384,nan,1.0023964056867496,nan
h e n,3,-10.794241436128777,nan,-10.757999483408298,nan,-11.010974699836423,nan,1.1649212808713243,nan,1.1632707259151918,nan,1.0042337407153972,nan,1.0029445010553437,nan
h i n,3,-10.445492557462465,nan,-9.959345909237069,nan,-10.308007473095502,nan,1.1701432129862068,nan,1.1684033178741309,nan,1.0079794384830145,nan,1.0050843649257772,nan
h Y s,3,-11.037101545480212,nan,-10.533701391916923,nan,-10.863060422504123,nan,1.1180328413727214,nan,1.1172561422124612,nan,1.0031518909434265,nan,1.0023613939507876,nan
h ^ s,3,-10.936778823852341,nan,-9.977244577155721,nan,-10.356073575045299,nan,1.1410963748801193,nan,1.1399250900311095,nan,1.0065153096396764,nan,1.004262221872886,nan
J R T,3,-13.408607720550553,nan,-inf,nan,-14.515480371413142,nan,1.0517022082781773,nan,1.0521383130873265,nan,1.0004880429477794,nan,1.0008046371849102,nan
J ^ n,3,-11.402478711502187,nan,-11.242643821994013,nan,-11.475872635017003,nan,1.1539465687061772,nan,1.1524781517714437,nan,1.0096550950791763,nan,1.0059765314505924,nan
k e d,3,-9.66381322365997,nan,-9.842795455423165,nan,-10.059817696266354,nan,1.1620356981787958,nan,1.1605042431629429,nan,1.0058686208772794,nan,1.003935656584646,nan
k R m,3,-9.948276004487994,nan,-11.792249518731282,nan,-11.867417606501588,nan,1.1399195796366042,nan,1.1387814301552988,nan,1.0017935259765,nan,1.0015742626338584,nan
l e l,3,-9.564848788208034,nan,-11.126596512448018,nan,-11.309343847388543,nan,1.1508868559576628,nan,1.1495030664899157,nan,1.0065153096396764,nan,1.004262221872886,nan
m @ b,3,-10.462951743522389,nan,-11.942184652991898,nan,-12.08593566250622,nan,1.120228460591002,nan,1.1194789317020097,nan,1.0070683400295883,nan,1.004670270297632,nan
m e p,3,-10.11185753669631,nan,-10.805374322287305,nan,-11.016665631977549,nan,1.1325110871540458,nan,1.1315086232591949,nan,1.0059215028154855,nan,1.003953162452627,nan
m @ v,3,-11.354447816783328,nan,-10.76300650727918,nan,-11.105318027313503,nan,1.1231567182776785,nan,1.1223511193516027,nan,1.0075563829773677,nan,1.004944317981929,nan
m @ z,3,-10.697668280394257,nan,-9.865236396539558,nan,-10.158090520848544,nan,1.1348697490243842,nan,1.1338398699499752,nan,1.008044425925147,nan,1.0052183656662261,nan
m R n,3,-10.02674761992949,nan,-12.04497698611669,nan,-12.04699017279953,nan,1.162127521076471,nan,1.1605277920610289,nan,1.0033634186962501,nan,1.0024314174227116,nan
m R s,3,-9.979416245223717,nan,-12.293191935476475,nan,-12.263067755368821,nan,1.1269884288363539,nan,1.1260615402659115,nan,1.0023873328006911,nan,1.0018833220541175,nan
m Y d,3,-10.337311474836703,nan,-8.90413399533,nan,-9.234902105620897,nan,1.1344269424333833,nan,1.1333638337163492,nan,1.0083088356161765,nan,1.0053058950061313,nan
m ^ b,3,-10.57465573310239,nan,-10.926024389184743,nan,-11.217783965835809,nan,1.1228394266484434,nan,1.1220452276814794,nan,1.00874399662575,nan,1.0055624368224474,nan
n e s,3,-9.537822156430298,nan,-11.288232471631808,nan,-11.452435638131602,nan,1.12506722935131,nan,1.1241689916084856,nan,1.0045631378485589,nan,1.0031660311356978,nan
n e n,3,-9.58515353113607,nan,-11.291331950552928,nan,-11.459501606876522,nan,1.1602063215914271,nan,1.158635243403603,nan,1.0055392237441176,nan,1.003714126504292,nan
n c d,3,-10.580849019519915,nan,-14.198759218126968,nan,-13.618045360509562,nan,1.1142289805462506,nan,1.1135072132026358,nan,1.000923203957353,nan,1.0010611790012263,nan
n W d,3,-10.85987302922858,nan,-11.568359951254822,nan,-11.746243183607973,nan,1.098563184201603,nan,1.098109437325818,nan,1.0014112469051324,nan,1.0013352266855233,nan
n c G,3,-12.000530396672543,nan,-12.178712393865359,nan,-12.446386154652659,nan,1.0810420600972512,nan,1.080955753173914,nan,1.0028753757484707,nan,1.0021573697384145,nan
n i n,3,-9.236404652469759,nan,-10.099635788272092,nan,-10.318279449204447,nan,1.1654282537063096,nan,1.163767835362542,nan,1.0088497605021618,nan,1.0055974485584094,nan
p e k,3,-9.728550769576783,nan,-10.48561165302893,nan,-10.646002834690464,nan,1.168282564233913,nan,1.166608902711474,nan,1.0094435673263529,nan,1.0059065079786684,nan
p e m,3,-10.11185753669631,nan,-11.387270994899408,nan,-11.541305177107526,nan,1.1448565027405015,nan,1.1436314015147293,nan,1.0050511807963383,nan,1.0034400788199949,nan
p e p,3,-10.028891238900489,nan,-11.178925452192868,nan,-11.332421451581954,nan,1.1385119444193692,nan,1.1374083282739442,nan,1.0050511807963383,nan,1.0034400788199949,nan
p i m,3,-9.76310865803,nan,-11.20717574429705,nan,-11.368100775152346,nan,1.150078434855384,nan,1.1487639934736684,nan,1.0048925349817206,nan,1.0033875612160519,nan
p R b,3,-10.438579609992619,nan,-12.669986834037196,nan,-12.623614777019604,nan,1.1027306233393543,nan,1.1022819729015323,nan,1.0026638479956471,nan,1.0020873462664905,nan
