word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-10.909636685601088,nan,-10.184865130850648,nan,-10.316652034803239,nan,1.139658166383269,nan,1.1390761176480548,nan,1.007587460245343,nan,1.0058838748858459,nan
b i l,3,-9.956985077630142,nan,-9.46589338670191,nan,-9.579967946019366,nan,1.1786101579022756,nan,1.1776700885180797,nan,1.014054217779797,nan,1.010605509198868,nan
b i s,3,-9.90554239201158,nan,-9.7390341349747,nan,-9.84195443034986,nan,1.1764974818459375,nan,1.1755770652622657,nan,1.0110025745873088,nan,1.0083870791647382,nan
b R s,3,-10.836471994633854,nan,-10.450332267609516,nan,-10.565287883025068,nan,1.1331081133770597,nan,1.1325784160051744,nan,1.0034681205512646,nan,1.0028687252144621,nan
b Y s,3,-10.68694026066289,nan,-10.376720450266271,nan,-10.489184773355612,nan,1.1456024341403492,nan,1.144960226000672,nan,1.004142056640921,nan,1.003364521268792,nan
b ^ l,3,-10.171987471360652,nan,-11.231142555541124,nan,-11.285927751633919,nan,1.1945120206919166,nan,1.1934287557850767,nan,1.0075723156141148,nan,1.0058758002167651,nan
C @ l,3,-11.674886147078457,nan,-14.375720672035856,nan,-14.201476907339304,nan,1.1175491800351898,nan,1.117156524052252,nan,1.0018627896410723,nan,1.0016943726380172,nan
C i D,3,-11.912968199520995,nan,-14.914509231006427,nan,-15.017062732041008,nan,1.0999284016011446,nan,1.09970398329437,nan,1.0034529759200363,nan,1.0028606505453814,nan
C i n,3,-10.887196420791907,nan,-10.726321202012288,nan,-10.937040475330505,nan,1.1511021105213324,nan,1.1504016577129745,nan,1.0060351355444495,nan,1.0047377836511835,nan
C R J,3,-14.232345016624262,nan,-14.252524719459295,nan,-14.40463480720986,nan,1.0382291739773373,nan,1.0385657991535577,nan,1.0002271694684235,nan,1.0005038707234108,nan
C R g,3,-12.908292964381591,nan,-14.85745410473876,nan,-14.822758312189947,nan,1.058651709188605,nan,1.0587983572930926,nan,1.000461911252461,nan,1.0006745191875746,nan
C R T,3,-14.591486053058187,nan,-13.579726124170328,nan,-13.852305454144469,nan,1.0384639157613749,nan,1.0387983572930926,nan,1.000461911252461,nan,1.0006745191875746,nan
C ^ J,3,-13.516417807732495,nan,-inf,nan,-17.3780138349831,nan,1.097520405235856,nan,1.097323115677646,nan,1.0002271694684235,nan,1.0005038707234108,nan
C ^ n,3,-11.102198814522417,nan,-12.167925876263212,nan,-12.14676014819796,nan,1.1670039733109734,nan,1.1661603249799715,nan,1.010086324398001,nan,1.0076711062182913,nan
C ^ S,3,-12.92767374687405,nan,-14.407290406153846,nan,-14.445370467100398,nan,1.1057363676771705,nan,1.105462650561367,nan,1.002105103740724,nan,1.0018690584367214,nan
C ^ C,3,-13.1283444423362,nan,-14.295653333062093,nan,-14.371467602115892,nan,1.1024499827006449,nan,1.1022068366078785,nan,1.0018703619566864,nan,1.0016984099725574,nan
d i k,3,-9.633908633338981,nan,-11.622813161960458,nan,-11.685840936082913,nan,1.1653004895943249,nan,1.1644773588226744,nan,1.0051113130395275,nan,1.004063264463609,nan
d i s,3,-9.474223905077082,nan,-11.293651173175142,nan,-11.35952879554675,nan,1.1568497853689728,nan,1.1561052657994186,nan,1.0046418294714523,nan,1.0037219675352813,nan
