word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-10.82022572820691,nan,-10.019685804993385,nan,-10.099257721282,nan,1.1396710791324784,nan,1.13925585905327,nan,1.0071491162410053,nan,1.0059327320768452,nan
b i l,3,-9.992084286165904,nan,-9.692803265682462,nan,-9.75715913578839,nan,1.1649506117864834,nan,1.1643704794317586,nan,1.0122344315032719,nan,1.0099607739765146,nan
b i s,3,-9.970517048396264,nan,-9.840997138113302,nan,-9.901459590103723,nan,1.171370364872903,nan,1.1707482390392812,nan,1.0081192051658234,nan,1.0067034449862866,nan
b R s,3,-10.869646014292769,nan,-10.640918243340586,nan,-10.708912186114448,nan,1.127878044743558,nan,1.1275353876336587,nan,1.0029395424347367,nan,1.0025892941198622,nan
b Y s,3,-10.701841219100485,nan,-10.53428619283111,nan,-10.600830677121262,nan,1.14727982323992,nan,1.1468124960673935,nan,1.005693982853778,nan,1.0047766627126835,nan
b ^ l,3,-10.017955231764553,nan,-11.74880342524567,nan,-11.779884006675212,nan,1.203592487291738,nan,1.2027640537289475,nan,1.0060114906966608,nan,1.0050298849997594,nan
C @ l,3,-11.694143471788179,nan,-14.522540791857486,nan,-14.497493958632893,nan,1.11563767996348,nan,1.1153733897443714,nan,1.0009788716229029,nan,1.0010349812447306,nan
C i D,3,-11.75039757788034,nan,-14.862416062506604,nan,-14.943920513420817,nan,1.1010818216709828,nan,1.1009131940966947,nan,1.0031012239222066,nan,1.0027177462714356,nan
C i n,3,-11.106960717144696,nan,-11.65823844343792,nan,-11.778265196022524,nan,1.1479954019178964,nan,1.1475198989208977,nan,1.0044180963501903,nan,1.0037600915483087,nan
C R J,3,-14.787504587909254,nan,-14.625898800303718,nan,-14.760795607006155,nan,1.0292767443399915,nan,1.0295727874989218,nan,1,1,1.0002587453111829,1.0
C R g,3,-12.999297520285568,nan,-15.645609250125672,nan,-15.558486643317371,nan,1.0516635756157118,nan,1.051813179976436,nan,1.000164609053498,nan,1.0003890384707919,nan
C R T,3,-14.66736027606719,nan,-14.63116283614736,nan,-14.654435591015245,nan,1.030758225821473,nan,1.031044578177581,nan,1.000164609053498,nan,1.0003890384707919,nan
C ^ J,3,-13.9142465676114,nan,-17.98406347038957,nan,-17.4738464765105,nan,1.1114109399745913,nan,1.111179213201733,nan,1.0001616814874696,nan,1.0003871974627563,nan
C ^ n,3,-11.132831662743346,nan,-12.190631723475068,nan,-12.172843896624594,nan,1.186637277423151,nan,1.1859134732180863,nan,1.0182686773722434,nan,1.0147194450197594,nan
C ^ S,3,-13.172647003665507,nan,-14.994223965802734,nan,-15.024780994859904,nan,1.1194767835959905,nan,1.1191922957855434,nan,1.001972381075947,nan,1.0018204222184566,nan
C ^ C,3,-13.25720439169357,nan,-14.757303208521506,nan,-14.807217490959156,nan,1.118159911168007,nan,1.1178840374045131,nan,1.002301599182943,nan,1.0020810085376748,nan
d i k,3,-9.802203004894,nan,-11.908657231133558,nan,-11.948937331321558,nan,1.1568670263482985,nan,1.1563367426166646,nan,1.0037713704003115,nan,1.0032462829420146,nan
d i s,3,-9.619769145331665,nan,-11.683654295368276,nan,-11.721927147634728,nan,1.149459618940891,nan,1.1489777892233695,nan,1.0027837160793238,nan,1.0024645239843597,nan
d i t,3,-9.038177938151332,nan,-10.647209300721736,nan,-10.686673686495224,nan,1.2095419234676401,nan,1.2086670778578747,nan,1.005252851881793,nan,1.0044189213784966,nan
d E p,3,-10.808768729461196,nan,-14.930728405689338,nan,-14.822565551399338,nan,1.1175986517129968,nan,1.1173247666670771,nan,1.001143480676401,nan,1.0011652744043398,nan
