word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-10.636882539955385,nan,-9.625454417741311,nan,-9.899929956818577,nan,1.15717713546644,nan,1.1558651660005712,nan,1.0088582519463682,nan,1.0057924470592468,nan
b i l,3,-9.815317818849373,nan,-9.908282187365565,nan,-10.108111223677879,nan,1.1845278896159006,nan,1.1827267763806728,nan,1.0077843809856746,nan,1.0051050333233094,nan
b i s,3,-9.861328124498206,nan,-10.09438955972696,nan,-10.284583100146818,nan,1.1683116733996843,nan,1.1667975728408497,nan,1.004180777382071,nan,1.003010792485613,nan
b R s,3,-10.707885518357685,nan,-10.356596825999606,nan,-10.573079504891155,nan,1.1339543573123763,nan,1.1329869125385426,nan,1.003822820395173,nan,1.0027816545736339,nan
b Y s,3,-10.550040707990284,nan,-10.909754373011154,nan,-11.061681991872437,nan,1.1460804688726027,nan,1.1449200867628864,nan,1.002921919494272,nan,1.0022580943642097,nan
b ^ l,3,-10.011062395975468,nan,-10.872843467912919,nan,-10.974268465012852,nan,1.2067590941429822,nan,1.2046042624586362,nan,1.0082690613005891,nan,1.0054817036654355,nan
C @ l,3,-11.418111188564804,nan,-13.696271411870264,nan,-13.472787502856264,nan,1.1348095449459832,nan,1.1337870457686519,nan,1.0013051046195751,nan,1.0012762583308272,nan
C i D,3,-12.035721165921132,nan,-12.98120609836322,nan,-13.387359237202812,nan,1.087385524320669,nan,1.087197328715125,nan,1.0042270241138471,nan,1.0030271135819795,nan
C i n,3,-10.959043954119279,nan,-10.591031958281482,nan,-10.997224943736384,nan,1.1486467855819302,nan,1.1473743198655675,nan,1.0064792763660995,nan,1.0043360141055397,nan
C R J,3,-13.853294191344014,nan,-14.37805454745916,nan,-14.40422883152323,nan,1.039064244269397,nan,1.0396698542535259,nan,1.0004042037186742,nan,1.0007526981214032,nan
C R g,3,-12.582831645749245,nan,-14.745649381511914,nan,-14.47998242348094,nan,1.0602354154405682,nan,1.060466314430517,nan,1.0008546541691248,nan,1.0010144782261152,nan
C R T,3,-14.023193228139412,nan,-13.278619552039586,nan,-13.675536713543872,nan,1.0395146947198475,nan,1.0401123321296322,nan,1.0008546541691248,nan,1.0010144782261152,nan
C ^ J,3,-13.20248137461063,nan,-inf,nan,-16.353795291781655,nan,1.0956527648837866,nan,1.0953580006337964,nan,1.0004042037186742,nan,1.0007526981214032,nan
C ^ n,3,-11.154788531245373,nan,-11.962165679170694,nan,-11.810355654913844,nan,1.1708779901090118,nan,1.1692518059435308,nan,1.0116654649799355,nan,1.0072972007392043,nan
C ^ S,3,-12.697925363858234,nan,-14.082590492687478,nan,-14.020438540120857,nan,1.1015086207396425,nan,1.101110213023177,nan,1.002206005520476,nan,1.0017998185402515,nan
C ^ C,3,-12.930547659126987,nan,-13.794257590404719,nan,-13.820098477824224,nan,1.1006077198387416,nan,1.1002252572709645,nan,1.0026564559709266,nan,1.0020615986449635,nan
d i k,3,-9.58851623701938,nan,-11.970661476097897,nan,-11.985582822861849,nan,1.158358726822534,nan,1.1569659641078067,nan,1.002921919494272,nan,1.0022580943642097,nan
