word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-12.308605745446926,nan,-10.71347429650762,nan,-10.807636121635365,nan,1.1486421059781036,nan,1.1483071725994236,nan,1.0007975829510851,nan,1.000867708115911,nan
b O r,3,-12.475548017061392,nan,-inf,nan,-13.987186812070359,nan,1.1476089295345266,nan,1.1472787187084397,nan,1.0005679881858458,nan,1.0006737405085016,nan
b O s,3,-12.367176052000374,nan,-11.501873389178954,nan,-11.531646750476428,nan,1.1321112828808704,nan,1.1318519103436813,nan,1.0005679881858458,nan,1.0006737405085016,nan
b U n,3,-10.992420950514061,nan,-inf,nan,-14.199992617159714,nan,1.182153408943002,nan,1.1816668921516116,nan,1.0017039645575372,nan,1.0016350016831628,nan
b u r,3,-10.703070477382786,nan,-12.148220731330756,nan,-12.166162913722886,nan,1.1716916286143857,nan,1.1712524832679783,nan,1.0027287427829605,nan,1.0025018521128348,nan
b U s,3,-11.05099125706751,nan,-inf,nan,-14.51853813789261,nan,1.1656225858457687,nan,1.1652116298958695,nan,1.0017039645575372,nan,1.0016350016831628,nan
b W r,3,-11.331126192361987,nan,-14.80811451752272,nan,-14.473218833546841,nan,1.1590822908886105,nan,1.158700182012748,nan,1.0018187619401568,nan,1.0017319854868676,nan
C e D,3,-12.070387106792161,nan,-17.52634700284248,nan,-17.412037139242855,nan,1.104796669593751,nan,1.1046616057896446,nan,1.001025977970874,nan,1.001060818037082,nan
C i D,3,-11.758084860397094,nan,-15.947798877365262,nan,-15.95808114876558,nan,1.109340575080517,nan,1.109184957593331,nan,1.0027383407465649,nan,1.0025087136027444,nan
C O b,3,-14.295312264094562,nan,-18.045364969702895,nan,-17.488699331888892,nan,1.0395904261132103,nan,1.0397503185472812,nan,1.0005739869130983,nan,1.0006780289396948,nan
C O g,3,-14.885466768678166,nan,-17.874053699173633,nan,-17.074860896537594,nan,1.0358021124867611,nan,1.035979320947007,nan,1.0001147973826197,nan,1.0002900937248758,nan
C O v,3,-15.114891601549328,nan,-inf,nan,-17.178725377643612,nan,1.0339653543648462,nan,1.0341509584741466,nan,1,1,1.000193109921171,1.0
C u D,3,-12.805559098021906,nan,-15.988828539087798,nan,-15.991389023330193,nan,1.0637879225756892,nan,1.0638383557613735,nan,1.001934759068227,nan,1.0018298269768109,nan
C u S,3,-13.732823876928038,nan,-14.095425222579943,nan,-14.145493685302574,nan,1.0447315570608229,nan,1.0448690951054485,nan,1.001934759068227,nan,1.0018298269768109,nan
C u T,3,-14.318199657245845,nan,-13.730290233918382,nan,-13.82872934761106,nan,1.0399100669907964,nan,1.0400696436141903,nan,1.001934759068227,nan,1.0018298269768109,nan
D e C,3,-12.070387106792161,nan,-12.336038412935423,nan,-12.374115064911349,nan,1.1524755019356114,nan,1.152125945134215,nan,1.0055686837121893,nan,1.0049050050494879,nan
D e D,3,-10.880413176365629,nan,-15.867818149509283,nan,-15.714745039923809,nan,1.1683175407371267,nan,1.1678955714626347,nan,1.005683481094809,nan,1.0050019888531927,nan
D e J,3,-12.823598528094756,nan,-11.314563005038147,nan,-11.474554677590554,nan,1.14237333226508,nan,1.1420699515334836,nan,1.0057982784774286,nan,1.0050989726568975,nan
