word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-10.299661027375565,nan,-9.533335025276447,nan,-9.714801879336457,nan,1.1977355216300218,nan,1.196189453932642,nan,1.0113185924583483,nan,1.0078857533674932,nan
b i l,3,-9.264820895824922,nan,-9.405884091495798,nan,-9.539428726733874,nan,1.219280372075822,nan,1.217448275516022,nan,1.0123136173339702,nan,1.0085358075386741,nan
b i s,3,-9.224049343938791,nan,-10.291827200607823,nan,-10.373014127259427,nan,1.2036916490244125,nan,1.2020636601314065,nan,1.008001842872942,nan,1.0057189061302234,nan
b R s,3,-9.834699827863634,nan,-9.82242399167433,nan,-9.958583122020617,nan,1.183984083862302,nan,1.1826035220272006,nan,1.0078082779575317,nan,1.005562031138499,nan
b Y s,3,-10.222227235285132,nan,-10.533508872920944,nan,-10.646718103745535,nan,1.1827126280453915,nan,1.1813480292462841,nan,1.0028883975966743,nan,1.002335684175395,nan
b ^ l,3,-10.050579199220028,nan,-11.071584503821153,nan,-11.003722115500455,nan,1.2294520186111049,nan,1.2274922177633543,nan,1.0111666714109047,nan,1.007819962662291,nan
C @ l,3,-10.99435199117789,nan,-11.947852867521283,nan,-12.121112524395869,nan,1.1513224258187555,nan,1.1503388143467044,nan,1.0039386664895484,nan,1.003009662239377,nan
C i D,3,-12.811750585561972,nan,-13.893062839767822,nan,-14.11066348339943,nan,1.0790032629975577,nan,1.078962611380166,nan,1.0045053393764385,nan,1.0034011648744292,nan
C i n,3,-10.408599058874774,nan,-10.304749819347036,nan,-10.568828211286414,nan,1.1629170275083371,nan,1.1617776686633083,nan,1.0091487887960073,nan,1.006434751006607,nan
C R J,3,-13.071540095413502,nan,-13.920955402368072,nan,-14.035936499921009,nan,1.0583006729598252,nan,1.0585204765492826,nan,1.0003178639542276,nan,1.0006380922247806,nan
C R g,3,-12.214089863562279,nan,-13.742313702532519,nan,-13.866197322449747,nan,1.0742210709697755,nan,1.0742324241761239,nan,1.0009812138713088,nan,1.0010714616722345,nan
C R T,3,-13.366048132935681,nan,-13.079903658477821,nan,-13.46659733379398,nan,1.060290722711069,nan,1.0604844700026377,nan,1.0009812138713088,nan,1.0010714616722345,nan
C ^ J,3,-13.246647914883765,nan,-inf,nan,-16.17952828861201,nan,1.0881798846572186,nan,1.0880245569008207,nan,1.0003178639542276,nan,1.0006380922247806,nan
C ^ n,3,-11.19435736226988,nan,-11.803558103443299,nan,-11.764406383849996,nan,1.17308867404362,nan,1.1718216109106405,nan,1.0109314626275279,nan,1.0075720033840438,nan
C ^ S,3,-12.579341965507705,nan,-13.461144717797634,nan,-13.464257839536309,nan,1.097466783496356,nan,1.0971898596831446,nan,1.0019762387469309,nan,1.0017215158434154,nan
C ^ C,3,-12.814335556739412,nan,-13.220320206255133,nan,-13.288904952058449,nan,1.097466783496356,nan,1.0971898596831446,nan,1.0039662884981746,nan,1.0030216241857772,nan
d i k,3,-9.108846698757453,nan,-10.762233870658225,nan,-10.853099474013945,nan,1.1763083252888842,nan,1.175016632445151,nan,1.0045191503807516,nan,1.0034071458476295,nan
d i s,3,-8.934723885743281,nan,-10.923960713873633,nan,-10.985168003155305,nan,1.1666897514912058,nan,1.1655239974206009,nan,1.0041874754222109,nan,1.0031904611239024,nan
d i t,3,-8.803313384687895,nan,-9.236373522911157,nan,-9.35649541667881,nan,1.1829418244596968,nan,1.181563277289668,nan,1.0088309248417797,nan,1.0062240472560802,nan
d E p,3,-10.21024203074945,nan,-12.373821608088464,nan,-12.412108718451604,nan,1.1534227531495806,nan,1.1524307077315665,nan,1.0038972334766092,nan,1.0029917193197762,nan
d R s,3,-9.545374369668124,nan,-10.531075358770241,nan,-10.647698039052624,nan,1.1469821863290952,nan,1.146063859316395,nan,1.0062189581863936,nan,1.004508512385865,nan
D i D,3,-13.594923917779639,nan,-16.362200108504595,nan,-16.41720897760957,nan,1.0704643635668176,nan,1.070530381523826,nan,1.0016445637883902,nan,1.0015048311196884,nan
D i g,3,-12.386612711855104,nan,-17.31457794029193,nan,-16.827209240883125,nan,1.085389736701146,nan,1.0852603324239898,nan,1.0003178639542276,nan,1.0006380922247806,nan
D i C,3,-12.811750585561972,nan,-14.077320505588643,nan,-14.288646638594784,nan,1.0787562375303332,nan,1.0787136875794725,nan,1.002639588664012,nan,1.0021548852908695,nan
d I J,3,-11.388189009696463,nan,-11.995115194574876,nan,-12.253556325463483,nan,1.1493330090326994,nan,1.1484123089060998,nan,1.008582326764145,nan,1.0061163897384764,nan
d I D,3,-11.739049983769775,nan,-15.140761781968042,nan,-14.903742545773452,nan,1.1503280339083213,nan,1.1493943056327773,nan,1.0092456766812261,nan,1.0065497591859303,nan
d Y p,3,-10.384195337872889,nan,-12.066336908340503,nan,-12.1397561547943,nan,1.1324437321705596,nan,1.1317150768464441,nan,1.0048370143349792,nan,1.0036178495981563,nan
d Y t,3,-9.801491276034236,nan,-9.8808368462572,nan,-10.019315363271552,nan,1.1619628034806757,nan,1.1608476464045456,nan,1.007490414003304,nan,1.0053513273879722,nan
d I T,3,-11.682697047218642,nan,-12.945822919912679,nan,-13.04234064348965,nan,1.1513230587839431,nan,1.1503763023594549,nan,1.008582326764145,nan,1.0061163897384764,nan
d I Z,3,-14.18139701913898,nan,-inf,nan,-16.250634359027313,nan,1.1456845844887524,nan,1.1448116542416154,nan,1.008582326764145,nan,1.0061163897384764,nan
f i k,3,-9.847341699295859,nan,-11.756727021932459,nan,-11.850123412945651,nan,1.1693507035305033,nan,1.1681459266362815,nan,1.0035655585180687,nan,1.002775034596049,nan
f i s,3,-9.673218886281685,nan,-11.91845386514787,nan,-11.982191942087013,nan,1.159732129732825,nan,1.1586532916117314,nan,1.003233883559528,nan,1.002558349872322,nan
f R s,3,-10.283869370206528,nan,-10.902338273114864,nan,-11.03161750509792,nan,1.1400245645707143,nan,1.1391931535075255,nan,1.0062189581863936,nan,1.004508512385865,nan
f R t,3,-10.152458869151141,nan,-10.242745803606546,nan,-10.381271041415031,nan,1.1562766375392053,nan,1.1552324333765926,nan,1.0072139830620155,nan,1.005158566557046,nan
f Y k,3,-10.845519590642198,nan,-10.758549130586122,nan,-10.930904421292409,nan,1.1483716825514823,nan,1.147430295751159,nan,1.0052101223064587,nan,1.0038524772414839,nan
f ^ l,3,-10.499748741562922,nan,-12.363934322303422,nan,-12.29033059887582,nan,1.1854924993195173,nan,1.184081849243679,nan,1.0044915283721254,nan,1.0033951839012292,nan
g e s,3,-10.582637215972891,nan,-11.153118756289352,nan,-11.298728391297523,nan,1.136915087077935,nan,1.1361218621418419,nan,1.0045882054023167,nan,1.0034370507136305,nan
g W d,3,-11.913649040980891,nan,-12.397145085395223,nan,-12.089122930874508,nan,1.101079537131123,nan,1.1007392604772352,nan,1.0019762387469309,nan,1.0017215158434154,nan
g W r,3,-11.755985888276491,nan,-15.2515588839479,nan,-14.608824560273062,nan,1.1183266349752359,nan,1.11776053707298,nan,1.0006495389127683,nan,1.0008547769485074,nan
g W z,3,-12.453349519215372,nan,-13.533443286113183,nan,-12.951227327684869,nan,1.0762039152405758,nan,1.0761893423102957,nan,1.0009812138713088,nan,1.0010714616722345,nan
