word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-12.771783844260185,nan,-12.296936391989394,nan,-12.452319798465524,nan,1.1002521963846326,nan,1.0998073035478064,nan,1.001019367991845,nan,1.0011425237702611,nan
g i T,3,-11.927944291800884,nan,-10.968877291946942,nan,-11.621250515827338,nan,1.0883066378068302,nan,1.0880948780422774,nan,1.0032631560340104,nan,1.0023241658278155,nan
z i T,3,-12.445642794854635,nan,-12.715542669067037,nan,-13.40165641224574,nan,1.0536332709726595,nan,1.054104730259026,nan,1.0032631560340104,nan,1.0023241658278155,nan
y c g,3,-13.142512828272007,nan,-11.777510578832779,nan,-12.205917008419346,nan,1.0781428250418745,nan,1.0780779516606518,nan,1.0028218227242462,nan,1.0020629838148085,nan
l R z,3,-10.869709105362594,nan,-inf,nan,-12.982712928442053,nan,1.1049920221507863,nan,1.1043930937560393,nan,1.0015290519877675,nan,1.0014232649269146,nan
J Y p,3,-11.688077150600131,nan,-12.387122755842585,nan,-12.383403250904678,nan,1.1088618156925703,nan,1.1081347446630907,nan,1.003399857406327,nan,1.0023632841151089,nan
C ^ z,3,-12.195215284591958,nan,-12.014619476098032,nan,-12.119818698320072,nan,1.1201386011210708,nan,1.1192299810067197,nan,1.0045559267704889,nan,1.0029638847157094,nan
C e J,3,-12.616310020418592,nan,-11.823024857340442,nan,-12.370513973612665,nan,1.0820000967047916,nan,1.0819079809728551,nan,1.0037044893437745,nan,1.0025853478408222,nan
z i S,3,-11.516666903453165,nan,-14.096503684211566,nan,-14.008227092970115,nan,1.0686621727067636,nan,1.068793995795749,nan,1.0015290519877675,nan,1.0014232649269146,nan
z u v,3,-12.981856949034565,nan,-13.909394415109826,nan,-14.127129618840991,nan,1.0587731247257601,nan,1.059107072549504,nan,1.001597402673926,nan,1.0014428240705613,nan
