word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.289728069568271,nan,-inf,nan,-20.11208548565754,nan,1.0051552946997413,nan,1.005379552961833,nan,1,1,1.0001426889826066,1.0
g i T,3,-12.593540866898689,nan,-inf,nan,-18.83601697920132,nan,1.0049942641039282,nan,1.0052190393181735,nan,1,1,1.0001426889826066,1.0
z i T,3,-12.6483024194779,nan,-inf,nan,-19.94876913580293,nan,1.0049942641039282,nan,1.0052190393181735,nan,1,1,1.0001426889826066,1.0
y c g,3,-11.88542739841175,nan,-inf,nan,-23.335550350221787,nan,1.015301084923045,nan,1.0154927696678837,nan,1,1,1.0001426889826066,1.0
l R z,3,-11.823776109649117,nan,-inf,nan,-19.113020943812515,nan,1.0153870941754612,nan,1.0155784852167746,nan,1,1,1.0001426889826066,1.0
J Y p,3,-13.912199541246254,nan,-inf,nan,-20.537408334030538,nan,1.0577334187977308,nan,1.0577888817008132,nan,1.0005639249174252,nan,1.0006422251276148,nan
C ^ z,3,-12.439900854207767,nan,-inf,nan,-17.296127227680888,nan,1.0264176899886657,nan,1.0265736698074648,nan,1,1,1.0001426889826066,1.0
C e J,3,-15.167625714143522,nan,-inf,nan,-18.58259551339721,nan,1.007649815988199,nan,1.0078660708082616,nan,1,1,1.0001426889826066,1.0
z i S,3,-12.783277855674655,nan,-inf,nan,-20.99272272166588,nan,1.0019329574093339,nan,1.0021675657776612,nan,1,1,1.0001426889826066,1.0
z u v,3,-12.089428127491821,nan,-inf,nan,-23.836906099390347,nan,1.0036246413524441,nan,1.0038538161915769,nan,1,1,1.0001426889826066,1.0
D Y p,3,-11.582530019842928,nan,-inf,nan,-22.109262095274236,nan,1.0577334187977308,nan,1.0577888817008132,nan,1.0005639249174252,nan,1.0006422251276148,nan
s R k,3,-11.219485765198053,nan,-inf,nan,-20.045409756992914,nan,1.0162732619028438,nan,1.0164618065048177,nan,1,1,1.0001426889826066,1.0
b R s,3,-11.594006547799703,nan,-inf,nan,-18.31927527003028,nan,1.0052364456618061,nan,1.005460441371918,nan,1,1,1.0001426889826066,1.0
T ^ z,3,-12.242311825283025,nan,-inf,nan,-18.155114817442172,nan,1.0264176899886657,nan,1.0265736698074648,nan,1,1,1.0001426889826066,1.0
S c G,3,-14.56730812226994,nan,-inf,nan,-19.26200694554665,nan,1.0099840785587497,nan,1.0101928419396256,nan,1,1,1.0001426889826066,1.0
J e J,3,-15.33467979880669,nan,-inf,nan,-20.120867427810047,nan,1.007649815988199,nan,1.0078660708082616,nan,1,1,1.0001426889826066,1.0
D ^ z,3,-10.277285417467606,nan,-inf,nan,-15.688123485624688,nan,1.0264176899886657,nan,1.0265736698074648,nan,1,1,1.0001426889826066,1.0
S Y p,3,-13.682531863855102,nan,-inf,nan,-18.960978549283034,nan,1.0577334187977308,nan,1.0577888817008132,nan,1.0005639249174252,nan,1.0006422251276148,nan
n W C,3,-13.273279214672211,nan,-inf,nan,-20.004364582731334,nan,1.0045090837056834,nan,1.0047354231686423,nan,1.0000805607024894,nan,1.0002140512890365,nan
l W C,3,-13.788268054818726,nan,-inf,nan,-21.09239304263636,nan,1.0045090837056834,nan,1.0047354231686423,nan,1.0000805607024894,nan,1.0002140512890365,nan
S c d,3,-13.508804197752315,nan,-inf,nan,-22.86335537641827,nan,1.0178790274027036,nan,1.0180624315967364,nan,1.0000805607024894,nan,1.0002140512890365,nan
g i J,3,-12.958183980486597,nan,-inf,nan,-20.720693554833034,nan,1.0024163216242699,nan,1.002649377389321,nan,1,1,1.0001426889826066,1.0
C u T,3,-14.514408069320815,nan,-inf,nan,-18.601703302020933,nan,1.0051552946997413,nan,1.005379552961833,nan,1,1,1.0001426889826066,1.0
D i g,3,-10.62851445908327,nan,-inf,nan,-20.849327402167745,nan,1.0065249174512254,nan,1.0067447760884296,nan,1,1,1.0001426889826066,1.0
w u T,3,-12.496023935403432,nan,-inf,nan,-23.380676796247037,nan,1.0051552946997413,nan,1.005379552961833,nan,1,1,1.0001426889826066,1.0
T c T,3,-15.444392629203382,nan,-inf,nan,-20.63296053650359,nan,1.0137704315757479,nan,1.0139670328976276,nan,1,1,1.0001426889826066,1.0
g u T,3,-12.717023425454204,nan,-inf,nan,-22.874048715751954,nan,1.0051552946997413,nan,1.005379552961833,nan,1,1,1.0001426889826066,1.0
f R s,3,-12.181893669781617,nan,-inf,nan,-18.79049427819159,nan,1.0052364456618061,nan,1.005460441371918,nan,1,1,1.0001426889826066,1.0
J Y m,3,-13.470844616729789,nan,-inf,nan,-19.944431744833857,nan,1.065708928344174,nan,1.0657387732932004,nan,1.0104728913236123,nan,1.0094197888184733,nan
n R z,3,-11.308787269502604,nan,-inf,nan,-20.42394252965078,nan,1.0153870941754612,nan,1.0155784852167746,nan,1,1,1.0001426889826066,1.0
m R n,3,-10.944091788730951,nan,-inf,nan,-20.187440880343022,nan,1.0381857729799404,nan,1.0383039329000638,nan,1,1,1.0001426889826066,1.0
C u S,3,-14.64938350551757,nan,-inf,nan,-19.575766551674363,nan,1.002093988005147,nan,1.0023280794213207,nan,1,1,1.0001426889826066,1.0
S e J,3,-15.105012121415536,nan,-inf,nan,-19.166125859640346,nan,1.007649815988199,nan,1.0078660708082616,nan,1,1,1.0001426889826066,1.0
T ^ S,3,-13.922321323842436,nan,-inf,nan,-20.64411928232829,nan,1.0120778849455656,nan,1.0122799253282229,nan,1,1,1.0001426889826066,1.0
v e D,3,-11.958010313273858,nan,-inf,nan,-22.98278718246632,nan,1.0090999086330068,nan,1.0093115056432411,nan,1,1,1.0001426889826066,1.0
C ^ S,3,-14.119910352767178,nan,-inf,nan,-19.785131692567003,nan,1.0120778849455656,nan,1.0122799253282229,nan,1,1,1.0001426889826066,1.0
n c T,3,-12.84366896040124,nan,-inf,nan,-22.83037183776902,nan,1.0137704315757479,nan,1.0139670328976276,nan,1,1,1.0001426889826066,1.0
s R p,3,-11.740610021991577,nan,-inf,nan,-19.970151343084257,nan,1.0070087811165713,nan,1.0072270839480042,nan,1,1,1.0001426889826066,1.0
D i D,3,-10.263283666209718,nan,-inf,nan,-22.648970815388946,nan,1.0038664142690776,nan,1.0040948122243005,nan,1,1,1.0001426889826066,1.0
S c g,3,-13.979572450458269,nan,-inf,nan,-20.598546394405968,nan,1.015301084923045,nan,1.0154927696678837,nan,1,1,1.0001426889826066,1.0
C i S,3,-14.525900946962054,nan,-inf,nan,-19.61873905940563,nan,1.0019329574093339,nan,1.0021675657776612,nan,1,1,1.0001426889826066,1.0
g i D,3,-10.62851445908327,nan,-inf,nan,-21.349164782494224,nan,1.0038664142690776,nan,1.0040948122243005,nan,1,1,1.0001426889826066,1.0
T c S,3,-15.579368065400136,nan,-inf,nan,-19.26669836518013,nan,1.0107091248811535,nan,1.0109155593571153,nan,1.0000805607024894,nan,1.0002140512890365,nan
z u T,3,-12.771784978033416,nan,-inf,nan,-22.414404231599807,nan,1.0051552946997413,nan,1.005379552961833,nan,1,1,1.0001426889826066,1.0
S Y m,3,-13.241176939338636,nan,-inf,nan,-18.368001960086353,nan,1.065708928344174,nan,1.0657387732932004,nan,1.0104728913236123,nan,1.0094197888184733,nan
