word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.050623022856822,nan,-13.985705403252757,nan,-13.944459361966304,nan,1.0904366480298946,nan,1.0902786206772057,nan,1.0011376907721552,nan,1.0011764771381384,nan
g i T,3,-12.475446621207691,nan,-11.886267280787221,nan,-12.271942645169277,nan,1.0857271683533734,nan,1.085620749868908,nan,1.0011865915158706,nan,1.0011993697371597,nan
z i T,3,-11.955743323409681,nan,-13.897780722811438,nan,-14.206539728062417,nan,1.0605664191221742,nan,1.0607382505600886,nan,1.0011865915158706,nan,1.0011993697371597,nan
y c g,3,-12.674229455055716,nan,-14.034676569952568,nan,-13.97468239218303,nan,1.0847764510910267,nan,1.084668865299305,nan,1.0020439346569634,nan,1.0017876083062291,nan
l R z,3,-10.147316801696416,nan,-9.854490321111328,nan,-9.998187310139933,nan,1.1011583773759173,nan,1.1008579264483185,nan,1.0044008174407995,nan,1.0033893115778891,nan
J Y p,3,-12.515882867019489,nan,-14.597068819442734,nan,-14.251178463139636,nan,1.0755528189469836,nan,1.0755407058974122,nan,1.000889943636903,nan,1.0009982029699098,nan
C ^ z,3,-11.6799868206272,nan,-12.145606938197881,nan,-12.21955911213964,nan,1.1348674956649831,nan,1.1341924887173807,nan,1.003791221434959,nan,1.0029793471770487,nan
C e J,3,-13.365767307380196,nan,-13.18713446915151,nan,-13.526334017088004,nan,1.0661235287318653,nan,1.0662343009628135,nan,1.0028686773022457,nan,1.0023605851426176,nan
z i S,3,-11.233608605976485,nan,-14.900217405398795,nan,-14.923084506836403,nan,1.0715423906439778,nan,1.0715855094284557,nan,1.0005932957579353,nan,1.0007970362026597,nan
z u v,3,-11.919995404756701,nan,-14.321294172473186,nan,-14.331574187562152,nan,1.07006572124702,nan,1.07011633124411,nan,1.003230526172834,nan,1.0025922753752294,nan
D Y p,3,-12.10718673832988,nan,-13.832032028996126,nan,-13.681410303740195,nan,1.0836601714770366,nan,1.083558400119143,nan,1.001450638899028,nan,1.0013852747717291,nan
s R k,3,-9.701842701641354,nan,-11.961060885433385,nan,-11.944488778979482,nan,1.1981546040513866,nan,1.1967751426754463,nan,1.0028523770543405,nan,1.0023529542762772,nan
b R s,3,-10.278898764198386,nan,-10.301243570019736,nan,-10.415782827387204,nan,1.1401715127316918,nan,1.139437836766276,nan,1.0051603590944613,nan,1.0039317649489157,nan
T ^ z,3,-12.247970858233138,nan,-12.034381303087656,nan,-12.191790892718148,nan,1.1329105485025566,nan,1.1322571832155834,nan,1.002669830910709,nan,1.0022052035734101,nan
S c G,3,-12.58949993517423,nan,-12.95240717401402,nan,-12.902895562506018,nan,1.0756020950354501,nan,1.075595373051591,nan,1.0020765351527736,nan,1.0018028700389099,nan
J e J,3,-13.741673613246814,nan,-12.950064608139106,nan,-13.355464954025837,nan,1.0666826564925587,nan,1.0667872453918983,nan,1.0023079820401206,nan,1.0019735133407983,nan
D ^ z,3,-11.647196997804208,nan,-9.51425974700859,nan,-9.784326168903627,nan,1.1435339759557295,nan,1.1427631273681962,nan,1.0110802598425845,nan,1.008011280600699,nan
S Y p,3,-11.985825881325612,nan,-14.757765701670563,nan,-14.567031412558114,nan,1.071918488502477,nan,1.0719465671083606,nan,1.000889943636903,nan,1.0009982029699098,nan
n W C,3,-12.335423074197415,nan,-13.565925419073182,nan,-13.675167384466691,nan,1.0616311126639433,nan,1.061788497446868,nan,1.001995033913248,nan,1.0017647157072078,nan
l W C,3,-12.382287383173633,nan,-11.793746740277061,nan,-12.048028590266856,nan,1.0669428263905298,nan,1.0670414695231745,nan,1.0005932957579353,nan,1.0007970362026597,nan
S c d,3,-12.009440505092993,nan,-15.603921794142444,nan,-14.917640866779523,nan,1.0874680101941567,nan,1.0873221393957715,nan,1,1,1.0003947026681597,1.0
g i J,3,-12.28336888946837,nan,-inf,nan,-14.703285852035187,nan,1.085133872595438,nan,1.0850344115516992,nan,1,1,1.0003947026681597,1.0
C u T,3,-13.966913754730975,nan,-14.2599644553724,nan,-14.380831250181823,nan,1.0512977047813623,nan,1.0515725106412643,nan,1.0014180384032176,nan,1.0013700130390482,nan
D i g,3,-11.874672760778761,nan,-13.653382877324443,nan,-13.743487154996131,nan,1.093182177518607,nan,1.0929814274471088,nan,1.0017146862821853,nan,1.0015711798062983,nan
w u T,3,-13.244207771929485,nan,-15.435926210118401,nan,-14.943931362199857,nan,1.0786949650553348,nan,1.0786667876664233,nan,1.00057699551003,nan,1.0007894053363193,nan
T c T,3,-14.6741183650336,nan,-12.440902329651644,nan,-12.988123920072075,nan,1.0580315341818738,nan,1.058231604917676,nan,1.001682085786375,nan,1.0015559180736175,nan
g u T,3,-13.228156062918979,nan,-14.588822442008366,nan,-14.498583667813373,nan,1.070308048644935,nan,1.07037262123015,nan,1.0002966478789677,nan,1.0005958694354096,nan
f R s,3,-10.358325897829708,nan,-12.411807709131114,nan,-12.295945235516893,nan,1.1189246578253458,nan,1.1184259484610508,nan,1.0026372304148987,nan,1.0021899418407292,nan
J Y m,3,-12.542349440207651,nan,-12.9066761485364,nan,-12.700422806531279,nan,1.0808924807684015,nan,1.0808177507522934,nan,1.0023731830317413,nan,1.00200403680616,nan
n R z,3,-10.100452492720198,nan,-10.811824884369983,nan,-10.891356929259569,nan,1.0958466636493307,nan,1.095604954372012,nan,1.004120469809737,nan,1.0031957756769794,nan
m R n,3,-10.111881188543823,nan,-11.348751544903546,nan,-11.419599309002283,nan,1.1642543114091248,nan,1.163221417785806,nan,1.0020765351527736,nan,1.0018028700389099,nan
C u S,3,-13.244779037297779,nan,-13.429819674211444,nan,-13.615771488031594,nan,1.062273676303166,nan,1.0624197695096314,nan,1.0026046299190883,nan,1.0021746801080484,nan
S e J,3,-13.211616627552935,nan,-13.216122006024763,nan,-13.56595738778649,nan,1.063048326048052,nan,1.0631931066028466,nan,1.0034293725643708,nan,1.0027476569444367,nan
T ^ S,3,-13.352281168015885,nan,-13.213762136938993,nan,-13.48891236596587,nan,1.1076954787903048,nan,1.1073378047341995,nan,1.0020765351527736,nan,1.0018028700389099,nan
v e D,3,-12.736597855932253,nan,-inf,nan,-19.101080112283974,nan,1.0623292223973593,nan,1.0624805685676537,nan,1,1,1.0003947026681597,1.0
C ^ S,3,-12.784297130409946,nan,-13.324987772049216,nan,-13.516680585387363,nan,1.1096524259527314,nan,1.1092731102359967,nan,1.0031979256770236,nan,1.0025770136425485,nan
n c T,3,-12.395343920733271,nan,-14.226550727285382,nan,-14.368483441156398,nan,1.0787192613275265,nan,1.0786905487938165,nan,1.00112139052425,nan,1.0011688462717983,nan
s R p,3,-10.001117762729317,nan,-11.512750245184934,nan,-11.570607089196645,nan,1.1806523791922945,nan,1.17947816231778,nan,1.0028523770543405,nan,1.0023529542762772,nan
