word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-11.311042834339368,nan,-inf,nan,-12.763966952567257,nan,1.0966539769669035,nan,1.0903022363918806,nan,1.0054347826086956,nan,1.0017034874154787,nan
b O r,3,-11.894189119684984,nan,-inf,nan,-12.602847603423905,nan,1.0966539769669035,nan,1.0903022363918806,nan,1.0054347826086956,nan,1.0017034874154787,nan
b O s,3,-11.638255745547784,nan,-inf,nan,-12.609816272739998,nan,1.105200985513912,nan,1.096671663143473,nan,1.0054347826086956,nan,1.0017034874154787,nan
b U n,3,-11.023360761887586,nan,-inf,nan,-12.805639648967825,nan,1.1075235421842948,nan,1.099230807820452,nan,1,1,1.0011429492988866,1.0
b u r,3,-10.852735244856824,nan,-inf,nan,-12.813143012260264,nan,1.1455670204451645,nan,1.130480807820452,nan,1.0054347826086956,nan,1.0017034874154787,nan
b U s,3,-11.350573673096003,nan,-inf,nan,-12.651488969140566,nan,1.1160705507313033,nan,1.1056002345720444,nan,1,1,1.0011429492988866,1.0
b W r,3,-12.299654227793148,nan,-inf,nan,-12.559362491484166,nan,1.1020887595755993,nan,1.0947665221061664,nan,1.0054347826086956,nan,1.0017034874154787,nan
C e D,3,-12.470925948400518,nan,-inf,nan,-14.588813670556867,nan,1.0666894548011725,nan,1.068707682753419,nan,1,1,1.0011429492988866,1.0
C i D,3,-12.29907569147386,nan,-inf,nan,-14.640106964944419,nan,1.072124237409868,nan,1.0731719684677048,nan,1,1,1.0011429492988866,1.0
C O b,3,-13.126332800977618,nan,-inf,nan,-14.484463401773821,nan,1.0534973329133983,nan,1.0572199666478685,nan,1,1,1.0011429492988866,1.0
C O g,3,-13.244115836634002,nan,-inf,nan,-13.756830045142706,nan,1.062044341460407,nan,1.063589393399461,nan,1,1,1.0011429492988866,1.0
