word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-10.402534242907269,nan,-9.07543193837132,nan,-11.447197236411352,nan,1.1408754559709913,nan,1.1298836740624902,nan,1.0225287997027126,nan,1.002868309780068,nan
b i l,3,-10.58735892991934,nan,-10.54883532796278,nan,-12.318977133735451,nan,1.0896398558223475,nan,1.0871459579569398,nan,1.0085470085470085,nan,1.0017253604811813,nan
b i s,3,-10.485576235609399,nan,-10.427474470958511,nan,-12.160866052692096,nan,1.1323748985573903,nan,1.1189930917149016,nan,1,1,1.0011429492988866,1.0
b R s,3,-10.721965013673628,nan,-10.191085692894282,nan,-12.091873181205145,nan,1.1269401159486947,nan,1.1145288060006158,nan,1,1,1.0011429492988866,1.0
b Y s,3,-11.350573673096003,nan,-inf,nan,-13.344636149700513,nan,1.1160705507313033,nan,1.1056002345720444,nan,1,1,1.0011429492988866,1.0
b ^ l,3,-10.066062006286053,nan,-inf,nan,-13.208239193221686,nan,1.1113789862571302,nan,1.1050031008140826,nan,1,1,1.0011429492988866,1.0
C @ l,3,-10.787380063812696,nan,-inf,nan,-12.988109438091522,nan,1.140453854652529,nan,1.12864853807644,nan,1.0054347826086956,nan,1.0017034874154787,nan
C i D,3,-12.29907569147386,nan,-inf,nan,-14.640106964944419,nan,1.072124237409868,nan,1.0731719684677048,nan,1,1,1.0011429492988866,1.0
C i n,3,-11.102824933241834,nan,-inf,nan,-13.08950955253325,nan,1.1148592801449109,nan,1.1050191022256666,nan,1,1,1.0011429492988866,1.0
C R J,3,-13.308654357771571,nan,-inf,nan,-13.739130468043305,nan,1.0495954377071555,nan,1.0559688292502343,nan,1.0054347826086956,nan,1.0017034874154787,nan
C R g,3,-12.327825104759846,nan,-inf,nan,-13.238886953607851,nan,1.0837834718951898,nan,1.0814465362566037,nan,1.0054347826086956,nan,1.0017034874154787,nan
C R T,3,-13.714119465879737,nan,-inf,nan,-14.10111046421173,nan,1.0495954377071555,nan,1.0559688292502343,nan,1.0054347826086956,nan,1.0017034874154787,nan
C ^ J,3,-12.550968656074055,nan,-inf,nan,-14.697385399016492,nan,1.0767693507506337,nan,1.0782902578216629,nan,1,1,1.0011429492988866,1.0
C ^ n,3,-10.581528009608547,nan,-inf,nan,-12.880159323351377,nan,1.1365984105796936,nan,1.1228762450828094,nan,1,1,1.0011429492988866,1.0
C ^ S,3,-12.956433764182218,nan,-inf,nan,-14.653900287076754,nan,1.0938633678446508,nan,1.0910291113248476,nan,1,1,1.0011429492988866,1.0
C ^ C,3,-12.396817976246798,nan,-inf,nan,-14.718438808214325,nan,1.0767693507506337,nan,1.0782902578216629,nan,1,1,1.0011429492988866,1.0
d i k,3,-9.78885123370157,nan,-inf,nan,-13.051825252477627,nan,1.1327964998758524,nan,1.1202282277009519,nan,1,1,1.0011429492988866,1.0
d i s,3,-10.04374348333036,nan,-inf,nan,-12.78743874262937,nan,1.141343508422861,nan,1.1265976544525442,nan,1,1,1.0011429492988866,1.0
d i t,3,-9.81416904168586,nan,-inf,nan,-12.457481187029352,nan,1.158437525516878,nan,1.139336507955729,nan,1.0085470085470085,nan,1.0017253604811813,nan
d E p,3,-10.876992222502384,nan,-inf,nan,-13.514131508738796,nan,1.0791918919234185,nan,1.0794525225144187,nan,1,1,1.0011429492988866,1.0
d R s,3,-10.28013226139459,nan,-10.381604016892414,nan,-12.025298690582474,nan,1.1359087258141654,nan,1.1221333687382584,nan,1,1,1.0011429492988866,1.0
D i D,3,-11.680036483067635,nan,-inf,nan,-14.47020792814902,nan,1.081092847275339,nan,1.0807765312053474,nan,1,1,1.0011429492988866,1.0
D i g,3,-11.47239711828939,nan,-inf,nan,-13.831127968859349,nan,1.0981868643693562,nan,1.0935153847085322,nan,1,1,1.0011429492988866,1.0
D i C,3,-12.29907569147386,nan,-inf,nan,-14.352424892492635,nan,1.063998830181322,nan,1.0680376777021627,nan,1,1,1.0011429492988866,1.0
d I J,3,-10.916838131049582,nan,-inf,nan,-13.279430713935842,nan,1.0892717878728797,nan,1.0890350975826626,nan,1.0108695652173914,nan,1.0022640255320705,nan
d I D,3,-10.1436482428161,nan,-inf,nan,-13.418267158790059,nan,1.1063658049668967,nan,1.1017739510858473,nan,1.0108695652173914,nan,1.0022640255320705,nan
d Y p,3,-11.570139403062328,nan,-inf,nan,-13.362900539014872,nan,1.0737571093147227,nan,1.074988236800133,nan,1,1,1.0011429492988866,1.0
d Y t,3,-10.679166479172464,nan,-inf,nan,-11.849491814809713,nan,1.142133177690791,nan,1.1259436508128717,nan,1.0085470085470085,nan,1.0017253604811813,nan
d I T,3,-11.322303239157748,nan,-10.543405843455194,nan,-12.94826352954432,nan,1.0892717878728797,nan,1.0890350975826626,nan,1.0108695652173914,nan,1.0022640255320705,nan
d I Z,3,-12.015450419717691,nan,-inf,nan,-13.59594833602751,nan,1.0892717878728797,nan,1.0890350975826626,nan,1.0108695652173914,nan,1.0022640255320705,nan
f i k,3,-10.636149094088772,nan,-inf,nan,-11.758391244251332,nan,1.1193435850776463,nan,1.1088213835944878,nan,1.0108695652173914,nan,1.0022640255320705,nan
f i s,3,-10.891041343717562,nan,-9.077547754009496,nan,-11.494004734403074,nan,1.1278905936246548,nan,1.1151908103460801,nan,1.0108695652173914,nan,1.0022640255320705,nan
f R s,3,-11.127430121781792,nan,-inf,nan,-12.811306224036013,nan,1.1224558110159593,nan,1.1107265246317943,nan,1,1,1.0011429492988866,1.0
f R t,3,-10.897855680137292,nan,-inf,nan,-13.17449584899594,nan,1.1395498281099763,nan,1.123465378134979,nan,1,1,1.0011429492988866,1.0
f Y k,3,-11.501146531575376,nan,-inf,nan,-12.94216134125975,nan,1.1030392372515594,nan,1.0954285264516306,nan,1,1,1.0011429492988866,1.0
f ^ l,3,-10.471527114394219,nan,-inf,nan,-13.927672236052556,nan,1.1068946813243947,nan,1.1012008194452612,nan,1,1,1.0011429492988866,1.0
g e s,3,-10.775209528192441,nan,-inf,nan,-13.749063015805046,nan,1.1179715060832238,nan,1.1069242432629731,nan,1,1,1.0011429492988866,1.0
g W d,3,-12.263286583622275,nan,-inf,nan,-13.470114623322019,nan,1.0931201497101284,nan,1.0871619593685238,nan,1,1,1.0011429492988866,1.0
g W r,3,-12.417437263449532,nan,-inf,nan,-13.505705568424721,nan,1.0931201497101284,nan,1.0871619593685238,nan,1,1,1.0011429492988866,1.0
g W z,3,-13.030541736335941,nan,-inf,nan,-13.425662860751185,nan,1.058932115522094,nan,1.0616842523621544,nan,1,1,1.0011429492988866,1.0
g i C,3,-12.091436326695614,nan,-inf,nan,-14.001027005654748,nan,1.055030220315851,nan,1.06043311496452,nan,1,1,1.0011429492988866,1.0
g i J,3,-12.245587006522873,nan,-inf,nan,-13.979973596456915,nan,1.055030220315851,nan,1.06043311496452,nan,1,1,1.0011429492988866,1.0
