word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-12.844191019158036,nan,-inf,nan,-14.230373864330435,nan,1.074957003386076,nan,1.0755704638050552,nan,1,1,1.001076637091017,1.0
g i T,3,-12.598232790077656,nan,-inf,nan,-14.287394527636383,nan,1.0798831117604604,nan,1.0796688244607928,nan,1,1,1.001076637091017,1.0
z i T,3,-13.75091230001604,nan,-inf,nan,-15.434016035490853,nan,1.0550897233307084,nan,1.058467411033231,nan,1,1,1.001076637091017,1.0
y c g,3,-11.796872024877477,nan,-inf,nan,-13.61303060773973,nan,1.0461942301091962,nan,1.051545091621773,nan,1,1,1.001076637091017,1.0
l R z,3,-12.674772867199987,nan,-inf,nan,-13.99514183252534,nan,1.0668553871339896,nan,1.0692129361447413,nan,1,1,1.001076637091017,1.0
J Y p,3,-13.211915799283354,nan,-inf,nan,-13.861061715978408,nan,1.0521317935526244,nan,1.0546909696074456,nan,1,1,1.001076637091017,1.0
C ^ z,3,-12.564230992800166,nan,-inf,nan,-14.696795680639614,nan,1.0937047133563564,nan,1.0906895045279887,nan,1,1,1.001076637091017,1.0
C e J,3,-13.674539321231467,nan,-inf,nan,-15.291457711868912,nan,1.042747221430607,nan,1.048595925293016,nan,1,1,1.001076637091017,1.0
z i S,3,-13.057765119456096,nan,-inf,nan,-15.822794224814002,nan,1.0617122398869998,nan,1.0636757443665643,nan,1,1,1.001076637091017,1.0
z u v,3,-13.029594242489399,nan,-inf,nan,-14.309451113644645,nan,1.070031164625198,nan,1.0699940503774934,nan,1.0066225165562914,nan,1.0016224886194012,nan
D Y p,3,-11.988140367661238,nan,-inf,nan,-13.172160826299915,nan,1.0769251819823764,nan,1.0758923830350073,nan,1,1,1.001076637091017,1.0
s R k,3,-10.67821898532592,nan,-inf,nan,-12.662758899968734,nan,1.1488158709608192,nan,1.133387700573481,nan,1.0049261083743843,nan,1.0016074226536498,nan
b R s,3,-11.448327207021993,nan,-inf,nan,-13.265914075400913,nan,1.1206838584820273,nan,1.1106955627642936,nan,1,1,1.001076637091017,1.0
T ^ z,3,-13.0342346220459,nan,-inf,nan,-15.04038538502969,nan,1.0978369447613152,nan,1.0942230734325824,nan,1,1,1.001076637091017,1.0
S c G,3,-12.295625067409198,nan,-inf,nan,-13.30679698795597,nan,1.0660617797780703,nan,1.067170091621773,nan,1,1,1.001076637091017,1.0
J e J,3,-14.144542950477202,nan,-inf,nan,-14.941900235699041,nan,1.0468794528355658,nan,1.0521294941976096,nan,1,1,1.001076637091017,1.0
D ^ z,3,-11.810459190423785,nan,-inf,nan,-12.405574346295884,nan,1.1226303331910672,nan,1.1154244868601442,nan,1.0098522167487685,nan,1.0021382082162824,nan
S Y p,3,-12.51876861872341,nan,-inf,nan,-13.402542044914355,nan,1.0645284877675003,nan,1.0652916763212263,nan,1,1,1.001076637091017,1.0
n W C,3,-12.300079417758578,nan,-inf,nan,-13.426500233382606,nan,1.0725753724777995,nan,1.073876088551623,nan,1.0049261083743843,nan,1.0016074226536498,nan
l W C,3,-12.253559402123686,nan,-inf,nan,-13.36301935380317,nan,1.076707603882758,nan,1.0774096574562166,nan,1.0049261083743843,nan,1.0016074226536498,nan
S c d,3,-11.745578730489925,nan,-inf,nan,-13.88871853340569,nan,1.0793068128906531,nan,1.0775867582884395,nan,1,1,1.001076637091017,1.0
g i J,3,-12.598232790077656,nan,-inf,nan,-14.575076600088163,nan,1.073260595204169,nan,1.0744604911274593,nan,1,1,1.001076637091017,1.0
C u T,3,-13.329698834939737,nan,-inf,nan,-15.115892937537836,nan,1.0542958463612826,nan,1.057902619282087,nan,1,1,1.001076637091017,1.0
D i g,3,-11.37445735845554,nan,-inf,nan,-14.068497267203623,nan,1.0881475745703777,nan,1.0867359622699801,nan,1,1,1.001076637091017,1.0
w u T,3,-12.190264551751373,nan,-inf,nan,-13.94222548270723,nan,1.0956181604108695,nan,1.0932383083280235,nan,1,1,1.001076637091017,1.0
T c T,3,-14.087384536637256,nan,-inf,nan,-13.977878101003698,nan,1.0337975358943203,nan,1.0409443849079922,nan,1,1,1.001076637091017,1.0
g u T,3,-12.464701397453133,nan,-inf,nan,-14.333914543271275,nan,1.074957003386076,nan,1.0755704638050552,nan,1,1,1.001076637091017,1.0
f R s,3,-12.102253674428658,nan,-inf,nan,-13.186337676898802,nan,1.1165516270770688,nan,1.1071619938597,nan,1,1,1.001076637091017,1.0
J Y m,3,-12.924233726831572,nan,-inf,nan,-14.078974217875066,nan,1.0521317935526244,nan,1.0546909696074456,nan,1,1,1.001076637091017,1.0
n R z,3,-12.72129288283488,nan,-inf,nan,-14.058622712104777,nan,1.062723155729031,nan,1.0656793672401477,nan,1,1,1.001076637091017,1.0
m R n,3,-10.929533413606826,nan,-inf,nan,-13.222374687904157,nan,1.1388547303554883,nan,1.126688642858522,nan,1,1,1.001076637091017,1.0
C u S,3,-12.63655165437979,nan,-inf,nan,-15.504671126860986,nan,1.060918362917574,nan,1.0631109526154203,nan,1,1,1.001076637091017,1.0
S e J,3,-13.451395769917259,nan,-inf,nan,-13.097086203515097,nan,1.0592761470504417,nan,1.0627302009113904,nan,1.0049261083743843,nan,1.0016074226536498,nan
T ^ S,3,-12.523408998279912,nan,-inf,nan,-15.408110165155009,nan,1.1044594613176066,nan,1.0994314067659157,nan,1,1,1.001076637091017,1.0
v e D,3,-12.332980853952966,nan,-inf,nan,-15.027824557594762,nan,1.075859804212064,nan,1.0746375919596827,nan,1,1,1.001076637091017,1.0
C ^ S,3,-12.053405369034175,nan,-inf,nan,-15.064520460764932,nan,1.1003272299126479,nan,1.095897837861322,nan,1,1,1.001076637091017,1.0
n c T,3,-11.959152830787986,nan,-inf,nan,-13.546946386458472,nan,1.062723155729031,nan,1.0656793672401477,nan,1,1,1.001076637091017,1.0
