word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-10.948558787280021,nan,-10.125802062931577,nan,-10.300808742726423,nan,1.1097684812071977,nan,1.1092538453269543,nan,1.0072586131458978,nan,1.0049663497395638,nan
b i l,3,-10.038179611321903,nan,-10.633152845131924,nan,-10.755637151400151,nan,1.1456904865423378,nan,1.1446087605859243,nan,1.005976909288507,nan,1.0041290268713623,nan
b i s,3,-9.977899852770603,nan,-10.240655557507173,nan,-10.367261857713642,nan,1.1401083493812534,nan,1.1391164106447709,nan,1.0051794611226377,nan,1.0036515859546757,nan
b R s,3,-10.98660137129008,nan,-11.320804954846459,nan,-11.446918705341572,nan,1.1075419776998374,nan,1.1070159221590765,nan,1.0029660837532286,nan,1.0022864397561428,nan
b Y s,3,-10.662949823097929,nan,-10.64283648035781,nan,-10.784747452675932,nan,1.1199313582308108,nan,1.1192280645177646,nan,1.0037187901370481,nan,1.0027470865349477,nan
b ^ l,3,-10.009557165144553,nan,-11.701239907474688,nan,-11.787486063553501,nan,1.1725931414095945,nan,1.1711265554219328,nan,1.0072586131458978,nan,1.0049663497395638,nan
C @ l,3,-11.944134263646644,nan,-13.305443193450397,nan,-13.507487814800331,nan,1.1044074242988018,nan,1.1039095065865754,nan,1.001505412767639,nan,1.0013819403364148,nan
C i D,3,-12.072887608527722,nan,-13.883941635310808,nan,-14.119852064130193,nan,1.0876978506865735,nan,1.0874794081146706,nan,1.0038530154831973,nan,1.0027974689485926,nan
C i n,3,-11.26795826758453,nan,-11.733554935396883,nan,-11.984827683032753,nan,1.1327536720581846,nan,1.1318105183539802,nan,1.004251739566132,nan,1.003036189406936,nan
C R J,3,-15.086922696573312,nan,-14.99056841780469,nan,-15.170126412317902,nan,1.0284169654485389,nan,1.0290941020534565,nan,1.0007079646017698,nan,1.0009044994197283,nan
C R g,3,-13.29041262458666,nan,-16.22746270185592,nan,-15.811353535699489,nan,1.0559289271710268,nan,1.056163541049141,nan,1.0007079646017698,nan,1.0009044994197283,nan
C R T,3,-14.653286711498453,nan,-15.284442460504392,nan,-15.087569385677654,nan,1.0304105858632118,nan,1.0310556556038684,nan,1.0007079646017698,nan,1.0009044994197283,nan
C ^ J,3,-14.049598731876484,nan,-inf,nan,-17.737665326686173,nan,1.0878859919972115,nan,1.0877123853751594,nan,1.000353982300885,nan,1.0006825730992666,nan
C ^ n,3,-11.23933582140718,nan,-12.34138030278496,nan,-12.313089271774645,nan,1.1596563269254412,nan,1.1583283131899886,nan,1.0127144288718577,nan,1.008082907307908,nan
C ^ S,3,-13.453906887467252,nan,-15.812654010694422,nan,-15.82846157181743,nan,1.095461749572969,nan,1.0951662888667246,nan,1.0011514304667541,nan,1.0011600140159531,nan
C ^ C,3,-13.625265139463938,nan,-14.506315825858751,nan,-14.668435395309274,nan,1.0938668532412306,nan,1.093597046026395,nan,1.002347602715558,nan,1.0018761753909828,nan
d i k,3,-9.887523164427442,nan,-11.84404225260794,nan,-11.931550950368077,nan,1.1374570569806226,nan,1.136483674915664,nan,1.0023028609335083,nan,1.0018593812531014,nan
d i s,3,-9.645156288187703,nan,-11.62173463488256,nan,-11.70636469614038,nan,1.127887678990192,nan,1.1270682178736866,nan,1.002701585016443,nan,1.0020981017114445,nan
d i t,3,-9.034215670568846,nan,-10.79338708445321,nan,-10.87691753552914,nan,1.1944746008402718,nan,1.192584106457445,nan,1.005492653596985,nan,1.0037691449198476,nan
d E p,3,-10.925513425713277,nan,-13.790613297322396,nan,-13.763087136317607,nan,1.1025035630285258,nan,1.1020905094993452,nan,1.0011066886847044,nan,1.0011432198780714,nan
d R s,3,-10.65385780670718,nan,-11.436950528106225,nan,-11.566048398095932,nan,1.095321307308776,nan,1.0949677293879923,nan,1.0019041368505737,nan,1.001620660794758,nan
D i D,3,-10.491887631414155,nan,-14.405550036909547,nan,-14.379438385522398,nan,1.1135358395133892,nan,1.1129527299735347,nan,1.0034990331823122,nan,1.002575542628131,nan
D i g,3,-10.700711128953616,nan,-13.929131225485042,nan,-13.92903836496653,nan,1.1143332876792584,nan,1.1137373513936994,nan,1.0042964813481814,nan,1.0030529835448176,nan
D i C,3,-12.072887608527722,nan,-13.854169476977136,nan,-14.025243799978366,nan,1.0928021872007896,nan,1.0925525730492507,nan,1.0019041368505737,nan,1.001620660794758,nan
d I J,3,-11.927646362858518,nan,-14.40124606270393,nan,-14.448470087832803,nan,1.0978333396018982,nan,1.097521855535734,nan,1.0035398230088495,nan,1.0026799099834212,nan
d I D,3,-9.922312793332402,nan,-12.737902885433627,nan,-12.82338896792493,nan,1.124547853158517,nan,1.1238066731112537,nan,1.0055334434235226,nan,1.0038735122751374,nan
d Y p,3,-10.934687801989316,nan,-12.939256161325922,nan,-12.994432403249515,nan,1.0833885187807382,nan,1.083248918431655,nan,1.0030108255352783,nan,1.0023032338940245,nan
d Y t,3,-9.719265640896172,nan,-11.474012188043039,nan,-11.53506903249784,nan,1.1742976096898292,nan,1.1726957603304387,nan,1.0069980663646243,nan,1.0046904384774573,nan
d I T,3,-11.494010377783656,nan,-14.001972924843686,nan,-13.960447953084389,nan,1.099826960016571,nan,1.0994834090861458,nan,1.0035398230088495,nan,1.0026799099834212,nan
d I Z,3,-14.789847243787985,nan,-inf,nan,-16.36197299393334,nan,1.0966371673530944,nan,1.0963449234054867,nan,1.0035398230088495,nan,1.0026799099834212,nan
f i k,3,-10.598062087699255,nan,-11.735300731307843,nan,-11.863334481487028,nan,1.1304738167571589,nan,1.129598993332187,nan,1.0044267547388182,nan,1.0031909391758709,nan
f i s,3,-10.355695211459517,nan,-11.512993113582464,nan,-11.638148227259329,nan,1.1209044387667282,nan,1.1201835362902097,nan,1.0048254788217528,nan,1.003429659634214,nan
f R s,3,-11.364396729978996,nan,-12.54014998078124,nan,-12.582003533728196,nan,1.0883380670853122,nan,1.0880830478045154,nan,1.0022581191514588,nan,1.0018425871152195,nan
f R t,3,-10.753456112360139,nan,-12.225389215559208,nan,-12.260537044750716,nan,1.154924988935392,nan,1.1535989363882737,nan,1.0022581191514588,nan,1.0018425871152195,nan
f Y k,3,-11.283112058026582,nan,-10.936922075673513,nan,-11.102918456885488,nan,1.1102968256067163,nan,1.1097106472051808,nan,1.0038082737011476,nan,1.002780674810711,nan
f ^ l,3,-10.387352523833467,nan,-12.66867008481632,nan,-12.753494561896193,nan,1.1533892307950693,nan,1.1521936810673716,nan,1.0033648078361632,nan,1.0025251602144862,nan
g e s,3,-10.572093289020149,nan,-12.526984715549277,nan,-12.523542876034591,nan,1.1212053978807834,nan,1.1204809276300682,nan,1.0027463267984926,nan,1.0021148958493262,nan
g W d,3,-12.085880419637938,nan,-inf,nan,-15.014578746300755,nan,1.0888179933275661,nan,1.088554008572282,nan,1.0003987240829346,nan,1.0006993672371483,nan
g W r,3,-11.80685640992927,nan,-inf,nan,-15.776776151773818,nan,1.1095516456401657,nan,1.108954165496566,nan,1.0003987240829346,nan,1.0006993672371483,nan
g W z,3,-12.455362809866596,nan,-inf,nan,-16.193793007592912,nan,1.0621034797709472,nan,1.0622691909967623,nan,1,1,1.000460646778805,1.0
g i C,3,-12.281711106067183,nan,-12.327598160852896,nan,-12.631635859188986,nan,1.0868664330108453,nan,1.0867005937032954,nan,1.0015501545496888,nan,1.0013987344742963,nan
g i J,3,-12.70604469847973,nan,-inf,nan,-15.477722239251676,nan,1.0808855717668262,nan,1.0808159330520597,nan,1.000353982300885,nan,1.0006825730992666,nan
g i D,3,-10.700711128953616,nan,-12.878978720785305,nan,-12.985830444733018,nan,1.107600085323445,nan,1.1071007506275794,nan,1.0031450508814272,nan,1.0023536163076694,nan
g R g,3,-11.918236145012555,nan,-14.689695256845651,nan,-14.243695931227455,nan,1.0758311618078982,nan,1.0757848835620498,nan,1.0007079646017698,nan,1.0009044994197283,nan
g u v,3,-11.861687943375529,nan,-inf,nan,-16.42139757868475,nan,1.105191933003788,nan,1.1047540043562423,nan,1.0015948963317385,nan,1.0014155286121782,nan
h e s,3,-10.923366464253462,nan,-11.181121974464022,nan,-11.31259906124252,nan,1.1278394760930741,nan,1.1270213751343712,nan,1.0038082737011476,nan,1.002780674810711,nan
h e n,3,-10.673647617777776,nan,-11.268991384883588,nan,-11.38996047541448,nan,1.1557501618984969,nan,1.1544831248401382,nan,1.0046057218670168,nan,1.0032581157273976,nan
h i n,3,-10.247054963243738,nan,-9.705823390461163,nan,-9.881024305660395,nan,1.1592899849073464,nan,1.157972308371192,nan,1.0102694386811761,nan,1.0068089368547835,nan
h Y s,3,-11.181823780046749,nan,-11.441789085251422,nan,-11.564248974081039,nan,1.1112023079514812,nan,1.1106222125384186,nan,1.0037187901370481,nan,1.0027470865349477,nan
h ^ s,3,-10.468151363542072,nan,-10.951488697430161,nan,-11.077500548863219,nan,1.1582819539691804,nan,1.1570283535014334,nan,1.0062453599808048,nan,1.0042297916986522,nan
J R T,3,-15.077620303911,nan,-inf,nan,-16.817024971569552,nan,1.027268127762653,nan,1.0279575488913038,nan,1,1,1.000460646778805,1.0
J ^ n,3,-11.663669413819727,nan,-10.14470532700146,nan,-10.587280254734114,nan,1.1565138688248824,nan,1.155230206477424,nan,1.0141303580753975,nan,1.0089706125897546,nan
k e d,3,-10.314115818961481,nan,-11.206204281077246,nan,-11.317961263285335,nan,1.1315293444918515,nan,1.1306560224497437,nan,1.0026568432343934,nan,1.0020813075735628,nan
k R m,3,-11.039657146554152,nan,-13.697286368020116,nan,-13.67370754619251,nan,1.094528314160593,nan,1.0941985032934554,nan,1.001061946902655,nan,1.0011264257401897,nan
l e l,3,-9.928618814115781,nan,-11.406740246989678,nan,-11.508835841517833,nan,1.1376115573882366,nan,1.1366445340256106,nan,1.003409549618213,nan,1.0025419543523677,nan
m @ b,3,-10.751199353121525,nan,-13.608075495218067,nan,-13.608559673602818,nan,1.099895048259669,nan,1.0995268355110837,nan,1.003629306572949,nan,1.0027134982591843,nan
m e p,3,-10.819662949803265,nan,-11.974603835564796,nan,-12.080862937472524,nan,1.1059614411122751,nan,1.1055000603735627,nan,1.003629306572949,nan,1.0027134982591843,nan
m @ v,3,-11.521387738351251,nan,-11.22391404238885,nan,-11.432957313163579,nan,1.0955090833473882,nan,1.0952114177001775,nan,1.0048254788217528,nan,1.003429659634214,nan
m @ z,3,-10.787938178767282,nan,-11.046517529646893,nan,-11.17365701126161,nan,1.1026861168402111,nan,1.1022730104816605,nan,1.003629306572949,nan,1.0027134982591843,nan
m R n,3,-10.547571423838729,nan,-13.289373976253389,nan,-13.071970279235652,nan,1.1291677473041428,nan,1.1282814584397145,nan,1.003987240829346,nan,1.0028478513622379,nan
m R s,3,-10.797290270314415,nan,-13.608865409106887,nan,-13.383737553852162,nan,1.10125706149872,nan,1.1008197087339475,nan,1.0011961722488039,nan,1.0011768081538348,nan
m Y d,3,-10.737328367830822,nan,-10.133737721856983,nan,-10.295281037289437,nan,1.115241338361432,nan,1.1146010939329651,nan,1.0076573372288324,nan,1.005205070197907,nan
m ^ b,3,-10.356399515909047,nan,-11.718639378104697,nan,-11.836882306895276,nan,1.13281540224197,nan,1.1319762423498834,nan,1.00726256510141,nan,1.0048787765221556,nan
n e s,3,-9.558340450537496,nan,-12.430149074317104,nan,-12.485229459074363,nan,1.1215545598919567,nan,1.1208251617092422,nan,1.0031003090993775,nan,1.002336822169788,nan
n e n,3,-9.30862160406181,nan,-12.51801848473667,nan,-12.562590873246323,nan,1.1494652456973795,nan,1.1482869114150092,nan,1.0038977572652468,nan,1.0028142630864745,nan
n c d,3,-10.501042765871096,nan,-16.206503510348856,nan,-15.558380036853817,nan,1.0966007836573235,nan,1.0962255280666688,nan,1.000353982300885,nan,1.0006825730992666,nan
n W d,3,-11.072127581155284,nan,-13.460666973580507,nan,-13.472187932564252,nan,1.0891671553387394,nan,1.088898242651456,nan,1.0014606709855896,nan,1.001365146198533,nan
n c G,3,-11.47804792244442,nan,-13.523488431716686,nan,-13.575153121979739,nan,1.0627092366078816,nan,1.0628791177096661,nan,1.0011514304667541,nan,1.0011600140159531,nan
n i n,3,-8.882028949527772,nan,-11.094379901587322,nan,-11.174282691280853,nan,1.1530050687062292,nan,1.151776094946063,nan,1.0053136864687866,nan,1.0037019683683208,nan
p e k,3,-10.654907716727209,nan,-11.492173144269836,nan,-11.582927039957664,nan,1.136361368049985,nan,1.135404129938827,nan,1.0087271880425117,nan,1.0056957027244753,nan
p e m,3,-10.819662949803265,nan,-12.415473316529269,nan,-12.49257356191842,nan,1.1204124047326007,nan,1.1197117015355316,nan,1.0015501545496888,nan,1.0013987344742963,nan
p e p,3,-11.01702238396176,nan,-12.404100684563025,nan,-12.485397380087736,nan,1.1024698210005432,nan,1.1020577195818242,nan,1.0011514304667541,nan,1.0011600140159531,nan
p i m,3,-10.393070295269226,nan,-12.03113575484698,nan,-12.133066831415574,nan,1.1239522277414504,nan,1.123200885066585,nan,1.0038938053097346,nan,1.0029018363038826,nan
p R b,3,-11.59108291476437,nan,-13.316405089412832,nan,-13.316567906786778,nan,1.0698547555815656,nan,1.069915618236442,nan,1.000353982300885,nan,1.0006825730992666,nan
p R d,3,-11.258339350181469,nan,-11.141769148355674,nan,-11.293870390084834,nan,1.0993603377187267,nan,1.0989466107825385,nan,1.0027463267984926,nan,1.0021148958493262,nan
p R v,3,-12.361271299994094,nan,-12.580902262170998,nan,-12.701613294612207,nan,1.0654687906692848,nan,1.0656002004255358,nan,1.000353982300885,nan,1.0006825730992666,nan
