word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.74085863435959,nan,-15.538095588202587,nan,-15.415108385738032,nan,1.0670066653324732,nan,1.0672777928909354,nan,1.0007479431563202,nan,1.0010323373174448,nan
g i T,3,-12.894906833338993,nan,-12.564139672702845,nan,-13.159737751494646,nan,1.090023311416208,nan,1.089630487892351,nan,1,1,1.0006918538308938,1.0
z i T,3,-12.903240214898137,nan,-14.053326287373817,nan,-14.56766405813166,nan,1.0747616835092313,nan,1.0747999794177747,nan,1,1,1.0006918538308938,1.0
y c g,3,-12.228530949391322,nan,-inf,nan,-14.240161388689721,nan,1.0799944822824246,nan,1.079856093930447,nan,1.0032102728731942,nan,1.0020973352082654,nan
l R z,3,-11.044143403421964,nan,-11.933474717208197,nan,-12.08457566270097,nan,1.0978263647128745,nan,1.0971945131715046,nan,1,1,1.0006918538308938,1.0
J Y p,3,-13.153508189117762,nan,-inf,nan,-13.922625340171322,nan,1.052655719781445,nan,1.0533036567964444,nan,1.0008025682182986,nan,1.0010432241752367,nan
C ^ z,3,-11.961755139451233,nan,-inf,nan,-14.311431554108271,nan,1.108264411537595,nan,1.107289229023947,nan,1.0064205457463884,nan,1.0035028165856372,nan
C e J,3,-13.639995070258289,nan,-14.352090571322012,nan,-14.449116370656414,nan,1.0637365821694809,nan,1.0640895172516742,nan,1.0029917726252804,nan,1.0020537877770974,nan
z i S,3,-12.554933520629923,nan,-15.335942219018866,nan,-15.256472837093007,nan,1.0755642517275297,nan,1.0755775843944464,nan,1.0008025682182986,nan,1.0010432241752367,nan
z u v,3,-12.259210049303146,nan,-15.795968741636916,nan,-15.610085124870084,nan,1.0647821048785557,nan,1.06509544672053,nan,1.0023530795929174,nan,1.0017350780061307,nan
D Y p,3,-11.422903143043037,nan,-inf,nan,-13.953856663291123,nan,1.0831789755953982,nan,1.0829646737455971,nan,1.0008025682182986,nan,1.0010432241752367,nan
s R k,3,-10.536023169337716,nan,-12.1652684038995,nan,-12.273992813813472,nan,1.1269777888048527,nan,1.1254101513787076,nan,1.004651534123856,nan,1.0027674153235755,nan
b R s,3,-10.839297336549333,nan,-11.976404587865627,nan,-12.060506327582244,nan,1.1264913484748662,nan,1.1249741214694722,nan,1.0023530795929174,nan,1.0017350780061307,nan
T ^ z,3,-12.866872570727262,nan,-13.385404574431501,nan,-13.536388097225466,nan,1.1046306906073624,nan,1.1037581555776197,nan,1.0064205457463884,nan,1.0035028165856372,nan
S c G,3,-14.210314722262806,nan,-12.806876401825582,nan,-13.258477501238726,nan,1.0308605093831003,nan,1.0321673819430293,nan,1.0007479431563202,nan,1.0010323373174448,nan
J e J,3,-14.05109399608471,nan,-inf,nan,-16.69227804317966,nan,1.0651900705415738,nan,1.0655019466302051,nan,1,1,1.0006918538308938,1.0
D ^ z,3,-10.642249019202929,nan,-8.982979305689055,nan,-9.273938385674157,nan,1.1402411557236414,nan,1.138362675351631,nan,1.0124040909969494,nan,1.0062266844780445,nan
S Y p,3,-13.299220000299155,nan,-13.127102792349707,nan,-13.210635071809897,nan,1.0519289755953982,nan,1.052597442107179,nan,1.0008025682182986,nan,1.0010432241752367,nan
n W C,3,-12.382347628403446,nan,-12.994633924584088,nan,-13.311723856391184,nan,1.0589072784035174,nan,1.059409111624097,nan,1.006731488406881,nan,1.003756205209852,nan
l W C,3,-12.621739411727447,nan,-12.53817763602226,nan,-12.835698456905776,nan,1.087977045845378,nan,1.0876576991947184,nan,1,1,1.0006918538308938,1.0
S c d,3,-13.053086930760248,nan,-inf,nan,-15.148878535875863,nan,1.0701863520797295,nan,1.07027002579995,nan,1.0007479431563202,nan,1.0010323373174448,nan
g i J,3,-12.400888327889385,nan,-14.19313811099144,nan,-14.114249696188997,nan,1.0916284478528049,nan,1.0911856978456946,nan,1,1,1.0006918538308938,1.0
C u T,3,-14.399716741440905,nan,-13.70058248477963,nan,-14.042304111782405,nan,1.0546520141696827,nan,1.0552721431734213,nan,1.0022438294689604,nan,1.0017133042905466,nan
D i g,3,-10.67028328181466,nan,-13.738941099728502,nan,-13.71259505301957,nan,1.126303361063451,nan,1.124821506335208,nan,1.004760784247813,nan,1.0027891890391594,nan
w u T,3,-13.301104452772794,nan,-15.457073815170226,nan,-14.998395502311222,nan,1.1186055025417756,nan,1.1174190358287885,nan,1.0007479431563202,nan,1.0010323373174448,nan
T c T,3,-15.819289564533502,nan,-inf,nan,-16.995118133171573,nan,1.0240923396119257,nan,1.0255972788774206,nan,1,1,1.0006918538308938,1.0
g u T,3,-13.40355617768239,nan,-inf,nan,-16.56476113799033,nan,1.0728206188208453,nan,1.0729275104050597,nan,1,1,1.0006918538308938,1.0
f R s,3,-11.54973601421934,nan,-12.30741978502378,nan,-12.473451025074665,nan,1.086520418242308,nan,1.0861323135598677,nan,1.0023530795929174,nan,1.0017350780061307,nan
J Y m,3,-13.12423780681765,nan,-inf,nan,-14.276384214804297,nan,1.0767327663304018,nan,1.0766318060965998,nan,1.0008025682182986,nan,1.0010432241752367,nan
n R z,3,-10.804751620097965,nan,-12.70838473688856,nan,-12.848283134638162,nan,1.068756597271014,nan,1.068945925600883,nan,1,1,1.0006918538308938,1.0
m R n,3,-10.538211984219995,nan,-12.579655478465327,nan,-12.574603974400477,nan,1.1330063826306767,nan,1.13121802583724,nan,1.0024077046548956,nan,1.0017459648639226,nan
C u S,3,-14.051410047172688,nan,-inf,nan,-14.507969339429543,nan,1.055454582387981,nan,1.056049748150093,nan,1.0022438294689604,nan,1.0017133042905466,nan
S e J,3,-14.196805807266104,nan,-15.187508930953904,nan,-15.287140594258288,nan,1.0644633263555272,nan,1.0647957319409398,nan,1.0014958863126402,nan,1.0013728208039956,nan
T ^ S,3,-14.411510489934447,nan,-15.737214448866991,nan,-15.896043416749558,nan,1.086974189804794,nan,1.0866508460908388,nan,1,1,1.0006918538308938,1.0
v e D,3,-11.661827945521209,nan,-17.234134024784865,nan,-16.945541188760984,nan,1.085557572128046,nan,1.0852276321966268,nan,1.0008025682182986,nan,1.0010432241752367,nan
C ^ S,3,-13.506393058658418,nan,-inf,nan,-16.671086873632362,nan,1.0906079107350266,nan,1.0901819195371663,nan,1,1,1.0006918538308938,1.0
n c T,3,-12.90001845707399,nan,-inf,nan,-16.55116897798616,nan,1.048801641937507,nan,1.0496085783124487,nan,1.0007479431563202,nan,1.0010323373174448,nan
s R p,3,-10.983497685523425,nan,-12.293758813650747,nan,-12.418334465969473,nan,1.084441673235029,nan,1.0841970876150997,nan,1.0038489659055576,nan,1.0024160449792325,nan
D i D,3,-10.34693772532487,nan,-15.112108780716968,nan,-14.960024675539575,nan,1.1287110657183468,nan,1.1271543212652235,nan,1.0055633524661116,nan,1.0031405593835023,nan
S c g,3,-13.569704875230743,nan,-13.11898218188561,nan,-13.498788856175302,nan,1.050924714840564,nan,1.0516075063598256,nan,1.0039582160295144,nan,1.0024378186948164,nan
C i S,3,-13.542760702829295,nan,-16.120456420190447,nan,-15.944504916986181,nan,1.0726572749833436,nan,1.0727527256373843,nan,1.0008025682182986,nan,1.0010432241752367,nan
g i D,3,-10.67028328181466,nan,-13.402468863107288,nan,-13.516412695433377,nan,1.114902926183463,nan,1.1137362421691783,nan,1.0048154093097914,nan,1.0028000758969513,nan
T c S,3,-15.470982870265289,nan,-inf,nan,-15.158198267824664,nan,1.024894907830224,nan,1.0263748838540923,nan,1.0016051364365972,nan,1.0013945945195797,nan
z u T,3,-13.411889559241533,nan,-16.435048700926583,nan,-16.23222126978684,nan,1.0575589909138687,nan,1.0580970019304834,nan,1.0007479431563202,nan,1.0010323373174448,nan
S Y m,3,-13.269949617999043,nan,-13.48594618881076,nan,-13.564393946442872,nan,1.076006022144355,nan,1.0759255914073345,nan,1.0008025682182986,nan,1.0010432241752367,nan
D ^ v,3,-11.382514122739945,nan,-9.094639558071293,nan,-9.504338457806192,nan,1.1290052006674616,nan,1.127476205678225,nan,1.0067861134688596,nan,1.003767092067644,nan
t W C,3,-12.004753592133063,nan,-13.94711122092068,nan,-14.154993329549978,nan,1.0661747202639826,nan,1.0664712585167524,nan,1,1,1.0006918538308938,1.0
g Y b,3,-11.602048350558736,nan,-inf,nan,-16.121991133703624,nan,1.0717785407154103,nan,1.0718794095795674,nan,1.0008025682182986,nan,1.0010432241752367,nan
r c S,3,-12.740953762444303,nan,-12.746693358430752,nan,-13.223025718402992,nan,1.053237931086038,nan,1.053917256735448,nan,1.0016051364365972,nan,1.0013945945195797,nan
d R s,3,-10.695815613071643,nan,-11.664697767882723,nan,-11.836925975938401,nan,1.113409953126029,nan,1.1122622570626925,nan,1.0031010227492374,nan,1.0020755614926815,nan
S c z,3,-13.578038256789887,nan,-12.979620537920061,nan,-13.264208175947712,nan,1.0469118737490715,nan,1.0477194814764663,nan,1.0007479431563202,nan,1.0010323373174448,nan
y c d,3,-11.711913004920827,nan,-inf,nan,-15.890251068390281,nan,1.09925611952159,nan,1.0985186133705713,nan,1,1,1.0006918538308938,1.0
