word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.580229117599098,nan,-13.484164105725299,nan,-13.677388387415322,nan,1.060945411478642,nan,1.0611084780425215,nan,1.0013429118260584,nan,1.001311672090309,nan
g i T,3,-12.622102509356344,nan,-12.092303382079423,nan,-12.416480516886773,nan,1.076340764987557,nan,1.076349963536461,nan,1.0008111207174983,nan,1.000938798124556,nan
z i T,3,-12.389719077100787,nan,-13.182035010575683,nan,-13.459620066262415,nan,1.0748403898937835,nan,1.0748644473195759,nan,1.001316043716741,nan,1.0012984456699616,nan
y c g,3,-12.876977258832007,nan,-14.396101432631369,nan,-13.987242372414059,nan,1.0586073557368552,nan,1.0587752565352908,nan,1.001649109544314,nan,1.0015179487037067,nan
l R z,3,-10.641662177815407,nan,-11.748519601747827,nan,-11.808489656925708,nan,1.1041276647708835,nan,1.103839231117303,nan,1.0015953733256797,nan,1.001491495863012,nan
J Y p,3,-12.674635212006748,nan,-13.769457720014698,nan,-13.42071415489724,nan,1.0692542142572126,nan,1.0693097475153481,nan,1.0019284391532526,nan,1.001710998896757,nan
C ^ z,3,-11.820297776848301,nan,-14.618050371216253,nan,-14.166070466129275,nan,1.0982575403349526,nan,1.098023465449906,nan,1.0030457575890068,nan,1.0024831996689576,nan
C e J,3,-13.413254584647937,nan,-13.687617883762577,nan,-13.933664598816247,nan,1.065775195009933,nan,1.0658870244220415,nan,1.0015416371070451,nan,1.0014650430223169,nan
z i S,3,-11.752452354935299,nan,-13.854393052552444,nan,-13.936581176075649,nan,1.079588993245739,nan,1.079560579916261,nan,1.0015953733256797,nan,1.001491495863012,nan
z u v,3,-12.13128379151754,nan,-16.44862508971148,nan,-15.799919809529953,nan,1.0694423681200371,nan,1.0695103990913015,nan,1.0002793296089385,nan,1.000565924158803,nan
D Y p,3,-11.357205261971552,nan,-12.850442379560393,nan,-12.80054436412073,nan,1.0860084028043493,nan,1.0858980119372348,nan,1.002180900652874,nan,1.0018908226694596,nan
s R k,3,-10.099072313036546,nan,-10.870834224332885,nan,-10.95714787481449,nan,1.1427388538810104,nan,1.1420340963744164,nan,1.0034163400416631,nan,1.002776715112626,nan
b R s,3,-10.486239936703132,nan,-10.323464927780162,nan,-10.434773319930088,nan,1.1296478017883782,nan,1.1290736513214181,nan,1.0050654495859772,nan,1.0039217898505797,nan
T ^ z,3,-12.58171292853725,nan,-12.901123774499867,nan,-13.085593389505377,nan,1.094756665116148,nan,1.09455726094384,nan,1.0032982190886282,nan,1.0026630234416603,nan
S c G,3,-13.953852827508491,nan,-12.824936141732913,nan,-13.007763143596538,nan,1.03896131294124,nan,1.0393362646071427,nan,1.002207768762191,nan,1.001904049089807,nan
J e J,3,-13.761984380255234,nan,-14.502038897960961,nan,-14.688860178510335,nan,1.0682758201662221,nan,1.0683628847835172,nan,1.0012891756074238,nan,1.001285219249614,nan
D ^ z,3,-10.851597622420401,nan,-9.28770937124713,nan,-9.426662582130996,nan,1.1175123540383785,nan,1.1170875902332684,nan,1.0126392945746165,nan,1.0093165030316622,nan
S Y p,3,-12.45005384592291,nan,-11.865807380249265,nan,-12.06427275692703,nan,1.0672537141321812,nan,1.0673290592261677,nan,1.0024333621524952,nan,1.0020706464421625,nan
n W C,3,-12.366688488006531,nan,-12.430141616411959,nan,-12.6092430061751,nan,1.0666357281495054,nan,1.0667374857092367,nan,1.004039383993941,nan,1.003250054328997,nan
l W C,3,-12.469888996178366,nan,-12.212295767048374,nan,-12.387483149739923,nan,1.081389416571611,nan,1.0813450618419427,nan,1.0002524614996213,nan,1.0005526977384558,nan
S c d,3,-12.577304076819114,nan,-15.499963047535262,nan,-14.941714015708612,nan,1.074715502885374,nan,1.074695380629242,nan,1.0002524614996213,nan,1.0005526977384558,nan
g i J,3,-12.209417153274693,nan,-14.485990207027658,nan,-14.379819446376882,nan,1.0777374130322497,nan,1.0777311790060744,nan,1.0005317911085598,nan,1.0007457479315058,nan
C u T,3,-14.372371419949793,nan,-13.018832129084078,nan,-13.355444251357019,nan,1.0451914729940208,nan,1.045510557765225,nan,1.001847834825301,nan,1.0016713196357145,nan
D i g,3,-10.891987203239495,nan,-14.441253835791667,nan,-14.299147996713362,nan,1.0963806213203553,nan,1.0961718246995138,nan,1.001649109544314,nan,1.0015179487037067,nan
w u T,3,-13.541892968855551,nan,-14.419559624415113,nan,-14.340487585615577,nan,1.0719481621663138,nan,1.0720022636330142,nan,1.0013429118260584,nan,1.001311672090309,nan
T c T,3,-15.516068344291249,nan,-13.30225156038277,nan,-13.721193876575684,nan,1.0288150612945295,nan,1.0292975399624833,nan,1.0005049229992427,nan,1.0007325215111584,nan
g u T,3,-13.494367826992706,nan,-14.398091894791007,nan,-14.430236419436888,nan,1.0614455365098998,nan,1.0616036501148165,nan,1.0013429118260584,nan,1.001311672090309,nan
f R s,3,-10.985969746214067,nan,-11.343210736040593,nan,-11.443843216096672,nan,1.1026410501004562,nan,1.1023343594174815,nan,1.0038031420878708,nan,1.0030226709870658,nan
J Y m,3,-12.574412322328513,nan,-14.040647126574447,nan,-13.687064370895033,nan,1.0876899684471568,nan,1.0875417917142431,nan,1.0024870983711298,nan,1.0020970992828573,nan
n R z,3,-10.53846166964357,nan,-12.493892924495334,nan,-12.522725998458682,nan,1.089373976348778,nan,1.089231654984597,nan,1.001090450326437,nan,1.0011318483176064,nan
m R n,3,-10.305334674345179,nan,-12.422479829374215,nan,-12.436436852111642,nan,1.124729183865741,nan,1.124191897591555,nan,1.0024602302618124,nan,1.0020838728625097,nan
C u S,3,-13.735104697784305,nan,-14.20201579482683,nan,-14.168877597791464,nan,1.0499400763459763,nan,1.0502066903619103,nan,1.0012891756074238,nan,1.001285219249614,nan
S e J,3,-13.537403014171398,nan,-14.313186986287459,nan,-14.52634124901256,nan,1.0662753200411907,nan,1.0663821964943367,nan,1.0020465601062876,nan,1.0018246905677224,nan
T ^ S,3,-13.816248383273352,nan,-14.477547053276513,nan,-14.693269186946077,nan,1.0779968885798352,nan,1.0779826753084811,nan,1.0013429118260584,nan,1.001311672090309,nan
v e D,3,-11.726539183082078,nan,-16.298242248087483,nan,-16.123925710266953,nan,1.07784490238091,nan,1.077822791576266,nan,1.0002793296089385,nan,1.000565924158803,nan
C ^ S,3,-13.054833231584404,nan,-16.194473649992897,nan,-15.773746263569976,nan,1.0814977637986398,nan,1.081448879814547,nan,1.001090450326437,nan,1.0011318483176064,nan
n c T,3,-12.840421567243698,nan,-13.724584293443058,nan,-13.90588408810916,nan,1.0635737509669474,nan,1.0637119989869943,nan,1.000757384498864,nan,1.0009123452838613,nan
s R p,3,-10.534820917731963,nan,-11.144631986996533,nan,-11.236318158517667,nan,1.1136885745514014,nan,1.1133048146064608,nan,1.0036956696506016,nan,1.0029697653056762,nan
D i D,3,-10.801290641768684,nan,-15.300395318111734,nan,-15.128250813509336,nan,1.0933079956220313,nan,1.0931331506663646,nan,1.0019284391532526,nan,1.001710998896757,nan
S c g,3,-13.239382877479724,nan,-13.253537256434077,nan,-13.363775112492103,nan,1.0498551676898433,nan,1.0501097452701262,nan,1.001649109544314,nan,1.0015179487037067,nan
C i S,3,-12.862839380147943,nan,-13.074882278456892,nan,-13.288476932353333,nan,1.0648353048236334,nan,1.0649530037835548,nan,1.0028576808237861,nan,1.0023906147265256,nan
g i D,3,-10.891987203239495,nan,-12.72764517583533,nan,-12.824448755213057,nan,1.0903072454344844,nan,1.0901621182325938,nan,1.0019284391532526,nan,1.001710998896757,nan
