word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-12.6632683068106,nan,-13.366919641999276,nan,-13.336716325824193,nan,1.125206672163348,nan,1.1239879170701859,nan,1.0012468827930174,nan,1.001240929039736,nan
b O r,3,-12.79710565017944,nan,-inf,nan,-14.895879101094282,nan,1.1033862232855427,nan,1.1026983793572904,nan,1,1,1.0006167093143927,1.0
b O s,3,-13.012021210536936,nan,-13.47769906765138,nan,-13.398954722422532,nan,1.097775250716964,nan,1.097223926802546,nan,1,1,1.0006167093143927,1.0
b U n,3,-10.885114489638324,nan,-inf,nan,-13.95290246524801,nan,1.1566980565959089,nan,1.1547482188693734,nan,1.0011883541295306,nan,1.0012259082178347,nan
b u r,3,-10.584977667340645,nan,-12.90233623020599,nan,-12.893187541031006,nan,1.1283416600056853,nan,1.1270744675755144,nan,1.0042762967803307,nan,1.0027789471202424,nan
b U s,3,-11.23386739336466,nan,-inf,nan,-13.791997310532139,nan,1.1292666351495249,nan,1.1279842286017336,nan,1.0011883541295306,nan,1.0012259082178347,nan
b W r,3,-11.237539567785511,nan,-inf,nan,-13.77900146444888,nan,1.1235882434875628,nan,1.1224314031529956,nan,1.0005941770647653,nan,1.0009213087661137,nan
C e D,3,-11.740476371357426,nan,-15.971235216659506,nan,-15.874164460423547,nan,1.0908293713225428,nan,1.0904501115965224,nan,1.0029708853238266,nan,1.0021397065729976,nan
C i D,3,-11.50989493098728,nan,-14.943776631433442,nan,-15.026381633974463,nan,1.0860759548044203,nan,1.0858070471740036,nan,1.005581708236835,nan,1.003418187667487,nan
C O b,3,-14.604904945088531,nan,-inf,nan,-16.716358408892575,nan,1.035073410659732,nan,1.0360003669791868,nan,1,1,1.0006167093143927,1.0
C O g,3,-14.78868742252216,nan,-inf,nan,-15.71446319404037,nan,1.036943734849258,nan,1.037825184497435,nan,1,1,1.0006167093143927,1.0
C O v,3,-15.458712185661252,nan,-inf,nan,-15.547171720652052,nan,1.0307093208841707,nan,1.0317424594366078,nan,1,1,1.0006167093143927,1.0
C u D,3,-12.14987849242493,nan,-14.357860291266068,nan,-14.49497764786447,nan,1.0706273511205227,nan,1.0707170878008172,nan,1.0023767082590611,nan,1.0018351071212765,nan
C u S,3,-14.080636836459641,nan,-13.931179344007631,nan,-14.1423171613444,nan,1.0488069022427173,nan,1.0494275500879218,nan,1.0030001496555698,nan,1.002147216983948,nan
C u T,3,-14.422386130181698,nan,-13.252957813664361,nan,-13.623865189843345,nan,1.0431959296741387,nan,1.0439530975331772,nan,1.0023767082590611,nan,1.0018351071212765,nan
D e C,3,-11.740476371357426,nan,-12.78753889891248,nan,-12.472117488800805,nan,1.1117005383527028,nan,1.1108759161594635,nan,1.0136660724896018,nan,1.0076224967039753,nan
D e D,3,-10.376824486987294,nan,-14.396313241315596,nan,-14.183153746756417,nan,1.129156897454947,nan,1.1279075463297799,nan,1.0136660724896018,nan,1.0076224967039753,nan
D e J,3,-12.375636294267021,nan,-12.397501434035869,nan,-12.495834015418119,nan,1.1035958001980892,nan,1.1029683735803881,nan,1.0142895138861105,nan,1.0079346065666468,nan
D e S,3,-12.307582831022007,nan,-11.954729273514895,nan,-12.156516826664674,nan,1.1073364485771418,nan,1.1066180086168844,nan,1.0136660724896018,nan,1.0076224967039753,nan
D i C,3,-11.50989493098728,nan,-13.589570584865054,nan,-13.69158861883967,nan,1.1069471218345803,nan,1.1062328517369446,nan,1.004870473845096,nan,1.0030835465719632,nan
D i D,3,-10.146243046617148,nan,-15.431959778449675,nan,-15.297264361137458,nan,1.1244034809368246,nan,1.123264481907261,nan,1.0073642394311308,nan,1.0043319860226498,nan
D i S,3,-12.077001390651859,nan,-14.548520428695522,nan,-14.656921802165606,nan,1.1025830320590193,nan,1.1019749441943656,nan,1.0036235910520785,nan,1.0024593268466198,nan
D i T,3,-12.418750684373915,nan,-13.464833790244088,nan,-13.801997594043339,nan,1.0969720594904406,nan,1.096500491639621,nan,1.0023767082590611,nan,1.0018351071212765,nan
d u r,3,-10.243997013164503,nan,-11.09641141723562,nan,-11.218923455472,nan,1.1324067006560916,nan,1.1310472258047994,nan,1.0036821197155654,nan,1.0024743476685214,nan
D W C,3,-12.802440392869798,nan,-inf,nan,-15.303296679808309,nan,1.0867451016325602,nan,1.0864998279412394,nan,1,1,1.0006167093143927,1.0
D W D,3,-11.438788508499666,nan,-inf,nan,-17.48433656700966,nan,1.1042014607348045,nan,1.1035314581115558,nan,1.0012468827930174,nan,1.001240929039736,nan
D W T,3,-13.711296146256434,nan,-inf,nan,-14.246100494856917,nan,1.0767700392884205,nan,1.0767674678439159,nan,1,1,1.0006167093143927,1.0
f U n,3,-11.705210672868732,nan,-inf,nan,-15.890129373179358,nan,1.1323078126934698,nan,1.130911669493664,nan,1.0005941770647653,nan,1.0009213087661137,nan
f u r,3,-11.405073850571053,nan,-13.46853440809547,nan,-13.444120087842462,nan,1.1039514161032462,nan,1.103237918199805,nan,1.0030879426508001,nan,1.0021697482168004,nan
f U s,3,-12.053963576595068,nan,-inf,nan,-15.729224218463486,nan,1.1048763912470858,nan,1.1041476792260243,nan,1.0005941770647653,nan,1.0009213087661137,nan
f W r,3,-12.057635751015923,nan,-inf,nan,-16.064535066648446,nan,1.0991979995851238,nan,1.0985948537772863,nan,1.0005941770647653,nan,1.0009213087661137,nan
f ^ r,3,-10.6419480911994,nan,-12.455168170369861,nan,-12.607321011553479,nan,1.1752526638750822,nan,1.172883884537588,nan,1.003652855383822,nan,1.0024668372575707,nan
