word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.234483361219095,nan,-13.082858325759412,nan,-13.355524408802783,nan,1.096949271800489,nan,1.0966482813413558,nan,1.0015454687524232,nan,1.0014322283618806,nan
g i T,3,-12.421297930620458,nan,-12.665080016205263,nan,-13.059041994159088,nan,1.0992270992569528,nan,1.0988920512921447,nan,1.0003990422984836,nan,1.0007209554841598,nan
z i T,3,-12.398308412395759,nan,-14.73944223475362,nan,-15.063041559251324,nan,1.0678964689583905,nan,1.0680166426470301,nan,1.0003990422984836,nan,1.0007209554841598,nan
y c g,3,-12.479781223995548,nan,-13.782500685799928,nan,-13.497003608488825,nan,1.0903083559101616,nan,1.0900864800624832,nan,1.001570818973179,nan,1.00144191096832,nan
l R z,3,-11.054404446640195,nan,-11.673264436307822,nan,-11.776299682244932,nan,1.0824203146906763,nan,1.0823152491918175,nan,1.000747384155456,nan,1.0009451363014812,nan
J Y p,3,-12.82738112830042,nan,-inf,nan,-14.117107339916679,nan,1.0689421254129263,nan,1.069024868979044,nan,1.0015961691939346,nan,1.001451593574759,nan
C ^ z,3,-12.223508348921461,nan,-12.660374455394926,nan,-12.507470246958388,nan,1.1231612911220423,nan,1.1224507393546443,nan,1.0039650727640808,nan,1.0029031871495182,nan
C e J,3,-14.075556910259746,nan,-13.152782935227146,nan,-13.68076652860722,nan,1.065789267983554,nan,1.0659440703124436,nan,1.0022675026871235,nan,1.0018902726029626,nan
z i S,3,-11.750011798001164,nan,-15.039432154879997,nan,-15.100943843668245,nan,1.071886891943227,nan,1.071944372419222,nan,1.0007980845969673,nan,1.0009645015143596,nan
z u v,3,-12.209399099203326,nan,-15.333816656054216,nan,-15.20433733226639,nan,1.074211656305469,nan,1.0742278353464276,nan,1.001570818973179,nan,1.00144191096832,nan
D Y p,3,-11.46640457516482,nan,-13.40925234034525,nan,-13.029366048208985,nan,1.0969553948563469,nan,1.0966311167087932,nan,1.0019698612716625,nan,1.0016854569985196,nan
s R k,3,-10.263400607023259,nan,-12.142791971288124,nan,-12.144787753732539,nan,1.1664918934361508,nan,1.1651134477720138,nan,1.0034646295825744,nan,1.0026209106935617,nan
b R s,3,-10.66182343250601,nan,-10.185296014813023,nan,-10.37168863244299,nan,1.1401486299849837,nan,1.139172740084421,nan,1.0046364062572695,nan,1.0033418661777216,nan
T ^ z,3,-12.634804377340418,nan,-inf,nan,-13.41140144897605,nan,1.1187381433151866,nan,1.1180918581341577,nan,1.0035913806863528,nan,1.0026693237257576,nan
S c G,3,-13.536232701839381,nan,-12.527003208220947,nan,-12.46789709909846,nan,1.0564649211046715,nan,1.0567451476475702,nan,1.0019698612716625,nan,1.0016854569985196,nan
J e J,3,-14.435559644291153,nan,-14.147325864001049,nan,-14.614850768795568,nan,1.0632090984295548,nan,1.063401389600493,nan,1.0011464264539396,nan,1.001188682331681,nan
D ^ z,3,-11.222534529817267,nan,-7.92581710152834,nan,-8.249105846181397,nan,1.1485943910114638,nan,1.1475143063724431,nan,1.0204075241841106,nan,1.0131931777949812,nan
S Y p,3,-12.230377808293376,nan,-12.462957550422736,nan,-12.631631514215677,nan,1.0748396558220674,nan,1.0748367106063599,nan,1.0019698612716625,nan,1.0016854569985196,nan
n W C,3,-12.626557843370094,nan,-13.292096837879129,nan,-13.464979242912994,nan,1.0531787226463953,nan,1.053517474441258,nan,1.0014947683109119,nan,1.0014128631490022,nan
l W C,3,-12.785771825153898,nan,-13.16384508169929,nan,-13.312685810060934,nan,1.062025018260107,nan,1.0622352368822314,nan,1.000373692077728,nan,1.0007112728777208,nan
S c d,3,-12.46712107756797,nan,-15.143812851744523,nan,-14.367554422032413,nan,1.09357585486365,nan,1.0932730345289527,nan,1.000373692077728,nan,1.0007112728777208,nan
g i J,3,-12.370004636232906,nan,-inf,nan,-15.158165274142316,nan,1.096832845466051,nan,1.0965354134288299,nan,1,1,1.0004774094539601,1.0
C u T,3,-14.178298766483337,nan,-13.080812737670305,nan,-13.615316371848246,nan,1.0693045980076397,nan,1.0694052737133137,nan,1.0019191608301512,nan,1.0016660917856413,nan
D i g,3,-11.009028083097306,nan,-13.420672362949862,nan,-13.503887751654627,nan,1.118749725234739,nan,1.1181083943003718,nan,1.0027425956478742,nan,1.0021628664524798,nan
w u T,3,-12.876903849149933,nan,-14.037703246685233,nan,-13.860407706805024,nan,1.1223823716899102,nan,1.1217118483591546,nan,1.0011717766746953,nan,1.0011983649381202,nan
T c T,3,-15.288972525212877,nan,-13.035051349163036,nan,-13.681289569728609,nan,1.0383493126820993,nan,1.0389050081040199,nan,1.000373692077728,nan,1.0007112728777208,nan
