word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.01965811169168,nan,-11.139015020367966,nan,-11.183908518026964,nan,1.0766018770695753,nan,1.0765979866931394,nan,1.003420436028184,nan,1.0032217253738893,nan
b i l,3,-10.065610925048748,nan,-10.76412077341736,nan,-10.80011031184199,nan,1.1058390488918188,nan,1.1057607794534166,nan,1.0058399779099765,nan,1.0054173793752414,nan
b i s,3,-9.884004094902288,nan,-10.980402091553346,nan,-11.01358046812429,nan,1.1145082302828586,nan,1.1144070734274119,nan,1.005376739209692,nan,1.0049984936113734,nan
b R s,3,-11.037990367522546,nan,-11.891105363183046,nan,-11.92745067733042,nan,1.0833648591059866,nan,1.0833407945735223,nan,1.0014682712158578,nan,1.001448361366328,nan
b Y s,3,-10.638061605735542,nan,-11.36385283062152,nan,-11.401375165551665,nan,1.0880177532061168,nan,1.0879821708963147,nan,1.0024981339465213,nan,1.0023819849314262,nan
b ^ l,3,-10.105576283648052,nan,-12.574286068418324,nan,-12.584472103662863,nan,1.1008759618516797,nan,1.100809978042438,nan,1.0022540810139715,nan,1.0021650159320494,nan
C @ l,3,-11.9690635589361,nan,-14.590784633593898,nan,-14.56855003310371,nan,1.0709555521118186,nan,1.070963524363966,nan,1.0007899851170203,nan,1.000830963067891,nan
C i D,3,-11.867379317051334,nan,-12.885901598572868,nan,-12.963562466497274,nan,1.0766999041339165,nan,1.0766955204771573,nan,1.0022789481787868,nan,1.0021800681669348,nan
C i n,3,-11.19114756196698,nan,-12.413671479663043,nan,-12.485674922238147,nan,1.102641271349852,nan,1.1025684001550664,nan,1.002808363836255,nan,1.0026587947542127,nan
C R J,3,-14.983379146293487,nan,-14.831964802557938,nan,-14.875896439657291,nan,1.0234534292577526,nan,1.023584492101784,nan,1.0005045854423773,nan,1.0005745786246398,nan
C R g,3,-13.248778090905379,nan,-15.302581570797754,nan,-15.217419919868409,nan,1.0415197385688506,nan,1.0416031047346135,nan,1.0004384084851938,nan,1.00051473780123,nan
C R T,3,-14.778584733647474,nan,-16.178296548589095,nan,-15.926310374429768,nan,1.0246446144870558,nan,1.0247725324951573,nan,1.0003722315280104,nan,1.0004548969778204,nan
C ^ J,3,-13.869358232272532,nan,-17.11173730808463,nan,-16.9711856382408,nan,1.0496337133944855,nan,1.0496999695446951,nan,1.0003101929400087,nan,1.0003984603843332,nan
C ^ n,3,-11.231112920566284,nan,-13.037473234666848,nan,-12.994240065899954,nan,1.0976781843097128,nan,1.097617598744088,nan,1.005405818643139,nan,1.0050062037868823,nan
C ^ S,3,-13.479160596295156,nan,-15.54142599558554,nan,-15.539274235964733,nan,1.0514204912384402,nan,1.0514820301347552,nan,1.0007072546831097,nan,1.0007575053247915,nan
C ^ C,3,-13.466421570517724,nan,-14.786821141441047,nan,-14.806328606858969,nan,1.0520822608102753,nan,1.052142052575518,nan,1.0011043164262108,nan,1.00111655026525,nan
d i k,3,-9.846385323357017,nan,-11.159698730482933,nan,-11.188659460273435,nan,1.1132406010234304,nan,1.113144608872652,nan,1.0045868279921213,nan,1.00427306167108,nan
d i s,3,-9.561407855788598,nan,-11.502731412671892,nan,-11.52619787784269,nan,1.125152453316462,nan,1.125025012806386,nan,1.0033294658056346,nan,1.0031360860262952,nan
d i t,3,-9.020490332806302,nan,-10.75233755285949,nan,-10.775595992606336,nan,1.1524173596760676,nan,1.1522179373658208,nan,1.005182420606773,nan,1.0048116290817677,nan
d E p,3,-11.011265389407829,nan,-15.12194449346919,nan,-15.005930653185205,nan,1.0806700097749948,nan,1.0806561142025672,nan,1.0004508235927394,nan,1.0005249504909974,nan
d R s,3,-10.715394128408855,nan,-11.935841268143454,nan,-11.964833408385532,nan,1.09400908213959,nan,1.0939587339524963,nan,1.0014682712158578,nan,1.001448361366328,nan
D i D,3,-10.30830242218425,nan,-13.10294434235703,nan,-13.101744972454844,nan,1.0992260505538682,nan,1.0991660433489394,nan,1.0020928324147815,nan,1.0020107583864732,nan
D i g,3,-10.535714923418036,nan,-12.974180922193085,nan,-12.978338338438428,nan,1.0951892561656744,nan,1.0951399064602851,nan,1.002556071115066,nan,1.0024296441503415,nan
D i C,3,-11.867379317051336,nan,-14.032822685803945,nan,-14.078697137108428,nan,1.0795714942703662,nan,1.0795633768582786,nan,1.0009678241426618,nan,1.000993464388508,nan
d I J,3,-11.839647405846287,nan,-13.752460967715017,nan,-13.725679549454494,nan,1.082443522667733,nan,1.0824287353974877,nan,1.0029240903744452,nan,1.0027756057706412,nan
d I D,3,-9.877633849224395,nan,-11.285339811676579,nan,-11.316238247132304,nan,1.1045466263670247,nan,1.1044734849189715,nan,1.0037843908178308,nan,1.0035535364749677,nan
d Y p,3,-11.037294256119106,nan,-11.994406257660879,nan,-12.024101284800205,nan,1.077816234726915,nan,1.0778094033912546,nan,1.0021093489417838,nan,1.002029748450813,nan
d Y t,3,-9.774547843639555,nan,-11.16831533703459,nan,-11.193269259191347,nan,1.1259268825993258,nan,1.1257930348347236,nan,1.0029696493851696,nan,1.0028076791551395,nan
d I T,3,-11.634852993200274,nan,-12.816410328069647,nan,-12.87897349934109,nan,1.083634707897036,nan,1.083616775790861,nan,1.0029240903744452,nan,1.0027756057706412,nan
d I Z,3,-15.336154967312769,nan,-inf,nan,-16.75700047531938,nan,1.079200851765741,nan,1.0791946254377491,nan,1.0027917364600782,nan,1.0026559241238218,nan
f i k,3,-10.683810623096507,nan,-11.943251639916411,nan,-11.982608791163576,nan,1.0915808448503999,nan,1.0915383368805536,nan,1.0035942105840934,nan,1.0033700761752844,nan
f i s,3,-10.398833155528088,nan,-12.286284322105368,nan,-12.320147208732832,nan,1.1034926971434316,nan,1.1034187408142875,nan,1.0023368483976067,nan,1.0022331005304996,nan
f R s,3,-11.552819428148345,nan,-13.22924845595329,nan,-13.236252769340778,nan,1.0723493259665595,nan,1.072352461960398,nan,1.0009719625118438,nan,1.0009968686184305,nan
f R t,3,-11.011901905166049,nan,-12.904237244979827,nan,-12.911180829944227,nan,1.099614232326165,nan,1.0995453865198328,nan,1.0015675551264953,nan,1.001535436029118,nan
f Y k,3,-11.437868133929761,nan,-11.560257810473988,nan,-11.604650018915725,nan,1.065090367773658,nan,1.0651134343494564,nan,1.002804225467073,nan,1.0026553905242903,nan
f ^ l,3,-10.62040534427385,nan,-13.273668130302177,nan,-13.28892251389641,nan,1.0898604287122526,nan,1.0898216454293137,nan,1.0012614636059436,nan,1.0012620304362538,nan
g e s,3,-10.421331269256045,nan,-13.083659835991737,nan,-13.067277255207292,nan,1.1014251524512593,nan,1.10135636405545,nan,1.002560209484248,nan,1.002433048380264,nan
g W d,3,-11.704420258460791,nan,-16.08837366786877,nan,-15.448320329652555,nan,1.0679322221714365,nan,1.067947955194736,nan,1.0005955926146515,nan,1.0006548448275845,nan
g W r,3,-11.47328885226428,nan,-19.33550245786031,nan,-18.04160909493564,nan,1.0781234735776968,nan,1.0781123007824858,nan,1,1,1.000116277416897,1.0
g W z,3,-12.127821196696447,nan,-inf,nan,-18.527182262396785,nan,1.0551600694350192,nan,1.0552095220880102,nan,1,1,1.000116277416897,1.0
g i C,3,-12.09479181828512,nan,-13.258171148471906,nan,-13.334082615986858,nan,1.0720215221186242,nan,1.07203204776389,nan,1.0014641328466758,nan,1.0014449571364055,nan
g i J,3,-12.497728480039928,nan,-13.839902516035991,nan,-13.919273893268262,nan,1.0695729747028344,nan,1.0695899647330671,nan,1.001199425017942,nan,1.0012055938427666,nan
g i D,3,-10.535714923418034,nan,-12.32829280502499,nan,-12.357130451333274,nan,1.0916760784021262,nan,1.0916347142545508,nan,1.0025891411187955,nan,1.0024622511343708,nan
g R g,3,-11.917113697272079,nan,-13.794990305918876,nan,-13.713745367800948,nan,1.0564959128370601,nan,1.056542298512007,nan,1.0006865628372008,nan,1.0007404841751788,nan
g u v,3,-11.78428127203351,nan,-17.386267253867807,nan,-16.73843565872973,nan,1.0647590906515882,nan,1.064786623747588,nan,1.0005955926146515,nan,1.0006548448275845,nan
h e s,3,-10.563301530526433,nan,-11.83004345344839,nan,-11.859892162778415,nan,1.102167772662906,nan,1.1020971505237507,nan,1.003738942656281,nan,1.0035053436565209,nan
h e n,3,-10.380817490995911,nan,-12.108129645831587,nan,-12.131432302883246,nan,1.1081236988094216,nan,1.1080373524906175,nan,1.0030771730844459,nan,1.0029069354224236,nan
h i n,3,-10.00145342960407,nan,-10.321561757568093,nan,-10.363017516686144,nan,1.1183600658297084,nan,1.1182483804007606,nan,1.007771450876394,nan,1.00717372223319,nan
h Y s,3,-10.937994979967844,nan,-11.762371689178858,nan,-11.798106933435465,nan,1.085913662606451,nan,1.0858832759027965,nan,1.003056481238537,nan,1.0028899142728112,nan
h ^ s,3,-10.223902827733893,nan,-11.18566912718519,nan,-11.222786165518789,nan,1.1074410526430536,nan,1.1073573770229153,nan,1.0036603875412768,nan,1.0034299169986942,nan
J R T,3,-15.181521395402278,nan,-inf,nan,-18.274286622844606,nan,1.0235306841695857,nan,1.0236613527927065,nan,1,1,1.000116277416897,1.0
J ^ n,3,-11.63404958232109,nan,-10.506304867062775,nan,-10.644336730222433,nan,1.0965642539922427,nan,1.0965064190416371,nan,1.006088243111158,nan,1.0056270063152417,nan
k e d,3,-10.22574938474886,nan,-11.175240624957109,nan,-11.20576382099204,nan,1.104007966315546,nan,1.1039344730704999,nan,1.0044089520167547,nan,1.0041159334951129,nan
k R m,3,-11.097999465752128,nan,-14.174821164308408,nan,-14.094197346160314,nan,1.0807185917003543,nan,1.0807031413400066,nan,1.0004466852235574,nan,1.0005215462610748,nan
l e l,3,-10.063384712761344,nan,-11.179189672366714,nan,-11.207951458604722,nan,1.1083509955048014,nan,1.1082665859157657,nan,1.0035776201576416,nan,1.003361832400244,nan
m @ b,3,-10.63605795668129,nan,-12.541166891778893,nan,-12.55363747641868,nan,1.0847646095941539,nan,1.084740416137753,nan,1.0020845187266931,nan,1.0020093230712777,nan
m e p,3,-10.760228676452547,nan,-12.072352249381181,nan,-12.10049638520432,nan,1.0907285538309595,nan,1.0906897389048564,nan,1.0023864718780633,nan,1.0022793244342192,nan
m @ v,3,-11.477853478928601,nan,-11.192858831228948,nan,-11.257772766303251,nan,1.0709998024999843,nan,1.0710119493698829,nan,1.0032757039559963,nan,1.0030864578926528,nan
m @ z,3,-10.736862655803256,nan,-11.961693680525467,nan,-11.988325676855407,nan,1.0821837082639971,nan,1.0821663286187773,nan,1.0023492265554272,nan,1.0022486863649165,nan
m R n,3,-10.630537958653186,nan,-13.066821501445615,nan,-13.033175765691803,nan,1.0966232173336952,nan,1.0965653968120108,nan,1.0013607475165813,nan,1.0013491050990437,nan
m R s,3,-10.813021998183707,nan,-13.435480775182448,nan,-13.399174425203222,nan,1.0906672911871795,nan,1.090625194845144,nan,1.0010960396878474,nan,1.001109741805405,nan
m Y d,3,-10.653694101108718,nan,-10.62648078211798,nan,-10.668804802499805,nan,1.0855259956241505,nan,1.0854982390446442,nan,1.0038836747284685,nan,1.0036406111377574,nan
m ^ b,3,-10.262198187988457,nan,-11.576341758388958,nan,-11.606898719876844,nan,1.0968621342544926,nan,1.0968079945770128,nan,1.0032963958019052,nan,1.0031034790422655,nan
n e s,3,-9.517687012937904,nan,-11.958205123982586,nan,-11.969738287556575,nan,1.1341623267813539,nan,1.1340127008663643,nan,1.0031805953642654,nan,1.002997414315136,nan
n e n,3,-9.335202973407384,nan,-12.236291316365783,nan,-12.241278427661408,nan,1.1401182529278695,nan,1.1399529028332311,nan,1.0025188257924302,nan,1.0023990060810386,nan
n c d,3,-10.57088933694355,nan,-inf,nan,-16.990182039259956,nan,1.100917550853538,nan,1.1008518320761993,nan,1.000248154352007,nan,1.0003420237908458,nan
