word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.595734129702244,nan,-inf,nan,-17.20456011990055,nan,1.1178331695986805,nan,1.1176281251585627,nan,1.0012904739558892,nan,1.0012714781878769,nan
g i T,3,-12.521232849390028,nan,-inf,nan,-16.70050597496036,nan,1.1113424626223471,nan,1.1111681053728966,nan,1.000938526513374,nan,1.0009775046454956,nan
z i T,3,-13.244421814852483,nan,-inf,nan,-18.042271441781246,nan,1.0850386077470637,nan,1.084985958888301,nan,1.000938526513374,nan,1.0009775046454956,nan
y c g,3,-11.625895840584217,nan,-inf,nan,-19.321710103077127,nan,1.126976245163713,nan,1.1267268679179598,nan,1,1,1.0001935751991458,1.0
l R z,3,-13.468900216952544,nan,-inf,nan,-16.74964830739489,nan,1.06327930856326,nan,1.0633283288660207,nan,1,1,1.0001935751991458,1.0
J Y p,3,-15.068238178524068,nan,-inf,nan,-17.334540512228322,nan,1.031922571039509,nan,1.032115375806821,nan,1.0011731581417176,nan,1.0011734870070832,nan
C ^ z,3,-13.669303387783533,nan,-inf,nan,-17.77153943112346,nan,1.0804924938031912,nan,1.0804603891954425,nan,1.0021116846550915,nan,1.0019574164534328,nan
C e J,3,-16.131987417697957,nan,-inf,nan,-18.73966518800409,nan,1.0473121319547802,nan,1.0474349683501667,nan,1.0002346316283435,nan,1.0003895575607333,nan
z i S,3,-13.616942767241293,nan,-inf,nan,-17.23173955259667,nan,1.0843347128620333,nan,1.0842854334942555,nan,1.0003519474425153,nan,1.000487548741527,nan
z u v,3,-12.734193680614602,nan,-inf,nan,-18.232473025332688,nan,1.121614835557728,nan,1.121391561662134,nan,1.0002346316283435,nan,1.0003895575607333,nan
D Y p,3,-11.85598215441258,nan,-inf,nan,-14.628368859479426,nan,1.0915597592481256,nan,1.0914766217158605,nan,1.0011731581417176,nan,1.0011734870070832,nan
s R k,3,-11.929420040910598,nan,-inf,nan,-17.960184616280458,nan,1.1233394721563053,nan,1.1231020949766322,nan,1,1,1.0001935751991458,1.0
b R s,3,-12.16245669028357,nan,-inf,nan,-15.341414042107276,nan,1.0775486358781057,nan,1.0775241467033294,nan,1.0001138822457578,nan,1.0002891592174978,nan
T ^ z,3,-13.15528287312102,nan,-inf,nan,-15.981773980502268,nan,1.0823065527601072,nan,1.0822660544702423,nan,1.0021116846550915,nan,1.0019574164534328,nan
S c G,3,-15.365801343233786,nan,-inf,nan,-20.786122481193683,nan,1.017826356520629,nan,1.0180856382841519,nan,1,1,1.0001935751991458,1.0
J e J,3,-16.385590176496876,nan,-inf,nan,-18.556145308718026,nan,1.0473121319547802,nan,1.0474349683501667,nan,1.0002346316283435,nan,1.0003895575607333,nan
D ^ z,3,-10.710650122470962,nan,-8.006731707727841,nan,-8.089503471617693,nan,1.1401296820118079,nan,1.139821635104482,nan,1.01566367190028,nan,1.0133319146373365,nan
S Y p,3,-14.67313585745145,nan,-inf,nan,-17.62581325281083,nan,1.031922571039509,nan,1.032115375806821,nan,1.0011731581417176,nan,1.0011734870070832,nan
n W C,3,-14.135872738810052,nan,-inf,nan,-14.56856707042375,nan,1.0579452248504928,nan,1.0580194941149836,nan,1.0002277644915158,nan,1.0003847432358501,nan
l W C,3,-14.718458054498965,nan,-inf,nan,-16.722737164042332,nan,1.0635007804060483,nan,1.0635493440190578,nan,1,1,1.0001935751991458,1.0
S c d,3,-13.812849032934242,nan,-inf,nan,-21.92414050986008,nan,1.0700318938270577,nan,1.0700412716758625,nan,1,1,1.0001935751991458,1.0
g i J,3,-13.288856122851456,nan,-inf,nan,-16.21361116025749,nan,1.1097000412239426,nan,1.1095335461201237,nan,1.000469263256687,nan,1.0005855399223207,nan
C u T,3,-14.982028490822135,nan,-inf,nan,-19.07181036860108,nan,1.1132980222063904,nan,1.1131139619715635,nan,1.0012904739558892,nan,1.0012714781878769,nan
D i g,3,-10.076600098739966,nan,-inf,nan,-16.04725451797796,nan,1.1661571994039674,nan,1.1657251801213646,nan,1.0058657907085875,nan,1.0050931342388323,nan
w u T,3,-12.205945879328098,nan,-inf,nan,-15.767782711446525,nan,1.188808226288023,nan,1.1882747790351005,nan,1.0012904739558892,nan,1.0012714781878769,nan
T c T,3,-15.730879333975754,nan,-inf,nan,-19.750130769654515,nan,1.0170594675657663,nan,1.0173227104474514,nan,1,1,1.0001935751991458,1.0
g u T,3,-12.652606743874529,nan,-inf,nan,-16.24963724908983,nan,1.1433433736803131,nan,1.1430202930854334,nan,1.0012904739558892,nan,1.0012714781878769,nan
f R s,3,-13.403725279353202,nan,-inf,nan,-19.305970140613717,nan,1.059521424993752,nan,1.0595803480350074,nan,1,1,1.0001935751991458,1.0
J Y m,3,-14.459521149122404,nan,-inf,nan,-17.170540245231166,nan,1.055385733873859,nan,1.0554662222750053,nan,1.0022290004692633,nan,1.0020554076342267,nan
n R z,3,-12.886314901263635,nan,-inf,nan,-17.42869155783252,nan,1.0577237530077044,nan,1.0577984789619466,nan,1,1,1.0001935751991458,1.0
m R n,3,-12.016345473590931,nan,-inf,nan,-18.34395732085047,nan,1.0991174010347236,nan,1.0989908241481208,nan,1,1,1.0001935751991458,1.0
C u S,3,-15.354549443210946,nan,-inf,nan,-18.939537047482702,nan,1.11259412732136,nan,1.112413436577518,nan,1.0002346316283435,nan,1.0003895575607333,nan
S e J,3,-15.990487855424256,nan,-inf,nan,-18.847418049300533,nan,1.0473121319547802,nan,1.0474349683501667,nan,1.0002346316283435,nan,1.0003895575607333,nan
T ^ S,3,-14.620016092332474,nan,-inf,nan,-17.29793181110997,nan,1.0779658676357524,nan,1.077946147873628,nan,1.0002346316283435,nan,1.0003895575607333,nan
v e D,3,-11.764108850201579,nan,-inf,nan,-24.47621288062528,nan,1.0909496776973069,nan,1.0908636426283238,nan,1,1,1.0001935751991458,1.0
C ^ S,3,-15.134036606994984,nan,-inf,nan,-19.08769726173116,nan,1.0761518086788364,nan,1.0761404825988283,nan,1.0002346316283435,nan,1.0003895575607333,nan
n c T,3,-12.91555657074409,nan,-inf,nan,-19.200169737067576,nan,1.0647918938696213,nan,1.064834277990618,nan,1,1,1.0001935751991458,1.0
s R p,3,-12.922534460716902,nan,-inf,nan,-17.155567535807474,nan,1.07606119904509,nan,1.0760501393432405,nan,1,1,1.0001935751991458,1.0
D i D,3,-9.447368580375002,nan,-inf,nan,-16.552505570162392,nan,1.182816045016356,nan,1.1823042811137756,nan,1.0072735804786486,nan,1.006269028408357,nan
S c g,3,-14.287999054079469,nan,-inf,nan,-22.842114683940437,nan,1.0404683086557767,nan,1.04061920512595,nan,1,1,1.0001935751991458,1.0
C i S,3,-15.223175548726443,nan,-inf,nan,-18.71214720528704,nan,1.080593216263394,nan,1.0805612488649812,nan,1.0003519474425153,nan,1.000487548741527,nan
g i D,3,-10.076600098739966,nan,-inf,nan,-16.6200239826861,nan,1.1532242082816622,nan,1.152849366318606,nan,1.0072735804786486,nan,1.006269028408357,nan
T c S,3,-16.103400286364565,nan,-inf,nan,-15.928977994422201,nan,1.0163555726807358,nan,1.0166221850534058,nan,1.0001173158141718,nan,1.0002915663799394,nan
z u T,3,-13.375795709336984,nan,-inf,nan,-17.59140271591071,nan,1.1170395188050297,nan,1.116838146600838,nan,1.0012904739558892,nan,1.0012714781878769,nan
S Y m,3,-14.064418828049787,nan,-inf,nan,-17.461812985813676,nan,1.055385733873859,nan,1.0554662222750053,nan,1.0022290004692633,nan,1.0020554076342267,nan
D ^ v,3,-11.161260360571223,nan,-7.7813680711385675,nan,-7.900960948687823,nan,1.1410682085251818,nan,1.1407556689632095,nan,1.0166021984136542,nan,1.0141158440836864,nan
t W C,3,-13.574212378500153,nan,-inf,nan,-13.471500019876117,nan,1.0966073563697671,nan,1.0965027352841519,nan,1.0002277644915158,nan,1.0003847432358501,nan
g Y b,3,-11.725135902344212,nan,-inf,nan,-15.336385405720517,nan,1.08062113696674,nan,1.0805856298628975,nan,1.0022290004692633,nan,1.0020554076342267,nan
r c S,3,-13.731949921730621,nan,-11.54224633471166,nan,-11.772004476436859,nan,1.0418657767623685,nan,1.0420143529802763,nan,1.0014839027632665,nan,1.001438574600165,nan
d R s,3,-11.98544787238026,nan,-inf,nan,-15.215346491854486,nan,1.0893400190980604,nan,1.0892609709895273,nan,1.0001138822457578,nan,1.0002891592174978,nan
S c z,3,-15.011188019541923,nan,-inf,nan,-20.835794758917622,nan,1.0188821988481747,nan,1.0191364263752203,nan,1,1,1.0001935751991458,1.0
y c d,3,-11.150745819438992,nan,-inf,nan,-18.40373592899677,nan,1.156539830334994,nan,1.1561489344678724,nan,1,1,1.0001935751991458,1.0
J u S,3,-15.608152202009864,nan,-inf,nan,-18.756017168196635,nan,1.11259412732136,nan,1.112413436577518,nan,1.0002346316283435,nan,1.0003895575607333,nan
h u S,3,-13.349831447727045,nan,-inf,nan,-15.953907178200124,nan,1.1384444674574143,nan,1.1381441667434136,nan,1.0002346316283435,nan,1.0003895575607333,nan
g u S,3,-13.02512769626334,nan,-inf,nan,-16.117363927971446,nan,1.1426394787952827,nan,1.1423197676913879,nan,1.0002346316283435,nan,1.0003895575607333,nan
y R z,3,-13.412055403388855,nan,-inf,nan,-14.409856172418472,nan,1.0946852042548698,nan,1.0945889089359901,nan,1.0001138822457578,nan,1.0002891592174978,nan
C e g,3,-13.548962911951433,nan,-inf,nan,-23.580682070283476,nan,1.0741774534001112,nan,1.074171687556238,nan,1,1,1.0001935751991458,1.0
z i J,3,-14.012045088313911,nan,-inf,nan,-17.555376627078374,nan,1.0833961863486592,nan,1.0833513996355282,nan,1.000469263256687,nan,1.0005855399223207,nan
m u S,3,-12.878347234053091,nan,-inf,nan,-16.26732979556873,nan,1.1424127214256683,nan,1.142094059532038,nan,1.0002346316283435,nan,1.0003895575607333,nan
D Y m,3,-11.247265125010916,nan,-inf,nan,-14.46436859248227,nan,1.1150229220824757,nan,1.1148274681840449,nan,1.0022290004692633,nan,1.0020554076342267,nan
J e g,3,-13.80256567075035,nan,-inf,nan,-23.397162190997413,nan,1.0741774534001112,nan,1.074171687556238,nan,1,1,1.0001935751991458,1.0
f u v,3,-12.954132100979864,nan,-inf,nan,-17.845630429322526,nan,1.1224084863513788,nan,1.1221815402198587,nan,1.0002346316283435,nan,1.0003895575607333,nan
v R n,3,-13.336925139363897,nan,-inf,nan,-17.46633120114138,nan,1.0694121856152223,nan,1.0694230552732757,nan,1.0001138822457578,nan,1.0002891592174978,nan
g i C,3,-13.035253364052537,nan,-inf,nan,-15.660308795480947,nan,1.1108731993656602,nan,1.1107010884435329,nan,1.0007038948850304,nan,1.0007815222839083,nan
C i D,3,-12.406021845687572,nan,-inf,nan,-19.442197102197355,nan,1.1231788568077394,nan,1.122943035204736,nan,1.0072735804786486,nan,1.006269028408357,nan
C Y z,3,-15.075887817996186,nan,-inf,nan,-20.80058523030061,nan,1.0260567803309215,nan,1.0262776641897748,nan,1,1,1.0001935751991458,1.0
d c T,3,-13.44032808054543,nan,-inf,nan,-15.241095735845356,nan,1.049599150105449,nan,1.0497118313141707,nan,1.0004555289830315,nan,1.0005759112725543,nan
y R v,3,-13.862665641489116,nan,-inf,nan,-14.571796623179413,nan,1.0956237307682437,nan,1.0955229427947175,nan,1.0001138822457578,nan,1.0002891592174978,nan
z i g,3,-11.429020582567386,nan,-inf,nan,-17.456538397322554,nan,1.1102615077939901,nan,1.1100881188415994,nan,1.0058657907085875,nan,1.0050931342388323,nan
S e g,3,-13.407463349677732,nan,-inf,nan,-23.68843493157992,nan,1.0741774534001112,nan,1.074171687556238,nan,1,1,1.0001935751991458,1.0
C e D,3,-12.919731393586469,nan,-inf,nan,-23.915172388075028,nan,1.0908362990124998,nan,1.090750788548649,nan,1,1,1.0001935751991458,1.0
n W T,3,-13.621852224147542,nan,-13.535458808195068,nan,-13.63852200018832,nan,1.0584144881071798,nan,1.0584865110443473,nan,1.0004623961198593,nan,1.0005807255974377,nan
T ^ J,3,-15.01511841340509,nan,-inf,nan,-20.106475535379673,nan,1.0770273411223783,nan,1.0770121140149007,nan,1,1,1.0001935751991458,1.0
T c g,3,-13.915478101690658,nan,-inf,nan,-20.9445963720228,nan,1.0422823676126927,nan,1.0424248704007497,nan,1,1,1.0001935751991458,1.0
n c G,3,-12.177957627613312,nan,-inf,nan,-18.338643136689107,nan,1.0673728417814,nan,1.0674028711021182,nan,1,1,1.0001935751991458,1.0
s R n,3,-11.460676362578921,nan,-inf,nan,-18.159478381701327,nan,1.1313169475199842,nan,1.131041382775815,nan,1,1,1.0001935751991458,1.0
s R d,3,-11.98544787238026,nan,-inf,nan,-18.000077600919994,nan,1.1213451033153854,nan,1.1211172730268366,nan,1,1,1.0001935751991458,1.0
J e D,3,-13.173334152385387,nan,-inf,nan,-23.731652508788965,nan,1.0908362990124998,nan,1.090750788548649,nan,1,1,1.0001935751991458,1.0
b c T,3,-13.617336898448741,nan,-inf,nan,-14.974120697988536,nan,1.0378077668854941,nan,1.0379750070279727,nan,1.0009110579660632,nan,1.0009582473459628,nan
y ^ z,3,-10.865700612014582,nan,-inf,nan,-14.358887711556594,nan,1.1670004303111277,nan,1.1665680519874524,nan,1.0021116846550915,nan,1.0019574164534328,nan
y c T,3,-13.441297072869315,nan,-inf,nan,-18.12724450070884,nan,1.1017533451167867,nan,1.1016247079646615,nan,1,1,1.0001935751991458,1.0
k R n,3,-11.631948083186291,nan,-inf,nan,-18.6123041164033,nan,1.1025187615789414,nan,1.10237644653837,nan,1,1,1.0001935751991458,1.0
D i C,3,-12.406021845687572,nan,-inf,nan,-15.59279038295724,nan,1.140465036100354,nan,1.1401560032387026,nan,1.0007038948850304,nan,1.0007815222839083,nan
D ^ S,3,-12.175383341682414,nan,-9.19289027577865,nan,-9.405661302225395,nan,1.135788996887453,nan,1.135501728507868,nan,1.013786618873532,nan,1.011764055744637,nan
C ^ J,3,-15.529138928067603,nan,-inf,nan,-21.896240986000866,nan,1.0752132821654623,nan,1.075206448740101,nan,1,1,1.0001935751991458,1.0
z u S,3,-13.748316661725793,nan,-inf,nan,-17.45912939479233,nan,1.1163356239199993,nan,1.1161376212067924,nan,1.0002346316283435,nan,1.0003895575607333,nan
n c d,3,-10.625005317313768,nan,-inf,nan,-19.476661165355505,nan,1.1195783790878286,nan,1.1193585044938288,nan,1,1,1.0001935751991458,1.0
y ^ J,3,-12.725536152298652,nan,-inf,nan,-18.483589266434,nan,1.1617212186733987,nan,1.1613141115321108,nan,1,1,1.0001935751991458,1.0
p u S,3,-13.487064263454755,nan,-inf,nan,-17.290810630647144,nan,1.11837644024653,nan,1.118168994640942,nan,1.0002346316283435,nan,1.0003895575607333,nan
y R p,3,-13.150803005117815,nan,-inf,nan,-14.653691858248413,nan,1.1005509949634573,nan,1.1004266205530362,nan,1.0001138822457578,nan,1.0002891592174978,nan
D Y v,3,-12.56784479078388,nan,-inf,nan,-18.072834149026587,nan,1.086632495052912,nan,1.0865729439575418,nan,1,1,1.0001935751991458,1.0
s R t,3,-10.899016002269022,nan,-inf,nan,-18.814076712310303,nan,1.240420654699712,nan,1.2396228188528728,nan,1,1,1.0001935751991458,1.0
y c G,3,-12.703698129738534,nan,-inf,nan,-17.265717900330372,nan,1.1043342930285653,nan,1.1041933010761618,nan,1,1,1.0001935751991458,1.0
z i C,3,-13.758442329514992,nan,-inf,nan,-17.00207426230183,nan,1.0845693444903768,nan,1.0845189419589374,nan,1.0007038948850304,nan,1.0007815222839083,nan
S Y v,3,-15.384998493822753,nan,-inf,nan,-21.070278542357993,nan,1.0269953068442954,nan,1.0272116980485022,nan,1,1,1.0001935751991458,1.0
D i S,3,-12.264522283413873,nan,-inf,nan,-15.822455673252081,nan,1.1402304044720106,nan,1.1399224947740207,nan,1.0003519474425153,nan,1.000487548741527,nan
S c S,3,-16.475921238753376,nan,-inf,nan,-17.826496306339834,nan,1.0145415137238198,nan,1.014816519778606,nan,1.0001173158141718,nan,1.0002915663799394,nan
f R t,3,-12.544592961318996,nan,-inf,nan,-19.803512654672886,nan,1.1829376615024332,nan,1.1824058004576576,nan,1,1,1.0001935751991458,1.0
g i S,3,-12.89375380177884,nan,-inf,nan,-15.889974085775789,nan,1.1106385677373167,nan,1.110467579978851,nan,1.0003519474425153,nan,1.000487548741527,nan
C u v,3,-14.340426462099757,nan,-inf,nan,-19.71288067802306,nan,1.1178733389590887,nan,1.1176673770328596,nan,1.0002346316283435,nan,1.0003895575607333,nan
t R t,3,-10.039883684234816,nan,-inf,nan,-15.361535312408156,nan,1.2666111308901884,nan,1.2656921112577932,nan,1.0001138822457578,nan,1.0002891592174978,nan
S R z,3,-16.074158616884105,nan,-inf,nan,-19.876170902337094,nan,1.0081772677469334,nan,1.0084812461439803,nan,1,1,1.0001935751991458,1.0
S ^ J,3,-15.387639365793902,nan,-inf,nan,-22.00399384729731,nan,1.0752132821654623,nan,1.075206448740101,nan,1,1,1.0001935751991458,1.0
S u T,3,-14.840528928548434,nan,-inf,nan,-19.179563229897525,nan,1.1132980222063904,nan,1.1131139619715635,nan,1.0012904739558892,nan,1.0012714781878769,nan
s R l,3,-12.043261678267832,nan,-inf,nan,-17.884983032680037,nan,1.093775886985024,nan,1.0936800284267199,nan,1,1,1.0001935751991458,1.0
g u v,3,-12.01100471515215,nan,-inf,nan,-16.890707558511806,nan,1.1479186904330114,nan,1.1475737081467294,nan,1.0002346316283435,nan,1.0003895575607333,nan
w u v,3,-11.564343850605717,nan,-inf,nan,-16.408853020868502,nan,1.1933835430407214,nan,1.1928281940963965,nan,1.0002346316283435,nan,1.0003895575607333,nan
C Y b,3,-14.054557649291816,nan,-inf,nan,-18.158558525231772,nan,1.0505757854928173,nan,1.0506792987490277,nan,1.0022290004692633,nan,1.0020554076342267,nan
z u b,3,-11.26225327380997,nan,-inf,nan,-17.336852916982576,nan,1.1451953142062499,nan,1.1448591623626594,nan,1.005631159080244,nan,1.0048971518772447,nan
J Y z,3,-15.329490576795106,nan,-inf,nan,-20.617065351014542,nan,1.0260567803309215,nan,1.0262776641897748,nan,1,1,1.0001935751991458,1.0
D ^ d,3,-9.512311135863282,nan,-inf,nan,-13.57229837723259,nan,1.1912793769906909,nan,1.1907264804051243,nan,1.0135519872451886,nan,1.0115680733830494,nan
f u S,3,-13.968255082091055,nan,-inf,nan,-17.07228679878217,nan,1.11712927471365,nan,1.1169275997645172,nan,1.0002346316283435,nan,1.0003895575607333,nan
S c T,3,-16.103400286364565,nan,-inf,nan,-21.64764908157215,nan,1.0152454086088503,nan,1.0155170451726516,nan,1,1,1.0001935751991458,1.0
l W T,3,-14.204437539836455,nan,-inf,nan,-15.792692093806906,nan,1.0639700436627353,nan,1.0640163609484214,nan,1.0002346316283435,nan,1.0003895575607333,nan
D Y b,3,-11.095904383979246,nan,-inf,nan,-15.26886699319681,nan,1.110212973701434,nan,1.1100405446580672,nan,1.0022290004692633,nan,1.0020554076342267,nan
S Y b,3,-13.913058087018118,nan,-inf,nan,-18.266311386528212,nan,1.0505757854928173,nan,1.0506792987490277,nan,1.0022290004692633,nan,1.0020554076342267,nan
z i D,3,-10.799789064202422,nan,-inf,nan,-17.96178944950698,nan,1.1269203534063787,nan,1.1266672198340104,nan,1.0072735804786486,nan,1.006269028408357,nan
s R m,3,-12.313817431315238,nan,-inf,nan,-17.8596558988666,nan,1.09952436187944,nan,1.0994009858114249,nan,1,1,1.0001935751991458,1.0
h ^ s,3,-10.23894685361492,nan,-10.39239636763648,nan,-10.449768455268009,nan,1.153151843793774,nan,1.152776058065366,nan,1.00430978300863,nan,1.0037975844265394,nan
T R z,3,-15.701637664495294,nan,-inf,nan,-17.978652590419458,nan,1.0099913267038494,nan,1.01028691141878,nan,1,1,1.0001935751991458,1.0
y ^ S,3,-12.330433831226033,nan,-inf,nan,-15.675045542164296,nan,1.1626597451867728,nan,1.1622481453908382,nan,1.0002346316283435,nan,1.0003895575607333,nan
