word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-12.826253311811849,nan,-inf,nan,-15.467845414792846,nan,1.0487260238860363,nan,1.0489117614880528,nan,1.0009595087315295,nan,1.0010067772487947,nan
g i T,3,-12.455815251547264,nan,-12.905439003290688,nan,-13.156471800747097,nan,1.079592260634626,nan,1.0795563893791233,nan,1.0020499011660244,nan,1.0018417794534913,nan
z i T,3,-12.177720980250635,nan,-14.07043070776484,nan,-14.100563320644266,nan,1.0881917692341345,nan,1.088094462214112,nan,1.001519959459612,nan,1.0014331714447744,nan
y c g,3,-12.37381463820667,nan,-inf,nan,-13.869493704057636,nan,1.0615195621291325,nan,1.061607183262004,nan,1.0013433122241413,nan,1.001296968775202,nan
l R z,3,-11.112015599885915,nan,-11.626482626748091,nan,-11.716070190006814,nan,1.071464055005658,nan,1.0714756199800572,nan,1.0024337046586362,nan,1.0021319709798988,nan
J Y p,3,-12.94310564558149,nan,-inf,nan,-14.85710410557742,nan,1.047794934110082,nan,1.0479754466833702,nan,1.001727115716753,nan,1.0015871603016095,nan
C ^ z,3,-11.953587119737575,nan,-inf,nan,-15.803763853076877,nan,1.0861624814687905,nan,1.0860668447463417,nan,1.0024947227019765,nan,1.0021675433544244,nan
C e J,3,-13.379532979293622,nan,-13.246170306998959,nan,-13.55104632695176,nan,1.047455990765957,nan,1.0476497850062096,nan,1.001120901456165,nan,1.0011340868247354,nan
z i S,3,-11.655845520298058,nan,-13.226747705076702,nan,-13.192976322998241,nan,1.0935650181306993,nan,1.0934257645751173,nan,1.0011361559670002,nan,1.001142979918367,nan
z u v,3,-12.286981518579143,nan,-inf,nan,-14.942485168996237,nan,1.0689347798460875,nan,1.0689732201651845,nan,1.0007676069852236,nan,1.0008616814855908,nan
D Y p,3,-11.460081658003048,nan,-inf,nan,-13.474943689989257,nan,1.0825439688591167,nan,1.0824762307920999,nan,1.001727115716753,nan,1.0015871603016095,nan
s R k,3,-10.399565342856569,nan,-13.732523074246222,nan,-13.193949369882748,nan,1.1077187674261737,nan,1.1074650959231078,nan,1.0005299417064122,nan,1.000689906441493,nan
b R s,3,-10.650206143628,nan,-12.046585524076015,nan,-12.121478691373257,nan,1.0855106027309624,nan,1.0854108849931483,nan,1.0012670396699657,nan,1.0012525033070452,nan
T ^ z,3,-12.321311899862891,nan,-inf,nan,-14.928295115722978,nan,1.087741983048292,nan,1.0876350622058295,nan,1.0024947227019765,nan,1.0021675433544244,nan
S c G,3,-14.1669001322632,nan,-inf,nan,-15.687348289789337,nan,1.0303264687598734,nan,1.0306420215240681,nan,1.0005757052389177,nan,1.0007165857223872,nan
