word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-10.785021351582573,nan,-9.78666059639605,nan,-9.931030620219882,nan,1.101966331285472,nan,1.1017581697061387,nan,1.0044425719490466,nan,1.0036687289312622,nan
b i l,3,-9.895653713474177,nan,-10.321191714125074,nan,-10.431508750575476,nan,1.1264156779147152,nan,1.1260243062697013,nan,1.0078474058314697,nan,1.0062848894138074,nan
b i s,3,-9.643117537942949,nan,-10.760537112919645,nan,-10.85353615226048,nan,1.1350628723805107,nan,1.1346039058883859,nan,1.007078766323399,nan,1.0057039162838148,nan
b R s,3,-10.596054426731737,nan,-11.196259211559461,nan,-11.318005931450019,nan,1.0896324322178803,nan,1.0895003607848408,nan,1.0018138846160274,nan,1.001671188447518,nan
b Y s,3,-10.41559160653241,nan,-11.94203584080885,nan,-12.018282370563151,nan,1.0998852163790964,nan,1.099679370963851,nan,1.0021828166337559,nan,1.0019527086447066,nan
b ^ l,3,-10.051058311961029,nan,-inf,nan,-14.61479944224896,nan,1.1285369436032426,nan,1.1281303083757035,nan,1.0038889870956338,nan,1.003279612320383,nan
C @ l,3,-11.690214240450691,nan,-16.727293797008112,nan,-16.21669405567663,nan,1.0836564715601573,nan,1.0835713799458073,nan,1.0003689320177283,nan,1.0005630403943777,nan
C i D,3,-11.742234288439896,nan,-inf,nan,-17.80564595160385,nan,1.0769759181125367,nan,1.076950957882106,nan,1.0003843197540354,nan,1.0005720067621853,nan
C i n,3,-11.044576500322602,nan,-inf,nan,-16.168332552729765,nan,1.119251091056426,nan,1.1188956671290078,nan,1.0019215987701768,nan,1.0017339530221707,nan
C R J,3,-14.135331855549868,nan,-15.065670752931075,nan,-15.019793841989872,nan,1.0204002050828809,nan,1.020789262158923,nan,1,1,1.0002815201971889,1.0
