word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-14.047555365567426,nan,-inf,nan,-12.994946130474926,nan,1.1233884688150326,nan,1.1230349466354366,nan,1.0008265829062655,nan,1.0009097793241648,nan
b O r,3,-14.544090688381651,nan,-inf,nan,-12.795828840532383,nan,1.1140861432336373,nan,1.1137978614489843,nan,1.0008265829062655,nan,1.0009097793241648,nan
b O s,3,-14.358002648792219,nan,-inf,nan,-13.050068814155471,nan,1.1039224912095202,nan,1.1037054905971198,nan,1.0008265829062655,nan,1.0009097793241648,nan
b U n,3,-10.897051486987712,nan,-inf,nan,-13.67778394137601,nan,1.1463674736092135,nan,1.1458592487700834,nan,1.0021491155562903,nan,1.0019447081728066,nan
b u r,3,-10.17850278005093,nan,-10.66149648115918,nan,-10.716117356888432,nan,1.2088125442916635,nan,1.2078865313997231,nan,1.0095773690855714,nan,1.0077014134880151,nan
b U s,3,-11.207498770212505,nan,-inf,nan,-13.732906625056556,nan,1.1269014960037012,nan,1.1265297927317666,nan,1.0021491155562903,nan,1.0019447081728066,nan
b W r,3,-12.475578217234006,nan,-inf,nan,-16.517994272279786,nan,1.120037540158749,nan,1.1197091914982453,nan,1,1,1.0002629487937638,1.0
C e D,3,-12.694897336496057,nan,-inf,nan,-17.258712850895677,nan,1.1114298146362482,nan,1.1111676114793079,nan,1.001983798975037,nan,1.0018153420667262,nan
C i D,3,-12.418229304766143,nan,-inf,nan,-17.38382721693091,nan,1.1299452717365954,nan,1.1295584160770091,nan,1.0023144321375435,nan,1.0020740742788867,nan
C O b,3,-17.290607170311656,nan,-inf,nan,-15.574736539007867,nan,1.035460309778632,nan,1.0357147875760258,nan,1,1,1.0002629487937638,1.0
C O g,3,-17.015869240705577,nan,-inf,nan,-17.021930536842568,nan,1.0554430832497774,nan,1.05555741501359,nan,1,1,1.0002629487937638,1.0
C O v,3,-18.351060983384723,nan,-inf,nan,-15.751391605806825,nan,1.0320150040077447,nan,1.032293644914377,nan,1,1,1.0002629487937638,1.0
C u D,3,-12.25343284052757,nan,-inf,nan,-18.460859777048153,nan,1.1487913619994488,nan,1.1482776278996691,nan,1.0008265829062655,nan,1.0009097793241648,nan
C u S,3,-15.02090646210058,nan,-inf,nan,-19.09154700716277,nan,1.1095148762113352,nan,1.1092766015568707,nan,1.0008265829062655,nan,1.0009097793241648,nan
C u T,3,-15.28838582723484,nan,-inf,nan,-18.506613411243055,nan,1.1095148762113352,nan,1.1092766015568707,nan,1.0008265829062655,nan,1.0009097793241648,nan
D e C,3,-12.694897336496055,nan,-inf,nan,-16.02633344972037,nan,1.1109181120281608,nan,1.1106720509547507,nan,1.0158703918002976,nan,1.0126820949774638,nan
D e D,3,-9.78510749274279,nan,-inf,nan,-15.493101555756464,nan,1.1501945978162744,nan,1.1496730772975492,nan,1.0158703918002976,nan,1.0126820949774638,nan
D e J,3,-12.963161323090736,nan,-inf,nan,-15.854975197723684,nan,1.1109181120281608,nan,1.1106720509547507,nan,1.0158703918002976,nan,1.0126820949774638,nan
D e S,3,-12.552581114315801,nan,-inf,nan,-16.12378878587108,nan,1.1109181120281608,nan,1.1106720509547507,nan,1.0158703918002976,nan,1.0126820949774638,nan
D i C,3,-12.418229304766143,nan,-inf,nan,-21.839726103875837,nan,1.129433569128508,nan,1.129062855552452,nan,1,1,1.0002629487937638,1.0
D i D,3,-9.508439461012877,nan,-inf,nan,-21.306494209911932,nan,1.1687100549166216,nan,1.1680638818952505,nan,1,1,1.0002629487937638,1.0
D i S,3,-12.275913082585888,nan,-inf,nan,-21.93718144002655,nan,1.129433569128508,nan,1.129062855552452,nan,1,1,1.0002629487937638,1.0
D i T,3,-12.543392447720148,nan,-inf,nan,-21.352247844106838,nan,1.129433569128508,nan,1.129062855552452,nan,1,1,1.0002629487937638,1.0
d u r,3,-9.910460236527832,nan,-9.14525836379426,nan,-9.223760424782004,nan,1.2010924391668278,nan,1.2002180699867684,nan,1.0199923137045168,nan,1.0158514781710681,nan
D W C,3,-14.550508277710644,nan,-inf,nan,-19.88809256876784,nan,1.0595046552584468,nan,1.0596047274736342,nan,1,1,1.0002629487937638,1.0
D W D,3,-11.640718433957378,nan,-inf,nan,-19.354860674803934,nan,1.0987811410465604,nan,1.0986057538164327,nan,1,1,1.0002629487937638,1.0
D W T,3,-14.67567142066465,nan,-inf,nan,-17.454704159943525,nan,1.0595046552584468,nan,1.0596047274736342,nan,1,1,1.0002629487937638,1.0
f U n,3,-12.384949314887715,nan,-inf,nan,-14.70634181591,nan,1.1315842935829323,nan,1.1311749609580424,nan,1.0011572160687716,nan,1.0011685115363254,nan
f u r,3,-11.666400607950935,nan,-inf,nan,-13.013186556885927,nan,1.1940293642653823,nan,1.1932022435876821,nan,1.0079242032730404,nan,1.006407752427213,nan
f U s,3,-12.695396598112508,nan,-inf,nan,-14.761464499590545,nan,1.11211831597742,nan,1.1118455049197256,nan,1.0011572160687716,nan,1.0011685115363254,nan
f W r,3,-13.96347604513401,nan,-inf,nan,-15.637009641929335,nan,1.1052543601324678,nan,1.1050249036862043,nan,1,1,1.0002629487937638,1.0
f ^ r,3,-11.734998924293686,nan,-inf,nan,-14.504341848848732,nan,1.1637764298960651,nan,1.1631529825039384,nan,1.0029756984625557,nan,1.0025915387032076,nan
g U n,3,-10.622313557381629,nan,-inf,nan,-14.610486232843467,nan,1.1407827167103963,nan,1.1403118511522012,nan,1.0009918994875187,nan,1.001039145430245,nan
g U S,3,-13.723049139945605,nan,-inf,nan,-17.48922380345829,nan,1.0589567046518262,nan,1.0590597129380377,nan,1.0009918994875187,nan,1.001039145430245,nan
g U T,3,-13.990528505079865,nan,-inf,nan,-16.90429020753858,nan,1.0589567046518262,nan,1.0590597129380377,nan,1.0009918994875187,nan,1.001039145430245,nan
g W C,3,-14.947356769557931,nan,-inf,nan,-19.90784794438935,nan,1.041929096782757,nan,1.042146740852652,nan,1,1,1.0002629487937638,1.0
g W D,3,-12.037566925804665,nan,-inf,nan,-19.374616050425445,nan,1.0812055825708706,nan,1.0811477671954504,nan,1,1,1.0002629487937638,1.0
g W T,3,-15.072519912511936,nan,-inf,nan,-17.47445953556504,nan,1.041929096782757,nan,1.042146740852652,nan,1,1,1.0002629487937638,1.0
g ^ r,3,-9.9723631667876,nan,-inf,nan,-13.69983489868629,nan,1.1729748530235289,nan,1.1722898726980973,nan,1.0072739295751363,nan,1.005955057461293,nan
h U n,3,-11.5568828164284,nan,-inf,nan,-16.627308000852434,nan,1.1680494709810927,nan,1.1673962042277437,nan,1,1,1.0002629487937638,1.0
h u r,3,-10.838334109491619,nan,-inf,nan,-12.854711200148525,nan,1.2304945416635427,nan,1.2294234868573835,nan,1.0079242032730404,nan,1.006407752427213,nan
h U s,3,-11.867330099653193,nan,-inf,nan,-16.68243068453298,nan,1.1485834933755803,nan,1.1480667481894269,nan,1,1,1.0002629487937638,1.0
h W r,3,-13.135409546674696,nan,-inf,nan,-12.044547080706788,nan,1.1417195375306282,nan,1.1412461469559056,nan,1.0042982311125805,nan,1.0036264675518491,nan
J O b,3,-17.558871156906335,nan,-inf,nan,-15.668070841238263,nan,1.0321751586616805,nan,1.0324516125066834,nan,1,1,1.0002629487937638,1.0
