word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.440376236190291,nan,-10.815143000612133,nan,-10.910276796381073,nan,1.1134560891348184,nan,1.113185651059384,nan,1.0064959876199098,nan,1.0053377430021162,nan
b i l,3,-10.775534593462273,nan,-inf,nan,-14.153994457808736,nan,1.1401817856394907,nan,1.1397318081162353,nan,1.0047941808563399,nan,1.0040145658700899,nan
b i s,3,-10.157211204700072,nan,-inf,nan,-14.005368909715779,nan,1.1798028020046931,nan,1.1790749487251986,nan,1.0047941808563399,nan,1.0040145658700899,nan
b R s,3,-12.064151235766928,nan,-inf,nan,-13.66317328704188,nan,1.1159906016409966,nan,1.1156923543081214,nan,1.0015503875968992,nan,1.001465192982917,nan
b Y s,3,-11.108302465723645,nan,-9.56042133539444,nan,-9.669824327392906,nan,1.1470701189165793,nan,1.1465626334542625,nan,1.008377008379315,nan,1.0067987194034298,nan
b ^ l,3,-10.679336445566452,nan,-inf,nan,-14.351125314421914,nan,1.1287749415330266,nan,1.1284017588551516,nan,1.0084311456439081,nan,1.0068606202038544,nan
C @ l,3,-13.442268396801332,nan,-inf,nan,-17.63319294465669,nan,1.08530398522331,nan,1.0852223171795834,nan,1,1,1.0002629487937638,1.0
C i D,3,-12.418229304766143,nan,-inf,nan,-17.38382721693091,nan,1.1299452717365954,nan,1.1295584160770091,nan,1.0023144321375435,nan,1.0020740742788867,nan
C i n,3,-12.084967343775178,nan,-10.001552728244663,nan,-10.36509225196504,nan,1.172494798007052,nan,1.1718095279483742,nan,1.0081714519480516,nan,1.0066158856601317,nan
C R J,3,-17.503223166180945,nan,-inf,nan,-18.688893432035677,nan,1.0268565855847853,nan,1.0271747953171335,nan,1,1,1.0002629487937638,1.0
C R g,3,-14.722017827680284,nan,-inf,nan,-18.445965225945308,nan,1.0675111936812538,nan,1.0675442787245917,nan,1,1,1.0002629487937638,1.0
C R T,3,-17.36012232254027,nan,-inf,nan,-18.372773424263364,nan,1.0268565855847853,nan,1.0271747953171335,nan,1,1,1.0002629487937638,1.0
C ^ J,3,-15.500084987218266,nan,-inf,nan,-20.54750356215968,nan,1.079261941842018,nan,1.079227340473127,nan,1,1,1.0002629487937638,1.0
C ^ n,3,-11.988769195879355,nan,-inf,nan,-11.906894319430993,nan,1.161087953900588,nan,1.1604794786872905,nan,1.018260120585702,nan,1.0144227136882336,nan
C ^ S,3,-15.089504778443331,nan,-inf,nan,-20.81631715030708,nan,1.079261941842018,nan,1.079227340473127,nan,1,1,1.0002629487937638,1.0
C ^ C,3,-15.231821000623587,nan,-inf,nan,-20.718861814156366,nan,1.079261941842018,nan,1.079227340473127,nan,1,1,1.0002629487937638,1.0
d i k,3,-10.079795286469414,nan,-9.895667127911388,nan,-9.97250621750997,nan,1.168981921686059,nan,1.1683274589167598,nan,1.0104386955282931,nan,1.0083693269264333,nan
d i s,3,-9.889168661176974,nan,-inf,nan,-14.78253620834251,nan,1.1720826968798574,nan,1.1714064873122438,nan,1.001653165812531,nan,1.0015566098545658,nan
d i t,3,-9.064136178899176,nan,-9.01452576634342,nan,-9.077159162505707,nan,1.2528751172071615,nan,1.2516322827279127,nan,1.0111277566824706,nan,1.0089036576771682,nan
d E p,3,-11.413132179220124,nan,-inf,nan,-18.795473026760423,nan,1.0916840746034693,nan,1.091559882585674,nan,1,1,1.0002629487937638,1.0
d R s,3,-11.796108692243832,nan,-inf,nan,-14.12856096163777,nan,1.108270496516161,nan,1.1080238928951667,nan,1.0015503875968992,nan,1.001465192982917,nan
D i D,3,-9.508439461012877,nan,-inf,nan,-21.306494209911932,nan,1.1687100549166216,nan,1.1680638818952505,nan,1,1,1.0002629487937638,1.0
D i g,3,-9.905287952860162,nan,-inf,nan,-16.469612588187516,nan,1.1700881772249765,nan,1.1694323389599102,nan,1.0132644272179157,nan,1.010548815745407,nan
D i C,3,-12.418229304766143,nan,-inf,nan,-21.839726103875837,nan,1.129433569128508,nan,1.129062855552452,nan,1,1,1.0002629487937638,1.0
d I J,3,-12.491093289495483,nan,-inf,nan,-17.20102834015955,nan,1.126915586877122,nan,1.1265609808342625,nan,1.0041329145313276,nan,1.003497101445769,nan
d I D,3,-9.313039459147538,nan,-inf,nan,-16.83915469819233,nan,1.1661920726652355,nan,1.165562007177061,nan,1.0041329145313276,nan,1.003497101445769,nan
d Y p,3,-11.694894572651606,nan,-inf,nan,-14.974736809778442,nan,1.101107119734896,nan,1.100919488497004,nan,1.0020671834625323,nan,1.001865941045968,nan
d Y t,3,-10.015227439922748,nan,-inf,nan,-13.365113287032498,nan,1.2201424341190477,nan,1.2191199674569766,nan,1.010508182601206,nan,1.008411492742468,nan
d I T,3,-12.34799244585481,nan,-inf,nan,-16.884908332387237,nan,1.126915586877122,nan,1.1265609808342625,nan,1.0041329145313276,nan,1.003497101445769,nan
d I Z,3,-15.56686827072301,nan,-inf,nan,-17.028009176027908,nan,1.126915586877122,nan,1.1265609808342625,nan,1.0041329145313276,nan,1.003497101445769,nan
