word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-12.867898983107393,nan,-10.771503548108512,nan,-11.21763620558422,nan,1.1254048490756428,nan,1.1249542116848867,nan,1.0009667440061871,nan,1.001031025777732,nan
b O r,3,-13.010694319986353,nan,-inf,nan,-12.526276195020392,nan,1.1062469543388007,nan,1.1059602647009585,nan,1.0009667440061871,nan,1.001031025777732,nan
b O s,3,-12.805348534195208,nan,-10.7946122649694,nan,-11.23842510561273,nan,1.1051943227598533,nan,1.104916641240303,nan,1.0009667440061871,nan,1.001031025777732,nan
b U n,3,-11.43397657299825,nan,-inf,nan,-13.240911045625525,nan,1.1381658699573132,nan,1.1376148677370639,nan,1.001740139211137,nan,1.0016147117546765,nan
b u r,3,-10.356079200340169,nan,-10.54930419282355,nan,-10.651513370200245,nan,1.1404696921578261,nan,1.1399138422954338,nan,1.0045285138600564,nan,1.0036648962690136,nan
b U s,3,-11.371426124086064,nan,-inf,nan,-13.261699945654035,nan,1.1179553436415237,nan,1.1175772972924802,nan,1.001740139211137,nan,1.0016147117546765,nan
b W r,3,-11.531309535800451,nan,-inf,nan,-14.116248772666388,nan,1.113594208785823,nan,1.1132497333370606,nan,1.0005800464037122,nan,1.0007391827892598,nan
C e D,3,-11.92386667240891,nan,-inf,nan,-15.170879471139175,nan,1.090615687457972,nan,1.0904796968176467,nan,1.0019334880123743,nan,1.0017606332489126,nan
C i D,3,-11.810537987101906,nan,-13.033551833133131,nan,-13.199243434110231,nan,1.0969961978988072,nan,1.0968100248437351,nan,1.0025650669597426,nan,1.0022271236858586,nan
C O b,3,-14.922817471464283,nan,-inf,nan,-13.617478567257013,nan,1.0397737450148572,nan,1.040040832432121,nan,1.0004210526315789,nan,1.000612411931182,nan
C O g,3,-15.210499543916065,nan,-inf,nan,-14.027037008956178,nan,1.0361947976464363,nan,1.0364925126658926,nan,1,1,1.0003014183065515,1.0
C O v,3,-15.537183774171115,nan,-inf,nan,-15.306233234519702,nan,1.0311421660674889,nan,1.0314831200547467,nan,1,1,1.0003014183065515,1.0
C u D,3,-12.208542515411764,nan,-13.888310273318641,nan,-13.804379737347462,nan,1.0786280617812511,nan,1.07858635325348,nan,1.0010182765498432,nan,1.0010597517319697,nan
C u S,3,-13.748987556358912,nan,-inf,nan,-16.514214060243177,nan,1.058207009149672,nan,1.0583400581167652,nan,1.000386697602475,nan,1.0005932612950237,nan
C u T,3,-14.00417046141774,nan,-14.952078157314526,nan,-14.949512041650467,nan,1.0577859565180932,nan,1.057922608732503,nan,1.0005972239182643,nan,1.0007487581073389,nan
