word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.225628196445665,nan,-15.206673710557912,nan,-15.06537279194216,nan,1.0718001626997018,nan,1.071827370637265,nan,1.0005972239182643,nan,1.0007487581073389,nan
g i T,3,-12.563345004068186,nan,-13.822165529026297,nan,-13.986568430068738,nan,1.0799936011785556,nan,1.0799558041322819,nan,1.0033212846501403,nan,1.0028012343447237,nan
z i T,3,-11.970712781532544,nan,-14.326134300844496,nan,-14.417382469237399,nan,1.1005349718831055,nan,1.1003367565132343,nan,1.001774494240241,nan,1.0016338623908347,nan
y c g,3,-12.530325311483551,nan,-inf,nan,-14.591647890781374,nan,1.053592069635529,nan,1.0537529878515548,nan,1.0006315789473683,nan,1.0007679087434975,nan
l R z,3,-10.662400237427018,nan,-14.574540380553998,nan,-14.03927264470656,nan,1.0861074085127924,nan,1.0860024348563864,nan,1.0023157894736843,nan,1.0020118832420202,nan
J Y p,3,-13.006021218913387,nan,-13.162903163413043,nan,-12.998560082628268,nan,1.0637768641798977,nan,1.063853326674689,nan,1.0010354540643953,nan,1.0010693270500488,nan
C ^ z,3,-11.756363547485112,nan,-12.61012716425395,nan,-12.661946712091368,nan,1.0987231486864493,nan,1.0985185803899884,nan,1.0028958358773965,nan,1.0024496477247284,nan
C e J,3,-13.791815279994509,nan,-14.596449301131816,nan,-14.745576020811345,nan,1.0687209506158666,nan,1.0687723288360145,nan,1.0019334880123743,nan,1.0017606332489126,nan
z i S,3,-11.715529876473719,nan,-14.986782314011485,nan,-14.883472199162,nan,1.1009560245146843,nan,1.1007542058974964,nan,1.001353441608662,nan,1.0013228687662041,nan
z u v,3,-11.247115502949594,nan,-17.003211787343304,nan,-16.166007325991036,nan,1.0897457831339705,nan,1.089627173839698,nan,1.0004038751170268,nan,1.0006028366131028,nan
D Y p,3,-11.138072611327786,nan,-inf,nan,-14.17499797116639,nan,1.08873366970879,nan,1.0886152314365938,nan,1.000842105263158,nan,1.0009234055558127,nan
s R k,3,-9.98255870840336,nan,-12.236779566919278,nan,-12.247607495566943,nan,1.1234343830811004,nan,1.1230208920827334,nan,1.0027024870761592,nan,1.0023037262304924,nan
