word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-10.912142561700687,nan,-10.948200570621754,nan,-11.070375088066115,nan,1.1007660491900735,nan,1.1005720203361113,nan,1.0035388712154099,nan,1.0029959454901918,nan
b i l,3,-10.185762817189554,nan,-9.826212263764262,nan,-9.960147359290442,nan,1.1396983298895547,nan,1.1391905168931118,nan,1.0080393992600896,nan,1.0063856676413798,nan
b i s,3,-9.69747850725956,nan,-9.669257334044051,nan,-9.78499195812104,nan,1.1598663971164453,nan,1.1591905168931118,nan,1.008249483293703,nan,1.0065429003457822,nan
b R s,3,-10.441254510286749,nan,-9.784142950054381,nan,-9.925897411198278,nan,1.1334593038242327,nan,1.1329854671609008,nan,1.0074264786870801,nan,1.005923883434696,nan
b Y s,3,-10.369046201945823,nan,-9.984184629905192,nan,-10.115586717329165,nan,1.1351940763762758,nan,1.1347069667783451,nan,1.005394964462269,nan,1.0043912120167666,nan
b ^ l,3,-10.362360259899619,nan,-13.789672621941248,nan,-13.25401774625803,nan,1.1362287847854684,nan,1.1357475176582228,nan,1.0034868766319172,nan,1.00296620377062,nan
C @ l,3,-12.015008995321601,nan,-11.936436981748018,nan,-12.106713106270957,nan,1.1034155204618359,nan,1.1031841998232905,nan,1.0022069352027627,nan,1.0019746278115653,nan
C i D,3,-11.808788470116495,nan,-13.269291318543894,nan,-13.401360902640247,nan,1.0959192297327454,nan,1.0957610297136247,nan,1.002172272147101,nan,1.0019547999985177,nan
C i n,3,-11.143922062671496,nan,-10.53214142729868,nan,-10.752241374976307,nan,1.1541125070436697,nan,1.153469363046958,nan,1.0067941208865967,nan,1.0054139194953728,nan
C R J,3,-14.475659944432824,nan,-15.248348022687823,nan,-15.075630339491614,nan,1.0487138171128016,nan,1.0489309799814135,nan,1.000963762528913,nan,1.0010411454916743,nan
C R g,3,-12.90375995131779,nan,-inf,nan,-14.634188550383241,nan,1.062579363331289,nan,1.0626809799814134,nan,1.000963762528913,nan,1.0010411454916743,nan
C R T,3,-14.295533778202305,nan,-14.204698757296226,nan,-14.298316734074271,nan,1.049344069213642,nan,1.0495559799814136,nan,1.000963762528913,nan,1.0010411454916743,nan
C ^ J,3,-13.908481384115703,nan,-inf,nan,-16.701633582772104,nan,1.071651365300928,nan,1.0716930304787355,nan,1.0005782575173476,nan,1.000746507895917,nan
C ^ n,3,-11.320519505381561,nan,-10.705468365917616,nan,-10.772277052794937,nan,1.1506429619395835,nan,1.150026363812069,nan,1.014023635668608,nan,1.010809400977678,nan
C ^ S,3,-13.520715853106939,nan,-16.244114108533964,nan,-15.84143231754899,nan,1.0718614493345415,nan,1.071901363812069,nan,1.0005782575173476,nan,1.000746507895917,nan
C ^ C,3,-13.37168027394645,nan,-13.685099486592241,nan,-13.862247379608805,nan,1.0718614493345415,nan,1.071901363812069,nan,1.000788341550961,nan,1.0009037406003194,nan
d i k,3,-9.641813005552159,nan,-11.182432067050513,nan,-11.264674832597874,nan,1.134732104164815,nan,1.1342587742530357,nan,1.0042557809554045,nan,1.0035172131360188,nan
d i s,3,-9.342355154012246,nan,-10.966423915267933,nan,-11.042486224542042,nan,1.1504884066858234,nan,1.1498837742530357,nan,1.005936453224312,nan,1.004775074771239,nan
d i t,3,-8.952413487092453,nan,-9.872763878671892,nan,-9.955966745504307,nan,1.1954463898791008,nan,1.194467107586369,nan,1.0105583019638078,nan,1.0082341942680944,nan
d E p,3,-10.959785259592373,nan,-inf,nan,-16.809705261043085,nan,1.0792446508951494,nan,1.0792147803739234,nan,1,1,1.0003045515022813,1.0
d R s,3,-10.086131157039436,nan,-11.321260200908855,nan,-11.383235585105435,nan,1.1240813133936107,nan,1.1236787245208246,nan,1.0039569335829936,nan,1.003272145072881,nan
D i D,3,-10.422494108996604,nan,-16.041880040783674,nan,-15.405214657527786,nan,1.115440760833224,nan,1.115134249086844,nan,1.0008230046066229,nan,1.0009235684133675,nan
D i g,3,-10.773689587170711,nan,-14.565296236296257,nan,-14.03754801038983,nan,1.1085079877239803,nan,1.108259249086844,nan,1.0016633407410767,nan,1.0015524992309774,nan
D i C,3,-11.808788470116495,nan,-17.262894310964462,nan,-16.52240551892128,nan,1.0948525255391064,nan,1.0947175824201774,nan,1.0001927525057825,nan,1.00045187030016,nan
d I J,3,-11.900896965522964,nan,-inf,nan,-15.366852528671574,nan,1.0977851742748945,nan,1.0976274939673945,nan,1.003662297609869,nan,1.0031036086619747,nan
d I D,3,-9.977801494233821,nan,-12.56440520104654,nan,-12.59177541258866,nan,1.1185834936026255,nan,1.1182524939673946,nan,1.004082465677096,nan,1.0034180740707797,nan
d Y p,3,-10.777913040033567,nan,-12.195431118409083,nan,-12.251937313949576,nan,1.0823286909876706,nan,1.0822752241382692,nan,1.0018214301911976,nan,1.0016799902158082,nan
d Y t,3,-9.623981181778717,nan,-11.26395522570553,nan,-11.294185515022187,nan,1.1707740691389312,nan,1.1699835574716024,nan,1.0070735310315337,nan,1.005610807825871,nan
