word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.035689522427827,nan,-inf,nan,-18.519743568385017,nan,1.144682127552555,nan,1.144482234366281,nan,1.0017439832577608,nan,1.001684922659812,nan
g i T,3,-12.392303828465671,nan,-12.923960277267616,nan,-12.976990858267499,nan,1.1000865859926565,nan,1.1000119777228352,nan,1.0012501128674551,nan,1.0012434020927374,nan
z i T,3,-12.45420516377622,nan,-16.10090496848296,nan,-16.123132986079565,nan,1.0772161395396298,nan,1.0772055591499434,nan,1.0014560578115066,nan,1.001428040202043,nan
y c g,3,-11.638801624846858,nan,-inf,nan,-16.390671427266213,nan,1.157205015597716,nan,1.1569692932777633,nan,1.0006278339727939,nan,1.0006859216608108,nan
l R z,3,-11.732256220986502,nan,-inf,nan,-15.740903282935603,nan,1.091921230689178,nan,1.091868939634128,nan,1.0006278339727939,nan,1.0006859216608108,nan
J Y p,3,-13.700895598735158,nan,-inf,nan,-16.55960591531638,nan,1.052007134394876,nan,1.052066764397451,nan,1.0015347052668295,nan,1.0014976099724993,nan
C ^ z,3,-12.517098291245357,nan,-inf,nan,-16.848324375856322,nan,1.0950035513000476,nan,1.0949422449912527,nan,1.0032786885245901,nan,1.0030585490334383,nan
C e J,3,-14.825053082371378,nan,-14.406254672133976,nan,-14.496971596946485,nan,1.0654096339765147,nan,1.065432187764318,nan,1.0008271128230861,nan,1.0008652106141027,nan
z i S,3,-12.455773791548847,nan,-16.547205795788805,nan,-16.55972758495167,nan,1.0783322888245968,nan,1.0783185252044787,nan,1.001386298481196,nan,1.0013656026396054,nan
z u v,3,-11.822788461321942,nan,-inf,nan,-20.806049975473634,nan,1.1444464055974632,nan,1.1442468690244392,nan,1.0016742239274503,nan,1.0016224850973743,nan
D Y p,3,-11.36080611028266,nan,-inf,nan,-16.467034780568213,nan,1.1082246090593515,nan,1.1081268531649484,nan,1.0015347052668295,nan,1.0014976099724993,nan
s R k,3,-11.101556617543016,nan,-13.021120186010615,nan,-13.028819853370159,nan,1.1134059866705246,nan,1.1132918405161223,nan,1.0013851874655695,nan,1.0013647111136033,nan
b R s,3,-11.399509186422039,nan,-12.19503280612905,nan,-12.218479470451026,nan,1.1010811361367205,nan,1.1010011034981455,nan,1.0017362061483748,nan,1.0016786819777959,nan
T ^ z,3,-12.428660990728794,nan,-inf,nan,-16.547107900039176,nan,1.096509987892762,nan,1.0964444641786888,nan,1.0032786885245901,nan,1.0030585490334383,nan
S c G,3,-14.173550813673504,nan,-14.761752233103913,nan,-14.68644988022039,nan,1.0259927021874446,nan,1.0261257275153959,nan,1.0012545569299611,nan,1.0012469681967466,nan
J e J,3,-15.040095971183188,nan,-16.256264587549904,nan,-16.248984823023505,nan,1.0680801352090539,nan,1.0680952126875,nan,1.000415222934983,nan,1.0004959343954913,nan
D ^ z,3,-10.392051691604665,nan,-8.47219353140115,nan,-8.496602333143555,nan,1.1538915271970622,nan,1.153665358681932,nan,1.0128894525803325,nan,1.0116749941343737,nan
S Y p,3,-13.398984037179414,nan,-14.32120097797116,nan,-14.309582173839544,nan,1.0522810319571876,nan,1.052339895158803,nan,1.0015347052668295,nan,1.0014976099724993,nan
