word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-12.95028364290463,nan,-inf,nan,-12.661459881900363,nan,1.1041630442392207,nan,1.1038841051241763,nan,1.0007857002553526,nan,1.000896287247806,nan
b O r,3,-12.997364039613306,nan,-inf,nan,-12.631624466105658,nan,1.092980248540296,nan,1.092799048633023,nan,1.0007857002553526,nan,1.000896287247806,nan
b O s,3,-12.964284948636722,nan,-inf,nan,-12.726351745797418,nan,1.0843780980026616,nan,1.0842720821013667,nan,1.0007857002553526,nan,1.000896287247806,nan
b U n,3,-11.300494434946959,nan,-inf,nan,-13.806809648420163,nan,1.1185020738994054,nan,1.1181085790134981,nan,1.0009821253191906,nan,1.0010439541113618,nan
b u r,3,-10.299166134954106,nan,-11.293258680978353,nan,-11.373218876623087,nan,1.133443811690954,nan,1.1329393448138492,nan,1.0035813991800837,nan,1.002949675338155,nan
b U s,3,-11.314495740679053,nan,-inf,nan,-13.871701512317218,nan,1.0987171276628462,nan,1.0984965559906885,nan,1.0009821253191906,nan,1.0010439541113618,nan
b W r,3,-11.364669265014939,nan,-inf,nan,-13.270704425395328,nan,1.1035872019875559,nan,1.103321262194987,nan,1.0009821253191906,nan,1.0010439541113618,nan
C e D,3,-11.844744324868131,nan,-inf,nan,-15.771854389067398,nan,1.069225766579334,nan,1.069263323421019,nan,1.0007857002553526,nan,1.000896287247806,nan
C i D,3,-11.738522111612824,nan,-13.08538748828491,nan,-13.308158765311033,nan,1.0810112704096229,nan,1.0809546718232013,nan,1.0030208907559832,nan,1.002561767012804,nan
C O b,3,-14.849187749584011,nan,-inf,nan,-15.287342541304284,nan,1.0391119034052316,nan,1.0393803515505378,nan,1.0002150537634409,nan,1.0004635727236095,nan
C O g,3,-14.988408322280694,nan,-inf,nan,-15.659849731309817,nan,1.0356710431901779,nan,1.0359695649378753,nan,1,1,1.0003056197935827,1.0
C O v,3,-15.698292295196165,nan,-inf,nan,-15.575392294613227,nan,1.0315850216848017,nan,1.0319192558353385,nan,1,1,1.0003056197935827,1.0
C u D,3,-12.31968623575445,nan,-13.602835652811393,nan,-13.755155298086907,nan,1.0666722407494382,nan,1.0667301979338795,nan,1.000822957654558,nan,1.000916859380748,nan
C u S,3,-13.533680598541403,nan,-12.817601960736125,nan,-13.147394252009319,nan,1.0597905203193305,nan,1.0599086247085543,nan,1.002113280235203,nan,1.0018645769609091,nan
C u T,3,-13.814194181514573,nan,-13.011546357358073,nan,-13.40067537402485,nan,1.059360412792449,nan,1.0594822763819716,nan,1.002113280235203,nan,1.0018645769609091,nan
D e C,3,-11.844744324868131,nan,-12.187994208793736,nan,-12.26068432019675,nan,1.092647744024915,nan,1.092504424059939,nan,1.0074641524258496,nan,1.0059169606087037,nan
D e D,3,-10.637918451559788,nan,-inf,nan,-14.071246916387901,nan,1.0988843031647,nan,1.09868647479539,nan,1.0074641524258496,nan,1.0059169606087037,nan
D e J,3,-12.275527240960585,nan,-10.906435167937751,nan,-11.271898086284443,nan,1.089421937573302,nan,1.089306811610568,nan,1.0083243674796132,nan,1.0065487723288111,nan
D e S,3,-11.851912814346743,nan,-10.989123007581,nan,-11.247912154305899,nan,1.0920025827345923,nan,1.0918649015700648,nan,1.0081093137161723,nan,1.0063908193987843,nan
D i C,3,-11.738522111612824,nan,-14.491440999385262,nan,-14.119795971454296,nan,1.1044332478552037,nan,1.1041957724621214,nan,1.0023469626982469,nan,1.002032815957407,nan
D i D,3,-10.53169623830448,nan,-15.540637928490021,nan,-14.97484712261801,nan,1.1106698069949887,nan,1.1103778231975723,nan,1.0010566401176018,nan,1.001085098377246,nan
D i S,3,-11.745690601091436,nan,-14.937725793208706,nan,-14.53414016120359,nan,1.103788086564881,nan,1.103556249972247,nan,1.0012716938810424,nan,1.0012430513072728,nan
D i T,3,-12.026204184064603,nan,-14.639193704732861,nan,-14.32788895384068,nan,1.1033579790379995,nan,1.1031299016456644,nan,1.0027770702251286,nan,1.0023487218174607,nan
d u r,3,-10.063822934666803,nan,-10.635789030453786,nan,-10.736806942872143,nan,1.1361755190080272,nan,1.13564937191412,nan,1.0045635244992743,nan,1.0036880096559342,nan
D W C,3,-13.38518936581528,nan,-inf,nan,-14.723330993324554,nan,1.060237608491621,nan,1.0603532159539375,nan,1.0004301075268818,nan,1.0006215256536364,nan
