word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-11.525900918492617,nan,-inf,nan,-12.855267938560937,nan,1.25,nan,1.1627906976744187,nan,1,1,1.0026845637583892,1.0
g i T,3,-11.525900918492617,nan,-inf,-inf,-13.953880227229046,-inf,1.0625,nan,1.0930232558139537,nan,1,1,1.0026845637583892,1.0
z i T,3,-11.120435810384453,nan,-inf,-inf,-13.986670050052037,-inf,1.0625,nan,1.0930232558139537,nan,1,1,1.0026845637583892,1.0
y c g,3,-inf,nan,-inf,-inf,-inf,-inf,1.125,nan,1.069767441860465,nan,1,1,1,1
l R z,3,-inf,nan,-inf,nan,-inf,nan,1.125,nan,1.0930232558139534,nan,1,1,1,1
J Y p,3,-12.219048099052563,nan,-inf,nan,-13.22683149499342,nan,1.0625,nan,1.0930232558139537,nan,1,1,1.0026845637583892,1.0
C ^ z,3,-inf,nan,-inf,-inf,-inf,-inf,1,1,1.0232558139534884,1.0,1,1,1,1
C e J,3,-inf,nan,-inf,-inf,-inf,-inf,1.125,nan,1.0930232558139534,nan,1,1,1.0013422818791946,1.0
z i S,3,-inf,nan,-inf,-inf,-inf,-inf,1,1,1.0465116279069768,1.0,1,1,1.0013422818791946,1.0
z u v,3,-inf,nan,-inf,-inf,-inf,-inf,1.0625,nan,1.0697674418604652,nan,1,1,1.0013422818791946,1.0
D Y p,3,-inf,nan,-inf,-inf,-inf,-inf,1,1,1.0465116279069768,1.0,1,1,1.0013422818791946,1.0
s R k,3,-inf,nan,-inf,nan,-inf,nan,1.125,nan,1.0930232558139537,nan,1,1,1,1
b R s,3,-inf,nan,-inf,nan,-inf,nan,1.25,nan,1.13953488372093,nan,1,1,1,1
T ^ z,3,-inf,nan,-inf,-inf,-inf,-inf,1,1,1.0465116279069768,1.0,1,1,1,1
S c G,3,-inf,-inf,-inf,-inf,-inf,-inf,1,1,1,1,1,1,1,1
J e J,3,-12.219048099052563,nan,-inf,nan,-13.22683149499342,nan,1.1875,nan,1.1395348837209303,nan,1,1,1.0026845637583892,1.0
D ^ z,3,-inf,nan,-inf,-inf,-inf,-inf,1,1,1.0232558139534884,1.0,1,1,1,1
S Y p,3,-inf,nan,-inf,-inf,-inf,-inf,1,1,1.0465116279069768,1.0,1,1,1.0013422818791946,1.0
n W C,3,-inf,nan,-inf,-inf,-inf,-inf,1.0625,nan,1.0697674418604652,nan,1,1,1.0013422818791946,1.0
