word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-11.27836701084072,,-inf,,-13.10394479188031,,1.277777777777778,,1.1632653061224492,,1.0,1.0,1.0020429009193053,1.0
g i T,3,-10.585219830280774,,-inf,-inf,-14.54739756684015,-inf,1.1111111111111112,,1.1020408163265307,,1.0,1.0,1.0020429009193053,1.0
z i T,3,-10.585219830280774,,-inf,-inf,-14.54739756684015,-inf,1.1111111111111112,,1.1020408163265307,,1.0,1.0,1.0020429009193053,1.0
l R z,3,-10.585219830280774,,-inf,,-13.44878527817204,,1.1666666666666667,,1.1224489795918369,,1.0,1.0,1.0020429009193053,1.0
J Y p,3,-13.070126480068776,,-inf,,-13.70839850926764,,1.0555555555555556,,1.0816326530612246,,1.0,1.0,1.0020429009193053,1.0
s R k,3,-11.971514191400663,,-inf,,-13.767239009290574,,1.0555555555555556,,1.0816326530612246,,1.0,1.0,1.0020429009193053,1.0
b R s,3,-11.971514191400663,,-inf,,-13.767239009290574,,1.1666666666666667,,1.1224489795918369,,1.0,1.0,1.0020429009193053,1.0
J e J,3,-12.376979299508829,,-inf,,-13.73825147241732,,1.1666666666666667,,1.1224489795918369,,1.0,1.0,1.0020429009193053,1.0
g i J,3,-10.585219830280774,,-inf,-inf,-14.54739756684015,-inf,1.0555555555555556,,1.0816326530612246,,1.0,1.0,1.0020429009193053,1.0
g u T,3,-11.27836701084072,,-inf,-inf,-14.4902391530002,-inf,1.1111111111111112,,1.1020408163265307,,1.0,1.0,1.0020429009193053,1.0
f R s,3,-10.872901902732556,,-inf,,-13.132932328753562,,1.277777777777778,,1.1632653061224492,,1.0,1.0,1.0020429009193053,1.0
J Y m,3,-11.683832118948883,,-inf,,-13.795409886257271,,1.1111111111111112,,1.1020408163265307,,1.0,1.0,1.0020429009193053,1.0
n R z,3,-10.872901902732556,,-inf,,-13.826079509313509,,1.1111111111111112,,1.1020408163265307,,1.0,1.0,1.0020429009193053,1.0
m R n,3,-10.585219830280774,,-inf,,-13.16110320572026,,1.2222222222222223,,1.142857142857143,,1.0,1.0,1.0020429009193053,1.0
s R p,3,-11.971514191400663,,-inf,,-13.767239009290574,,1.0555555555555556,,1.0816326530612246,,1.0,1.0,1.0020429009193053,1.0
z u T,3,-11.27836701084072,,-inf,-inf,-14.4902391530002,-inf,1.1111111111111112,,1.1020408163265307,,1.0,1.0,1.0020429009193053,1.0
g Y b,3,-11.971514191400663,,-inf,-inf,-14.46038618985052,-inf,1.0,1.0,1.0612244897959184,1.0,1.0,1.0,1.0020429009193053,1.0
d R s,3,-10.872901902732556,,-inf,,-13.826079509313509,,1.1666666666666667,,1.1224489795918369,,1.0,1.0,1.0020429009193053,1.0
y R z,3,-11.971514191400663,,-inf,,-13.767239009290574,,1.1111111111111112,,1.1020408163265307,,1.0,1.0,1.0020429009193053,1.0
z i J,3,-10.585219830280774,,-inf,-inf,-14.54739756684015,-inf,1.0555555555555556,,1.0816326530612246,,1.0,1.0,1.0020429009193053,1.0
J e g,3,-11.27836701084072,,-inf,,-13.797091972440256,,1.3333333333333337,,1.1836734693877553,,1.0,1.0,1.0020429009193053,1.0
z i g,3,-9.486607541612663,,-inf,-inf,-14.606238066863083,-inf,1.2222222222222223,,1.142857142857143,,1.0,1.0,1.0020429009193053,1.0
n W T,3,-11.971514191400663,,-inf,,-13.074091828730628,,1.1666666666666667,,1.1224489795918369,,1.0555555555555556,,1.003064351378958,
s R n,3,-10.872901902732556,,-inf,,-13.826079509313509,,1.1111111111111112,,1.1020408163265307,,1.0,1.0,1.0020429009193053,1.0
s R d,3,-10.872901902732556,,-inf,,-13.826079509313509,,1.1111111111111112,,1.1020408163265307,,1.0,1.0,1.0020429009193053,1.0
k R n,3,-11.971514191400663,,-inf,-inf,-14.46038618985052,-inf,1.0555555555555556,,1.0816326530612246,,1.0,1.0,1.0020429009193053,1.0
y R p,3,-13.070126480068776,,-inf,,-13.70839850926764,,1.0555555555555556,,1.0816326530612246,,1.0,1.0,1.0020429009193053,1.0
s R t,3,-10.585219830280776,,-inf,,-13.16110320572026,,1.2222222222222223,,1.142857142857143,,1.0,1.0,1.0020429009193053,1.0
