word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b U n,3,-11.971514191400663,,-inf,,-13.767239009290574,,1.1666666666666667,,1.1224489795918369,,1.0,1.0,1.0020429009193053,1.0
b u r,3,-11.683832118948883,,-inf,,-13.768104435567004,,1.1666666666666667,,1.1224489795918369,,1.0,1.0,1.0020429009193053,1.0
b U s,3,-11.971514191400663,,-inf,,-13.767239009290574,,1.2222222222222223,,1.142857142857143,,1.0,1.0,1.0020429009193053,1.0
b W r,3,-12.376979299508829,,-inf,,-13.73825147241732,,1.1666666666666667,,1.1224489795918369,,1.0,1.0,1.0020429009193053,1.0
d u r,3,-10.585219830280774,,-inf,,-13.82694493558994,,1.1666666666666667,,1.1224489795918369,,1.0,1.0,1.0020429009193053,1.0
f U n,3,-10.872901902732556,,-inf,,-12.439785148193618,,1.277777777777778,,1.1632653061224492,,1.0555555555555556,,1.003064351378958,
f u r,3,-10.585219830280774,,-inf,,-13.133797755029992,,1.277777777777778,,1.1632653061224492,,1.0,1.0,1.0020429009193053,1.0
f U s,3,-10.872901902732556,,-inf,,-12.439785148193618,,1.3333333333333337,,1.1836734693877553,,1.0555555555555556,,1.003064351378958,
f W r,3,-11.27836701084072,,-inf,,-13.10394479188031,,1.277777777777778,,1.1632653061224492,,1.0,1.0,1.0020429009193053,1.0
g U n,3,-10.872901902732556,,-inf,-inf,-14.519226689873452,-inf,1.1111111111111112,,1.1020408163265307,,1.0,1.0,1.0020429009193053,1.0
g U T,3,-11.971514191400663,,-inf,-inf,-14.46038618985052,-inf,1.1111111111111112,,1.1020408163265307,,1.0,1.0,1.0020429009193053,1.0
g W T,3,-11.971514191400663,,-inf,,-13.767239009290574,,1.1111111111111112,,1.1020408163265307,,1.0555555555555556,,1.003064351378958,
h U n,3,-11.27836701084072,,-inf,,-13.39162686433209,,1.2222222222222223,,1.142857142857143,,1.0,1.0,1.0020429009193053,1.0
h u r,3,-10.990684938388938,,-inf,,-13.392492290608525,,1.2222222222222223,,1.142857142857143,,1.0,1.0,1.0020429009193053,1.0
h U s,3,-11.27836701084072,,-inf,,-13.39162686433209,,1.277777777777778,,1.1632653061224492,,1.0,1.0,1.0020429009193053,1.0
h W r,3,-11.683832118948883,,-inf,,-13.36263932745884,,1.2222222222222223,,1.142857142857143,,1.0,1.0,1.0020429009193053,1.0
k i b,3,-11.683832118948883,,-inf,-inf,-14.488557066817217,-inf,1.0555555555555556,,1.0816326530612246,,1.0,1.0,1.0020429009193053,1.0
k i r,3,-10.990684938388938,,-inf,,-13.825262849406954,,1.1111111111111112,,1.1020408163265307,,1.0,1.0,1.0020429009193053,1.0
k u f,3,-11.27836701084072,,-inf,-inf,-14.490239153000202,-inf,1.0555555555555556,,1.0816326530612246,,1.0,1.0,1.0020429009193053,1.0
k U m,3,-11.683832118948883,,-inf,-inf,-14.488557066817217,-inf,1.1111111111111112,,1.1020408163265307,,1.0,1.0,1.0020429009193053,1.0
k U n,3,-11.971514191400663,,-inf,-inf,-14.46038618985052,-inf,1.1111111111111112,,1.1020408163265307,,1.0,1.0,1.0020429009193053,1.0
k U p,3,-13.070126480068776,,-inf,-inf,-14.401545689827586,-inf,1.0555555555555556,,1.0816326530612246,,1.0,1.0,1.0020429009193053,1.0
k u r,3,-11.683832118948883,,-inf,-inf,-14.461251616126953,-inf,1.1111111111111112,,1.1020408163265307,,1.0,1.0,1.0020429009193053,1.0
l U n,3,-10.585219830280774,,-inf,,-13.44878527817204,,1.2222222222222223,,1.142857142857143,,1.0,1.0,1.0020429009193053,1.0
l R l,3,-10.297537757828994,,-inf,,-13.476956155138735,,1.1666666666666667,,1.1224489795918369,,1.0,1.0,1.0020429009193053,1.0
m W l,3,-10.297537757828994,,-inf,,-12.49612690212701,,1.277777777777778,,1.1632653061224492,,1.0555555555555556,,1.003064351378958,
m W r,3,-10.990684938388938,,-inf,,-12.438968488287063,,1.277777777777778,,1.1632653061224492,,1.0555555555555556,,1.003064351378958,
m W t,3,-10.297537757828994,,-inf,,-12.49612690212701,,1.388888888888889,,1.2040816326530617,,1.0555555555555556,,1.003064351378958,
p u k,3,-12.376979299508829,,-inf,,-13.73825147241732,,1.0555555555555556,,1.0816326530612246,,1.0,1.0,1.0020429009193053,1.0
p U m,3,-11.683832118948883,,-inf,-inf,-14.488557066817217,-inf,1.1111111111111112,,1.1020408163265307,,1.0,1.0,1.0020429009193053,1.0
p U n,3,-11.971514191400663,,-inf,-inf,-14.46038618985052,-inf,1.1111111111111112,,1.1020408163265307,,1.0,1.0,1.0020429009193053,1.0
p U p,3,-13.070126480068776,,-inf,-inf,-14.401545689827586,-inf,1.0555555555555556,,1.0816326530612246,,1.0,1.0,1.0020429009193053,1.0
p U s,3,-11.971514191400663,,-inf,-inf,-14.46038618985052,-inf,1.1666666666666667,,1.1224489795918369,,1.0,1.0,1.0020429009193053,1.0
r U n,3,-11.27836701084072,,-inf,-inf,-14.4902391530002,-inf,1.1111111111111112,,1.1020408163265307,,1.0,1.0,1.0020429009193053,1.0
r W r,3,-11.683832118948883,,-inf,-inf,-14.461251616126948,-inf,1.1111111111111112,,1.1020408163265307,,1.0,1.0,1.0020429009193053,1.0
s U g,3,-10.872901902732556,,-inf,,-13.826079509313509,,1.277777777777778,,1.1632653061224492,,1.0,1.0,1.0020429009193053,1.0
s U k,3,-11.971514191400663,,-inf,,-13.767239009290574,,1.1111111111111112,,1.1020408163265307,,1.0,1.0,1.0020429009193053,1.0
s U m,3,-10.585219830280776,,-inf,,-13.854250386280205,,1.1666666666666667,,1.1224489795918369,,1.0,1.0,1.0020429009193053,1.0
s U n,3,-10.872901902732556,,-inf,,-13.826079509313509,,1.1666666666666667,,1.1224489795918369,,1.0,1.0,1.0020429009193053,1.0
s U p,3,-11.971514191400663,,-inf,,-13.767239009290574,,1.1111111111111112,,1.1020408163265307,,1.0,1.0,1.0020429009193053,1.0
s U s,3,-10.872901902732556,,-inf,,-13.826079509313509,,1.2222222222222223,,1.142857142857143,,1.0,1.0,1.0020429009193053,1.0
s W l,3,-10.585219830280776,,-inf,,-13.854250386280205,,1.1666666666666667,,1.1224489795918369,,1.0,1.0,1.0020429009193053,1.0
s W t,3,-10.585219830280776,,-inf,,-13.854250386280205,,1.277777777777778,,1.1632653061224492,,1.0,1.0,1.0020429009193053,1.0
t U n,3,-10.585219830280774,,-inf,-inf,-14.547397566840148,-inf,1.1111111111111112,,1.1020408163265307,,1.0,1.0,1.0020429009193053,1.0
T W T,3,-13.070126480068776,,-inf,,-13.70839850926764,,1.1111111111111112,,1.1020408163265307,,1.0555555555555556,,1.003064351378958,
T W z,3,-11.971514191400663,,-inf,-inf,-14.46038618985052,-inf,1.1111111111111112,,1.1020408163265307,,1.0,1.0,1.0020429009193053,1.0
y e J,3,-12.376979299508829,,-inf,,-13.73825147241732,,1.1666666666666667,,1.1224489795918369,,1.0,1.0,1.0020429009193053,1.0
y i J,3,-11.683832118948883,,-inf,,-13.795409886257271,,1.1111111111111112,,1.1020408163265307,,1.0,1.0,1.0020429009193053,1.0
y U g,3,-11.971514191400663,,-inf,,-13.767239009290574,,1.277777777777778,,1.1632653061224492,,1.0,1.0,1.0020429009193053,1.0
y u g,3,-11.27836701084072,,-inf,,-13.797091972440256,,1.277777777777778,,1.1632653061224492,,1.0,1.0,1.0020429009193053,1.0
y U T,3,-13.070126480068776,,-inf,,-13.70839850926764,,1.1666666666666667,,1.1224489795918369,,1.0,1.0,1.0020429009193053,1.0
