word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-inf,nan,-inf,-inf,-inf,-inf,1,1,1.027027027027027,1.0,1,1,1,1
g i T,3,-10.635705194577522,nan,-inf,nan,-11.898187865760873,nan,1.277777777777778,nan,1.1977587343441003,nan,1,1,1.0036697741910505,1.0
z i T,3,-inf,nan,-inf,-inf,-inf,-inf,1.0555555555555556,nan,1.075807514831905,nan,1,1,1.0018416206261511,1.0
y c g,3,-inf,nan,-inf,-inf,-inf,-inf,1,1,1.051417270929466,1.0,1,1,1.0018416206261511,1.0
l R z,3,-inf,nan,-inf,nan,-inf,nan,1.1666666666666667,nan,1.0975609756097562,nan,1,1,1,1
J Y p,3,-inf,nan,-inf,-inf,-inf,-inf,1.1111111111111112,nan,1.1001977587343441,nan,1,1,1.0018416206261511,1.0
C ^ z,3,-inf,nan,-inf,-inf,-inf,-inf,1.1666666666666667,nan,1.0975609756097562,nan,1,1,1,1
C e J,3,-inf,-inf,-inf,-inf,-inf,-inf,1,1,1,1,1,1,1,1
z i S,3,-inf,nan,-inf,-inf,-inf,-inf,1.0555555555555556,nan,1.048780487804878,nan,1,1,1,1
z u v,3,-inf,-inf,-inf,-inf,-inf,-inf,1,1,1,1,1,1,1,1
D Y p,3,-inf,nan,-inf,-inf,-inf,-inf,1.1111111111111112,nan,1.1001977587343441,nan,1,1,1.0018416206261511,1.0
s R k,3,-inf,nan,-inf,nan,-inf,nan,1.253968253968254,nan,1.1542518127883983,nan,1,1,1,1
b R s,3,-inf,nan,-inf,-inf,-inf,-inf,1,1,1.027027027027027,1.0,1,1,1,1
T ^ z,3,-inf,nan,-inf,nan,-inf,nan,1.2222222222222223,nan,1.1463414634146343,nan,1,1,1.0018281535648994,1.0
S c G,3,-inf,nan,-inf,-inf,-inf,-inf,1.0714285714285714,nan,1.078444297956493,nan,1,1,1.0018416206261511,1.0
J e J,3,-inf,-inf,-inf,-inf,-inf,-inf,1,1,1,1,1,1,1,1
D ^ z,3,-inf,nan,-inf,-inf,-inf,-inf,1.1666666666666667,nan,1.0975609756097562,nan,1,1,1,1
S Y p,3,-inf,nan,-inf,-inf,-inf,-inf,1.1111111111111112,nan,1.1001977587343441,nan,1,1,1.0018416206261511,1.0
n W C,3,-inf,nan,-inf,nan,-inf,nan,1.0555555555555556,nan,1.048780487804878,nan,1,1,1,1
l W C,3,-inf,nan,-inf,nan,-inf,nan,1.1666666666666667,nan,1.0975609756097562,nan,1,1,1,1
S c d,3,-inf,nan,-inf,nan,-inf,nan,1.1428571428571428,nan,1.1054713249835202,nan,1,1,1.0018416206261511,1.0
g i J,3,-inf,nan,-inf,nan,-inf,nan,1.277777777777778,nan,1.1707317073170733,nan,1,1,1.0018281535648994,1.0
C u T,3,-inf,nan,-inf,-inf,-inf,-inf,1,1,1.027027027027027,1.0,1,1,1,1
D i g,3,-inf,nan,-inf,-inf,-inf,-inf,1.0555555555555556,nan,1.075807514831905,nan,1,1,1.0018416206261511,1.0
w u T,3,-inf,nan,-inf,nan,-inf,nan,1.1666666666666667,nan,1.1245880026367832,nan,1,1,1,1
T c T,3,-12.021999555697413,nan,-inf,nan,-12.701149912328026,nan,1.0555555555555556,nan,1.1001977587343441,nan,1,1,1.0036697741910505,1.0
g u T,3,-inf,nan,-inf,nan,-inf,nan,1.2222222222222223,nan,1.1489782465392222,nan,1,1,1,1
f R s,3,-inf,nan,-inf,-inf,-inf,-inf,1,1,1.027027027027027,1.0,1,1,1,1
J Y m,3,-inf,nan,-inf,nan,-inf,nan,1.1825396825396826,nan,1.127224785761371,nan,1,1,1.0018416206261511,1.0
n R z,3,-inf,nan,-inf,nan,-inf,nan,1.0555555555555556,nan,1.048780487804878,nan,1,1,1,1
m R n,3,-inf,nan,-inf,nan,-inf,nan,1.2142857142857142,nan,1.1324983520105472,nan,1,1,1,1
C u S,3,-inf,-inf,-inf,-inf,-inf,-inf,1,1,1,1,1,1,1,1
S e J,3,-inf,-inf,-inf,-inf,-inf,-inf,1,1,1,1,1,1,1,1
T ^ S,3,-inf,nan,-inf,nan,-inf,nan,1.2222222222222223,nan,1.1463414634146343,nan,1,1,1.0018281535648994,1.0
v e D,3,-inf,-inf,-inf,-inf,-inf,-inf,1,1,1,1,1,1,1,1
C ^ S,3,-inf,nan,-inf,-inf,-inf,-inf,1.1666666666666667,nan,1.0975609756097562,nan,1,1,1,1
n c T,3,-10.635705194577522,nan,-inf,nan,-12.814478597635029,nan,1.0555555555555556,nan,1.1001977587343441,nan,1,1,1.0036697741910505,1.0
s R p,3,-inf,nan,-inf,nan,-inf,nan,1.1111111111111112,nan,1.1001977587343441,nan,1,1,1,1
