word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-inf,nan,-inf,-inf,-inf,-inf,1,1,1.0263157894736843,1.0,1,1,1,1
b i l,3,-inf,nan,-inf,nan,-inf,nan,1.1324786324786325,nan,1.0991432068543452,nan,1,1,1.0015673981191222,1.0
b i s,3,-inf,nan,-inf,-inf,-inf,-inf,1.1324786324786325,nan,1.0991432068543452,nan,1,1,1.0015673981191222,1.0
b R s,3,-inf,nan,-inf,-inf,-inf,-inf,1.0769230769230769,nan,1.0526315789473684,nan,1,1,1,1
b Y s,3,-inf,nan,-inf,-inf,-inf,-inf,1.1324786324786325,nan,1.0991432068543452,nan,1,1,1.0015673981191222,1.0
b ^ l,3,-inf,nan,-inf,nan,-inf,nan,1.2435897435897436,nan,1.1456548347613218,nan,1,1,1.0015673981191222,1.0
C @ l,3,-inf,nan,-inf,nan,-inf,nan,1.0769230769230769,nan,1.0526315789473684,nan,1,1,1,1
C i D,3,-inf,nan,-inf,-inf,-inf,-inf,1.0555555555555556,nan,1.0465116279069768,nan,1,1,1,1
C i n,3,-inf,nan,-inf,-inf,-inf,-inf,1.2094017094017095,nan,1.1254589963280295,nan,1,1,1.0015673981191222,1.0
C R J,3,-inf,nan,-inf,-inf,-inf,-inf,1,1,1.0263157894736843,1.0,1,1,1,1
C R g,3,-inf,nan,-inf,-inf,-inf,-inf,1,1,1.0263157894736843,1.0,1,1,1,1
C R T,3,-inf,nan,-inf,-inf,-inf,-inf,1,1,1.0263157894736843,1.0,1,1,1,1
C ^ J,3,-inf,nan,-inf,-inf,-inf,-inf,1.1666666666666667,nan,1.1193390452876377,nan,1,1,1.0015673981191222,1.0
C ^ n,3,-inf,nan,-inf,nan,-inf,nan,1.3205128205128207,nan,1.171970624235006,nan,1.0769230769230769,nan,1.0031347962382444,nan
C ^ S,3,-inf,nan,-inf,-inf,-inf,-inf,1.1666666666666667,nan,1.0930232558139534,nan,1,1,1,1
C ^ C,3,-inf,nan,-inf,-inf,-inf,-inf,1.1666666666666667,nan,1.0930232558139534,nan,1,1,1,1
d i k,3,-10.230240086469358,nan,-inf,nan,-11.987767370856215,nan,1.188034188034188,nan,1.145654834761322,nan,1,1,1.003122608072466,1.0
d i s,3,-9.824774978361194,nan,-inf,nan,-13.121470979335594,nan,1.188034188034188,nan,1.145654834761322,nan,1,1,1.003122608072466,1.0
d i t,3,-8.97747711797399,nan,-inf,nan,-11.304772561760286,nan,1.4188034188034189,nan,1.2246022031823747,nan,1,1,1.003122608072466,1.0
d E p,3,-10.230240086469358,nan,-inf,nan,-13.086379659524322,nan,1.1666666666666667,nan,1.1425948592411261,nan,1,1,1.003122608072466,1.0
d R s,3,-inf,nan,-inf,nan,-inf,nan,1.1324786324786325,nan,1.0991432068543452,nan,1,1,1,1
D i D,3,-inf,nan,-inf,-inf,-inf,-inf,1.0555555555555556,nan,1.0465116279069768,nan,1,1,1,1
D i g,3,-inf,nan,-inf,-inf,-inf,-inf,1.0555555555555556,nan,1.0728274173806611,nan,1,1,1.0015673981191222,1.0
D i C,3,-inf,nan,-inf,-inf,-inf,-inf,1.0555555555555556,nan,1.0465116279069768,nan,1,1,1,1
d I J,3,-9.824774978361194,nan,-inf,nan,-12.428323798775647,nan,1.2222222222222223,nan,1.1658506731946146,nan,1.0555555555555556,nan,1.0046778180258096,nan
d I D,3,-inf,nan,-inf,nan,-inf,nan,1.2222222222222223,nan,1.1395348837209303,nan,1.0555555555555556,nan,1.0031104199066874,nan
d Y p,3,-10.923387267029304,nan,-inf,nan,-13.050012015353449,nan,1.1111111111111112,nan,1.119339045287638,nan,1,1,1.003122608072466,1.0
d Y t,3,-8.97747711797399,nan,-inf,nan,-10.611625381200339,nan,1.4188034188034189,nan,1.2246022031823747,nan,1.0769230769230769,nan,1.0046900061915882,nan
d I T,3,-9.824774978361194,nan,-inf,nan,-12.428323798775647,nan,1.2222222222222223,nan,1.1658506731946146,nan,1.0555555555555556,nan,1.0046778180258096,nan
d I Z,3,-inf,nan,-inf,nan,-inf,nan,1.2222222222222223,nan,1.1395348837209303,nan,1.0555555555555556,nan,1.0031104199066874,nan
f i k,3,-inf,nan,-inf,nan,-inf,nan,1.1324786324786325,nan,1.0991432068543452,nan,1,1,1.0015673981191222,1.0
f i s,3,-inf,nan,-inf,-inf,-inf,-inf,1.1324786324786325,nan,1.0991432068543452,nan,1,1,1.0015673981191222,1.0
f R s,3,-inf,nan,-inf,-inf,-inf,-inf,1.0769230769230769,nan,1.0526315789473684,nan,1,1,1,1
f R t,3,-inf,nan,-inf,nan,-inf,nan,1.3076923076923077,nan,1.131578947368421,nan,1,1,1,1
f Y k,3,-inf,nan,-inf,nan,-inf,nan,1.1324786324786325,nan,1.0991432068543452,nan,1,1,1.0015673981191222,1.0
